Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,79.30,81.68,79.30,80.99,778900,80.99
2014-03-27,80.52,80.75,79.94,80.54,820500,80.54
2014-03-26,81.92,82.08,80.78,80.81,1308300,80.81
2014-03-25,81.67,81.94,80.48,81.28,1775300,81.28
2014-03-24,81.15,81.38,80.43,80.87,1491200,80.87
2014-03-21,84.09,84.09,80.72,80.72,2702800,80.72
2014-03-20,81.27,81.67,80.50,81.47,1707400,81.47
2014-03-19,82.00,82.17,80.90,81.51,839400,81.51
2014-03-18,81.75,82.35,81.54,81.91,1124200,81.91
2014-03-17,80.49,82.14,80.49,81.43,1319700,81.43
2014-03-14,80.45,81.18,79.73,79.80,1484900,79.80
2014-03-13,81.76,82.19,80.19,80.67,1596500,80.67
2014-03-12,80.85,81.63,80.67,81.31,1439900,81.31
2014-03-11,82.68,83.36,81.63,81.92,1352700,81.54
2014-03-10,82.04,82.63,81.54,82.51,1276300,82.13
2014-03-07,81.87,82.72,81.48,82.27,1735400,81.89
2014-03-06,80.03,81.59,80.01,81.58,2242000,81.21
2014-03-05,79.88,80.37,79.42,79.87,1341900,79.50
2014-03-04,80.41,80.74,79.01,79.48,2337800,79.12
2014-03-03,77.89,79.83,77.63,79.10,3066200,78.74
2014-02-28,92.06,94.38,91.92,94.30,2742200,77.90
2014-02-27,90.51,91.78,90.51,91.76,1864900,75.80
2014-02-26,90.29,91.08,89.88,90.98,1805300,75.16
2014-02-25,89.50,90.05,89.42,90.00,2326700,74.35
2014-02-24,89.14,89.81,88.95,89.47,1668400,73.91
2014-02-21,88.56,89.24,88.00,88.99,2219700,73.51
2014-02-20,86.73,88.84,86.46,88.58,2725100,73.17
2014-02-19,86.86,87.47,86.47,86.58,2356700,71.52
2014-02-18,86.21,87.45,85.99,87.10,2115600,71.95
2014-02-14,85.22,86.25,84.92,86.06,1826500,71.09
2014-02-13,84.66,85.47,84.50,85.30,2292000,70.46
2014-02-12,85.04,85.85,84.71,85.38,1932500,70.53
2014-02-11,84.42,85.25,84.19,84.76,1553600,70.02
2014-02-10,85.24,85.53,83.99,84.45,1415400,69.76
2014-02-07,83.26,85.71,82.85,85.44,2299500,70.58
2014-02-06,83.07,83.77,82.57,82.64,1877400,68.27
2014-02-05,83.17,83.45,81.68,82.78,2257000,68.38
2014-02-04,83.02,83.93,82.47,83.62,1905100,69.08
2014-02-03,86.30,86.91,82.81,82.96,2411600,68.53
2014-01-31,86.68,87.70,86.29,86.56,2225300,71.51
2014-01-30,87.68,89.62,85.83,89.27,1753400,73.74
2014-01-29,90.00,90.79,89.23,89.68,1684800,74.08
2014-01-28,89.92,91.01,89.92,90.49,1282200,74.75
2014-01-27,90.58,91.03,89.07,89.55,1341900,73.98
2014-01-24,92.46,93.58,90.31,90.33,1438300,74.62
2014-01-23,95.49,95.55,93.72,94.08,1126900,77.72
2014-01-22,96.14,96.22,95.49,95.89,1246500,79.21
2014-01-21,95.94,96.38,95.05,96.02,1605300,79.32
2014-01-17,95.83,95.98,94.91,95.11,1690700,78.57
2014-01-16,96.17,96.59,94.65,96.10,1517200,79.39
2014-01-15,95.58,96.67,95.44,96.36,1068000,79.60
2014-01-14,93.59,95.43,93.28,95.42,1393900,78.82
2014-01-09,94.50,95.21,93.78,94.07,1220200,77.71
2014-01-08,94.76,94.78,93.93,94.20,1193000,77.82
2014-01-07,94.59,95.22,94.33,94.76,840800,78.28
2014-01-06,95.77,95.81,94.40,94.59,894800,78.14
2014-01-03,95.45,95.88,94.87,95.22,905200,78.66
2014-01-02,96.54,96.74,94.93,95.25,780600,78.68
2013-12-31,96.57,97.00,96.14,96.54,508000,79.75
2013-12-30,96.31,96.57,96.12,96.38,464900,79.62
2013-12-27,96.40,96.47,95.90,96.32,387800,79.57
2013-12-26,95.70,96.48,95.67,96.12,392300,79.40
2013-12-24,94.81,95.71,94.80,95.48,210800,78.87
2013-12-23,95.15,95.50,94.80,94.87,961000,78.37
2013-12-20,93.17,94.62,92.85,94.56,1669500,78.11
