Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,72.84,73.54,72.48,73.19,909400,73.19
2014-03-27,72.21,72.96,71.87,72.92,886500,72.92
2014-03-26,72.30,72.85,72.08,72.28,1340800,72.28
2014-03-25,72.04,72.37,71.66,72.19,918700,72.19
2014-03-24,71.77,72.13,71.28,71.94,1158400,71.94
2014-03-21,71.19,72.05,71.19,71.52,1363200,71.52
2014-03-20,70.50,70.83,69.85,70.77,1013200,70.77
2014-03-19,71.75,72.06,70.35,70.65,970600,70.65
2014-03-18,72.04,72.22,71.65,71.80,577700,71.80
2014-03-17,71.76,72.06,71.48,71.98,1266100,71.98
2014-03-14,71.43,72.00,71.03,71.65,1507200,71.65
2014-03-13,70.61,71.58,70.36,71.39,1420900,71.39
2014-03-12,69.90,71.26,69.82,71.17,2391800,70.51
2014-03-11,70.31,70.49,69.69,69.94,632800,69.30
2014-03-10,70.31,70.61,69.90,70.37,941400,69.72
2014-03-07,70.24,70.40,69.58,70.33,901700,69.68
2014-03-06,71.22,71.26,70.07,70.35,885000,69.70
2014-03-05,71.41,71.48,70.72,70.90,901800,70.25
2014-03-04,71.40,71.62,71.19,71.47,655700,70.81
2014-03-03,71.41,71.80,70.85,70.90,807100,70.25
2014-02-28,71.44,72.00,71.35,71.76,837200,71.10
2014-02-27,71.47,71.98,71.00,71.24,750500,70.58
2014-02-26,72.05,72.21,71.42,71.51,748900,70.85
2014-02-25,71.94,72.46,71.59,71.83,873100,71.17
2014-02-24,72.54,72.65,71.83,71.86,1109500,71.20
2014-02-21,72.39,72.95,72.29,72.29,1482700,71.62
2014-02-20,71.57,72.54,71.57,72.33,1822300,71.66
2014-02-19,72.13,72.45,71.34,71.47,1765700,70.81
2014-02-18,71.98,72.27,71.78,72.12,1479000,71.46
2014-02-14,69.57,71.86,69.19,71.73,2449700,71.07
2014-02-13,68.64,69.64,68.45,69.57,1516500,68.93
2014-02-12,69.09,69.34,68.77,68.90,963000,68.27
2014-02-11,68.11,69.11,68.06,69.10,1188200,68.46
2014-02-10,67.69,68.26,67.26,68.23,925500,67.60
2014-02-07,67.69,67.99,67.48,67.89,1063300,67.27
2014-02-06,67.20,67.65,66.87,67.58,917400,66.96
2014-02-05,67.25,67.29,66.83,67.05,1113300,66.43
2014-02-04,68.25,68.34,66.78,67.46,1723500,66.84
2014-02-03,68.23,69.06,67.82,67.97,2089800,67.34
2014-01-31,66.73,68.34,66.66,68.22,1404600,67.59
2014-01-30,66.65,67.45,66.61,67.28,686600,66.66
2014-01-29,66.24,66.65,66.02,66.33,1118400,65.72
2014-01-28,66.06,66.38,65.91,66.37,1118000,65.76
2014-01-27,65.59,66.42,65.49,65.96,1681200,65.35
2014-01-24,66.29,66.76,65.47,65.47,1583000,64.87
2014-01-23,66.61,66.78,66.18,66.46,1035900,65.85
2014-01-22,66.58,66.94,66.48,66.87,841400,66.25
2014-01-21,66.30,66.66,66.13,66.61,649900,66.00
2014-01-17,65.97,66.27,65.63,65.85,842800,65.24
2014-01-16,65.69,65.91,65.32,65.91,847200,65.30
2014-01-15,66.39,66.39,65.47,65.67,960100,65.07
2014-01-14,66.16,66.45,65.83,66.17,579900,65.56
2014-01-13,66.48,66.67,65.92,66.05,733500,65.44
2014-01-09,65.39,65.82,65.18,65.68,1135300,65.08
2014-01-08,65.75,65.75,64.92,65.10,1297200,64.50
2014-01-07,65.20,65.86,65.12,65.76,1100000,65.15
2014-01-06,65.15,65.52,64.96,65.19,1067600,64.59
2014-01-03,66.03,66.05,64.84,65.13,1281400,64.53
2014-01-02,66.40,66.44,65.22,65.26,1415300,64.66
