Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,70.43,70.50,69.92,70.44,3083000,70.44
2014-03-27,69.65,70.46,69.25,70.42,3027800,70.42
2014-03-26,69.95,70.25,69.44,69.50,3294200,69.50
2014-03-25,69.41,70.09,69.23,69.92,3099700,69.92
2014-03-24,68.61,69.44,68.61,69.32,3001400,69.32
2014-03-21,69.74,69.97,69.02,69.08,4560600,69.08
2014-03-20,68.61,69.26,68.10,69.17,4275400,69.17
2014-03-19,70.00,70.15,68.20,68.71,5175100,68.71
2014-03-18,71.19,71.23,69.98,70.24,4195700,70.24
2014-03-17,70.96,71.36,70.50,71.10,3401200,71.10
2014-03-14,70.49,71.13,70.34,70.70,2939200,70.70
2014-03-13,70.39,70.99,70.27,70.57,3912500,70.57
2014-03-12,69.43,70.39,69.41,70.36,3203400,70.36
2014-03-11,69.79,69.85,69.02,69.47,2764700,69.47
2014-03-10,69.88,70.07,69.39,69.62,2542800,69.62
2014-03-07,69.90,70.19,69.41,70.06,3668800,70.06
2014-03-06,70.25,70.28,69.62,70.03,3589600,70.03
2014-03-05,70.15,70.71,69.95,70.11,2192700,70.11
2014-03-04,70.54,70.58,69.88,70.12,2626700,70.12
2014-03-03,70.59,71.05,70.00,70.05,2508400,70.05
2014-02-28,70.40,71.17,70.35,70.88,2931100,70.88
2014-02-27,70.76,71.07,70.25,70.43,2480900,70.43
2014-02-26,71.12,71.33,70.72,70.88,3431200,70.88
2014-02-25,71.09,71.81,70.94,71.03,2615100,71.03
2014-02-24,71.50,72.11,71.09,71.11,2522500,71.11
2014-02-21,71.61,72.22,71.46,71.49,2926100,71.49
2014-02-20,71.76,72.12,71.43,71.74,3481800,71.74
2014-02-19,71.40,72.40,70.72,71.72,3274600,71.72
2014-02-18,71.76,72.67,71.29,71.50,4797900,71.50
2014-02-14,71.18,71.60,70.84,71.45,2784900,71.45
2014-02-13,70.75,71.54,70.63,71.43,2269900,71.43
2014-02-12,70.44,70.90,70.25,70.87,2509700,70.87
2014-02-11,70.67,71.48,70.50,71.30,2631900,70.52
2014-02-10,69.87,70.84,69.52,70.74,3071500,69.97
2014-02-07,69.68,70.11,69.35,69.99,3805000,69.22
2014-02-06,69.70,70.11,69.18,70.01,2774000,69.24
2014-02-05,69.88,69.88,69.28,69.62,2848800,68.86
2014-02-04,70.69,70.69,69.46,69.94,3625600,69.17
2014-02-03,70.68,71.75,70.09,70.46,5425300,69.69
2014-01-31,69.37,70.68,69.35,70.62,4776100,69.85
2014-01-30,69.14,69.92,69.11,69.89,3444400,69.13
2014-01-29,68.69,69.31,68.54,68.99,4436700,68.24
2014-01-28,68.75,68.95,68.47,68.82,2460900,68.07
2014-01-27,68.30,68.99,68.27,68.73,3862100,67.98
2014-01-24,68.17,69.33,68.00,68.26,4705900,67.51
2014-01-23,68.34,68.73,67.97,68.53,2873700,67.78
2014-01-22,68.50,68.97,68.44,68.65,2314400,67.90
2014-01-21,67.88,68.58,67.77,68.51,3029700,67.76
2014-01-17,67.37,67.70,67.20,67.57,3302500,66.83
2014-01-16,67.25,67.52,67.05,67.36,3000100,66.62
2014-01-09,67.89,68.01,67.45,67.87,2379900,67.13
2014-01-08,68.33,68.40,67.64,67.85,3881300,67.11
2014-01-07,68.03,68.53,68.00,68.49,2772200,67.74
2014-01-06,68.00,68.20,67.66,67.96,2470000,67.22
2014-01-03,68.19,68.40,67.71,67.92,2593100,67.18
2014-01-02,69.20,69.24,68.00,68.14,3371000,67.39
2013-12-31,69.10,69.20,68.76,69.01,2041000,68.26
2013-12-30,68.80,69.21,68.80,69.11,1573900,68.35
2013-12-27,68.94,69.27,68.76,68.95,1947700,68.20
2013-12-26,69.26,69.37,68.66,68.77,2568200,68.02
2013-12-24,68.87,69.45,68.63,69.28,1426400,68.52
2013-12-23,69.93,69.93,69.05,69.05,3044700,68.29
2013-12-20,69.26,69.87,69.09,69.50,3196400,68.74
2013-12-19,69.46,69.47,68.47,69.19,3073100,68.43
2013-12-18,68.40,69.79,67.92,69.73,3823400,68.97
2013-12-17,68.50,68.68,67.97,68.38,2973500,67.63
2013-12-16,69.10,69.19,68.26,68.51,3504500,67.76
2013-12-13,68.45,68.64,67.92,68.19,2939600,67.44
2013-12-12,68.43,68.82,68.11,68.19,3530600,67.44
2013-12-11,69.25,69.27,68.29,68.33,3492400,67.58
2013-12-10,69.73,69.91,69.18,69.27,1732100,68.51
2013-12-09,70.19,70.19,69.36,69.81,2014600,69.05
2013-12-06,70.00,70.54,69.71,70.19,2293700,69.42
2013-12-05,69.80,69.93,69.26,69.60,1990200,68.84
2013-12-04,69.42,70.25,69.09,69.92,2357200,69.16
2013-12-03,69.41,69.97,69.04,69.75,2326700,68.99
2013-12-02,70.13,70.13,69.14,69.61,2622100,68.85
2013-11-29,70.10,70.66,69.75,69.96,1478000,69.19
2013-11-27,70.49,70.75,69.74,70.03,2541000,69.26
2013-11-26,70.99,71.08,70.50,70.50,3158800,69.73
2013-11-25,71.17,71.32,70.91,70.99,2196400,70.21
2013-11-22,70.57,71.56,70.21,71.13,3480000,70.35
2013-11-21,70.20,70.99,69.80,70.75,3432100,69.98
2013-11-20,71.23,71.35,70.01,70.03,2656400,69.26
2013-11-19,71.54,71.69,70.83,71.12,2620200,70.34
2013-11-18,71.82,71.85,71.26,71.54,2422700,70.76
2013-11-15,71.07,71.80,71.05,71.80,2821700,71.01
2013-11-14,71.12,71.86,70.96,71.51,2576200,70.73
2013-11-13,70.60,70.94,70.03,70.92,3678900,70.14
2013-11-12,72.19,72.39,71.41,71.72,11658900,70.16
2013-11-11,72.45,72.89,72.02,72.45,1945400,70.88
2013-11-08,72.66,72.70,71.10,72.43,9150600,70.86
2013-11-07,73.21,73.53,72.72,72.92,8123300,71.34
2013-11-06,72.44,73.25,72.22,73.21,2341000,71.62
2013-11-05,72.56,73.02,72.28,72.45,3639500,70.88
2013-11-04,72.68,72.71,71.68,72.47,2553300,70.90
2013-11-01,71.96,72.79,71.88,72.51,2892200,70.94
2013-10-31,72.03,72.17,70.94,71.73,2822500,70.17
2013-10-30,72.59,73.06,71.98,72.01,2529100,70.45
2013-10-29,72.38,72.80,72.18,72.62,1848700,71.04
2013-10-28,72.31,72.72,72.06,72.37,2665400,70.80
2013-10-25,71.61,72.40,71.32,72.37,1807700,70.80
2013-10-24,71.82,71.91,71.29,71.63,2111900,70.08
2013-10-23,71.04,72.49,71.03,71.71,4412500,70.15
2013-10-22,70.15,71.40,70.07,71.09,2921300,69.55
2013-10-21,70.00,70.20,69.56,70.06,2143300,68.54
2013-10-18,69.97,70.19,69.72,70.08,2428500,68.56
2013-10-17,68.80,69.94,68.33,69.80,3028600,68.29
2013-10-16,68.02,69.03,67.89,69.03,3285900,67.53
2013-10-15,68.35,68.50,67.56,67.85,3163900,66.38
2013-10-14,68.60,68.74,67.64,68.58,2289500,67.09
2013-10-11,68.23,68.87,68.02,68.85,2327500,67.36
2013-10-10,67.73,68.30,66.90,68.29,2579900,66.81
2013-10-09,67.31,68.38,67.06,67.51,2986100,66.05
2013-10-08,66.28,67.52,66.25,67.20,3177200,65.74
2013-10-07,66.27,66.86,66.15,66.34,1484500,64.90
2013-10-04,66.30,66.69,66.14,66.43,1525500,64.99
2013-10-03,66.97,67.02,66.05,66.33,2690300,64.89
2013-10-02,67.09,67.33,66.75,67.25,1945500,65.79
2013-10-01,67.45,67.55,66.91,67.27,2455300,65.81
2013-09-30,66.66,67.20,66.60,66.78,2529200,65.33
2013-09-27,67.33,67.75,66.69,66.90,2299600,65.45
2013-09-26,67.32,67.67,67.30,67.65,2034800,66.18
2013-09-25,68.08,68.20,67.26,67.26,2387500,65.80
2013-09-24,67.59,67.95,67.46,67.69,2712900,66.22
2013-09-23,66.97,68.00,66.70,67.73,2536100,66.26
2013-09-20,67.98,68.03,66.85,67.36,5327700,65.90
2013-09-19,68.08,68.55,67.57,67.93,2916500,66.46
2013-09-18,66.10,68.64,65.83,68.10,3957200,66.62
2013-09-17,66.00,66.65,65.98,66.19,3620900,64.75
2013-09-16,67.49,67.58,65.76,66.03,4418900,64.60
2013-09-13,65.00,65.60,64.99,65.55,2587000,64.13
2013-09-12,65.45,65.69,64.75,64.97,2332500,63.56
2013-09-11,66.00,66.01,64.88,65.31,3288300,63.89
2013-09-10,65.70,65.96,65.27,65.95,1772900,64.52
2013-09-09,65.50,65.68,65.19,65.57,2389200,64.15
2013-09-06,65.06,65.77,65.05,65.45,2649300,64.03
2013-09-05,64.69,64.97,64.42,64.80,2123200,63.39
2013-09-04,64.99,65.00,64.16,64.69,2648100,63.29
2013-09-03,65.89,66.08,64.76,64.96,2316800,63.55
2013-08-30,65.79,66.16,65.33,65.60,2031600,64.18
2013-08-29,65.99,66.04,65.48,65.66,1649500,64.24
2013-08-28,65.91,66.29,65.59,66.05,1671900,64.62
2013-08-27,65.41,66.41,65.33,65.85,2352000,64.42
2013-08-26,66.41,66.59,65.79,65.79,1913700,64.36
2013-08-23,65.97,66.44,65.67,66.35,1819400,64.91
2013-08-22,65.94,66.19,65.55,65.94,2316900,64.51
2013-08-21,66.73,66.73,65.62,65.81,3356700,64.38
2013-08-20,66.30,67.59,66.29,66.79,4740300,65.34
2013-08-19,66.95,67.19,66.22,66.33,2446900,64.89
2013-08-16,67.70,67.89,66.70,67.05,3060500,65.60
2013-08-15,68.61,68.97,67.79,67.91,2922800,66.44
2013-08-14,70.19,70.19,68.70,69.02,3149100,67.52
2013-08-13,70.68,70.94,70.61,70.82,4044200,68.52
2013-08-12,70.75,70.83,70.45,70.77,7953000,68.47
2013-08-09,71.22,71.36,70.64,70.77,7238000,68.47
2013-08-08,71.16,71.50,70.85,71.23,9963900,68.92
2013-08-07,70.82,71.23,70.55,71.05,3032200,68.74
2013-08-06,71.40,71.52,70.87,71.12,2343400,68.81
2013-08-05,72.00,72.01,71.35,71.37,2286900,69.05
2013-08-02,71.42,71.80,71.22,71.75,1962200,69.42
2013-08-01,71.33,71.66,71.00,71.51,2143100,69.19
2013-07-31,71.41,71.55,70.77,71.00,2739800,68.69
2013-07-30,71.50,71.91,71.23,71.49,1927800,69.17
2013-07-29,70.62,71.48,70.59,71.22,1799400,68.91
2013-07-26,70.29,70.82,70.08,70.79,1915400,68.49
2013-07-25,70.30,70.72,70.11,70.60,1818900,68.31
2013-07-24,71.30,71.30,70.15,70.50,1419100,68.21
2013-07-23,70.82,71.44,70.67,71.31,1846500,68.99
2013-07-22,70.74,70.93,70.61,70.77,1665500,68.47
2013-07-19,71.17,71.26,70.75,70.88,2310600,68.58
2013-07-18,70.91,71.37,70.78,71.15,2394500,68.84
2013-07-17,70.88,70.93,70.30,70.71,2036300,68.41
2013-07-16,71.01,71.20,70.04,70.49,2263800,68.20
2013-07-15,70.06,71.19,70.00,71.01,2862500,68.70
2013-07-12,69.88,70.25,69.41,70.15,2061600,67.87
2013-07-11,69.00,70.03,68.93,69.90,2544100,67.63
2013-07-10,68.05,68.82,67.81,68.59,2153400,66.36
2013-07-09,67.95,68.18,67.68,68.16,2762900,65.95
2013-07-08,67.30,67.74,67.10,67.73,3097400,65.53
2013-07-05,67.48,67.58,66.50,67.27,3014600,65.09
2013-07-03,66.96,67.40,66.74,67.39,1606500,65.20
2013-07-02,66.80,67.46,66.73,67.18,5239700,65.00
2013-07-01,67.90,68.05,66.51,66.84,2681700,64.67
2013-06-28,67.44,68.02,67.11,67.50,2761600,65.31
2013-06-27,67.89,68.19,67.38,67.52,2371800,65.33
2013-06-26,66.60,67.88,66.55,67.61,3856700,65.41
2013-06-25,65.68,66.44,65.24,66.12,2636500,63.97
2013-06-24,65.19,66.00,64.95,65.46,2935900,63.33
2013-06-21,65.49,66.19,64.62,65.58,6334900,63.45
2013-06-20,66.50,66.53,65.01,65.10,4726600,62.99
2013-06-19,68.20,68.56,66.70,66.72,3312900,64.55
2013-06-18,67.73,68.32,67.09,68.23,3188700,66.01
2013-06-17,68.18,68.96,67.43,67.65,2751000,65.45
2013-06-14,67.49,68.05,67.45,67.64,2001000,65.44
2013-06-13,66.69,67.57,66.53,67.49,3312700,65.30
2013-06-12,67.63,67.79,66.42,66.59,3053000,64.43
