Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,65.07,65.83,64.88,65.79,5823000,65.79
2014-03-27,64.14,65.39,64.00,64.69,3936200,64.69
2014-03-26,64.47,64.62,63.84,64.00,3440800,64.00
2014-03-25,64.16,64.32,63.80,63.96,2780300,63.96
2014-03-24,64.41,64.68,63.78,63.91,1555200,63.91
2014-03-21,63.82,64.35,63.39,64.09,3313800,64.09
2014-03-20,62.97,63.56,62.72,63.29,2870400,63.29
2014-03-19,63.44,63.88,63.10,63.46,2667900,63.46
2014-03-18,63.02,63.64,62.97,63.49,2145500,63.49
2014-03-17,62.94,63.41,62.43,62.80,2174900,62.80
2014-03-14,62.47,62.82,62.37,62.74,3081800,62.74
2014-03-13,63.22,63.37,62.49,62.59,2182700,62.59
2014-03-12,62.91,63.29,62.53,63.08,2251900,63.08
2014-03-11,64.46,64.78,63.40,63.55,2331400,63.33
2014-03-10,65.00,65.06,63.80,64.53,3191600,64.31
2014-03-07,64.49,65.25,64.28,65.13,2935700,64.90
2014-03-06,64.54,64.75,64.07,64.52,1684700,64.30
2014-03-05,64.55,64.98,64.29,64.47,2749700,64.25
2014-03-04,64.28,64.85,63.77,64.64,3990300,64.42
2014-03-03,64.00,65.04,63.71,63.78,3815500,63.56
2014-02-28,64.34,64.75,64.08,64.42,2456900,64.20
2014-02-27,63.47,64.42,63.40,64.31,3066400,64.09
2014-02-26,63.81,64.04,63.32,63.73,3244500,63.51
2014-02-25,64.07,64.15,63.19,63.91,3764300,63.69
2014-02-24,63.90,64.91,63.90,64.37,3368500,64.15
2014-02-21,64.67,64.82,63.61,63.67,4596600,63.45
2014-02-20,64.21,64.93,64.05,64.56,3788200,64.34
2014-02-19,63.97,65.64,63.31,64.25,9710000,64.03
2014-02-18,62.35,63.37,62.13,62.91,5131700,62.69
2014-02-14,62.27,62.43,61.57,62.05,2317200,61.84
2014-02-13,60.89,62.46,60.72,62.27,3315400,62.05
2014-02-12,61.87,61.87,60.99,61.18,2341900,60.97
2014-02-11,60.78,61.80,60.56,61.54,2033000,61.33
2014-02-10,60.86,60.94,60.30,60.80,2284600,60.59
