Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,24.68,24.99,24.55,24.74,459800,24.74
2014-03-27,24.32,24.72,24.32,24.71,249600,24.71
2014-03-26,24.40,24.61,24.24,24.28,436300,24.28
2014-03-25,24.54,24.69,24.30,24.39,297500,24.39
2014-03-24,24.58,24.64,24.12,24.48,468600,24.48
2014-03-21,24.23,24.55,24.13,24.48,1230900,24.48
2014-03-20,24.01,24.26,23.87,24.19,253400,24.19
2014-03-19,24.35,24.42,23.92,23.97,267200,23.97
2014-03-18,24.37,24.49,24.17,24.35,304900,24.35
2014-03-17,24.57,24.62,24.39,24.44,292300,24.44
2014-03-14,24.02,24.64,24.02,24.38,290100,24.38
2014-03-13,24.48,24.58,24.11,24.18,470000,24.18
2014-03-12,23.94,24.45,23.94,24.39,253200,24.39
2014-03-11,24.30,24.43,23.86,24.11,465300,24.11
2014-03-10,24.01,24.37,23.94,24.25,574700,24.25
2014-03-07,24.12,24.14,23.76,23.97,465800,23.97
2014-03-06,23.76,23.91,23.50,23.86,447600,23.86
2014-03-05,23.37,23.71,23.25,23.64,806900,23.64
2014-03-04,23.35,23.77,23.35,23.49,897900,23.49
2014-03-03,23.26,23.65,22.69,23.03,407200,23.03
2014-02-28,24.79,25.25,23.07,23.39,866900,23.39
2014-02-27,23.59,24.14,22.75,22.87,794800,22.87
2014-02-26,23.10,23.36,23.01,23.32,716400,23.32
2014-02-25,22.83,23.15,22.65,22.99,417000,22.99
2014-02-24,22.69,23.19,22.57,22.77,485600,22.77
2014-02-21,22.27,23.20,21.99,22.70,426700,22.70
2014-02-20,22.01,22.48,22.01,22.44,277800,22.44
2014-02-19,21.82,22.10,21.77,21.96,420900,21.96
2014-02-18,21.29,22.08,21.29,21.92,465300,21.92
2014-02-14,21.16,21.38,20.68,21.30,238300,21.30
2014-02-13,20.49,21.31,20.45,21.12,327300,21.12
2014-02-12,20.41,20.70,20.36,20.54,385100,20.54
2014-02-11,20.06,20.72,20.00,20.41,315500,20.41
2014-02-10,20.57,20.57,19.80,20.02,301800,20.02
2014-02-07,20.73,21.16,20.63,20.65,449800,20.65
2014-02-06,20.24,20.99,20.22,20.67,712900,20.67
2014-02-05,20.33,20.35,19.90,20.16,447400,20.16
2014-02-04,20.35,20.60,20.02,20.45,469400,20.45
2014-02-03,20.23,20.42,19.84,20.30,560500,20.30
2014-01-31,20.72,21.02,20.30,20.36,313400,20.36
2014-01-30,20.65,21.30,20.44,21.12,469900,21.12
2014-01-29,20.24,21.12,20.21,20.49,1527000,20.49
2014-01-28,19.99,20.53,19.90,20.37,398300,20.37
2014-01-27,20.22,20.36,19.84,19.98,843000,19.98
2014-01-24,20.03,20.49,19.94,20.16,394400,20.16
2014-01-23,20.74,20.74,19.95,20.21,401100,20.21
2014-01-22,20.68,21.40,20.62,20.90,663900,20.90
2014-01-21,20.32,20.77,20.08,20.68,673100,20.68
2014-01-17,19.78,20.23,19.65,20.18,418300,20.18
2014-01-16,19.53,19.91,19.49,19.86,184400,19.86
2014-01-15,19.65,19.74,19.55,19.57,223300,19.57
2014-01-14,19.67,19.80,19.45,19.59,247100,19.59
2014-01-13,20.07,20.11,19.40,19.57,410300,19.57
2014-01-09,21.12,21.17,20.29,20.40,420000,20.40
2014-01-08,21.28,21.46,20.85,21.00,400200,21.00
2014-01-07,21.22,21.46,21.16,21.34,137300,21.34
2014-01-06,20.92,21.23,20.74,21.10,372200,21.10
2014-01-03,21.19,21.35,20.77,20.85,332500,20.85
2014-01-02,21.42,21.42,20.98,21.20,306500,21.20
2013-12-31,21.81,21.81,21.48,21.52,190800,21.52
2013-12-30,21.55,21.78,21.48,21.70,143200,21.70
2013-12-27,21.61,21.67,21.43,21.60,94800,21.60
2013-12-26,21.52,21.71,21.41,21.56,139200,21.56
2013-12-24,21.46,21.66,21.24,21.50,153600,21.50
2013-12-23,21.70,21.79,21.35,21.50,327300,21.50
2013-12-20,21.12,21.72,20.97,21.69,1059600,21.69
2013-12-19,21.22,21.43,21.01,21.21,194600,21.21
2013-12-18,21.20,21.33,20.81,21.20,322100,21.20
2013-12-17,21.11,21.23,20.87,21.14,323100,21.14
2013-12-16,20.65,20.98,20.42,20.85,324700,20.85
2013-12-13,20.54,20.70,20.40,20.60,253600,20.60
2013-12-12,20.39,20.59,20.37,20.48,398600,20.48
2013-12-11,20.96,20.96,20.19,20.42,375100,20.42
2013-12-10,21.60,21.60,20.83,20.87,486500,20.87
2013-12-09,21.93,21.99,21.37,21.67,439700,21.67
2013-12-06,21.81,22.08,21.80,21.93,440700,21.93
2013-12-05,21.59,22.05,21.41,21.66,338600,21.66
2013-12-04,21.18,21.57,21.17,21.55,311800,21.55
2013-12-03,20.97,21.26,20.90,21.20,448800,21.20
2013-12-02,21.37,21.44,20.96,21.05,209500,21.05
2013-11-29,21.52,21.52,21.30,21.41,195400,21.41
2013-11-27,21.45,21.50,21.18,21.40,169300,21.40
2013-11-26,21.25,21.65,21.15,21.45,393100,21.45
2013-11-25,21.38,21.59,21.10,21.34,346000,21.34
2013-11-22,21.07,21.51,20.93,21.30,709100,21.30
2013-11-21,21.29,21.55,20.92,21.01,1022900,21.01
2013-11-20,21.20,21.51,21.09,21.18,517400,21.18
2013-11-19,20.83,21.15,20.65,21.13,610000,21.13
2013-11-18,21.11,21.22,20.67,20.89,307700,20.89
2013-11-15,20.96,21.18,20.73,21.10,454300,21.10
2013-11-14,20.79,21.11,20.60,21.00,338400,21.00
2013-11-13,19.91,20.79,19.77,20.77,361600,20.77
2013-11-12,20.26,20.41,19.63,20.05,239600,20.05
2013-11-11,20.30,21.36,20.10,20.36,427300,20.36
2013-11-08,19.69,20.35,19.42,20.28,520100,20.28
2013-11-07,20.25,21.11,19.36,19.73,614000,19.73
2013-11-06,19.42,19.53,19.21,19.49,180900,19.49
2013-11-05,19.21,19.63,19.21,19.31,146400,19.31
2013-11-04,19.33,19.44,19.04,19.31,229000,19.31
2013-11-01,19.38,19.55,19.00,19.26,394400,19.26
2013-10-31,19.36,19.77,19.09,19.43,271200,19.43
2013-10-30,19.64,19.84,19.25,19.41,273600,19.41
2013-10-29,19.40,19.79,19.15,19.58,265500,19.58
2013-10-28,19.68,19.68,19.25,19.33,227700,19.33
2013-10-25,19.40,19.74,19.13,19.67,324100,19.67
2013-10-24,18.57,19.32,18.51,19.32,397500,19.32
2013-10-23,18.99,19.62,18.44,18.50,558600,18.50
2013-10-22,19.26,19.52,19.05,19.10,345300,19.10
2013-10-21,19.25,19.51,19.16,19.26,244000,19.26
2013-10-18,19.38,19.42,19.13,19.20,430000,19.20
