Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,106.36,106.98,106.08,106.23,1301900,106.23
2014-03-27,107.03,107.23,105.73,106.20,1054600,106.20
2014-03-26,108.73,108.96,107.03,107.05,1650300,107.05
2014-03-25,110.12,110.51,108.17,108.31,1685200,108.31
2014-03-24,111.02,111.49,109.54,109.84,786500,109.84
2014-03-21,110.97,111.58,109.93,110.73,1909700,110.73
2014-03-20,109.30,110.24,109.11,110.04,769600,110.04
2014-03-19,110.23,110.65,108.76,109.32,1027000,109.32
2014-03-18,110.08,110.63,110.00,110.34,673400,110.34
2014-03-17,109.16,110.89,109.16,110.02,943900,110.02
2014-03-14,109.21,110.51,108.53,108.63,1273600,108.63
2014-03-13,110.70,111.31,109.21,109.25,1438700,109.25
2014-03-12,110.56,110.97,109.91,110.62,1749700,110.62
2014-03-11,110.17,111.83,109.76,111.24,1816400,111.24
2014-03-10,109.48,110.27,109.21,110.18,747100,110.18
2014-03-07,109.93,110.25,109.55,109.84,1016300,109.84
2014-03-06,109.44,110.35,109.28,109.86,730000,109.59
2014-03-05,110.00,110.00,109.06,109.38,1125100,109.11
2014-03-04,108.99,109.96,108.35,109.66,1617500,109.39
2014-03-03,106.20,108.19,106.20,107.98,1401800,107.71
2014-02-28,106.61,108.20,106.47,107.75,1331400,107.48
2014-02-27,105.00,106.78,104.87,106.65,953600,106.38
2014-02-26,104.81,106.19,104.58,105.43,1201600,105.17
2014-02-25,102.14,105.04,102.14,104.58,1576100,104.32
2014-02-24,101.89,102.72,101.35,102.39,1339600,102.13
2014-02-21,102.30,105.00,101.35,102.19,1998400,101.93
2014-02-20,102.06,102.18,101.01,101.87,1523700,101.62
2014-02-19,103.03,104.15,101.94,101.97,927100,101.71
2014-02-18,103.39,103.69,103.01,103.08,762100,102.82
2014-02-14,102.30,103.28,102.13,103.15,582700,102.89
2014-02-13,100.68,102.77,100.55,102.30,743700,102.04
2014-02-12,101.35,101.76,101.03,101.14,788700,100.89
2014-02-11,100.62,101.68,100.30,101.41,942000,101.16
2014-02-10,99.95,100.85,99.13,100.62,1040700,100.37
2014-02-07,100.39,100.66,99.81,100.13,1368600,99.88
2014-02-06,99.09,99.94,98.51,99.89,1117200,99.64
2014-02-05,98.38,99.36,97.65,99.16,943800,98.91
2014-02-04,98.95,99.09,97.89,98.70,1280100,98.45
2014-02-03,100.29,101.27,97.87,98.03,1580100,97.78
2014-01-31,99.46,101.02,99.23,100.54,1154000,100.29
2014-01-30,100.71,101.60,100.10,100.83,1238700,100.58
2014-01-29,99.36,100.84,99.25,100.23,2023300,99.98
2014-01-28,99.00,100.07,99.00,99.85,936700,99.60
2014-01-27,99.31,99.44,97.94,98.76,1255800,98.51
2014-01-24,101.13,101.40,99.28,99.35,1971400,99.10
2014-01-23,102.78,103.00,101.46,101.94,1180600,101.68
2014-01-22,104.25,104.25,103.40,103.69,814200,103.43
2014-01-21,104.55,104.68,102.85,103.90,875300,103.64
2014-01-17,104.65,104.69,103.93,104.15,884100,103.89
2014-01-16,103.65,104.65,103.62,104.45,793900,104.19
2014-01-15,104.27,104.47,103.11,103.62,1080000,103.36
2014-01-14,103.31,104.37,102.62,104.33,1146600,104.07
2014-01-13,104.91,105.28,102.90,103.10,979400,102.84
2014-01-09,105.00,105.08,103.89,105.00,1092600,104.74
2014-01-08,103.15,104.51,102.81,104.14,1208200,103.88
2014-01-07,102.48,103.84,102.35,103.33,1001700,103.07
2014-01-06,101.41,102.68,101.22,102.28,1657500,102.02
2014-01-03,104.10,104.28,103.78,103.92,554500,103.66
2014-01-02,103.58,104.42,103.41,103.79,814900,103.53
2013-12-31,104.29,104.44,103.87,104.27,898800,104.01
2013-12-30,104.37,104.54,103.95,104.11,792600,103.85
2013-12-27,105.09,105.30,104.33,104.47,502300,104.21
2013-12-26,105.03,105.07,104.35,104.70,687000,104.44
2013-12-24,104.13,104.97,103.84,104.93,369700,104.67
2013-12-23,105.05,105.05,103.86,104.28,871000,104.02
2013-12-20,102.65,104.56,102.55,104.24,1598300,103.98
2013-12-19,103.68,104.00,102.81,102.95,922900,102.69
2013-12-18,102.39,104.11,101.70,104.08,1090100,103.82
2013-12-17,102.68,102.69,101.38,102.06,1565000,101.80
2013-12-16,102.84,102.97,101.99,102.10,1235500,101.84
2013-12-13,102.89,103.30,102.44,102.58,822400,102.32
2013-12-12,103.22,103.56,102.75,102.84,1143900,102.31
2013-12-11,105.02,105.25,103.23,103.24,1115900,102.71
2013-12-10,105.23,106.05,104.90,105.05,1078500,104.51
2013-12-09,106.33,106.34,105.15,105.76,1247500,105.21
2013-12-06,104.30,105.73,103.92,105.69,1500300,105.14
2013-12-05,103.23,103.68,102.63,103.05,1213400,102.52
2013-12-04,103.34,103.98,102.55,103.41,1217800,102.88
2013-12-03,105.26,105.79,103.21,103.65,1589500,103.11
2013-12-02,106.90,106.98,105.65,105.75,956500,105.20
2013-11-29,107.16,107.77,106.86,107.17,417900,106.62
2013-11-27,107.94,107.94,106.81,106.96,772200,106.41
2013-11-26,106.72,108.14,106.30,107.99,1711100,107.43
2013-11-25,107.49,107.89,105.97,106.48,806900,105.93
2013-11-22,107.47,107.55,106.75,107.46,576200,106.90
2013-11-21,107.12,107.76,106.56,107.42,673700,106.86
2013-11-20,106.73,107.16,106.20,106.59,494700,106.04
2013-11-19,106.70,107.20,106.21,106.58,719900,106.03
2013-11-18,107.82,107.89,106.71,107.07,713100,106.52
2013-11-15,107.33,107.86,106.97,107.61,1195100,107.05
2013-11-14,106.72,107.24,106.15,107.03,707800,106.48
2013-11-13,106.00,106.33,104.69,106.29,754200,105.74
2013-11-12,105.81,106.49,105.06,106.43,689200,105.88
2013-11-11,106.49,106.57,105.78,105.99,491400,105.44
2013-11-08,104.81,106.59,104.53,106.56,723100,106.01
2013-11-07,106.39,106.73,104.53,104.62,642600,104.08
2013-11-06,105.92,106.98,105.58,106.39,550300,105.84
2013-11-05,105.46,105.98,104.84,105.32,758000,104.78
2013-11-04,106.22,106.60,105.65,105.96,602200,105.41
2013-11-01,106.20,107.13,105.15,105.69,1060300,105.14
2013-10-31,106.37,107.21,105.82,106.00,1100000,105.45
