Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,54.35,55.44,54.31,55.29,3619900,55.29
2014-03-27,53.46,54.13,53.02,53.89,2362500,53.89
2014-03-26,54.39,54.52,53.78,53.81,1935800,53.46
2014-03-25,54.44,54.52,53.68,54.36,1966700,54.00
2014-03-24,53.76,54.43,53.76,54.29,4961800,53.93
2014-03-21,52.21,54.35,51.90,53.87,5739700,53.51
2014-03-20,51.68,52.04,51.14,52.02,1866000,51.68
2014-03-19,51.46,53.03,51.46,51.78,2526700,51.44
2014-03-18,52.50,52.70,52.32,52.62,1527600,52.27
2014-03-17,52.10,52.46,51.85,52.40,1963400,52.05
2014-03-14,51.92,52.49,51.65,52.06,2746700,51.72
2014-03-13,51.38,51.97,51.38,51.77,3429300,51.43
2014-03-12,50.94,51.70,50.75,51.70,1994800,51.36
2014-03-11,51.11,51.30,50.55,50.76,2421400,50.43
2014-03-10,51.31,51.40,50.95,51.18,1625800,50.84
2014-03-07,50.98,51.42,50.80,51.42,1640900,51.08
2014-03-06,51.66,51.85,50.90,51.17,2036200,50.83
2014-03-05,52.18,52.21,51.47,51.55,1603700,51.21
2014-03-04,52.34,52.48,52.09,52.21,1671800,51.87
2014-03-03,52.20,52.43,51.88,51.90,1530800,51.56
2014-02-28,52.12,52.80,52.10,52.37,1978600,52.02
2014-02-27,52.00,52.14,51.42,52.07,3183000,51.73
2014-02-26,51.69,52.66,51.69,52.00,2975100,51.66
2014-02-25,51.57,52.00,50.90,51.24,2656900,50.90
2014-02-24,51.30,52.07,51.24,51.50,2824700,51.16
2014-02-21,51.25,51.76,51.11,51.36,2131700,51.02
2014-02-20,50.80,51.36,50.57,51.22,1135500,50.88
2014-02-19,50.89,51.29,50.54,50.70,1826700,50.37
2014-02-18,50.47,51.09,50.42,50.98,1556800,50.64
2014-02-14,50.17,50.56,49.97,50.54,1260700,50.21
2014-02-13,49.25,50.22,49.22,50.19,1736200,49.86
2014-02-12,49.27,49.78,49.18,49.63,1455400,49.30
2014-02-11,48.84,49.60,48.63,49.44,1332500,49.11
2014-02-10,48.50,48.92,48.11,48.80,1667200,48.48
2014-02-07,48.68,48.82,48.38,48.71,1630800,48.39
2014-02-06,47.98,48.74,47.79,48.67,1624200,48.35
2014-02-05,47.67,48.07,47.27,47.96,1925000,47.64
2014-02-04,48.42,48.53,47.21,47.91,2630900,47.59
2014-02-03,48.39,49.14,48.10,48.19,2886900,47.87
2014-01-31,47.52,48.42,47.29,48.16,1768400,47.84
2014-01-30,47.15,48.08,47.15,47.95,1320200,47.63
2014-01-29,47.30,47.55,47.07,47.12,1653600,46.81
2014-01-28,47.25,47.60,47.04,47.40,1544300,47.09
2014-01-27,47.00,47.58,46.87,47.19,2498600,46.88
