Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,67.26,67.45,66.37,66.73,2862500,66.73
2014-03-27,67.23,67.91,67.00,67.23,2433300,67.23
2014-03-26,67.60,67.77,67.19,67.23,3309800,67.23
2014-03-25,67.39,67.72,66.84,67.37,2849400,67.37
2014-03-24,68.57,68.88,67.09,67.30,2707100,67.30
2014-03-21,69.46,69.64,68.28,68.37,3027900,68.37
2014-03-20,69.54,69.54,68.84,69.12,1441400,69.12
2014-03-19,70.02,70.23,69.21,69.69,1628500,69.69
2014-03-18,70.03,70.61,69.97,70.12,1237200,70.12
2014-03-17,69.69,70.42,69.65,69.95,1902400,69.95
2014-03-14,69.75,69.88,68.92,69.30,2462300,69.30
2014-03-13,70.26,70.44,69.58,69.78,2149700,69.78
2014-03-12,69.62,70.37,69.60,70.20,1680600,70.20
2014-03-11,70.20,70.47,69.68,70.11,2205800,70.11
2014-03-10,69.80,70.20,69.44,70.20,1464400,70.20
2014-03-07,69.41,70.25,69.15,70.02,1901200,70.02
2014-03-06,69.29,69.58,68.99,69.04,1271900,69.04
2014-03-05,69.53,69.60,69.00,69.27,3033900,69.27
2014-03-04,69.70,70.62,69.09,69.73,1601300,69.73
2014-03-03,68.46,68.74,68.06,68.56,1632800,68.56
2014-02-28,67.82,69.50,67.73,68.84,3054400,68.84
2014-02-27,67.53,68.01,67.35,67.60,1989600,67.60
2014-02-26,68.26,68.72,67.86,67.98,2464300,67.98
2014-02-25,68.07,68.14,67.15,67.48,3757700,67.28
2014-02-24,67.61,68.48,67.49,67.90,1373300,67.70
2014-02-21,67.85,68.50,67.59,67.65,1397400,67.45
2014-02-20,67.62,68.10,67.40,67.86,1867100,67.66
2014-02-19,67.70,68.23,67.36,67.39,1843300,67.19
2014-02-18,68.00,68.38,67.57,68.08,1722300,67.88
2014-02-14,67.44,68.28,67.42,67.98,2629000,67.78
2014-02-13,66.70,67.64,66.48,67.54,2955000,67.34
2014-02-12,67.26,67.47,66.47,66.88,3256600,66.68
2014-02-11,66.28,67.14,66.10,66.78,3681600,66.58
2014-02-10,66.50,66.90,66.13,66.39,6060800,66.19
2014-02-07,66.51,66.92,65.79,66.50,3536100,66.30
2014-02-06,67.07,67.20,66.23,66.80,5119800,66.60
