Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,84.59,85.70,84.43,85.60,735300,85.60
2014-03-27,84.35,84.86,83.65,84.39,1339500,84.39
2014-03-26,86.00,86.21,84.30,84.31,1015200,84.31
2014-03-25,85.62,86.30,85.08,85.81,866700,85.81
2014-03-24,86.17,86.77,84.97,85.29,957600,85.29
2014-03-21,86.11,86.85,85.45,86.08,2384000,86.08
2014-03-20,84.34,85.56,84.31,85.50,997900,85.50
2014-03-19,84.97,85.69,84.06,84.53,1272100,84.53
2014-03-18,84.66,85.22,84.58,84.91,854400,84.91
2014-03-17,84.41,85.00,83.92,84.57,1171000,84.57
2014-03-14,84.42,85.20,83.56,83.70,1784500,83.70
2014-03-13,85.62,86.18,84.02,84.45,1864400,84.45
2014-03-12,85.73,86.00,85.01,85.41,1957600,85.41
2014-03-11,87.56,87.56,86.28,86.49,1959100,86.14
2014-03-10,87.37,88.05,86.41,87.32,1505600,86.97
2014-03-07,88.19,88.31,87.00,87.54,1434600,87.19
2014-03-06,87.79,88.90,87.70,87.97,1312600,87.61
2014-03-05,87.59,87.79,86.90,87.33,1276800,86.98
2014-03-04,88.22,88.28,87.49,87.54,1499300,87.19
2014-03-03,86.54,87.88,86.37,87.16,1676100,86.81
2014-02-28,87.05,88.14,86.68,87.43,1746600,87.08
2014-02-27,85.60,86.83,85.60,86.81,1816500,86.46
2014-02-26,85.76,86.50,85.31,85.90,1775400,85.55
2014-02-25,84.03,86.14,83.97,85.78,2156600,85.43
2014-02-24,84.22,85.11,83.86,84.09,1708200,83.75
2014-02-21,83.90,84.69,83.38,84.34,1984800,84.00
2014-02-20,82.09,82.86,81.00,82.81,1280300,82.47
2014-02-19,82.83,83.38,81.95,82.05,1583800,81.72
2014-02-18,83.15,83.16,82.31,82.82,1170300,82.48
2014-02-14,82.24,83.00,81.49,82.84,859300,82.50
2014-02-13,81.32,83.10,81.00,82.48,1845900,82.15
2014-02-12,79.90,81.87,79.85,81.65,1730600,81.32
2014-02-11,80.00,80.49,79.51,79.81,1718700,79.49
2014-02-10,79.07,80.33,78.96,80.16,1599300,79.84
2014-02-07,78.55,79.30,78.21,79.16,1470300,78.84
2014-02-06,77.86,78.69,77.58,78.12,1609200,77.80
2014-02-05,76.81,78.09,76.04,77.82,2165200,77.51
2014-02-04,76.58,77.37,75.63,77.00,1762900,76.69
2014-02-03,78.11,78.55,76.03,76.11,2073400,75.80
2014-01-31,77.20,79.76,76.25,77.96,3489200,77.64
2014-01-30,75.07,76.22,74.62,75.97,2259200,75.66
2014-01-29,74.91,76.07,74.49,74.69,1933300,74.39
2014-01-28,74.50,75.63,74.30,75.22,1986500,74.92
2014-01-27,74.70,75.17,73.00,74.38,2386800,74.08
2014-01-24,75.34,75.82,74.52,74.63,2957500,74.33
2014-01-23,77.02,77.02,74.83,76.20,3160100,75.89
2014-01-22,79.65,79.75,77.18,77.85,3149400,77.53
2014-01-21,80.65,81.25,79.48,79.64,2314800,79.32
2014-01-17,79.65,80.39,79.20,79.88,1024000,79.56
2014-01-16,79.73,80.29,79.46,79.83,813800,79.51
2014-01-15,79.36,80.18,79.32,79.81,1381900,79.49
2014-01-14,78.32,79.53,78.32,79.29,1080800,78.97
2014-01-13,79.11,79.57,77.99,78.17,1070500,77.85
2014-01-09,79.49,79.99,78.95,79.30,1045300,78.98
2014-01-08,79.13,79.48,78.16,79.20,1776600,78.88
2014-01-07,79.74,79.97,79.22,79.45,1442700,79.13
2014-01-06,80.76,80.94,79.22,79.76,1291200,79.44
2014-01-03,80.46,80.94,80.12,80.17,941700,79.85
2014-01-02,80.31,80.53,79.88,80.28,1612900,79.96
2013-12-31,79.88,80.84,79.84,80.70,2192500,80.37
2013-12-30,78.99,79.93,78.88,79.90,1547900,79.58
2013-12-27,79.00,79.44,78.87,79.06,839200,78.74
2013-12-26,78.30,79.03,78.30,78.97,1650100,78.65
2013-12-24,77.01,78.24,77.01,78.22,1063600,77.90
2013-12-23,76.50,77.15,76.11,77.05,1611800,76.74
2013-12-20,75.40,76.63,75.24,75.93,3920200,75.62
2013-12-19,74.57,75.43,74.37,75.01,2837400,74.71
2013-12-18,74.07,74.83,73.25,74.64,2012100,74.34
2013-12-17,73.75,74.27,73.30,74.03,3408600,73.73
2013-12-16,73.26,74.02,73.21,73.43,1784300,73.13
2013-12-13,74.54,74.54,72.62,72.67,2751300,72.38
2013-12-12,74.10,74.54,73.80,73.86,1930900,73.56
2013-12-11,75.50,75.50,74.44,74.55,1659800,73.90
2013-12-10,75.24,75.76,75.02,75.31,1476400,74.65
2013-12-09,76.22,76.24,75.14,75.36,1455300,74.70
2013-12-06,75.50,76.56,75.11,76.21,1321100,75.55
2013-12-05,74.30,75.18,74.13,74.31,1351000,73.66
2013-12-04,74.79,75.41,74.13,74.58,1384600,73.93
