Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,194.47,198.82,194.11,197.16,2025500,197.16
2014-03-27,192.29,195.40,192.02,193.46,1764100,193.46
2014-03-26,192.55,195.32,191.90,192.12,2058600,192.12
2014-03-25,191.18,192.97,190.90,191.57,1908200,191.57
2014-03-24,192.25,192.97,188.46,189.60,1730800,189.60
2014-03-21,191.91,193.16,189.38,191.64,2665900,191.64
2014-03-20,187.62,190.56,186.07,190.33,2011200,190.33
2014-03-19,189.35,189.44,186.03,187.53,1582500,187.53
2014-03-18,187.40,190.52,187.18,189.16,1583000,189.16
2014-03-17,186.60,188.00,186.00,187.23,1361200,187.23
2014-03-14,182.97,186.21,182.90,185.97,1589200,185.97
2014-03-13,186.25,186.65,181.77,182.91,1881900,182.91
2014-03-12,183.60,186.43,181.66,185.13,2043800,185.13
2014-03-11,189.84,190.17,185.32,185.60,2051600,185.60
2014-03-10,189.92,189.92,187.12,189.05,1379600,189.05
2014-03-07,191.52,191.95,188.20,189.92,1958600,189.92
2014-03-06,190.72,192.21,189.33,191.06,1725300,191.06
2014-03-05,192.04,193.22,190.05,190.49,1950400,190.49
2014-03-04,190.47,192.92,190.33,191.56,2132700,191.56
2014-03-03,189.05,192.00,188.62,189.29,2804200,189.29
2014-02-28,187.72,191.08,187.11,189.42,2538200,189.42
2014-02-27,186.41,187.65,184.49,187.47,1889800,187.47
2014-02-26,183.61,188.41,182.88,186.44,3607200,186.44
2014-02-25,182.85,185.13,179.25,184.00,3730600,184.00
2014-02-24,178.43,181.62,177.03,180.40,3526600,180.40
2014-02-21,180.47,180.97,177.94,178.00,2705400,178.00
2014-02-20,179.04,182.06,178.15,180.03,2256000,180.03
2014-02-19,179.05,181.61,178.40,178.86,1917500,178.86
2014-02-18,178.12,180.26,178.01,179.92,1827300,179.92
2014-02-14,175.71,177.25,174.89,176.96,1168800,176.96
2014-02-13,173.58,176.75,172.60,175.47,1716300,175.47
2014-02-12,175.75,176.90,174.49,175.11,1292500,175.11
2014-02-11,174.30,176.21,173.56,174.73,1649400,174.73
2014-02-10,176.76,176.76,173.07,174.20,1769100,174.20
2014-02-07,174.77,176.88,173.14,176.50,2085300,176.50
2014-02-06,167.69,173.79,167.69,173.25,2571100,173.25
2014-02-05,168.10,169.70,166.77,167.49,2146500,167.49
2014-02-04,162.67,168.99,162.50,168.58,3288400,168.58
2014-02-03,164.61,166.86,161.50,161.74,2264400,161.74
2014-01-31,164.67,167.60,163.18,165.24,1319800,165.24
2014-01-30,165.10,167.50,164.65,166.13,1131500,166.13
2014-01-29,165.92,166.16,163.54,164.65,1640200,164.65
2014-01-28,163.38,167.50,162.29,167.22,1646300,167.22
2014-01-27,165.17,165.49,161.26,162.10,1903000,162.10
2014-01-24,168.05,169.04,165.12,165.53,2822700,165.53
2014-01-23,169.78,171.74,168.23,169.17,2241400,169.17
2014-01-22,170.20,172.30,169.25,171.72,1794300,171.72
2014-01-21,169.16,170.55,168.14,169.23,1597500,169.23
2014-01-17,170.96,171.88,168.92,168.96,1662900,168.96
2014-01-16,170.10,171.17,168.70,170.10,1671200,170.10
2014-01-15,169.46,173.28,169.40,170.36,2044400,170.36
2014-01-09,167.41,168.89,165.48,167.00,1769700,166.81
2014-01-08,166.02,167.83,165.05,166.78,1428900,166.59
2014-01-07,165.07,166.91,163.71,166.85,1643400,166.66
2014-01-06,164.77,165.33,162.34,164.02,1824600,163.84
2014-01-03,165.75,166.65,163.81,164.56,1346900,164.37
2014-01-02,166.57,167.96,164.06,165.02,1471700,164.83
2013-12-31,167.34,168.85,166.47,167.84,1054900,167.65
2013-12-30,168.95,170.50,166.20,167.35,1405700,167.16
2013-12-27,168.14,169.48,167.68,169.16,842600,168.97
2013-12-26,168.46,169.54,167.67,168.02,886100,167.83
2013-12-24,167.82,168.27,166.23,168.26,489100,168.07
2013-12-23,169.26,169.84,166.83,167.62,1514000,167.43
2013-12-20,166.12,169.32,165.45,168.52,3132900,168.33
2013-12-19,161.67,165.91,161.18,165.33,2536800,165.14
2013-12-18,159.64,162.38,158.33,162.00,2982700,161.82
2013-12-17,160.52,160.52,157.51,159.65,1735900,159.47
2013-12-16,159.34,161.97,159.34,159.74,2060100,159.56
2013-12-13,157.67,159.35,156.49,159.02,2244300,158.84
2013-12-12,156.43,159.32,156.24,158.36,1906500,158.18
2013-12-11,158.85,159.14,156.01,156.26,2120000,156.08
2013-12-10,158.43,161.94,158.14,159.31,2277200,159.13
2013-12-09,160.92,161.25,156.31,158.14,4273700,157.96
2013-12-06,166.95,167.10,159.89,160.04,3671600,159.86
2013-12-05,165.34,167.74,164.16,165.38,2236900,165.19
2013-12-04,165.60,169.11,165.50,167.13,1875700,166.94
2013-12-03,164.45,166.73,161.82,165.48,2081900,165.29
2013-12-02,166.00,166.55,163.13,165.00,1517200,164.81
2013-11-29,166.50,167.11,164.19,165.00,1124200,164.81
2013-11-27,168.93,169.69,165.52,166.43,1680100,166.24
2013-11-26,169.35,171.48,167.70,169.20,1590200,169.01
2013-11-25,169.32,169.37,165.67,169.19,1888900,169.00
2013-11-22,170.20,170.41,167.35,170.15,1268300,169.96
2013-11-21,168.12,169.96,167.80,169.31,1539600,169.12
2013-11-20,168.85,169.76,166.21,166.92,1505300,166.73
2013-11-19,168.12,169.47,165.65,167.89,1557700,167.70
2013-11-18,171.50,172.20,167.47,168.52,1516000,168.33
2013-11-15,170.28,172.14,167.88,171.38,2161200,171.19
2013-11-14,169.49,170.08,167.95,169.67,1845300,169.48
