Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,57.33,57.74,57.13,57.39,1039200,57.39
2014-03-27,57.05,57.35,56.68,57.19,1135200,57.19
2014-03-26,57.88,57.98,57.13,57.13,1562600,57.13
2014-03-25,57.11,57.95,57.11,57.83,1382200,57.83
2014-03-24,57.35,57.37,56.56,56.89,1772100,56.89
2014-03-21,57.40,57.80,57.10,57.19,1971600,57.19
2014-03-20,56.77,57.22,56.51,57.22,1519400,57.22
2014-03-19,58.32,58.72,57.11,57.28,1848100,56.78
2014-03-18,58.33,58.48,58.04,58.41,890300,57.90
2014-03-17,58.32,58.68,58.10,58.37,920800,57.86
2014-03-14,57.90,58.57,57.90,58.07,1233900,57.56
2014-03-13,58.62,58.79,57.82,57.90,1938700,57.39
2014-03-12,57.92,58.63,57.89,58.63,1625400,58.12
2014-03-11,57.74,58.20,57.69,58.07,1227600,57.56
2014-03-10,58.22,58.29,57.50,57.73,1643200,57.23
2014-03-07,58.17,58.34,57.52,58.25,1842800,57.74
2014-03-06,58.72,58.74,58.15,58.36,2023400,57.85
2014-03-05,59.35,59.40,58.48,58.75,2074300,58.24
2014-03-04,59.11,59.41,58.89,59.40,2001500,58.88
2014-03-03,58.36,58.81,58.20,58.52,1969500,58.01
2014-02-28,58.37,58.71,58.14,58.47,2544900,57.96
2014-02-27,58.55,58.81,58.00,58.36,1184200,57.85
2014-02-26,59.06,59.06,58.43,58.57,1551100,58.06
2014-02-25,58.69,59.09,58.42,58.79,1594800,58.28
2014-02-24,58.81,59.15,58.55,58.55,2066800,58.04
2014-02-21,58.69,59.01,58.34,58.71,1424300,58.20
2014-02-20,58.52,58.83,58.00,58.73,2025000,58.22
2014-02-19,58.85,59.34,58.36,58.49,2621600,57.98
2014-02-18,58.50,59.02,58.47,59.00,2255500,58.48
2014-02-14,58.32,58.74,58.20,58.58,1835700,58.07
2014-02-13,57.96,58.86,57.86,58.30,3557200,57.79
2014-02-12,58.04,58.21,57.82,58.21,2510700,57.70
2014-02-11,57.46,58.29,57.38,58.03,1986000,57.52
2014-02-10,56.90,57.68,56.77,57.60,2247100,57.10
2014-02-07,56.80,57.14,56.56,56.87,2175700,56.37
2014-02-06,55.67,56.52,55.65,56.48,3199000,55.99
2014-02-05,54.99,55.95,54.56,55.78,3253900,55.29
2014-02-04,55.02,55.50,54.75,55.38,3303500,54.90
2014-02-03,55.23,55.25,54.61,54.80,3092100,54.32
2014-01-31,54.68,55.61,54.52,55.38,3483600,54.90
2014-01-30,54.20,55.25,54.00,55.14,2690400,54.66
2014-01-29,53.61,54.15,53.46,53.95,3138300,53.48
2014-01-28,53.32,53.95,53.30,53.86,2243300,53.39
2014-01-27,53.57,54.07,53.20,53.36,4027300,52.89
2014-01-24,54.74,54.74,53.49,53.70,2667000,53.23
2014-01-23,53.71,53.83,53.48,53.77,2306300,53.30
2014-01-22,54.44,54.86,53.95,53.98,2342800,53.51
2014-01-21,54.13,54.56,53.94,54.42,2155800,53.94
2014-01-17,53.94,54.07,53.62,53.84,1794100,53.37
2014-01-16,53.88,54.09,53.69,53.89,1680100,53.42
2014-01-15,53.76,53.94,53.60,53.78,1926000,53.31
2014-01-14,53.33,53.81,53.25,53.49,1816200,53.02
2014-01-13,53.32,53.63,53.11,53.22,1917400,52.76
2014-01-09,53.61,53.69,53.02,53.44,2154100,52.97
2014-01-08,52.80,53.41,52.71,53.41,2038800,52.94
2014-01-07,52.96,53.17,52.77,52.93,1180200,52.47
2014-01-06,52.54,53.19,52.43,52.84,1562000,52.38
2014-01-03,52.07,52.61,51.91,52.43,1300200,51.97
2014-01-02,51.74,52.31,51.55,51.99,1520600,51.54
2013-12-31,52.02,52.31,51.72,51.87,1676400,51.42
2013-12-30,51.82,52.24,51.76,52.06,1265600,51.61
2013-12-27,51.78,51.97,51.47,51.84,1290300,51.39
2013-12-26,51.79,52.02,51.57,51.76,1750700,51.31
2013-12-24,51.25,51.66,51.20,51.51,869200,51.06
2013-12-23,52.05,52.31,51.63,51.85,1706100,50.75
2013-12-20,51.79,52.12,51.64,51.96,2570600,50.86
2013-12-19,52.47,52.64,51.61,52.04,1641600,50.94
2013-12-18,51.70,52.51,50.89,52.50,2711500,51.39
2013-12-17,51.75,51.89,51.34,51.62,1949100,50.53
2013-12-16,52.28,52.39,51.89,51.91,1785000,50.81
2013-12-13,52.50,52.72,51.88,52.21,2020800,51.11
2013-12-12,52.99,53.50,52.44,52.45,2765200,51.34
2013-12-11,53.89,53.98,53.05,53.14,3287200,52.02
2013-12-10,53.47,54.05,53.27,54.00,3630700,52.86
2013-12-09,52.99,53.51,52.99,53.48,1856200,52.35
2013-12-06,52.96,53.32,52.57,53.16,1860800,52.04
2013-12-05,52.93,53.09,52.25,52.62,1904900,51.51
2013-12-04,51.57,53.83,51.44,52.93,6087300,51.81
2013-12-03,51.44,52.20,51.35,52.01,2433500,50.91
2013-12-02,51.30,51.84,51.22,51.66,3862500,50.57
2013-11-29,52.17,52.17,51.23,51.54,1665800,50.45
2013-11-27,50.98,52.10,50.91,52.01,3602800,50.91
2013-11-26,50.63,50.94,50.08,50.89,2490300,49.81
2013-11-25,51.20,51.20,50.30,50.60,1440600,49.53
2013-11-22,50.99,51.01,50.64,50.83,2070100,49.75
2013-11-21,50.66,50.99,50.47,50.83,1097000,49.75
2013-11-20,51.03,51.55,50.43,50.64,1005700,49.57
2013-11-19,51.09,51.21,50.75,51.05,1316000,49.97
2013-11-18,51.59,51.73,50.80,51.22,1691300,50.14
2013-11-15,51.97,52.17,51.17,51.38,1609600,50.29
2013-11-14,51.98,52.44,51.74,52.07,1442100,50.97
2013-11-13,51.19,51.56,50.93,51.55,1895700,50.46
2013-11-12,51.44,51.61,50.88,51.29,1265200,50.20
2013-11-11,51.69,52.01,51.55,51.65,1252800,50.56
2013-11-08,52.20,52.37,50.98,51.70,1694400,50.61
2013-11-07,52.72,52.81,52.32,52.45,1687500,51.34
2013-11-06,52.63,53.01,52.58,52.66,1190100,51.55
2013-11-05,53.23,53.39,52.47,52.56,1300700,51.45
2013-11-04,52.92,53.39,52.81,53.37,1733800,52.24
2013-11-01,52.45,52.96,52.33,52.90,2133700,51.78
2013-10-31,53.60,53.87,51.76,52.36,2930200,51.25
2013-10-30,53.85,54.11,52.94,53.15,2162000,52.03
2013-10-29,54.37,54.45,53.47,53.85,1538400,52.71
2013-10-28,55.00,55.07,53.75,54.37,1684000,53.22
2013-10-25,53.81,55.06,53.61,54.91,2405700,53.75
2013-10-24,55.41,55.41,53.61,53.82,3471400,52.68
2013-10-23,55.41,55.67,54.95,55.55,1517900,54.37
2013-10-22,55.23,55.93,55.09,55.47,2067800,54.30
2013-10-21,55.12,55.28,54.71,55.05,1442300,53.89
2013-10-18,56.02,56.06,55.04,55.21,1483900,54.04
2013-10-17,54.94,55.71,54.51,55.60,1473600,54.42
2013-10-16,53.92,54.82,53.74,54.77,1554500,53.61
2013-10-15,53.34,53.99,53.22,53.62,1256700,52.49
2013-10-14,53.39,53.78,53.23,53.63,1259000,52.50
2013-10-11,53.54,53.74,53.01,53.72,1265500,52.58
2013-10-10,52.55,53.56,52.34,53.54,1802400,52.41
2013-10-09,52.19,52.78,52.14,52.22,1095700,51.12
2013-10-08,52.91,52.97,52.13,52.18,1333200,51.08
2013-10-07,52.22,53.18,52.19,53.00,1346200,51.88
2013-10-04,52.80,53.12,52.18,52.63,1448800,51.52
2013-10-03,53.97,54.18,52.63,52.86,2069200,51.74
