Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,52.82,53.40,52.25,52.89,2078100,52.89
2014-03-27,52.07,52.99,52.06,52.57,2687800,52.57
2014-03-26,51.92,52.64,51.92,52.06,3117400,52.06
2014-03-25,51.09,51.86,50.51,51.82,3227900,51.82
2014-03-24,51.25,51.44,50.50,50.75,2328100,50.75
2014-03-21,50.75,51.45,50.70,50.99,4243700,50.99
2014-03-20,49.67,50.71,49.42,50.32,3010400,50.32
2014-03-19,49.18,49.99,49.08,49.62,2775700,49.62
2014-03-18,48.42,49.09,48.27,48.97,2781300,48.97
2014-03-17,48.47,48.74,47.85,48.14,3566800,48.14
2014-03-14,48.83,49.11,48.29,48.35,3242900,48.35
2014-03-13,50.40,50.54,48.62,48.86,5111200,48.86
2014-03-12,50.70,51.00,49.85,50.32,3011700,50.32
2014-03-11,51.75,52.03,50.84,50.98,2094900,50.98
2014-03-10,51.87,51.93,51.02,51.46,2063600,51.46
2014-03-07,52.21,52.44,51.40,51.94,2128400,51.94
2014-03-06,52.14,52.43,51.70,51.94,2280600,51.94
2014-03-05,52.34,52.80,52.11,52.72,2186100,51.97
2014-03-04,52.83,52.83,52.17,52.36,1516500,51.62
2014-03-03,52.65,53.20,52.01,52.16,2434100,51.42
2014-02-28,52.88,53.07,52.36,52.66,2421600,51.91
2014-02-27,52.83,52.99,52.00,52.61,1870900,51.86
2014-02-26,53.33,53.46,52.40,52.81,2076800,52.06
2014-02-25,53.34,53.46,52.38,53.35,2804300,52.59
2014-02-24,52.76,53.86,52.76,53.29,3379200,52.53
2014-02-21,52.16,52.69,52.06,52.42,2764700,51.67
2014-02-20,51.08,52.51,51.00,51.94,3748600,51.20
2014-02-19,51.20,52.11,51.20,51.68,3015400,50.94
2014-02-18,51.76,51.91,50.03,51.30,2425000,50.57
2014-02-14,51.46,51.64,50.72,51.24,2285600,50.51
2014-02-13,50.85,51.60,50.42,51.46,1882500,50.73
2014-02-12,52.22,52.25,50.95,51.09,2307100,50.36
2014-02-11,50.74,52.04,50.65,51.92,3243300,51.18
2014-02-10,50.41,51.00,50.20,50.52,2381500,49.80
2014-02-07,50.44,50.72,50.09,50.45,2958700,49.73
2014-02-06,48.69,50.30,48.68,50.09,3125600,49.38
2014-02-05,49.26,49.40,48.25,48.58,2709200,47.89
2014-02-04,49.36,49.94,49.08,49.40,2289000,48.70
2014-02-03,50.07,50.20,49.00,49.14,3061800,48.44
2014-01-31,50.34,50.51,49.65,50.37,2599600,49.65
2014-01-30,50.95,50.97,50.21,50.67,2116500,49.95
2014-01-29,50.96,50.98,50.15,50.52,2945300,49.80
2014-01-28,51.65,52.00,50.82,51.43,2891000,50.70
2014-01-27,51.45,52.05,50.83,51.65,2600200,50.92
2014-01-24,52.47,52.57,50.82,51.34,4890900,50.61
2014-01-23,54.45,54.55,52.25,52.61,5468400,51.86
2014-01-22,55.06,55.18,54.35,55.01,2315900,54.23
2014-01-21,55.04,55.58,54.51,54.97,2351100,54.19
2014-01-17,54.83,55.16,54.54,54.60,2061400,53.82
2014-01-16,55.39,55.39,54.09,54.84,3333100,54.06
2014-01-15,55.95,56.18,55.54,55.62,2196400,54.83
2014-01-14,55.71,55.94,55.30,55.90,2154100,55.10
2014-01-09,56.47,56.76,56.15,56.68,1718200,55.87
2014-01-08,57.29,57.29,56.34,56.50,1722900,55.70
2014-01-07,56.94,57.45,56.05,57.33,1990200,56.51
2014-01-06,56.72,56.97,56.20,56.75,1649700,55.94
2014-01-03,56.59,56.85,56.26,56.57,1664100,55.77
2014-01-02,57.13,57.44,56.50,56.57,1689300,55.77
2013-12-31,56.80,57.24,56.61,57.18,1283800,56.37
2013-12-30,56.60,56.90,56.40,56.61,1448800,55.80
2013-12-27,56.12,56.66,56.00,56.59,1257000,55.78
2013-12-26,56.37,56.48,55.85,55.94,1331600,55.14
2013-12-24,54.87,56.50,54.85,56.08,1428500,55.28
2013-12-23,55.25,55.45,54.66,54.83,2658700,54.05
2013-12-20,55.22,55.75,54.93,54.98,8397200,54.20
2013-12-19,55.85,56.03,55.10,55.51,3926900,54.72
2013-12-18,57.66,57.71,55.42,56.07,6695200,55.27
2013-12-17,58.50,58.64,57.50,58.02,1746500,57.19
2013-12-16,58.14,58.82,57.95,58.65,2273500,57.82
2013-12-13,58.07,58.24,57.47,57.65,1513800,56.83
2013-12-12,57.99,58.37,57.15,58.08,2303200,57.25
2013-12-11,59.10,59.41,57.76,57.91,1937000,57.09
2013-12-10,59.60,59.82,58.94,59.26,1405100,58.42
2013-12-09,58.95,60.28,58.70,59.78,2294000,58.93
2013-12-06,59.39,59.72,58.61,59.05,2038000,58.21
2013-12-05,59.49,59.49,58.71,59.04,2237100,58.20
2013-12-04,59.30,60.41,58.98,60.19,2299700,58.59
2013-12-03,59.29,59.48,58.83,59.31,3065400,57.74
2013-12-02,59.25,59.95,59.17,59.24,2273500,57.67
2013-11-29,59.65,59.80,59.04,59.08,1083800,57.51
2013-11-27,59.60,60.01,59.24,59.72,1173200,58.14
2013-11-26,59.70,60.04,58.87,59.92,3210100,58.33
