Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,66.68,66.81,66.12,66.65,917800,66.65
2014-03-27,66.04,66.64,65.56,66.60,1171200,66.60
2014-03-26,66.12,66.22,65.67,65.77,843700,65.77
2014-03-25,66.20,66.36,65.42,66.09,1036800,66.09
2014-03-24,66.20,66.63,65.83,66.07,1560200,66.07
2014-03-21,65.09,66.69,64.97,66.03,2710400,66.03
2014-03-20,64.40,64.75,63.87,64.75,1166400,64.75
2014-03-19,65.19,65.62,64.22,64.57,1138300,64.57
2014-03-18,65.27,65.45,65.00,65.01,939900,65.01
2014-03-17,64.61,65.20,64.09,65.20,1004200,65.20
2014-03-14,64.25,64.93,64.10,64.58,1390000,64.58
2014-03-13,63.12,64.48,63.08,64.42,1963000,64.42
2014-03-12,62.17,63.00,62.09,63.00,1571200,63.00
2014-03-11,62.40,62.49,61.96,62.31,1303600,62.31
2014-03-10,62.48,62.65,62.07,62.25,1509100,62.25
2014-03-07,62.30,62.65,61.82,62.56,1683300,62.56
2014-03-06,63.10,63.36,62.13,62.38,1406400,62.38
2014-03-05,63.53,63.56,62.81,63.03,1439200,63.03
2014-03-04,63.71,63.76,63.22,63.44,1771000,63.44
2014-03-03,63.60,63.89,63.25,63.28,1550600,63.28
2014-02-28,63.89,64.16,63.63,63.82,1535800,63.82
2014-02-27,63.86,64.20,63.53,63.76,983100,63.76
2014-02-26,64.71,64.79,64.01,64.07,770200,64.07
2014-02-25,64.40,64.58,64.02,64.11,1390800,64.11
2014-02-24,64.86,65.05,64.12,64.12,943900,64.12
2014-02-21,64.95,65.31,64.44,64.45,1369500,64.45
2014-02-20,64.45,65.30,64.45,65.05,1378800,65.05
2014-02-19,64.46,65.34,64.19,64.46,1692800,64.46
2014-02-18,64.52,65.18,64.43,64.91,1944900,64.91
2014-02-14,64.25,64.66,64.10,64.49,1429700,64.49
2014-02-13,63.22,64.58,63.22,64.43,2326100,64.43
2014-02-12,62.53,63.67,62.53,63.56,2357000,63.56
2014-02-11,63.43,63.52,61.67,62.58,2934800,62.58
2014-02-10,63.42,63.93,63.06,63.60,1875500,62.77
2014-02-07,63.81,63.90,63.19,63.56,1547200,62.73
2014-02-06,62.61,63.84,62.55,63.75,3359900,62.92
