Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,38.66,39.43,38.62,39.21,802600,39.21
2014-03-27,38.62,38.83,38.48,38.64,1052900,38.64
2014-03-26,39.29,39.60,38.66,38.68,978900,38.68
2014-03-25,39.20,39.55,39.03,39.23,998600,39.23
2014-03-24,38.96,39.22,38.55,39.10,2257300,39.10
2014-03-21,39.09,39.09,38.51,38.95,5644100,38.95
2014-03-20,38.71,38.79,38.43,38.78,1955700,38.78
2014-03-19,38.96,38.97,38.42,38.74,2102700,38.74
2014-03-18,38.94,39.07,38.78,38.80,1101000,38.80
2014-03-17,39.27,39.56,38.74,38.89,1719600,38.89
2014-03-14,39.57,39.82,38.84,38.98,2632400,38.98
2014-03-13,40.19,40.36,39.73,39.78,1770000,39.78
2014-03-12,39.52,40.27,39.32,40.26,1604200,40.26
2014-03-11,39.66,40.00,39.45,39.68,1732800,39.68
2014-03-10,39.36,39.76,38.99,39.70,2154300,39.70
2014-03-07,39.72,39.96,39.45,39.82,2218500,39.82
2014-03-06,39.60,39.94,39.35,39.54,2113300,39.54
2014-03-05,39.49,39.61,39.31,39.59,1293300,39.59
2014-03-04,39.59,40.28,39.43,39.50,2567100,39.50
2014-03-03,39.29,39.71,39.10,39.43,1812000,39.43
2014-02-28,39.29,39.70,39.02,39.51,2184800,39.51
2014-02-27,38.97,39.40,38.82,39.18,2542100,39.18
2014-02-26,38.82,39.38,38.72,39.02,4614500,39.02
2014-02-25,41.91,41.91,38.70,39.06,4909500,39.06
2014-02-24,42.50,42.77,42.00,42.01,2156500,42.01
2014-02-21,41.71,41.94,41.43,41.58,994300,41.58
2014-02-20,41.37,41.88,41.02,41.70,922200,41.70
2014-02-19,41.69,41.83,41.06,41.15,1160400,41.15
2014-02-18,41.88,42.11,41.68,41.87,824900,41.87
2014-02-14,41.57,42.01,41.47,41.86,759100,41.86
2014-02-13,41.38,41.90,41.33,41.77,816300,41.77
2014-02-12,41.73,41.96,41.41,41.61,922000,41.61
2014-02-11,40.91,41.91,40.80,41.60,1480300,41.60
2014-02-10,40.57,40.94,40.40,40.92,1061600,40.92
2014-02-07,40.39,40.69,40.20,40.66,1337200,40.66
2014-02-06,40.40,40.48,40.02,40.12,1467500,40.12
2014-02-05,40.15,40.49,39.91,40.40,1638400,40.40
2014-02-04,40.55,40.83,39.88,40.54,1944100,40.54
2014-02-03,40.84,41.26,40.27,40.29,1881000,40.29
2014-01-31,40.56,41.36,40.54,40.86,1356100,40.86
2014-01-30,41.24,41.65,41.00,41.22,1022900,41.22
2014-01-29,41.32,41.68,40.97,41.00,991600,41.00
2014-01-28,41.50,41.96,41.38,41.52,760000,41.52
2014-01-27,42.10,42.20,41.09,41.49,1576000,41.49
2014-01-24,43.31,43.31,42.00,42.00,1191300,42.00
2014-01-23,43.82,44.09,43.34,43.59,544700,43.59
2014-01-22,44.00,44.25,43.81,44.15,537600,44.15
2014-01-21,44.07,44.27,43.56,44.00,843600,44.00
2014-01-17,43.79,44.05,43.64,43.77,1403400,43.77
2014-01-16,43.93,44.03,43.53,44.00,889600,44.00
2014-01-15,43.80,44.16,43.45,43.94,1272500,43.94
2014-01-14,43.40,43.98,43.03,43.79,1919200,43.79
2014-01-13,44.19,45.69,43.98,44.22,2833500,44.22
2014-01-10,43.13,43.82,42.86,43.61,1093000,43.61
2014-01-09,43.21,43.21,42.41,43.01,981300,43.01
2014-01-08,43.24,43.29,42.82,42.99,882400,42.99
2014-01-07,43.00,43.57,42.96,43.28,1065600,43.28
2014-01-06,43.47,43.64,42.81,42.82,1004500,42.82
2014-01-03,43.39,43.65,43.12,43.25,753200,43.25
2014-01-02,44.31,44.48,43.34,43.49,782900,43.49
2013-12-31,44.37,44.48,44.03,44.25,561900,44.25
2013-12-30,44.16,44.26,44.03,44.15,427300,44.15
2013-12-27,43.70,44.20,43.57,44.16,817300,44.16
2013-12-26,43.55,43.71,43.42,43.63,478600,43.63
2013-12-24,43.72,43.85,43.35,43.47,303300,43.47
2013-12-23,43.02,43.87,43.02,43.58,915900,43.58
2013-12-20,43.07,43.58,42.86,43.55,1660200,43.55
2013-12-19,43.03,43.20,42.81,42.96,899700,42.96
2013-12-18,42.65,43.11,42.28,43.10,873300,43.10
2013-12-17,42.69,42.80,42.29,42.70,1175000,42.70
2013-12-16,43.16,43.40,42.78,42.80,793700,42.80
2013-12-13,42.78,43.12,42.59,43.02,919500,43.02
2013-12-12,42.49,42.82,42.41,42.63,930400,42.63
2013-12-11,42.74,42.85,42.32,42.50,1899100,42.50
2013-12-10,43.29,43.48,42.64,42.81,1198600,42.81
2013-12-09,43.52,43.69,43.37,43.41,855500,43.41
2013-12-06,43.82,43.82,43.37,43.44,929800,43.44
2013-12-05,43.21,43.52,43.05,43.18,1282700,43.18
2013-12-04,42.97,43.57,42.88,43.31,1003900,43.31
2013-12-03,43.26,43.40,42.97,43.27,803300,43.27
2013-12-02,43.91,43.91,43.31,43.43,993300,43.43
2013-11-29,43.31,43.86,43.30,43.44,490300,43.44
2013-11-27,43.32,43.61,43.17,43.52,701300,43.52
2013-11-26,43.77,43.88,43.36,43.45,988600,43.15
2013-11-25,43.80,43.90,43.45,43.77,869200,43.47
2013-11-22,43.88,43.88,43.44,43.62,957300,43.32
2013-11-21,43.51,43.86,43.47,43.79,794300,43.49
