Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,132.44,133.40,132.01,132.01,5019100,132.01
2014-03-27,132.00,132.64,131.30,132.11,3042800,132.11
2014-03-26,134.48,135.31,132.09,132.12,2870700,132.12
2014-03-25,134.88,135.68,132.52,134.16,4336800,134.16
2014-03-24,137.15,137.20,134.87,134.95,3206900,134.95
2014-03-21,137.51,138.00,136.02,136.79,5017900,136.79
2014-03-20,137.03,137.73,135.24,136.50,3377700,136.50
2014-03-19,138.11,141.17,137.14,138.38,3110400,138.38
2014-03-18,137.59,139.19,137.35,138.57,2578900,138.57
2014-03-17,137.71,138.61,137.11,137.58,3855000,137.58
2014-03-14,136.38,137.75,136.02,136.76,2629200,136.76
2014-03-13,138.36,139.29,135.88,136.68,2286000,136.68
2014-03-12,136.80,138.14,136.00,137.79,1275600,137.79
2014-03-11,137.74,138.07,136.71,137.29,1483500,137.29
2014-03-10,137.03,138.39,136.81,137.86,1720700,137.86
2014-03-07,137.92,138.60,136.96,137.43,1353800,137.43
2014-03-06,137.25,137.64,136.19,137.29,1581300,137.14
2014-03-05,137.24,137.60,136.51,136.91,1292200,136.76
2014-03-04,134.84,137.65,134.74,137.09,2250100,136.94
2014-03-03,132.05,134.29,132.05,133.38,1614300,133.23
2014-02-28,133.19,134.43,132.34,133.33,1904700,133.18
2014-02-27,132.04,133.84,131.95,133.55,1736100,133.40
2014-02-26,132.63,133.97,131.95,132.37,1588100,132.23
2014-02-25,134.85,134.87,132.32,132.84,2588900,132.69
2014-02-24,135.09,136.98,134.50,134.87,2243200,134.72
2014-02-21,133.18,135.21,133.11,134.90,1969400,134.75
2014-02-20,131.69,133.51,131.06,132.99,1787000,132.84
2014-02-19,132.34,133.51,131.01,131.35,2780900,131.21
2014-02-18,134.32,134.77,132.33,132.79,2360500,132.64
2014-02-14,132.98,134.55,132.87,133.92,1436200,133.77
2014-02-13,131.92,133.34,131.00,133.07,1780700,132.92
2014-02-12,133.16,133.81,131.75,133.00,1895700,132.85
2014-02-11,130.41,133.78,130.13,133.15,3256000,133.00
2014-02-10,131.37,132.06,129.34,129.88,3602500,129.74
2014-02-07,131.92,133.07,130.87,131.76,2390500,131.62
2014-02-06,130.14,131.86,130.06,130.84,1908400,130.70
2014-02-05,129.85,130.92,129.19,129.97,2009200,129.83
2014-02-04,129.48,130.93,128.17,130.42,2387000,130.28
2014-02-03,132.93,135.06,129.03,129.44,3184000,129.30
2014-01-31,131.85,134.96,131.79,133.32,1588500,133.17
2014-01-30,133.09,134.83,133.06,133.77,1935900,133.62
2014-01-29,132.83,134.00,131.55,131.85,2647600,131.71
2014-01-28,131.99,134.64,131.99,134.34,3169700,134.19
2014-01-27,134.69,135.78,131.08,131.95,4738700,131.81
2014-01-24,139.16,139.39,134.57,134.58,3089300,134.43
