Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,12.03,12.18,11.98,12.11,1504000,12.11
2014-03-27,12.22,12.25,11.95,11.99,2386100,11.99
2014-03-26,12.45,12.48,12.24,12.24,1407400,12.24
2014-03-25,12.53,12.59,12.38,12.40,2117100,12.40
2014-03-24,12.57,12.72,12.41,12.47,1274000,12.47
2014-03-21,12.69,12.73,12.47,12.52,3640100,12.52
2014-03-20,12.28,12.63,12.28,12.56,2717300,12.56
2014-03-19,12.18,12.52,12.11,12.31,2081300,12.31
2014-03-18,12.07,12.23,12.04,12.19,1493100,12.19
2014-03-17,12.08,12.12,11.99,12.08,1455700,12.08
2014-03-14,11.95,12.09,11.90,12.02,1142000,12.02
2014-03-13,12.10,12.19,11.95,11.99,1811200,11.99
2014-03-12,12.11,12.12,11.95,12.11,1431200,12.11
2014-03-11,12.27,12.28,12.13,12.22,887400,12.17
2014-03-10,12.25,12.30,12.14,12.25,1124600,12.20
2014-03-07,12.21,12.38,12.20,12.29,1625100,12.24
2014-03-06,12.18,12.29,12.10,12.13,2265100,12.08
2014-03-05,12.10,12.14,12.05,12.14,1360200,12.09
2014-03-04,11.94,12.17,11.92,12.10,3810400,12.05
2014-03-03,11.82,11.86,11.73,11.78,2193000,11.73
2014-02-28,11.75,12.13,11.66,11.97,3771400,11.92
2014-02-27,11.57,11.67,11.51,11.64,1071800,11.59
2014-02-26,11.52,11.62,11.43,11.59,1886100,11.54
2014-02-25,11.50,11.52,11.40,11.47,2265600,11.42
2014-02-24,11.47,11.65,11.44,11.52,3726700,11.47
2014-02-21,11.50,11.55,11.44,11.46,2326500,11.41
2014-02-20,11.43,11.56,11.34,11.46,1914100,11.41
2014-02-19,11.74,11.74,11.40,11.43,2026800,11.38
2014-02-18,11.84,11.91,11.75,11.79,1028000,11.74
2014-02-14,11.82,11.93,11.80,11.84,1520100,11.79
2014-02-13,11.66,11.87,11.63,11.86,1844200,11.81
2014-02-12,11.71,11.98,11.70,11.77,2754000,11.72
2014-02-11,11.55,11.71,11.49,11.70,1995700,11.65
2014-02-10,11.49,11.56,11.38,11.56,1435400,11.51
2014-02-07,11.46,11.57,11.36,11.49,1712500,11.44
2014-02-06,11.23,11.42,11.21,11.40,1403300,11.35
2014-02-05,11.33,11.35,11.19,11.22,2822400,11.17
