Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,30.87,31.10,30.56,30.71,768100,30.71
2014-03-27,30.93,30.95,30.45,30.84,1107600,30.84
2014-03-26,30.22,31.20,30.06,30.45,1697100,30.45
2014-03-25,29.85,29.92,29.09,29.86,1233900,29.86
2014-03-24,29.48,29.94,29.23,29.66,958600,29.66
2014-03-21,29.40,30.12,29.25,29.44,2070700,29.44
2014-03-20,27.87,29.30,27.87,29.22,1119500,29.22
2014-03-19,27.28,28.08,26.90,28.01,1673400,28.01
2014-03-18,27.50,27.60,27.32,27.42,453200,27.42
2014-03-17,27.15,27.80,27.12,27.49,549300,27.49
2014-03-14,27.37,27.68,26.85,26.91,608900,26.91
2014-03-13,27.89,28.09,27.48,27.52,602300,27.52
2014-03-12,27.64,27.95,27.43,27.85,395000,27.85
2014-03-11,27.85,28.10,27.66,27.84,492400,27.84
2014-03-10,27.97,28.18,27.70,27.88,350100,27.88
2014-03-07,27.99,28.16,27.74,28.01,548700,28.01
2014-03-06,27.87,28.14,27.81,27.84,395100,27.84
2014-03-05,27.93,28.11,27.71,27.84,388900,27.84
2014-03-04,27.21,28.04,27.21,27.94,837800,27.94
2014-03-03,27.01,27.24,26.77,26.84,660000,26.84
2014-02-28,26.99,27.44,26.93,27.40,570400,27.40
2014-02-27,26.54,27.05,26.44,27.02,444300,27.02
2014-02-26,27.33,27.61,26.57,26.57,718700,26.57
2014-02-25,27.65,27.83,27.20,27.36,479600,27.36
2014-02-24,27.08,27.86,27.01,27.69,594900,27.69
2014-02-21,27.14,27.37,27.02,27.10,389800,27.10
2014-02-20,26.84,27.28,26.72,27.12,288000,27.12
2014-02-19,27.27,27.53,26.85,26.86,354400,26.86
2014-02-18,27.36,27.58,27.33,27.39,349000,27.39
2014-02-14,27.29,27.57,27.27,27.40,231900,27.40
2014-02-13,26.96,27.48,26.89,27.45,262300,27.45
2014-02-12,27.25,27.60,27.18,27.24,281000,27.24
2014-02-11,26.89,27.38,26.83,27.27,366900,27.27
2014-02-10,26.47,26.98,26.39,26.94,352500,26.94
2014-02-07,26.41,26.64,26.30,26.51,468700,26.51
2014-02-06,26.15,26.36,26.05,26.28,351800,26.28
2014-02-05,26.64,26.75,26.07,26.14,841900,26.14
2014-02-04,25.84,26.83,25.63,26.72,1220600,26.47
2014-02-03,26.84,27.04,25.71,25.73,1382700,25.49
2014-01-31,26.91,27.19,26.60,26.89,717300,26.64
2014-01-30,27.25,27.50,27.15,27.37,399000,27.11
2014-01-29,27.21,27.43,26.95,27.00,591500,26.75
2014-01-28,27.35,27.78,27.35,27.62,454900,27.36
2014-01-27,27.62,27.87,27.05,27.31,754700,27.05
2014-01-24,28.11,28.38,27.22,27.53,1127100,27.27
2014-01-23,28.85,28.88,28.16,28.25,568200,27.99
2014-01-22,28.93,29.04,28.73,28.89,330100,28.62
2014-01-21,28.72,28.88,28.60,28.81,418200,28.54
2014-01-17,28.64,28.88,28.54,28.56,409300,28.29
2014-01-16,28.41,28.79,28.41,28.70,502400,28.43
2014-01-15,28.40,28.68,28.35,28.55,671800,28.28
2014-01-14,28.70,28.98,28.10,28.35,1087200,28.08
2014-01-09,29.32,29.64,29.24,29.63,630700,29.35
2014-01-08,29.48,29.50,29.07,29.29,628000,29.02
2014-01-07,29.15,29.61,29.13,29.53,782700,29.25
2014-01-06,29.34,29.70,29.04,29.13,846600,28.86
2014-01-03,28.70,29.22,28.42,29.17,646000,28.90
2014-01-02,28.80,28.80,28.17,28.28,644300,28.02
2013-12-31,28.49,28.90,28.49,28.80,404200,28.53
2013-12-30,28.48,28.61,28.42,28.47,388800,28.20
2013-12-27,28.48,28.68,28.44,28.51,326300,28.24
2013-12-26,28.44,28.57,28.17,28.52,422300,28.25
2013-12-24,28.32,28.53,28.26,28.34,257500,28.07
2013-12-23,28.41,28.41,28.11,28.36,645800,28.09
2013-12-20,28.29,28.41,27.99,28.21,4496400,27.95
2013-12-19,27.95,28.35,27.88,28.28,1000800,28.02
2013-12-18,27.29,28.08,27.07,28.07,1125100,27.81
2013-12-17,27.20,27.37,26.96,27.29,1164100,27.03
2013-12-16,26.43,27.89,26.43,27.20,3000100,26.95
2013-12-13,25.94,26.30,25.62,26.15,652400,25.91
2013-12-12,25.62,26.01,25.62,25.78,637700,25.54
2013-12-11,26.26,26.36,25.50,25.66,788600,25.42
2013-12-10,26.61,26.80,26.20,26.26,667600,26.01
2013-12-09,26.40,27.28,26.40,26.72,1079400,26.47
