Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,52.45,53.18,52.24,52.89,1124600,52.89
2014-03-27,52.29,52.62,52.00,52.33,1454600,52.33
2014-03-26,53.29,53.44,52.47,52.51,1057700,52.51
2014-03-25,53.51,53.58,52.81,53.07,1025200,53.07
2014-03-24,54.31,54.52,53.05,53.15,911400,53.15
2014-03-21,54.82,55.07,53.91,54.17,2529300,54.17
2014-03-20,53.85,54.42,53.75,54.29,986400,54.29
2014-03-19,54.30,54.50,53.53,53.88,902000,53.88
2014-03-18,53.45,54.23,53.43,54.18,923500,54.18
2014-03-17,53.08,53.58,53.08,53.45,1456500,53.45
2014-03-14,53.26,53.47,52.70,52.75,1787500,52.75
2014-03-13,54.80,54.89,53.33,53.33,1600800,53.33
2014-03-12,54.76,54.83,54.46,54.75,1170400,54.51
2014-03-11,55.23,55.51,54.85,54.96,1191000,54.72
2014-03-10,55.42,55.44,55.00,55.15,779200,54.91
2014-03-07,55.91,55.98,55.35,55.47,992500,55.23
2014-03-06,55.60,55.98,55.42,55.65,1324100,55.41
2014-03-05,56.63,56.63,55.48,55.53,1461900,55.29
2014-03-04,55.98,56.68,55.87,56.55,1201500,56.30
2014-03-03,55.00,55.50,54.57,55.23,840700,54.99
2014-02-28,55.95,56.20,55.31,55.61,1319700,55.37
2014-02-27,54.96,56.04,54.96,56.02,1341800,55.77
2014-02-26,55.08,55.43,54.86,55.16,952700,54.92
2014-02-25,54.84,55.17,54.62,54.95,859000,54.71
2014-02-24,54.33,55.32,54.33,54.90,1004200,54.66
2014-02-21,54.51,54.71,54.34,54.34,807200,54.10
2014-02-20,54.02,54.64,53.91,54.27,835100,54.03
2014-02-19,54.10,54.76,53.89,53.92,778200,53.68
2014-02-18,53.90,54.37,53.69,54.31,925700,54.07
2014-02-14,53.86,54.18,53.58,53.86,908300,53.62
2014-02-13,53.32,54.07,53.32,54.07,979500,53.83
2014-02-12,53.25,53.60,53.16,53.55,1748300,53.32
2014-02-11,53.16,53.40,52.63,53.12,1699700,52.89
2014-02-10,53.58,53.68,52.60,53.03,1619900,52.80
2014-02-07,52.84,53.74,52.71,53.71,3200700,53.47
2014-02-06,51.49,52.48,51.35,52.48,2250000,52.25
2014-02-05,50.95,51.80,50.53,51.38,3040500,51.15
2014-02-04,49.29,51.33,48.17,50.95,2950600,50.73
2014-02-03,50.73,50.85,48.86,48.87,1988400,48.66
2014-01-31,51.04,51.09,50.48,50.70,2405000,50.48
2014-01-30,51.59,52.02,51.43,51.72,1012300,51.49
2014-01-29,50.49,51.62,50.48,51.01,2440600,50.79
2014-01-28,50.37,51.02,50.20,50.96,863600,50.74
2014-01-27,51.00,51.00,50.35,50.38,2005600,50.16
2014-01-24,52.70,52.84,50.70,50.84,2755800,50.62
2014-01-23,53.00,53.50,52.75,53.25,2692000,53.02
2014-01-22,53.20,53.55,53.16,53.50,1780100,53.27
2014-01-21,53.00,53.31,52.66,53.25,2048600,53.02
2014-01-17,52.61,52.82,52.35,52.74,1426900,52.51
2014-01-16,52.36,52.67,52.23,52.54,1403400,52.31
2014-01-15,52.54,52.75,52.28,52.40,2230100,52.17
2014-01-14,52.23,52.87,52.04,52.44,2001100,52.21
2014-01-13,52.82,53.08,51.93,52.04,1213400,51.81
2014-01-09,53.10,53.25,52.91,53.02,621900,52.79
