Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,22.58,22.85,22.48,22.72,5163700,22.72
2014-03-27,23.12,23.24,22.41,22.55,13658600,22.55
2014-03-26,23.51,23.56,23.25,23.26,6929300,23.14
2014-03-25,23.42,23.52,23.30,23.34,7236500,23.22
2014-03-24,23.49,23.68,23.24,23.38,6801800,23.26
2014-03-21,23.63,23.90,23.31,23.39,17742000,23.27
2014-03-20,22.84,23.49,22.80,23.36,9007600,23.24
2014-03-19,22.76,23.00,22.64,22.83,6884700,22.71
2014-03-18,22.61,22.84,22.51,22.78,7586900,22.66
2014-03-17,22.81,22.83,22.42,22.60,5792100,22.48
2014-03-14,22.37,22.53,22.23,22.34,6313900,22.22
2014-03-13,22.56,22.73,22.35,22.43,6998000,22.31
2014-03-12,22.39,22.57,22.29,22.53,6214500,22.41
2014-03-11,22.72,22.75,22.44,22.51,5603200,22.39
2014-03-10,22.56,22.70,22.46,22.70,6099800,22.58
2014-03-07,22.42,22.75,22.42,22.63,7670900,22.51
2014-03-06,22.25,22.42,22.23,22.30,5626500,22.18
2014-03-05,21.94,22.23,21.88,22.20,7129900,22.09
2014-03-04,21.78,22.05,21.66,21.96,10185600,21.85
2014-03-03,21.53,21.58,21.41,21.52,8702100,21.41
2014-02-28,21.76,21.86,21.56,21.70,12470500,21.59
2014-02-27,21.67,21.72,21.51,21.72,6945800,21.61
2014-02-26,21.67,21.73,21.50,21.66,7201000,21.55
2014-02-25,21.66,21.74,21.44,21.61,7963900,21.50
2014-02-24,21.45,21.70,21.45,21.61,9382800,21.50
2014-02-21,21.39,21.61,21.34,21.44,8206400,21.33
2014-02-20,21.29,21.40,21.12,21.34,7189700,21.23
2014-02-19,21.63,21.66,21.26,21.31,10907400,21.20
2014-02-18,21.68,21.80,21.58,21.66,6896100,21.55
2014-02-14,21.46,21.72,21.42,21.63,5524400,21.52
2014-02-13,21.29,21.54,21.19,21.54,6968200,21.43
2014-02-12,21.46,21.67,21.28,21.36,9049400,21.25
2014-02-11,21.23,21.44,20.94,21.37,9048400,21.26
2014-02-10,21.50,21.50,21.14,21.27,8595300,21.16
2014-02-07,21.12,21.25,20.91,21.10,6795500,20.99
2014-02-06,20.98,21.11,20.84,21.08,7596800,20.97
2014-02-05,20.60,20.80,20.46,20.65,7677500,20.54
2014-02-04,20.55,20.87,20.37,20.59,10596700,20.48
2014-02-03,20.94,21.13,20.42,20.50,18238600,20.39
2014-01-31,20.98,21.27,20.81,21.02,7693400,20.91
2014-01-30,21.09,21.32,21.05,21.24,5822300,21.13
2014-01-29,21.14,21.34,20.90,20.95,12290000,20.84
2014-01-28,21.16,21.43,21.14,21.30,9397900,21.19
2014-01-27,21.90,21.91,21.09,21.13,9455800,21.02
2014-01-24,21.35,21.54,21.28,21.32,9504500,21.21
2014-01-23,21.65,21.91,21.35,21.52,11224700,21.41
2014-01-22,21.96,21.96,21.78,21.92,7739800,21.81
2014-01-21,21.63,21.89,21.63,21.82,6866600,21.71
2014-01-17,21.46,21.83,21.41,21.55,6725800,21.44
2014-01-16,21.49,21.55,21.31,21.37,5595100,21.26
2014-01-15,21.41,21.64,21.40,21.57,5218400,21.46
2014-01-09,21.14,21.45,21.14,21.32,8873100,21.21
2014-01-08,21.02,21.23,21.00,21.13,7551400,21.02
2014-01-07,21.09,21.20,20.93,21.03,6549200,20.92
2014-01-06,21.01,21.33,20.94,20.95,7209400,20.84
2014-01-03,20.91,21.06,20.85,20.92,4436600,20.81
2014-01-02,20.94,21.06,20.83,20.87,6971200,20.76
2013-12-31,21.00,21.12,20.93,21.03,4980500,20.92
2013-12-30,20.99,21.07,20.88,20.92,3811800,20.81
2013-12-27,20.91,21.11,20.89,20.92,3983500,20.81
2013-12-26,21.01,21.14,20.96,21.04,3884700,20.81
2013-12-24,20.97,21.10,20.88,20.98,1558200,20.75
2013-12-23,20.93,21.13,20.89,20.95,5619000,20.72
2013-12-20,20.57,20.86,20.57,20.81,8948500,20.58
2013-12-19,20.38,20.74,20.36,20.67,6318600,20.45
2013-12-18,20.12,20.51,20.01,20.45,8050300,20.23
2013-12-17,20.21,20.30,20.05,20.15,6034800,19.93
2013-12-16,20.55,20.56,20.31,20.35,7702300,20.13
2013-12-13,20.34,20.34,19.99,20.09,5985200,19.87
2013-12-12,20.20,20.38,20.08,20.25,6605800,20.03
2013-12-11,20.40,20.44,20.14,20.16,7680100,19.94
2013-12-10,20.18,20.45,19.95,20.31,5623100,20.09
2013-12-09,20.34,20.49,20.19,20.24,6501900,20.02
2013-12-06,20.03,20.34,19.94,20.34,7856900,20.12
2013-12-05,19.87,20.05,19.79,19.82,7331800,19.61
2013-12-04,19.99,20.22,19.76,19.88,9838200,19.66
2013-12-03,20.17,20.29,19.85,19.99,7438600,19.77
2013-12-02,20.36,20.43,20.17,20.20,5456500,19.98
2013-11-29,20.50,20.50,20.30,20.32,2814400,20.10
2013-11-27,20.43,20.53,20.35,20.45,4329600,20.23
2013-11-26,20.63,20.63,20.33,20.34,7413800,20.12
2013-11-25,20.70,20.75,20.49,20.57,11186300,20.35
2013-11-22,20.40,20.58,20.12,20.58,9437300,20.36
2013-11-21,20.00,20.47,19.95,20.34,8902600,20.12
2013-11-20,20.98,20.98,19.80,19.92,7114500,19.70
2013-11-19,19.99,20.15,19.89,19.91,6723400,19.69
2013-11-18,19.94,20.21,19.75,20.00,6603200,19.78
2013-11-15,20.13,20.16,19.91,19.94,6062300,19.72
2013-11-14,19.96,20.05,19.87,20.02,5579700,19.80
2013-11-13,19.52,19.93,19.44,19.91,10260500,19.69
2013-11-12,19.10,19.83,19.10,19.56,4931100,19.35
2013-11-11,20.04,20.06,19.62,19.77,7219200,19.56
2013-11-08,19.15,20.03,19.06,20.01,15342200,19.79
2013-11-07,19.19,19.30,19.08,19.08,8906100,18.87
2013-11-06,19.09,19.19,19.03,19.13,6978100,18.92
2013-11-05,18.77,19.23,18.75,19.14,7932500,18.93
2013-11-04,19.00,19.06,18.79,18.84,4764200,18.64
2013-11-01,19.08,19.11,18.87,18.99,4738900,18.78
2013-10-31,19.27,19.28,19.03,19.04,6206500,18.83
2013-10-30,19.26,19.30,19.16,19.24,7166300,19.03
2013-10-29,19.25,19.27,19.09,19.21,7468900,19.00
2013-10-28,19.12,19.20,18.95,19.18,7314400,18.97
2013-10-25,19.10,19.22,18.95,19.08,7152300,18.87
2013-10-24,19.29,19.32,18.99,19.12,9931700,18.91
2013-10-23,19.28,19.34,19.15,19.23,5900600,19.02
2013-10-22,19.24,19.39,19.17,19.34,6871200,19.13
2013-10-21,18.79,19.39,18.79,19.22,7387100,19.01
2013-10-18,19.01,19.33,18.91,19.28,9457800,19.07
2013-10-17,18.39,19.00,18.34,18.97,14253500,18.76
2013-10-16,18.25,18.52,18.16,18.40,7907300,18.20
2013-10-15,18.37,18.40,18.12,18.13,7453300,17.93
2013-10-14,18.08,18.35,18.07,18.31,5592000,18.11
2013-10-11,17.99,18.28,17.81,18.20,9319400,18.00
2013-10-10,17.96,18.25,17.92,18.14,10817600,17.94
2013-10-09,17.58,17.84,17.50,17.76,10170900,17.57
2013-10-08,17.81,17.84,17.49,17.50,9268600,17.31
2013-10-07,18.03,18.05,17.77,17.77,5149800,17.58
