Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,48.47,48.56,48.04,48.33,569800,48.33
2014-03-27,48.27,48.46,48.14,48.42,654400,48.42
2014-03-26,48.64,48.68,48.13,48.27,575600,48.27
2014-03-25,48.01,48.57,47.66,48.55,799200,48.55
2014-03-24,47.74,48.05,47.41,47.67,530400,47.67
2014-03-21,48.51,48.75,47.69,47.74,1201400,47.74
2014-03-20,48.50,48.70,48.00,48.21,734400,48.21
2014-03-19,49.73,49.75,48.68,48.73,952100,48.73
2014-03-18,49.66,49.84,49.48,49.71,781400,49.71
2014-03-17,49.05,49.64,48.84,49.52,591700,49.52
2014-03-14,48.31,49.06,48.31,48.95,540600,48.95
2014-03-13,47.91,48.49,47.73,48.36,910400,48.36
2014-03-12,47.30,47.88,47.25,47.86,917000,47.86
2014-03-11,47.71,47.74,47.32,47.35,814900,47.35
2014-03-10,47.71,47.93,47.39,47.60,616000,47.60
2014-03-07,47.10,47.22,46.65,47.04,541000,47.04
2014-03-06,47.34,47.36,46.92,47.20,489700,47.20
2014-03-05,47.39,47.55,47.14,47.25,644400,47.25
2014-03-04,47.31,47.54,47.17,47.38,824100,47.38
2014-03-03,46.83,47.20,46.66,46.89,835200,46.89
2014-02-28,46.84,47.28,46.76,47.04,627300,47.04
2014-02-27,46.57,46.92,46.38,46.71,606600,46.71
2014-02-26,46.54,46.76,46.32,46.66,589800,46.66
2014-02-25,46.63,46.97,46.31,46.44,611100,46.44
2014-02-24,46.88,47.11,46.57,46.59,480000,46.59
2014-02-21,46.60,46.98,46.51,46.79,695100,46.79
2014-02-20,46.07,46.68,45.90,46.50,627000,46.50
2014-02-19,46.55,46.78,45.98,46.05,1080000,46.05
2014-02-18,46.43,46.93,46.35,46.61,785000,46.61
2014-02-14,46.13,46.39,46.01,46.35,611700,46.35
2014-02-13,45.34,46.20,45.30,46.13,686200,46.13
2014-02-12,45.44,45.67,45.35,45.47,1005600,45.47
2014-02-11,45.74,46.19,45.74,45.93,1193200,45.44
2014-02-10,45.95,46.23,45.70,45.84,1370400,45.35
2014-02-07,46.58,46.61,45.99,46.01,1021300,45.52
2014-02-06,46.40,46.68,46.19,46.30,820200,45.81
2014-02-05,46.96,46.96,45.79,46.40,1220000,45.90
2014-02-04,47.00,47.06,46.50,47.01,758800,46.51
2014-02-03,47.62,47.95,46.85,46.93,1071500,46.43
2014-01-31,47.40,48.07,47.39,47.78,758100,47.27
2014-01-30,47.52,48.20,47.40,47.79,505900,47.28
2014-01-29,47.25,47.80,47.17,47.39,498600,46.88
2014-01-28,47.17,47.44,47.06,47.41,454800,46.90
2014-01-27,47.11,47.36,47.01,47.10,393900,46.60
2014-01-24,47.48,47.71,47.14,47.14,368700,46.64
2014-01-23,47.58,47.80,47.34,47.61,408100,47.10
2014-01-22,47.63,48.03,47.63,47.76,477900,47.25
2014-01-21,46.98,47.77,46.98,47.73,394500,47.22
2014-01-17,46.97,47.04,46.77,46.87,362500,46.37
2014-01-16,46.44,46.90,46.41,46.84,383500,46.34
2014-01-15,46.41,46.55,46.23,46.43,348200,45.93
2014-01-14,46.34,46.63,46.10,46.35,380500,45.86
2014-01-13,46.85,46.93,46.14,46.32,537300,45.83
2014-01-09,46.22,46.34,45.97,46.25,365700,45.76
2014-01-08,46.28,46.41,45.92,46.14,611000,45.65
2014-01-07,45.72,46.35,45.72,46.29,694200,45.80
2014-01-06,45.88,45.91,45.49,45.63,714600,45.14
2014-01-03,45.17,45.95,45.17,45.69,655700,45.20
2014-01-02,47.11,47.15,46.09,46.09,506400,45.60
2013-12-31,47.18,47.28,46.95,47.23,296700,46.73
2013-12-30,47.19,47.41,46.88,47.12,306400,46.62
2013-12-27,47.12,47.35,46.99,47.23,359300,46.73
2013-12-26,47.04,47.23,46.81,47.13,397600,46.63
2013-12-24,46.77,47.03,46.49,46.95,116700,46.45
2013-12-23,47.17,47.34,46.72,46.78,446200,46.28
2013-12-20,46.21,47.12,46.12,47.08,1021000,46.58
2013-12-19,46.32,46.37,45.75,46.15,508500,45.66
2013-12-18,46.21,46.61,45.72,46.44,951900,45.94
2013-12-17,46.10,46.35,46.00,46.27,499700,45.78
2013-12-16,45.67,46.20,45.57,46.17,706100,45.68
2013-12-13,45.44,45.63,45.27,45.59,529200,45.10
2013-12-12,45.18,45.61,45.06,45.42,510000,44.94
2013-12-11,45.60,45.62,45.12,45.18,547100,44.70
2013-12-10,45.39,45.89,45.34,45.67,1072600,45.18
2013-12-09,46.00,46.00,45.01,45.51,1424100,45.02
2013-12-06,45.62,45.85,44.74,45.84,1537700,45.35
2013-12-05,45.31,45.42,45.01,45.32,960300,44.84
2013-12-04,45.74,46.12,45.02,45.29,1513300,44.81
2013-12-03,45.84,46.20,45.71,46.10,644800,45.61
2013-12-02,46.06,46.11,45.56,45.92,816400,45.43
2013-11-29,46.81,46.96,46.40,46.54,314300,46.04
2013-11-27,46.89,47.10,46.44,46.71,363100,46.21
2013-11-26,47.18,47.29,46.58,46.89,595700,46.39
2013-11-25,47.42,47.65,47.19,47.24,439700,46.74
2013-11-22,47.03,47.46,46.99,47.29,342400,46.79
2013-11-21,46.90,47.33,46.77,47.05,465900,46.55
2013-11-20,47.19,47.52,46.70,46.71,424600,46.21
2013-11-19,47.27,47.33,46.99,47.09,383500,46.59
2013-11-18,47.48,47.53,47.25,47.41,467400,46.90
2013-11-15,47.40,47.58,47.10,47.48,419400,46.97
2013-11-14,47.63,47.97,47.42,47.47,421900,46.96
2013-11-13,46.97,47.51,46.82,47.49,360400,46.98
2013-11-12,48.17,48.29,47.42,47.57,1752400,46.60
2013-11-11,47.70,48.38,47.60,48.25,565400,47.26
2013-11-08,47.64,47.95,47.06,47.58,1644800,46.61
2013-11-07,48.28,48.29,47.66,47.84,1697500,46.86
2013-11-06,47.83,48.29,47.66,48.07,495400,47.09
2013-11-05,47.88,47.98,47.61,47.64,408800,46.67
2013-11-04,48.04,48.05,47.64,47.93,447800,46.95
2013-11-01,47.94,48.15,47.40,47.92,631800,46.94
2013-10-31,47.82,48.23,47.47,47.86,803300,46.88
2013-10-30,49.00,49.31,47.81,47.81,1103800,46.83
2013-10-29,48.00,48.05,47.65,47.84,682400,46.86
2013-10-28,48.01,48.31,47.75,47.93,646500,46.95
2013-10-25,47.41,48.00,47.24,48.00,320200,47.02
2013-10-24,47.31,47.47,46.99,47.29,493400,46.32
2013-10-23,46.75,47.42,46.75,47.17,474300,46.21
2013-10-22,46.49,47.04,46.33,46.95,425800,45.99
2013-10-21,46.36,46.60,46.19,46.33,410000,45.38
2013-10-18,46.44,46.67,46.31,46.44,566500,45.49
2013-10-17,45.13,46.23,45.08,46.18,599200,45.24
2013-10-16,45.00,45.22,44.77,45.18,575500,44.26
2013-10-15,45.20,45.42,44.65,44.71,453700,43.80
2013-10-14,45.16,45.39,44.62,45.26,505900,44.33
2013-10-11,45.10,45.41,45.05,45.32,382300,44.39
2013-10-10,44.86,45.44,44.74,45.25,519000,44.32
2013-10-09,44.87,45.53,44.56,44.59,492500,43.68
2013-10-08,44.92,45.38,44.62,44.80,577600,43.88
2013-10-07,44.86,45.17,44.69,44.92,381300,44.00
2013-10-04,45.08,45.29,44.92,45.12,319200,44.20
2013-10-03,45.66,45.68,44.85,45.03,565200,44.11
2013-10-02,45.77,46.04,45.30,45.77,507900,44.83
2013-10-01,46.04,46.10,45.66,45.99,572900,45.05
2013-09-30,45.64,46.06,45.64,46.03,562700,45.09
2013-09-27,45.85,46.24,45.77,45.82,421000,44.88
2013-09-26,46.25,46.47,45.99,46.00,497200,45.06
2013-09-25,46.67,46.84,46.16,46.18,362400,45.24
2013-09-24,46.42,46.97,46.29,46.74,666500,45.78
2013-09-23,45.53,46.58,45.45,46.37,680000,45.42
2013-09-20,46.11,46.21,45.60,45.79,537600,44.85
2013-09-19,46.10,46.57,45.99,46.10,518400,45.16
2013-09-18,44.68,46.07,44.57,46.07,464800,45.13
2013-09-17,44.47,44.84,44.47,44.73,412600,43.82
2013-09-16,44.43,44.76,44.18,44.47,650300,43.56
2013-09-13,43.97,44.24,43.90,44.03,427000,43.13
2013-09-12,44.17,44.42,43.80,43.84,389600,42.94
2013-09-11,44.63,44.63,43.79,44.09,667900,43.19
2013-09-10,44.20,44.55,43.98,44.55,667200,43.64
2013-09-09,43.89,44.13,43.54,44.05,764400,43.15
2013-09-06,44.00,44.88,43.46,43.85,786100,42.95
2013-09-05,43.36,43.45,42.86,43.24,529500,42.36
2013-09-04,43.42,43.52,43.18,43.42,982900,42.53
2013-09-03,44.30,44.42,43.05,43.31,791000,42.42
2013-08-30,44.21,44.39,43.79,43.95,482000,43.05
2013-08-29,43.96,44.33,43.89,44.11,766200,43.21
2013-08-28,44.61,44.89,43.83,43.98,2667400,43.08
2013-08-27,45.08,45.34,44.73,44.75,603100,43.84
2013-08-26,45.33,45.58,45.18,45.26,351000,44.33
2013-08-23,45.17,45.41,44.76,45.33,390200,44.40
2013-08-22,45.00,45.23,44.76,44.94,254500,44.02
2013-08-21,45.19,45.23,44.59,44.90,557200,43.98
2013-08-20,44.62,45.64,44.55,45.35,733000,44.42
2013-08-19,44.58,44.79,44.46,44.66,600100,43.75
2013-08-16,44.78,45.02,44.12,44.50,679900,43.59
2013-08-15,45.27,45.33,44.86,44.92,470100,44.00
2013-08-14,45.25,45.79,45.18,45.51,367000,44.58
2013-08-13,46.24,46.34,45.92,46.14,399500,44.74
2013-08-12,45.78,46.26,45.61,46.23,1316100,44.82
2013-08-09,46.02,46.18,45.84,45.91,1182000,44.51
2013-08-08,45.94,46.12,45.56,46.02,1143000,44.62
2013-08-07,45.70,46.06,45.53,45.74,484600,44.35
2013-08-06,45.85,46.19,45.73,45.81,485800,44.42
2013-08-05,45.82,46.21,45.82,46.00,458400,44.60
2013-08-02,46.29,46.44,45.73,45.99,641400,44.59
2013-08-01,45.86,46.50,45.75,46.44,377700,45.03
2013-07-31,46.50,47.00,45.77,45.79,529500,44.40
2013-07-30,46.14,46.31,45.92,46.17,479300,44.77
2013-07-29,46.06,46.22,45.90,45.96,264400,44.56
2013-07-26,45.65,46.16,45.50,46.14,317100,44.74
2013-07-25,45.36,45.96,45.33,45.83,355700,44.44
2013-07-24,45.90,46.03,45.17,45.33,337500,43.95
2013-07-23,45.77,46.09,45.67,45.96,252900,44.56
2013-07-22,45.76,45.95,45.53,45.66,262600,44.27
2013-07-19,45.62,46.11,45.31,45.76,312800,44.37
2013-07-18,45.31,45.84,45.22,45.59,384400,44.20
2013-07-17,45.52,45.82,45.11,45.29,339800,43.91
2013-07-16,45.46,45.50,45.10,45.35,302100,43.97
2013-07-15,44.73,45.62,44.47,45.36,565900,43.98
2013-07-12,44.71,44.82,44.35,44.72,343400,43.36
2013-07-11,44.58,44.80,44.47,44.71,492300,43.35
2013-07-10,44.11,44.24,43.91,44.15,356500,42.81
2013-07-09,42.95,44.18,42.95,44.11,466800,42.77
2013-07-08,42.74,43.34,42.68,43.09,391500,41.78
2013-07-05,42.64,42.67,41.94,42.65,286700,41.35
2013-07-03,42.71,42.88,42.27,42.55,145400,41.26
2013-07-02,42.71,43.33,42.46,42.74,435700,41.44
2013-07-01,43.08,43.25,42.52,42.73,576000,41.43
2013-06-28,42.59,43.29,42.34,42.86,583500,41.56
2013-06-27,42.56,43.12,42.56,42.65,339600,41.35
2013-06-26,42.31,42.64,42.11,42.47,464300,41.18
2013-06-25,42.04,42.20,41.56,42.10,361600,40.82
2013-06-24,41.94,42.05,41.51,41.78,419500,40.51
2013-06-21,42.17,42.39,41.47,42.19,704500,40.91
2013-06-20,42.41,42.56,41.74,41.86,527900,40.59
2013-06-19,43.72,43.90,42.73,42.77,383700,41.47
2013-06-18,43.41,43.90,43.30,43.70,398500,42.37
2013-06-17,43.19,43.53,43.10,43.33,331100,42.01
2013-06-14,42.74,43.15,42.59,42.98,331300,41.67
2013-06-13,41.98,42.85,41.94,42.78,431800,41.48
2013-06-12,42.28,42.44,41.77,41.98,262800,40.70
2013-06-11,42.24,42.49,42.06,42.11,287000,40.83
2013-06-10,42.58,42.82,42.23,42.52,227700,41.23
2013-06-07,42.57,42.75,42.13,42.53,249200,41.24
2013-06-06,41.91,42.46,41.77,42.44,392700,41.15
2013-06-05,42.05,42.22,41.83,41.95,488700,40.67
2013-06-04,42.40,42.63,41.84,42.11,377800,40.83
2013-06-03,42.50,42.79,41.81,42.40,467300,41.11
2013-05-31,42.12,42.81,42.05,42.33,535700,41.04
2013-05-30,42.33,42.67,42.24,42.28,246500,40.99
2013-05-29,42.38,42.55,41.53,42.04,521700,40.76
2013-05-28,43.07,43.28,42.27,42.55,529000,41.26
2013-05-24,43.19,43.27,42.66,42.78,677000,41.48
2013-05-23,43.46,43.57,42.78,43.38,686300,42.06
