Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,26.92,27.46,26.92,27.11,1163000,27.11
2014-03-27,27.26,27.38,26.85,26.89,1739200,26.89
2014-03-26,27.88,27.95,27.30,27.31,1759700,27.31
2014-03-25,28.21,28.40,27.68,27.77,1947700,27.77
2014-03-24,29.05,29.10,28.09,28.11,2147500,28.11
2014-03-21,29.07,29.59,28.89,28.97,3244900,28.97
2014-03-20,28.60,28.79,28.42,28.51,1437600,28.51
2014-03-19,28.43,28.89,28.43,28.74,2462100,28.74
2014-03-18,27.91,28.29,27.74,28.18,2283600,28.18
2014-03-17,28.21,28.21,27.78,27.91,1407500,27.91
2014-03-14,27.71,28.11,27.70,27.96,2140800,27.96
2014-03-13,28.55,28.67,27.72,27.74,2366000,27.74
2014-03-12,28.49,28.60,28.14,28.40,2801700,28.40
2014-03-11,28.99,29.63,28.60,28.66,2320300,28.66
2014-03-10,29.14,29.57,28.88,29.44,2591300,29.44
2014-03-07,29.61,29.67,28.83,28.89,1766700,28.89
2014-03-06,29.45,29.55,29.21,29.47,1624700,29.47
2014-03-05,29.11,29.48,28.96,29.40,1667000,29.40
2014-03-04,29.46,29.56,29.07,29.21,3997000,29.01
2014-03-03,29.36,29.71,28.99,29.05,2560900,28.85
2014-02-28,29.40,29.82,29.16,29.75,2235000,29.55
2014-02-27,29.34,29.50,29.17,29.31,1812600,29.11
2014-02-26,29.83,29.95,29.35,29.46,2033700,29.26
2014-02-25,29.43,29.77,29.01,29.77,2709800,29.57
2014-02-24,28.98,29.56,28.98,29.48,2146100,29.28
2014-02-21,28.93,28.98,28.60,28.84,1427800,28.64
2014-02-20,28.55,28.81,28.28,28.76,2113900,28.56
2014-02-19,28.37,28.62,28.22,28.47,1765200,28.28
2014-02-18,28.37,28.59,28.30,28.47,1727900,28.28
2014-02-14,28.06,28.43,27.92,28.24,1134100,28.05
2014-02-13,27.88,28.21,27.88,28.18,1196600,27.99
2014-02-12,27.85,28.28,27.82,28.18,1808500,27.99
2014-02-11,27.72,27.93,27.61,27.84,1728000,27.65
2014-02-10,27.73,27.96,27.58,27.78,2108200,27.59
2014-02-07,27.84,27.99,27.51,27.71,1910700,27.52
2014-02-06,27.01,27.67,26.85,27.60,2468200,27.41
2014-02-05,26.18,27.04,25.99,26.98,4138100,26.80
2014-02-04,27.50,27.83,25.96,26.36,6517000,26.18
2014-02-03,27.46,27.63,26.46,26.51,3514200,26.33
2014-01-31,27.10,27.91,27.05,27.53,1906700,27.34
2014-01-30,27.64,27.83,27.39,27.60,1546300,27.41
2014-01-29,27.43,27.69,27.19,27.28,1662600,27.09
2014-01-28,27.49,28.01,27.42,27.75,1393500,27.56
2014-01-27,27.59,27.77,26.91,27.36,3073700,27.17
2014-01-24,27.94,27.98,27.32,27.47,2706200,27.28
2014-01-23,28.36,28.76,27.92,28.20,1800600,28.01
2014-01-22,28.32,28.54,28.03,28.53,2031500,28.33
2014-01-21,28.62,28.73,28.15,28.27,1743100,28.08
2014-01-17,28.62,28.82,28.32,28.44,2093800,28.25
2014-01-16,28.18,28.56,27.87,28.54,2727000,28.34
2014-01-15,29.27,29.35,28.18,28.27,3960800,28.08
2014-01-14,28.97,29.41,28.82,29.28,1927800,29.08
2014-01-13,29.60,29.65,28.75,28.84,2419400,28.64
2014-01-09,30.07,30.12,29.24,29.52,3504300,29.32
2014-01-08,29.69,30.43,29.60,30.04,4273700,29.83
2014-01-07,29.48,30.05,29.40,29.79,4193700,29.59
2014-01-06,29.72,29.74,29.26,29.50,2965400,29.30
2014-01-03,29.58,29.78,29.51,29.59,1659200,29.39
2014-01-02,29.55,29.69,29.27,29.58,2165100,29.38
2013-12-31,29.79,29.87,29.37,29.58,1413400,29.38
2013-12-30,29.22,29.76,29.16,29.72,1965400,29.52
2013-12-27,29.33,29.45,29.10,29.22,1695000,29.02
2013-12-26,29.00,29.48,29.00,29.31,1989900,29.11
2013-12-24,28.50,29.06,28.40,28.78,2172700,28.58
2013-12-23,28.07,28.83,28.00,28.61,2883500,28.41
2013-12-20,27.56,28.04,27.36,27.81,4065200,27.62
2013-12-19,27.07,27.56,27.06,27.48,2261800,27.29
2013-12-18,26.60,27.33,26.52,27.25,2655500,27.06
2013-12-17,26.63,26.73,26.30,26.58,1735600,26.40
2013-12-16,26.39,26.80,26.36,26.66,2305100,26.48
2013-12-13,25.93,26.33,25.90,26.19,2360600,26.01
2013-12-12,25.89,26.16,25.29,25.91,2970700,25.73
2013-12-11,25.45,26.16,25.22,25.98,5147900,25.80
2013-12-10,25.15,25.68,25.15,25.52,2163000,25.35
2013-12-09,25.60,25.65,25.02,25.20,2360000,25.03
2013-12-06,25.38,25.64,24.68,25.55,3266900,25.38
2013-12-05,25.34,25.35,24.90,25.09,4691700,24.92
2013-12-04,26.08,26.15,25.09,25.35,5726300,25.18
2013-12-03,26.43,26.50,26.12,26.19,5590600,25.81
2013-12-02,27.07,27.14,26.53,26.60,3499400,26.22
2013-11-29,27.01,27.25,26.86,27.06,872500,26.67
2013-11-27,26.77,27.07,26.65,27.03,1331600,26.64
2013-11-26,26.58,26.87,26.38,26.76,3025600,26.37
2013-11-25,26.84,26.86,26.48,26.51,2122200,26.13
2013-11-22,26.51,26.75,26.31,26.74,2238400,26.35
2013-11-21,26.51,26.60,26.24,26.46,2179400,26.08
2013-11-20,26.40,26.79,26.21,26.35,2600600,25.97
2013-11-19,26.70,26.80,26.12,26.27,2616000,25.89
2013-11-18,27.21,27.36,26.68,26.74,4606500,26.35
2013-11-15,27.51,27.51,26.91,27.20,3293200,26.81
2013-11-14,27.89,27.98,27.34,27.36,2009300,26.97
