Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,21.70,21.95,21.66,21.88,2834600,21.88
2014-03-27,21.40,21.65,21.31,21.61,2243100,21.61
2014-03-26,21.86,21.90,21.45,21.45,3542500,21.45
2014-03-25,21.62,21.91,21.49,21.81,3922600,21.81
2014-03-24,21.89,21.92,21.47,21.49,5176100,21.49
2014-03-21,21.83,21.96,21.66,21.73,8779100,21.73
2014-03-20,21.68,21.76,21.44,21.69,4498200,21.69
2014-03-19,22.14,22.40,21.66,21.75,4300000,21.75
2014-03-18,22.00,22.35,22.00,22.21,4558200,22.21
2014-03-17,22.33,22.33,22.13,22.20,5677900,22.20
2014-03-14,22.24,22.40,22.19,22.20,6365000,22.20
2014-03-13,22.32,22.38,22.15,22.26,5900400,22.26
2014-03-12,22.15,22.36,22.07,22.35,5366100,22.35
2014-03-11,22.06,22.14,21.97,22.08,4385500,22.08
2014-03-10,22.08,22.18,21.83,22.00,3862300,22.00
2014-03-07,22.24,22.26,21.90,22.13,3788600,22.13
2014-03-06,22.41,22.47,22.18,22.23,4659200,22.23
2014-03-05,22.42,22.45,22.12,22.36,4653100,22.36
2014-03-04,22.27,22.46,22.26,22.42,6056400,22.42
2014-03-03,21.89,22.16,21.81,22.06,5744900,22.06
2014-02-28,21.75,22.36,21.75,22.02,14419200,22.02
2014-02-27,22.33,22.40,22.01,22.20,4684900,22.20
2014-02-26,22.48,22.68,22.36,22.45,4818400,22.45
2014-02-25,22.44,22.60,22.29,22.36,3762600,22.36
2014-02-24,22.33,22.71,22.29,22.41,6659400,22.41
2014-02-21,22.31,22.48,22.19,22.26,3902900,22.26
2014-02-20,22.28,22.48,22.16,22.34,3434400,22.34
2014-02-19,22.27,22.53,22.16,22.23,5591900,22.23
2014-02-18,21.98,22.40,21.98,22.39,5624900,22.39
2014-02-14,21.59,22.04,21.55,21.92,4279000,21.92
2014-02-13,21.40,21.89,21.37,21.62,6716000,21.62
2014-02-12,21.38,21.55,21.31,21.48,4780300,21.48
2014-02-11,20.92,21.37,20.89,21.33,6335600,21.33
2014-02-10,20.67,20.88,20.61,20.83,4229800,20.83
2014-02-07,20.45,20.62,20.34,20.61,4489900,20.61
2014-02-06,20.21,20.36,20.19,20.29,4465000,20.29
2014-02-05,20.02,20.21,19.83,20.17,6323100,20.17
2014-02-04,20.00,20.48,19.99,20.03,8888400,20.03
2014-02-03,20.14,20.16,19.62,19.80,6256400,19.80
2014-01-31,19.80,20.31,19.68,20.14,4738800,20.14
2014-01-30,19.72,19.99,19.67,19.99,3290000,19.99
2014-01-29,19.47,19.62,19.39,19.58,2995000,19.58
2014-01-28,19.57,19.82,19.56,19.65,3950200,19.65
2014-01-27,19.59,19.80,19.38,19.54,5433300,19.54
2014-01-24,20.05,20.21,19.60,19.61,6025500,19.61
2014-01-23,20.18,20.40,20.08,20.15,4653400,20.15
2014-01-22,20.48,20.63,20.37,20.38,3268500,20.38
2014-01-21,20.45,20.58,20.35,20.43,5150800,20.43
2014-01-17,20.59,20.59,20.35,20.41,4254900,20.41
2014-01-16,20.73,20.79,20.46,20.52,4322900,20.52
2014-01-15,20.51,20.76,20.49,20.69,3686900,20.69
2014-01-14,20.37,20.63,20.37,20.50,8584000,20.50
2014-01-09,20.28,20.28,19.96,20.12,6419100,20.12
2014-01-08,20.13,20.37,20.00,20.18,5522500,20.18
2014-01-07,20.29,20.44,20.08,20.32,4325400,20.32
2014-01-06,20.30,20.33,20.14,20.23,5142400,20.23
2014-01-03,20.05,20.31,20.00,20.21,2783200,20.21
2014-01-02,20.08,20.12,19.86,20.04,4861800,20.04
2013-12-31,20.04,20.39,20.01,20.07,7078400,20.07
2013-12-30,20.16,20.23,20.07,20.20,4301100,20.20
2013-12-27,20.29,20.29,20.04,20.16,3918100,20.16
2013-12-26,20.71,20.71,20.20,20.24,3448700,20.24
2013-12-24,20.38,20.46,20.19,20.34,1849000,20.34
2013-12-23,20.52,20.56,20.34,20.39,3979900,20.39
2013-12-20,20.10,20.40,20.06,20.40,9440600,20.40
2013-12-19,20.32,20.40,19.99,20.17,5633000,20.17
2013-12-18,20.20,20.50,19.77,20.45,6306600,20.45
2013-12-17,20.17,20.30,20.06,20.25,6139400,20.25
2013-12-16,20.37,20.43,20.07,20.21,6718800,20.21
2013-12-13,20.60,20.78,20.32,20.40,7434800,20.40
2013-12-12,20.63,20.71,20.40,20.49,7570400,20.49
2013-12-11,21.00,21.05,20.56,20.61,9787600,20.61
2013-12-10,21.23,21.32,20.94,21.15,11947000,21.01
2013-12-09,21.23,21.52,21.04,21.17,116835700,21.03
2013-12-06,20.95,21.20,20.95,21.14,14394100,21.00
2013-12-05,21.22,21.27,20.69,20.82,20769200,20.68
2013-12-04,20.11,20.40,20.00,20.28,6040300,20.15
2013-12-03,20.36,20.44,20.15,20.26,2967400,20.13
2013-12-02,20.61,20.66,20.34,20.50,3586200,20.36
2013-11-29,21.09,21.18,20.66,20.75,1618500,20.61
2013-11-27,20.94,21.07,20.89,20.97,3283600,20.83
2013-11-26,20.70,21.00,20.57,20.89,4817200,20.75
2013-11-25,20.67,20.84,20.65,20.74,2387800,20.60
2013-11-22,20.87,20.90,20.58,20.67,2305100,20.53
2013-11-21,20.64,20.94,20.57,20.87,2680900,20.73
2013-11-20,20.63,20.94,20.52,20.57,2931100,20.43
2013-11-19,20.73,20.78,20.42,20.56,2239400,20.42
2013-11-18,20.81,21.06,20.72,20.79,3238700,20.65
2013-11-15,20.77,20.88,20.66,20.79,3059000,20.65
2013-11-14,20.67,20.95,20.57,20.80,2361200,20.66
2013-11-13,20.51,20.69,20.41,20.65,2590800,20.51
2013-11-12,20.63,20.70,20.43,20.61,5192200,20.47
2013-11-11,20.37,20.75,20.19,20.62,2789500,20.48
2013-11-08,20.24,20.49,19.91,20.47,5347700,20.33
2013-11-07,20.78,20.88,20.35,20.36,6807000,20.23
2013-11-06,21.12,21.18,20.77,20.79,5743100,20.65
2013-11-05,21.37,21.39,20.84,20.87,6678200,20.73
