Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,51.37,51.52,51.13,51.30,1943100,51.30
2014-03-27,51.07,51.36,50.96,51.08,4844200,51.08
2014-03-26,51.05,51.21,50.84,51.10,4643700,51.10
2014-03-25,51.03,51.25,50.80,51.08,3425200,51.08
2014-03-24,51.22,51.44,50.72,50.72,3534500,50.72
2014-03-21,51.44,51.70,51.03,51.03,6460100,51.03
2014-03-20,50.88,51.29,50.72,51.05,3369600,51.05
2014-03-19,50.65,51.40,50.61,50.74,3425700,50.74
2014-03-18,50.71,50.99,50.35,50.71,3077500,50.71
2014-03-17,50.04,50.53,49.97,50.43,3428800,50.43
2014-03-14,49.44,50.32,49.44,49.77,5782700,49.77
2014-03-13,51.39,51.67,50.80,51.01,3737200,51.01
2014-03-12,50.61,51.40,50.55,51.35,2964600,51.35
2014-03-11,50.56,50.84,50.40,50.74,2281100,50.74
2014-03-10,50.55,50.57,50.28,50.45,2581800,50.45
2014-03-07,50.73,50.84,50.43,50.80,1808600,50.80
2014-03-06,50.58,50.84,50.56,50.67,1962100,50.67
2014-03-05,50.62,50.91,50.46,50.64,2317300,50.64
2014-03-04,50.22,50.76,50.12,50.74,3823600,50.74
2014-03-03,49.52,50.01,49.52,49.86,3464600,49.86
2014-02-28,49.82,50.32,49.79,50.03,3337200,50.03
2014-02-27,49.48,49.83,49.45,49.78,2172300,49.78
2014-02-26,50.09,50.29,49.57,49.66,2141600,49.66
2014-02-25,49.93,50.27,49.81,50.05,2760400,50.05
2014-02-24,49.73,50.06,49.62,49.85,2828300,49.85
2014-02-21,49.89,50.09,49.49,49.51,2937200,49.51
2014-02-20,49.27,49.94,49.21,49.78,2436000,49.78
2014-02-19,49.47,49.65,49.18,49.27,2131600,49.27
2014-02-18,49.94,49.94,49.36,49.68,2825900,49.68
2014-02-14,49.14,49.95,49.08,49.89,3774600,49.89
2014-02-13,48.27,49.27,48.26,49.19,2607400,49.19
2014-02-12,48.80,49.11,48.47,48.53,2918400,48.53
2014-02-11,48.13,49.00,47.90,48.93,3307000,48.93
2014-02-10,47.96,48.35,47.84,48.31,1863000,48.31
2014-02-07,47.74,48.13,47.67,48.05,2376800,48.05
2014-02-06,47.49,47.75,47.31,47.66,3025100,47.66
2014-02-05,46.89,47.46,46.70,47.36,3004400,47.36
2014-02-04,46.99,47.29,46.90,47.09,2649200,47.09
2014-02-03,48.07,48.07,46.83,46.86,4716800,46.86
2014-01-31,48.02,48.37,47.72,48.02,3734200,48.02
2014-01-30,48.07,48.66,47.94,48.57,3290600,48.57
2014-01-29,48.67,48.71,47.85,47.94,5125700,47.94
2014-01-28,48.53,49.13,48.50,48.96,3129000,48.96
2014-01-27,48.34,48.79,48.28,48.53,3413400,48.53
2014-01-24,48.45,49.11,48.28,48.28,4033200,48.28
2014-01-23,48.50,48.83,48.21,48.71,3504100,48.71
2014-01-22,48.54,48.98,48.50,48.77,2986500,48.77
2014-01-21,48.55,48.80,48.29,48.54,3473800,48.54
2014-01-17,48.44,48.60,48.22,48.28,3790700,48.28
2014-01-16,48.30,48.73,48.26,48.52,3255100,48.52
2014-01-09,48.64,49.07,48.60,49.00,4565600,49.00
2014-01-08,49.34,49.42,48.40,48.57,5747800,48.57
2014-01-07,49.64,49.94,49.26,49.85,4606800,49.47
2014-01-06,49.38,49.60,49.08,49.34,3260200,48.96
2014-01-03,49.41,49.56,49.10,49.26,2309700,48.88
2014-01-02,49.60,49.68,49.27,49.40,2205500,49.02
2013-12-31,49.93,50.01,49.63,49.91,1928800,49.53
2013-12-30,49.90,50.00,49.69,49.96,2052100,49.58
2013-12-27,49.81,50.11,49.63,49.84,1805500,49.46
2013-12-26,49.45,49.74,49.33,49.70,2162900,49.32
2013-12-24,49.23,49.50,49.16,49.28,1114600,48.90
2013-12-23,49.30,49.45,48.68,49.16,3259100,48.79
2013-12-20,49.32,49.56,49.07,49.30,5604800,48.92
2013-12-19,50.28,50.28,48.53,49.36,5780700,48.98
2013-12-18,48.85,49.75,48.24,49.73,7334500,49.35
2013-12-17,49.85,50.13,49.35,49.58,3729000,49.20
2013-12-16,49.78,50.12,49.60,49.91,3360200,49.53
2013-12-13,49.59,49.91,49.37,49.64,2781900,49.26
2013-12-12,50.45,50.46,49.50,49.57,4073200,49.19
2013-12-11,50.79,50.93,50.35,50.59,3494100,50.20
2013-12-10,51.27,51.30,50.45,50.73,2762200,50.34
2013-12-09,51.55,51.96,51.25,51.44,2958200,51.05
2013-12-06,50.63,51.51,50.59,51.50,3245200,51.11
2013-12-05,50.49,50.67,50.18,50.26,2578400,49.88
2013-12-04,50.31,50.94,50.19,50.71,2143100,50.32
2013-12-03,50.20,50.60,50.00,50.60,2226600,50.21
2013-12-02,50.22,50.43,49.94,50.26,1996400,49.88
2013-11-29,50.51,50.92,50.35,50.43,1216100,50.05
2013-11-27,50.49,50.61,50.38,50.53,1663000,50.14
2013-11-26,50.06,50.68,50.04,50.48,4162900,50.10
2013-11-25,50.26,50.41,49.82,49.88,2222500,49.50
2013-11-22,49.45,50.22,49.31,50.12,3025500,49.74
2013-11-21,49.34,49.69,49.23,49.42,2737700,49.04
2013-11-20,50.46,50.46,49.20,49.24,5515700,48.86
2013-11-19,50.54,50.58,49.95,50.38,4195400,50.00
2013-11-18,51.25,51.32,50.52,50.95,3182100,50.56
2013-11-15,51.52,51.66,50.90,51.31,2338000,50.92
2013-11-14,50.97,51.57,50.88,51.53,2125100,51.14
2013-11-13,50.27,50.89,50.09,50.88,2484600,50.49
2013-11-12,50.44,50.48,50.10,50.46,1974200,50.08
2013-11-11,50.60,50.82,50.28,50.45,1642500,50.07
2013-11-08,50.20,50.54,49.65,50.54,2618000,50.15
2013-11-07,51.05,51.24,50.30,50.40,2694000,50.02
2013-11-06,50.97,51.25,50.67,51.15,1727200,50.76
2013-11-05,50.24,50.77,50.09,50.70,2347400,50.31
2013-11-04,50.50,50.75,50.24,50.46,1976200,50.08
2013-11-01,50.55,50.75,50.11,50.32,3600600,49.94
2013-10-31,50.65,50.80,50.36,50.42,2620900,50.04
2013-10-30,51.11,51.11,50.49,50.64,2060900,50.25
2013-10-29,50.77,51.12,50.72,51.06,1886500,50.67
2013-10-28,50.01,50.98,50.01,50.70,3460300,50.31
2013-10-25,49.90,50.07,49.71,50.06,1360800,49.68
2013-10-24,49.97,50.11,49.71,49.91,1649400,49.53
2013-10-23,49.45,50.23,49.45,50.02,2751200,49.64
2013-10-22,49.05,49.82,49.01,49.65,2451100,49.27
2013-10-21,48.80,49.04,48.46,48.97,3986100,48.60
2013-10-18,49.16,49.31,49.04,49.19,2339800,48.82
2013-10-17,48.64,49.07,48.63,48.97,2789500,48.60
2013-10-16,48.21,48.80,48.17,48.77,2941400,48.40
2013-10-15,48.25,48.40,47.86,47.91,1936900,47.54
2013-10-14,48.20,48.46,47.89,48.34,2036600,47.97
