Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,20.50,20.75,20.37,20.61,9459000,20.61
2014-03-27,20.43,20.75,20.22,20.46,11889700,20.46
2014-03-26,20.34,20.69,20.30,20.43,19410100,20.43
2014-03-25,19.69,20.24,19.64,20.06,21216900,20.06
2014-03-24,19.61,19.70,19.33,19.61,10662600,19.61
2014-03-21,19.58,19.69,19.44,19.52,19273600,19.52
2014-03-20,19.03,19.67,19.03,19.42,12860900,19.42
2014-03-19,19.25,19.31,18.91,19.04,13186800,19.04
2014-03-18,19.13,19.41,19.13,19.31,8087400,19.31
2014-03-17,18.96,19.19,18.94,19.13,12153000,19.13
2014-03-14,19.05,19.12,18.80,18.87,13638200,18.87
2014-03-13,19.33,19.51,19.10,19.17,8771400,19.17
2014-03-12,19.17,19.38,19.13,19.30,8513600,19.30
2014-03-11,19.41,19.53,19.16,19.26,8339100,19.26
2014-03-10,19.58,19.64,19.26,19.39,11030200,19.39
2014-03-07,19.68,19.78,19.57,19.64,8484900,19.64
2014-03-06,19.73,19.77,19.50,19.54,13693000,19.54
2014-03-05,19.50,19.82,19.36,19.66,11178600,19.66
2014-03-04,19.39,19.50,19.20,19.50,20544800,19.50
2014-03-03,18.99,19.15,18.84,19.04,8396400,19.04
2014-02-28,19.32,19.38,19.04,19.27,11577600,19.27
2014-02-27,19.13,19.35,19.13,19.34,9252500,19.34
2014-02-26,19.17,19.35,19.13,19.27,8092200,19.27
2014-02-25,19.31,19.36,19.12,19.28,8851800,19.18
2014-02-24,19.04,19.44,19.03,19.31,12402200,19.21
2014-02-21,19.00,19.14,18.95,19.07,12835000,18.97
2014-02-20,18.95,19.11,18.92,19.00,8441800,18.90
2014-02-19,18.98,19.10,18.91,18.92,11399300,18.82
2014-02-18,19.05,19.19,18.98,19.08,13754500,18.98
2014-02-14,19.00,19.22,19.00,19.11,9997800,19.01
2014-02-13,18.82,19.10,18.75,19.09,9019600,18.99
2014-02-12,18.81,19.08,18.80,19.01,10749400,18.91
2014-02-11,18.38,18.96,18.38,18.80,15465700,18.70
2014-02-10,18.32,18.59,18.27,18.43,12889500,18.33
2014-02-07,18.06,18.41,17.92,18.36,17291100,18.26
2014-02-06,17.55,18.11,17.51,18.08,18072200,17.99
2014-02-05,17.17,17.65,17.13,17.55,14424100,17.46
2014-02-04,17.10,17.25,16.99,17.19,12050100,17.10
2014-02-03,17.29,17.34,16.90,17.05,19567900,16.96
2014-01-31,17.15,17.37,17.10,17.21,12660700,17.12
2014-01-30,17.29,17.50,17.25,17.38,9301100,17.29
2014-01-29,17.00,17.36,16.95,17.16,15088100,17.07
2014-01-28,16.97,17.64,16.55,17.10,41283500,17.01
2014-01-27,18.28,18.55,18.05,18.22,20667000,18.13
2014-01-24,18.77,18.77,18.17,18.21,18852800,18.12
2014-01-23,18.85,19.02,18.77,18.98,15890300,18.88
2014-01-22,18.76,19.12,18.69,19.00,11532600,18.90
2014-01-21,18.88,18.90,18.63,18.76,11635400,18.66
2014-01-09,18.01,18.16,17.95,18.00,8260800,17.91
2014-01-08,17.86,17.98,17.73,17.98,9015300,17.89
2014-01-07,17.76,18.00,17.74,17.84,9730100,17.75
2014-01-06,17.99,18.00,17.68,17.73,15343400,17.64
2014-01-03,17.77,17.96,17.77,17.89,7592100,17.80
2014-01-02,17.74,17.81,17.62,17.77,7571600,17.68
2013-12-31,17.80,17.89,17.76,17.82,5144200,17.73
2013-12-30,17.75,17.84,17.73,17.78,5497100,17.69
2013-12-27,17.75,17.85,17.73,17.77,4206000,17.68
2013-12-26,17.65,17.76,17.64,17.73,6314000,17.64
2013-12-24,17.58,17.72,17.58,17.64,2769400,17.55
2013-12-23,17.46,17.68,17.46,17.56,6694100,17.47
2013-12-20,17.40,17.65,17.36,17.43,15858800,17.34
2013-12-19,17.38,17.48,17.35,17.42,7637200,17.33
2013-12-18,17.15,17.42,17.05,17.37,11490900,17.28
2013-12-17,17.15,17.24,17.13,17.22,10024200,17.13
2013-12-16,16.98,17.11,16.94,17.05,7724900,16.96
2013-12-13,17.13,17.15,16.86,16.88,9572500,16.79
2013-12-12,16.79,17.06,16.77,17.01,10629900,16.92
2013-12-11,17.21,17.24,16.89,16.94,12758600,16.85
2013-12-10,17.03,17.37,17.02,17.26,8807500,17.17
2013-12-09,17.09,17.13,16.97,17.02,7602800,16.93
2013-12-06,16.84,17.16,16.84,17.11,10788800,17.02
2013-12-05,16.73,16.86,16.63,16.63,19715000,16.54
2013-12-04,16.72,16.93,16.63,16.78,11230900,16.69
2013-12-03,16.98,16.98,16.63,16.78,15031300,16.69
2013-12-02,17.08,17.25,17.01,17.06,10190500,16.97
2013-11-29,17.16,17.20,16.98,17.08,4489900,16.99
2013-11-27,17.08,17.19,17.07,17.17,5739100,17.08
2013-11-26,17.08,17.26,16.98,17.08,12868800,16.99
2013-11-25,17.28,17.32,17.00,17.08,8274200,16.99
2013-11-22,17.12,17.26,16.94,17.26,10400800,17.17
2013-11-21,16.91,17.22,16.91,17.14,9605600,17.05
2013-11-20,16.88,17.08,16.76,16.84,7963200,16.75
2013-11-19,16.77,17.02,16.76,16.86,9312500,16.77
2013-11-18,16.97,17.08,16.70,16.78,10750800,16.69
2013-11-15,16.85,17.01,16.82,17.01,14419000,16.92
2013-11-14,16.87,16.99,16.64,16.79,13278600,16.70
2013-11-13,16.57,16.97,16.54,16.85,12204400,16.76
2013-11-12,16.57,16.84,16.54,16.73,11422500,16.54
2013-11-11,16.57,16.65,16.46,16.59,7464800,16.41
2013-11-08,16.34,16.61,16.24,16.58,13788500,16.40
2013-11-07,16.57,16.69,16.22,16.31,13157900,16.13
2013-11-06,16.53,16.59,16.31,16.55,12358700,16.37
2013-11-05,16.63,16.82,16.45,16.50,24344800,16.32
2013-11-04,17.21,17.34,17.15,17.26,10089600,17.07
2013-11-01,17.09,17.34,17.02,17.13,10208200,16.94
2013-10-31,16.86,17.27,16.80,17.09,17040200,16.90
2013-10-30,17.66,17.70,16.92,17.00,15904200,16.81
2013-10-29,17.34,17.55,17.22,17.51,14495900,17.32
2013-10-28,17.29,17.40,17.14,17.30,10179500,17.11
2013-10-25,17.47,17.52,17.14,17.35,15555200,17.16
2013-10-24,17.49,17.52,16.83,17.48,36881100,17.29
2013-10-23,18.04,18.07,16.73,17.52,87157100,17.32
2013-10-22,15.18,15.48,15.17,15.35,23647000,15.18
2013-10-21,15.02,15.13,14.99,15.09,8176700,14.92
2013-10-18,14.94,15.04,14.83,15.00,15029800,14.83
2013-10-17,14.36,14.89,14.36,14.83,14745400,14.66
2013-10-16,14.35,14.47,14.31,14.42,13434500,14.26
2013-10-15,14.32,14.50,14.18,14.27,12971300,14.11
2013-10-14,14.30,14.50,14.20,14.41,11265500,14.25
2013-10-11,14.27,14.45,14.17,14.45,15281200,14.29
2013-10-10,14.23,14.47,14.14,14.46,13483400,14.30
2013-10-09,14.02,14.10,13.82,14.01,15462200,13.85
2013-10-08,14.47,14.49,14.00,14.00,16326300,13.84
2013-10-07,14.43,14.60,14.37,14.48,11501400,14.32
2013-10-04,14.27,14.65,14.27,14.63,13314100,14.47
2013-10-03,14.50,14.57,14.25,14.30,12940000,14.14
2013-10-02,14.60,14.65,14.47,14.53,12603600,14.37
2013-10-01,14.60,14.74,14.53,14.74,8261400,14.58
2013-09-30,14.58,14.70,14.47,14.59,10503800,14.43
2013-09-27,14.89,14.91,14.63,14.73,9650400,14.57
2013-09-26,14.94,15.00,14.84,14.94,10756100,14.77
2013-09-25,14.87,15.00,14.76,14.92,9578800,14.75
2013-09-24,14.79,14.93,14.76,14.88,11720400,14.71
2013-09-23,14.74,14.93,14.60,14.82,15072200,14.66
2013-09-20,14.87,14.96,14.67,14.67,13602500,14.51
2013-09-19,15.09,15.11,14.83,14.87,10313700,14.70
2013-09-18,14.73,15.09,14.70,15.02,18397600,14.85
2013-09-17,14.49,14.65,14.38,14.65,11418900,14.49
2013-09-16,14.78,14.80,14.48,14.49,12064300,14.33
2013-09-13,14.56,14.64,14.42,14.64,7336600,14.48
2013-09-12,14.88,14.89,14.39,14.49,16781200,14.33
2013-09-11,14.87,14.93,14.79,14.89,7728500,14.72
2013-09-10,14.73,14.86,14.69,14.86,9345500,14.69
2013-09-09,14.41,14.66,14.41,14.63,8429400,14.47
2013-09-06,14.48,14.50,14.23,14.40,11556200,14.24
2013-09-05,14.23,14.50,14.21,14.45,9632400,14.29
2013-09-04,13.91,14.32,13.89,14.18,13516600,14.02
2013-09-03,14.06,14.17,13.84,13.92,12256900,13.77
2013-08-30,14.18,14.21,13.94,14.04,8465000,13.88
