Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,84.37,85.38,84.06,85.23,464000,85.23
2014-03-27,84.05,84.16,83.51,83.96,444500,83.96
2014-03-26,84.73,85.08,83.97,84.24,604700,84.24
2014-03-25,84.96,85.05,84.11,84.46,683100,84.46
2014-03-24,84.91,85.32,83.92,84.20,572600,84.20
2014-03-21,85.50,85.64,84.59,84.69,1192100,84.69
2014-03-20,84.68,85.30,84.46,85.08,598400,85.08
2014-03-19,85.97,86.26,84.36,84.90,698400,84.90
2014-03-18,85.93,86.10,85.53,85.85,493100,85.85
2014-03-17,86.01,86.40,85.33,85.77,673200,85.77
2014-03-14,85.50,86.11,85.33,85.43,865400,85.43
2014-03-13,87.11,87.25,85.54,85.54,818500,85.54
2014-03-12,86.06,86.80,85.75,86.78,513900,86.78
2014-03-11,86.76,87.10,86.16,86.44,447700,86.44
2014-03-10,87.30,87.49,86.22,86.55,595800,86.55
2014-03-07,87.35,87.76,87.03,87.48,486400,87.48
2014-03-06,88.03,88.12,87.01,87.09,523200,87.09
2014-03-05,87.62,88.14,87.25,87.60,594400,87.60
2014-03-04,88.09,88.31,87.41,87.93,743300,87.36
2014-03-03,86.80,87.28,85.99,86.98,756100,86.41
2014-02-28,87.05,88.27,86.76,88.09,811400,87.51
2014-02-27,86.94,87.14,86.10,86.79,618700,86.22
2014-02-26,86.74,87.78,86.64,87.15,664100,86.58
2014-02-25,87.18,87.33,86.55,86.71,852000,86.14
2014-02-24,87.45,88.05,87.11,87.12,657800,86.55
2014-02-21,87.14,87.63,86.63,87.25,542000,86.68
2014-02-20,86.27,87.17,85.86,87.05,663400,86.48
2014-02-19,87.36,87.36,86.18,86.46,1141300,85.89
2014-02-18,87.00,90.00,87.00,87.41,1923900,86.84
2014-02-14,84.70,85.99,84.25,85.95,949300,85.39
2014-02-13,83.11,85.04,83.11,84.64,931800,84.09
2014-02-12,83.04,83.91,82.92,83.82,706300,83.27
2014-02-11,82.00,83.23,81.96,82.85,635800,82.31
2014-02-10,81.51,82.14,81.12,81.88,583600,81.34
2014-02-07,81.15,81.73,80.80,81.59,622500,81.06
2014-02-06,78.54,80.89,78.26,80.60,1085600,80.07
2014-02-05,77.96,78.36,76.85,78.07,1058900,77.56
2014-02-04,77.40,78.43,76.50,78.00,1739100,77.49
2014-02-03,81.96,82.20,77.50,77.75,1524200,77.24
2014-01-31,81.08,82.57,81.02,82.25,824000,81.71
2014-01-30,81.99,82.14,81.25,82.08,805800,81.54
2014-01-29,82.63,82.86,81.06,81.32,696400,80.79
2014-01-28,83.40,83.68,82.92,83.21,1356000,82.67
2014-01-27,82.64,83.47,82.14,82.91,840500,82.37
2014-01-24,83.30,83.52,82.33,82.34,848700,81.80
2014-01-23,84.03,84.17,83.50,84.05,674000,83.50
2014-01-22,84.63,84.81,83.78,84.75,877500,84.20
2014-01-21,84.15,84.43,83.55,84.24,856800,83.69
2014-01-17,84.67,84.67,83.58,84.14,1359000,83.59
2014-01-16,83.52,84.61,83.28,84.60,726300,84.05
2014-01-15,82.79,83.87,82.25,83.57,935800,83.02
2014-01-14,82.09,82.87,81.50,82.74,622600,82.20
2014-01-13,83.17,83.45,81.43,81.63,814600,81.10
2014-01-09,82.98,83.42,82.23,82.83,567500,82.29
2014-01-08,83.03,83.06,82.34,82.91,881900,82.37
2014-01-07,82.88,83.38,82.18,83.13,864200,82.59
2014-01-06,82.58,83.15,82.00,82.04,644900,81.50
2014-01-03,82.17,82.80,81.62,82.32,624900,81.78
2014-01-02,83.10,83.13,81.63,81.92,545100,81.38
2013-12-31,83.27,83.64,82.85,83.19,325000,82.65
2013-12-30,83.15,83.36,82.51,83.15,321900,82.61
2013-12-27,83.33,83.50,82.80,83.22,383100,82.68
2013-12-26,82.84,83.14,82.68,83.03,254600,82.49
2013-12-24,82.48,82.91,82.20,82.74,144400,82.20
2013-12-23,82.24,82.64,82.01,82.30,393200,81.76
2013-12-20,81.69,82.08,81.33,81.77,802500,81.24
2013-12-19,81.64,81.93,81.39,81.60,907400,81.07
2013-12-18,80.77,81.74,80.18,81.74,967700,81.21
2013-12-17,80.84,81.16,80.50,80.56,612200,80.03
2013-12-16,81.44,81.69,80.94,80.94,1080600,80.41
2013-12-13,81.38,81.65,80.72,81.12,540700,80.59
2013-12-12,81.43,81.68,81.00,81.09,544200,80.56
2013-12-11,82.69,82.77,81.40,81.62,853800,81.09
2013-12-10,82.29,83.04,82.23,82.78,562900,82.24
2013-12-09,81.74,82.50,81.66,82.42,675500,81.88
2013-12-06,81.15,81.81,80.87,81.72,1118300,81.19
2013-12-05,81.34,81.39,80.25,80.33,1006200,79.80
2013-12-04,81.98,82.63,80.80,81.46,896200,80.93
2013-12-03,82.79,84.89,82.39,82.96,1770800,81.88
2013-12-02,82.91,83.23,82.15,82.32,651000,81.25
2013-11-29,82.13,83.29,82.00,82.84,464200,81.76
2013-11-27,81.65,81.90,81.35,81.84,432800,80.78
2013-11-26,81.77,81.97,81.32,81.35,626700,80.29
2013-11-25,82.14,82.33,81.45,81.59,459300,80.53
2013-11-22,81.80,82.22,81.61,81.95,639300,80.89
2013-11-21,81.40,81.82,81.12,81.65,1704000,80.59
2013-11-20,82.28,82.44,81.04,81.25,876200,80.20
2013-11-19,82.34,82.45,81.58,81.88,1533600,80.82
2013-11-18,83.00,83.00,82.12,82.43,606200,81.36
2013-11-15,82.63,82.87,82.01,82.75,1612300,81.68
2013-11-14,81.94,82.67,81.55,82.63,958800,81.56
2013-11-13,80.99,82.08,80.86,81.76,820100,80.70
2013-11-12,81.07,81.51,80.81,81.40,536800,80.34
2013-11-11,80.55,81.47,80.51,81.44,425400,80.38
2013-11-08,79.42,80.78,79.18,80.69,591700,79.64
2013-11-07,81.25,81.31,79.40,79.48,716800,78.45
2013-11-06,80.60,81.15,80.13,80.96,502300,79.91
2013-11-05,79.92,80.61,79.32,80.21,730000,79.17
2013-11-04,79.61,80.55,79.13,80.53,782800,79.48
2013-11-01,79.02,79.30,78.34,78.99,393500,77.96
2013-10-31,78.93,79.33,78.38,78.83,675400,77.81
2013-10-30,79.58,80.00,78.49,79.10,642000,78.07
2013-10-29,79.35,79.53,78.65,79.49,586300,78.46
2013-10-28,79.21,79.46,78.87,79.08,519700,78.05
2013-10-25,79.12,79.12,76.26,79.09,570200,78.06
2013-10-24,78.70,79.06,78.37,78.84,602400,77.82
2013-10-23,78.09,78.58,77.74,78.40,653900,77.38
2013-10-22,78.29,78.72,77.69,78.20,704900,77.18
2013-10-21,78.68,78.70,77.14,78.09,992500,77.08
2013-10-18,77.98,79.48,76.45,78.65,2957800,77.63
2013-10-17,79.47,80.90,79.16,80.77,926800,79.72
2013-10-16,79.22,80.54,79.15,79.74,1136100,78.70
2013-10-15,79.84,79.84,78.52,78.92,908100,77.90
2013-10-14,79.70,80.05,79.41,79.91,674000,78.87
2013-10-11,80.38,80.62,79.97,80.61,578000,79.56
2013-10-10,79.23,80.72,78.96,80.55,670500,79.50
2013-10-09,78.44,78.62,77.66,78.27,451800,77.25
2013-10-08,79.56,79.73,78.25,78.28,486400,77.26
2013-10-07,79.93,80.61,79.47,79.49,492800,78.46
2013-10-04,79.26,80.66,79.08,80.65,522700,79.60
2013-10-03,81.36,81.43,79.28,79.35,895400,78.32
2013-10-02,80.84,81.26,79.90,81.23,438400,80.18
2013-10-01,80.74,81.29,80.13,81.19,725100,80.14
2013-09-30,79.84,80.90,79.69,80.89,744700,79.84
2013-09-27,80.27,80.49,80.09,80.39,453200,79.35
2013-09-26,80.99,81.50,80.32,80.70,463700,79.65
2013-09-25,81.02,81.53,80.59,80.94,519000,79.89
2013-09-24,81.12,81.42,80.56,80.84,506200,79.79
2013-09-23,81.30,81.50,80.29,81.07,427400,80.02
2013-09-20,81.84,82.46,81.27,81.31,687300,80.25
2013-09-19,81.94,82.42,81.43,81.75,337000,80.69
2013-09-18,80.39,81.80,79.60,81.58,492500,80.52
2013-09-17,79.89,80.36,79.83,80.36,282000,79.32
2013-09-16,80.80,80.84,79.69,79.89,625700,78.85
2013-09-13,80.49,80.59,79.45,79.80,793100,78.76
2013-09-12,80.91,81.22,80.01,80.23,551600,79.19
2013-09-11,80.99,81.40,80.71,81.02,461900,79.97
2013-09-10,80.61,81.15,80.47,80.93,814700,79.88
2013-09-09,78.75,80.34,78.75,80.22,699300,79.18
2013-09-06,78.81,79.18,77.83,78.66,726500,77.64
2013-09-05,77.06,78.56,76.94,78.32,614500,77.30
2013-09-04,76.44,77.24,76.40,77.10,492900,76.10
2013-09-03,77.80,78.07,76.70,77.11,629900,75.58
2013-08-30,77.54,77.54,76.55,77.01,498700,75.48
2013-08-29,77.20,77.74,77.01,77.30,425600,75.76
2013-08-28,77.90,78.05,76.90,77.26,672600,75.72
2013-08-27,78.33,78.71,77.79,77.84,572000,76.29
2013-08-26,79.50,79.94,79.19,79.42,385800,77.84
2013-08-23,79.55,79.61,78.81,79.42,381600,77.84
2013-08-22,78.98,79.57,78.52,79.35,364600,77.77
2013-08-21,79.61,79.94,78.81,78.93,590800,77.36
2013-08-20,78.33,80.05,78.33,79.73,776100,78.15
2013-08-19,77.89,78.23,77.70,78.16,789700,76.61
2013-08-16,78.28,78.74,77.80,77.83,2428300,76.28
2013-08-15,80.16,80.17,78.69,78.75,864700,77.19
2013-08-14,81.65,81.65,80.53,80.62,580900,79.02
2013-08-13,81.93,82.05,81.19,81.57,635900,79.95
2013-08-12,82.24,82.70,81.48,81.65,824400,80.03
2013-08-09,82.47,83.19,82.26,82.58,846200,80.94
2013-08-08,83.29,83.48,82.23,82.40,776200,80.76
2013-08-07,83.25,83.33,82.24,82.68,827000,81.04
2013-08-06,84.15,84.60,83.03,83.33,697000,81.67
2013-08-05,84.30,84.67,83.64,84.38,472000,82.70
2013-08-02,83.93,84.58,83.33,84.57,642000,82.89
2013-08-01,82.66,84.04,82.53,83.97,488400,82.30
2013-07-31,82.10,82.74,81.87,81.99,530600,80.36
2013-07-30,82.03,82.54,81.81,81.83,374200,80.20
2013-07-29,82.05,82.57,81.46,81.54,472200,79.92
2013-07-26,81.46,82.11,81.26,82.10,385100,80.47
2013-07-25,81.07,81.93,80.82,81.91,917700,80.28
2013-07-24,81.92,82.36,80.95,81.29,1046400,79.67
2013-07-23,82.16,82.53,81.58,81.68,1056400,80.06
2013-07-22,82.38,82.54,81.35,81.84,1130300,80.21
2013-07-19,82.21,82.76,81.33,82.40,1087900,80.76
2013-07-18,83.00,84.61,81.10,82.34,2099400,80.70
2013-07-17,84.51,85.00,83.68,84.13,856800,82.46
2013-07-16,84.62,84.95,83.67,84.19,587800,82.52
2013-07-15,85.25,85.41,84.38,84.52,700100,82.84
2013-07-12,84.73,85.07,84.03,85.03,642300,83.34
2013-07-11,84.33,84.86,84.00,84.80,788000,83.12
2013-07-10,83.63,83.73,82.78,83.50,1025300,81.84
2013-07-09,84.16,84.64,83.30,83.63,1396300,81.97
2013-07-08,84.75,85.27,83.16,83.68,1419000,82.02
2013-07-05,83.57,83.81,82.14,83.74,1040200,82.08
2013-07-03,84.02,84.25,82.75,82.86,1203100,81.21
2013-07-02,82.57,84.00,81.02,83.23,5767000,81.58
2013-07-01,78.11,79.83,77.62,79.77,976800,78.19
2013-06-28,77.26,78.40,76.87,78.07,1044100,76.52
2013-06-27,77.11,77.65,76.86,77.35,465500,75.81
2013-06-26,77.97,78.00,76.61,76.70,798200,75.18
2013-06-25,76.67,77.45,76.18,77.30,400700,75.76
2013-06-24,75.57,76.80,75.14,75.96,608400,74.45
2013-06-21,77.08,77.48,75.58,76.31,851500,74.79
2013-06-20,77.94,78.00,76.33,76.47,752900,74.95
2013-06-19,79.64,79.78,78.51,78.51,351900,76.95
2013-06-18,79.12,79.69,78.51,79.64,430900,78.06
2013-06-17,79.04,79.49,78.56,78.97,373600,77.40
2013-06-14,78.46,79.11,78.01,78.64,398300,77.08
2013-06-13,77.57,78.69,77.30,78.62,411900,77.06
2013-06-12,79.14,79.14,77.26,77.44,569000,75.90
