Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,162.21,164.19,161.29,162.30,2606300,162.30
2014-03-27,161.80,163.31,160.77,162.29,3890200,162.29
2014-03-26,164.74,165.00,161.72,161.73,2590300,161.73
2014-03-25,166.59,167.42,162.80,163.25,4437500,163.25
2014-03-24,167.13,167.98,165.10,165.72,2723000,165.72
2014-03-21,169.69,170.00,166.91,166.95,4795400,166.95
2014-03-20,167.88,170.45,167.27,169.22,3950500,169.22
2014-03-19,168.49,170.16,166.80,168.18,3534100,168.18
2014-03-18,167.27,169.00,167.01,168.09,1941300,168.09
2014-03-17,166.38,168.80,166.33,166.84,3198000,166.84
2014-03-14,166.90,167.40,165.03,165.35,2762100,165.35
2014-03-13,170.48,171.24,166.57,166.70,3421400,166.70
2014-03-12,169.13,169.99,167.81,169.72,2565800,169.72
2014-03-11,173.96,173.96,169.85,169.89,3832300,169.89
2014-03-10,173.60,174.49,172.47,173.51,2179100,173.51
2014-03-07,173.98,175.59,173.11,174.26,4088900,174.26
2014-03-06,172.71,174.00,172.49,172.60,3403500,172.60
2014-03-05,168.80,172.90,168.25,171.90,4451200,171.90
2014-03-04,166.64,168.76,166.20,168.73,3400500,168.73
2014-03-03,164.22,165.31,163.66,164.74,3122900,164.74
2014-02-28,164.81,167.82,164.57,166.45,4291500,166.45
2014-02-27,162.66,165.79,162.34,165.38,3806600,165.38
2014-02-26,163.26,163.90,160.77,162.80,3978300,162.80
2014-02-25,166.11,166.30,163.16,163.48,3682300,162.93
2014-02-24,164.08,167.41,164.08,166.54,3242900,165.98
2014-02-21,164.30,165.65,164.15,164.50,2594500,163.95
2014-02-20,163.49,164.97,162.67,164.50,2631900,163.95
2014-02-19,163.91,166.18,162.98,163.26,3669700,162.71
2014-02-18,164.04,165.59,163.72,164.65,3399900,164.10
2014-02-14,163.33,164.50,162.93,163.72,3287900,163.17
2014-02-13,162.55,164.40,162.10,164.06,3119600,163.51
2014-02-12,164.50,165.23,163.23,163.50,3046600,162.95
2014-02-11,161.21,164.96,160.31,164.39,4996300,163.84
2014-02-10,161.02,161.77,160.28,161.00,4321700,160.46
2014-02-07,162.78,162.90,160.27,161.93,4879900,161.39
2014-02-06,161.16,162.00,160.10,161.75,3798000,161.21
2014-02-05,160.59,162.65,160.32,160.42,3212900,159.88
2014-02-04,160.90,162.57,159.85,161.76,3346600,161.22
2014-02-03,165.15,165.52,159.77,159.82,5079700,159.28
2014-01-31,163.80,165.98,163.30,164.12,3415500,163.57
2014-01-30,165.33,166.17,164.57,165.84,2829400,165.28
2014-01-29,163.97,166.10,163.62,163.90,3473700,163.35
2014-01-28,165.03,166.55,164.59,166.25,3170400,165.69
2014-01-27,167.08,167.60,163.43,164.69,5589600,164.14
2014-01-09,179.08,179.08,176.61,177.40,2149500,176.80
2014-01-08,178.50,178.90,177.26,178.44,2208600,177.84
2014-01-07,180.73,180.98,177.52,178.29,2734700,177.69
2014-01-06,179.15,181.13,178.88,179.37,2954000,178.77
2014-01-03,176.35,178.85,176.22,178.15,2147400,177.55
2014-01-02,176.95,178.38,176.36,176.89,1982100,176.29
2013-12-31,176.22,177.44,176.22,177.26,1663900,176.66
2013-12-30,176.50,177.12,175.26,175.73,1241000,175.14
2013-12-27,176.39,176.45,175.57,176.35,1716900,175.76
2013-12-26,176.60,176.76,175.18,176.45,1320100,175.86
2013-12-24,176.67,176.68,175.44,176.16,781300,175.57
2013-12-23,175.88,176.69,175.50,176.47,1585300,175.88
2013-12-20,174.66,175.79,173.75,175.16,3754300,174.57
2013-12-19,174.61,175.80,174.00,174.77,3094400,174.18
2013-12-18,171.00,174.92,169.99,174.84,4509600,174.25
2013-12-17,171.27,171.27,169.71,170.49,2856700,169.92
2013-12-16,169.31,171.49,169.09,170.95,2980000,170.37
2013-12-13,168.59,169.29,167.60,168.39,2490600,167.82
2013-12-12,166.59,168.96,166.52,168.33,2911900,167.76
2013-12-11,169.51,169.83,167.13,167.60,2977100,167.04
2013-12-10,167.87,172.20,167.52,169.73,4235400,169.16
2013-12-09,168.00,169.13,166.84,167.67,2589500,167.11
2013-12-06,167.58,167.96,164.77,167.21,2708500,166.65
2013-12-05,167.41,167.96,165.35,165.56,3564100,165.00
2013-12-04,167.31,169.93,167.31,168.70,2328200,168.13
2013-12-03,169.09,170.76,167.91,168.05,3288200,167.48
2013-12-02,169.88,171.58,168.68,169.72,3121100,169.15
2013-11-29,167.89,170.38,167.69,168.94,2018700,168.37
2013-11-27,168.05,168.81,166.87,168.22,2285300,167.65
2013-11-26,169.36,170.69,168.00,168.04,2953400,166.93
2013-11-25,168.50,170.50,168.50,169.48,3101700,168.36
2013-11-22,166.77,168.24,165.53,168.10,2680500,166.99
2013-11-21,165.25,167.32,165.01,167.07,3158500,165.96
2013-11-20,166.76,167.25,164.86,165.00,2793100,163.91
2013-11-19,165.87,168.00,165.63,166.60,2691900,165.50
2013-11-18,164.74,167.65,164.20,165.68,3555000,164.58
2013-11-15,163.18,165.42,163.18,164.40,2667200,163.31
2013-11-14,163.55,163.95,162.41,163.20,3648200,162.12
2013-11-13,161.78,163.71,161.20,162.94,3398300,161.86
2013-11-12,163.10,164.38,162.13,162.89,2239600,161.81
2013-11-11,162.50,164.75,162.16,163.84,2289000,162.75
2013-11-08,160.39,163.69,159.88,163.17,3856000,162.09
2013-11-07,164.04,164.21,159.61,159.64,3490300,158.58
2013-11-06,162.53,164.30,162.33,163.52,3593700,162.44
2013-11-05,161.67,162.63,160.78,161.95,2529400,160.88
2013-11-04,162.42,163.24,161.59,163.16,1711000,162.08
2013-11-01,161.03,162.60,160.72,162.05,2738400,160.98
2013-10-31,162.09,163.35,160.86,160.86,2785000,159.79
2013-10-30,162.56,162.97,161.15,162.05,2344200,160.98
2013-10-29,162.07,163.11,161.01,162.11,3702100,161.04
2013-10-28,162.00,162.19,160.25,161.45,3341500,160.38
2013-10-25,160.00,162.24,159.91,162.09,3721000,161.02
2013-10-24,159.45,160.35,158.83,159.96,2591000,158.90
2013-10-23,158.02,158.08,156.56,157.74,2735800,156.69
2013-10-22,160.64,160.71,158.23,159.25,3239400,158.19
2013-10-21,158.67,160.65,158.25,159.77,2695400,158.71
2013-10-18,158.84,159.70,156.68,158.69,4982100,157.64
2013-10-17,156.48,159.20,155.99,158.32,7522100,157.27
2013-10-16,158.58,162.50,157.50,162.25,3649300,161.17
2013-10-15,159.81,160.04,157.51,157.63,3038000,156.59
2013-10-14,158.22,159.92,157.50,159.46,2428100,158.40
2013-10-11,158.49,160.49,157.52,160.00,3124900,158.94
2013-10-10,156.83,158.24,156.00,158.01,3639000,156.96
2013-10-09,153.56,155.32,152.83,154.44,3227500,153.42
2013-10-08,154.62,155.85,153.00,153.05,2917200,152.04
2013-10-07,155.17,156.20,154.22,154.25,2618000,153.23
