Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,25.58,26.23,25.50,25.94,2380200,25.94
2014-03-27,25.19,25.77,24.95,25.55,3641900,25.55
2014-03-26,26.25,26.34,25.25,25.25,5607000,25.25
2014-03-25,26.64,26.79,25.92,26.13,3257500,26.13
2014-03-24,26.91,27.11,26.45,26.47,5708400,26.47
2014-03-21,27.54,27.57,26.90,26.92,3563700,26.92
2014-03-20,27.20,27.38,26.93,27.24,2966200,27.24
2014-03-19,27.78,27.79,27.18,27.31,3881000,27.31
2014-03-18,27.35,27.76,27.31,27.70,2129000,27.70
2014-03-17,27.48,27.78,27.21,27.29,2117200,27.29
2014-03-14,26.74,27.58,26.74,27.29,3097500,27.29
2014-03-13,27.33,27.41,26.48,26.71,2541100,26.71
2014-03-12,27.07,27.30,26.76,27.15,3556700,27.15
2014-03-11,27.91,27.94,27.06,27.19,4554600,27.19
2014-03-10,27.70,27.95,27.38,27.91,2620300,27.91
2014-03-07,28.32,28.32,27.51,27.66,3190600,27.66
2014-03-06,27.55,28.14,27.48,28.12,7222600,28.12
2014-03-05,27.41,27.64,27.19,27.49,3392900,27.49
2014-03-04,26.95,27.68,26.79,27.48,4797900,27.48
2014-03-03,26.42,26.64,26.06,26.64,3345200,26.64
2014-02-28,26.85,27.11,26.62,26.87,6604500,26.87
2014-02-27,26.25,26.78,26.11,26.69,3768600,26.69
2014-02-26,26.55,26.71,26.06,26.26,3965400,26.26
2014-02-25,26.79,26.79,26.30,26.50,2556800,26.50
2014-02-24,26.81,26.88,26.25,26.44,3276400,26.44
2014-02-21,26.71,26.81,26.41,26.54,2478900,26.54
2014-02-20,26.70,27.21,26.56,26.65,3897100,26.65
2014-02-19,26.46,26.88,26.23,26.56,5016600,26.56
2014-02-18,26.57,26.89,26.36,26.63,5216700,26.63
2014-02-14,26.82,27.09,26.56,26.76,7460100,26.76
2014-02-13,25.00,27.27,24.68,26.94,16946100,26.94
2014-02-12,24.25,24.67,24.13,24.17,8679300,24.17
2014-02-11,23.60,24.16,23.51,24.02,4520400,24.02
2014-02-10,23.57,23.74,23.29,23.50,3367000,23.50
2014-02-07,23.38,23.60,23.07,23.53,2741900,23.53
2014-02-06,22.72,23.54,22.65,23.23,7112100,23.23
2014-02-05,22.77,22.90,22.33,22.86,4396200,22.86
2014-02-04,22.63,22.94,22.41,22.91,4190600,22.91
2014-02-03,23.57,23.72,22.42,22.62,8186800,22.62
2014-01-31,23.21,23.84,23.09,23.66,3856400,23.66
2014-01-30,23.24,23.61,23.11,23.51,2902200,23.51
2014-01-29,23.01,23.44,22.79,23.11,3989800,23.11
2014-01-28,23.18,23.70,23.07,23.38,3277100,23.33
2014-01-27,22.96,23.38,22.57,23.17,4330300,23.12
2014-01-24,23.71,23.72,22.97,23.04,5968100,22.99
2014-01-23,24.30,24.38,23.73,23.89,3129500,23.84
2014-01-22,24.33,24.49,24.03,24.42,3062300,24.37
2014-01-21,24.84,24.89,24.14,24.18,3682200,24.13
2014-01-17,24.99,25.20,24.48,24.53,3730600,24.48
2014-01-16,25.28,25.30,24.85,24.92,3111700,24.87
2014-01-15,25.42,25.75,25.09,25.21,3473700,25.16
2014-01-14,25.44,25.62,25.20,25.42,4035400,25.37
2014-01-13,26.16,26.29,25.22,25.33,4607900,25.28
2014-01-09,24.98,25.87,24.80,25.22,9002700,25.17
2014-01-08,24.16,24.76,23.98,24.71,7129900,24.66
2014-01-07,23.90,24.50,23.80,24.05,4744600,24.00
2014-01-06,23.46,23.95,23.31,23.76,5410400,23.71
2014-01-03,23.70,23.73,23.15,23.37,1995500,23.32
2014-01-02,23.67,23.74,23.31,23.53,2784600,23.48
2013-12-31,23.72,24.00,23.65,23.85,2249300,23.80
2013-12-30,23.55,23.67,23.11,23.65,1848300,23.60
2013-12-27,23.43,23.62,23.05,23.54,1605900,23.49
2013-12-26,23.63,23.87,23.45,23.47,1739100,23.42
2013-12-24,23.38,23.63,23.22,23.62,1094200,23.57
2013-12-23,23.08,23.38,23.00,23.34,2102300,23.29
2013-12-20,22.87,22.97,22.46,22.93,3618300,22.88
2013-12-19,22.54,22.82,22.38,22.78,2924100,22.73
2013-12-18,22.82,22.82,22.00,22.59,3133500,22.54
2013-12-17,22.82,22.92,22.64,22.72,2473700,22.67
2013-12-16,22.71,22.95,22.63,22.76,1867500,22.71
2013-12-13,22.44,22.69,22.33,22.62,1853100,22.57
2013-12-12,22.40,22.48,22.15,22.33,2480700,22.28
2013-12-11,22.38,22.57,22.12,22.43,2950100,22.38
2013-12-10,22.41,22.69,22.30,22.46,2634700,22.41
2013-12-09,22.61,22.88,22.37,22.45,3051800,22.40
2013-12-06,22.30,22.57,22.07,22.56,3185900,22.51
2013-12-05,21.33,22.02,21.29,21.99,8304400,21.94
2013-12-04,21.24,21.74,21.14,21.29,2278000,21.24
2013-12-03,22.07,22.09,21.27,21.43,3279900,21.38
2013-12-02,22.39,22.65,22.05,22.09,2761100,22.04
2013-11-29,22.43,22.50,22.14,22.26,1388900,22.21
2013-11-27,21.98,22.46,21.90,22.35,2251100,22.30
2013-11-26,22.06,22.20,21.81,22.10,2991500,22.05
2013-11-25,21.77,22.32,21.65,22.12,2967100,22.07
2013-11-22,21.70,21.80,21.38,21.75,2315100,21.70
2013-11-21,21.46,21.84,21.39,21.70,2891300,21.65
2013-11-20,21.26,21.56,21.18,21.38,2954200,21.33
2013-11-19,21.50,21.59,21.17,21.23,2104800,21.18
2013-11-18,21.54,21.90,21.41,21.48,2684400,21.43
2013-11-15,21.58,21.69,21.20,21.65,2700000,21.60
2013-11-14,21.58,21.64,21.20,21.33,2522500,21.28
2013-11-13,20.99,21.63,20.90,21.58,3267600,21.53
2013-11-12,20.96,21.14,20.84,21.06,2923900,21.01
2013-11-11,21.06,21.19,20.90,21.06,2081000,21.01
2013-11-08,20.85,21.35,20.81,21.06,3542900,21.01
2013-11-07,20.79,20.99,20.46,20.91,5396600,20.87
2013-11-06,21.14,21.19,20.55,20.58,4027900,20.54
2013-11-05,20.86,21.23,20.53,21.07,3339200,21.02
2013-11-04,20.77,21.04,20.76,20.84,2616400,20.80
2013-11-01,21.12,21.34,20.66,20.86,4438800,20.82
2013-10-31,21.44,21.45,20.96,20.97,4126700,20.93
2013-10-30,20.87,21.48,20.70,21.42,6563600,21.37
2013-10-29,21.08,21.59,19.84,20.76,16804400,20.67
2013-10-28,22.10,22.39,21.76,22.05,5876200,21.95
2013-10-25,22.19,22.29,21.88,22.21,2988900,22.11
2013-10-24,22.02,22.29,21.86,22.15,4012800,22.05
2013-10-23,21.86,21.98,21.48,21.87,4446200,21.77
2013-10-22,21.18,22.10,21.12,22.04,6554500,21.94
2013-10-21,21.88,22.20,20.94,21.12,12457100,21.02
2013-10-18,22.49,22.75,22.36,22.63,4098900,22.53
2013-10-17,22.42,22.43,22.11,22.35,3612800,22.25
2013-10-16,22.47,22.63,22.34,22.44,3209300,22.34
2013-10-15,22.71,22.83,22.20,22.34,3324600,22.24
2013-10-14,22.42,22.84,22.33,22.62,3729000,22.52
2013-10-11,22.40,22.67,22.38,22.64,3177900,22.54
2013-10-10,22.43,23.00,22.34,22.45,5090000,22.35
2013-10-09,21.89,22.17,21.45,22.03,4612800,21.93
2013-10-08,22.44,22.72,21.56,21.85,5244900,21.75
2013-10-07,22.72,22.83,22.44,22.45,3483500,22.35
2013-10-04,22.80,23.11,22.62,23.01,4014600,22.91
2013-10-03,23.14,23.34,22.68,22.78,4806400,22.68
2013-10-02,22.80,23.40,22.75,23.27,4074300,23.16
2013-10-01,22.50,23.26,22.42,23.25,4899000,23.14
2013-09-30,22.27,22.61,21.97,22.45,3286100,22.35
2013-09-27,22.43,22.75,22.31,22.46,2372600,22.36
2013-09-26,23.10,23.21,22.51,22.60,3992000,22.50
2013-09-25,22.83,23.24,22.72,22.98,5898800,22.88
2013-09-24,22.23,22.99,22.04,22.82,6783700,22.72
2013-09-23,22.20,22.37,21.81,22.11,6130300,22.01
2013-09-20,23.07,23.13,22.11,22.21,7406500,22.11
2013-09-19,22.48,22.50,21.93,22.23,4253200,22.13
2013-09-18,21.93,22.37,21.62,22.17,3822800,22.07
2013-09-17,21.75,22.16,21.57,21.98,3536200,21.88
2013-09-16,22.07,22.29,21.73,21.82,4194000,21.72
2013-09-13,21.85,21.91,21.41,21.82,3521400,21.72
2013-09-12,22.02,22.15,21.65,21.77,4537300,21.67
2013-09-11,22.01,22.36,21.92,22.10,4328200,22.00
2013-09-10,21.47,22.28,21.24,21.97,6888500,21.87
2013-09-09,20.84,21.41,20.76,21.24,3926100,21.14
2013-09-06,20.86,21.00,20.43,20.79,2551500,20.70
2013-09-05,20.92,21.01,20.70,20.77,3321300,20.68
2013-09-04,20.32,20.85,20.17,20.76,3687500,20.67
2013-09-03,20.35,20.84,20.14,20.28,4247200,20.19
2013-08-30,20.37,20.37,19.90,20.12,3972100,20.03
2013-08-29,19.90,20.46,19.64,20.31,7511000,20.22
2013-08-28,19.00,19.84,18.84,19.84,6337300,19.75
2013-08-27,18.45,19.26,18.29,19.01,6745300,18.92
2013-08-26,18.74,19.00,18.62,18.64,2772300,18.56
2013-08-23,18.90,19.00,18.69,18.84,2946000,18.75
2013-08-22,18.64,18.95,18.62,18.84,1916200,18.75
2013-08-21,18.73,19.00,18.51,18.58,2775300,18.50
2013-08-20,18.44,18.87,18.31,18.83,4026200,18.74
2013-08-19,18.74,18.75,18.28,18.41,3207700,18.33
2013-08-16,19.06,19.09,18.61,18.72,2675000,18.63
2013-08-15,19.08,19.08,18.64,18.84,3127700,18.75
2013-08-14,19.21,19.75,19.17,19.25,2782100,19.16
2013-08-13,19.36,19.48,18.96,19.21,4722900,19.12
2013-08-12,18.85,19.42,18.82,19.38,3101600,19.29
2013-08-09,18.79,19.15,18.75,19.05,2222100,18.96
2013-08-08,18.90,19.17,18.78,18.84,3740300,18.75
2013-08-07,18.92,18.92,18.33,18.80,4972000,18.71
2013-08-06,18.75,19.13,18.65,19.04,4199100,18.95
2013-08-05,19.04,19.18,18.75,18.80,2875600,18.71
2013-08-02,18.62,19.12,18.55,19.02,3770400,18.93
2013-08-01,18.58,18.90,18.51,18.69,4944100,18.61
2013-07-31,18.54,18.96,18.41,18.50,11399800,18.42
2013-07-30,18.14,19.60,18.05,18.56,14378800,18.48
2013-07-29,16.75,17.07,16.68,17.04,3083200,16.96
2013-07-26,16.57,16.88,16.51,16.78,2462600,16.70
2013-07-25,16.83,16.88,16.49,16.75,4865400,16.67
2013-07-24,17.24,17.30,16.90,16.96,3835500,16.88
2013-07-23,17.43,17.44,16.87,17.16,5174200,17.08
2013-07-22,17.21,17.52,17.19,17.46,3114200,17.38
2013-07-19,17.37,17.37,17.09,17.23,2132600,17.15
2013-07-18,17.06,17.64,16.96,17.30,5396400,17.22
2013-07-17,16.63,17.06,16.57,17.05,4827000,16.97
2013-07-16,16.80,16.87,16.41,16.51,3431000,16.44
2013-07-15,16.68,16.79,16.59,16.70,2550900,16.62
2013-07-12,16.68,16.77,16.36,16.60,2956600,16.52
2013-07-11,16.62,16.74,16.40,16.68,3732000,16.60
2013-07-10,16.31,16.56,16.24,16.41,3680900,16.34
2013-07-09,16.36,16.58,16.21,16.40,3590100,16.33
2013-07-08,15.88,16.33,15.88,16.21,5085800,16.14
2013-07-05,15.48,15.90,15.46,15.86,2734900,15.79
2013-07-03,15.25,15.44,15.16,15.38,1465400,15.31
2013-07-02,15.40,15.66,15.29,15.44,2682100,15.37
2013-07-01,15.25,15.60,15.25,15.49,3159000,15.42
2013-06-28,14.92,15.47,14.81,15.30,6640000,15.23
2013-06-27,14.99,15.20,14.90,14.98,4596600,14.91
2013-06-26,14.84,14.95,14.71,14.91,2411800,14.84
2013-06-25,14.39,14.77,14.33,14.71,3590300,14.64
2013-06-24,14.72,14.84,13.90,14.25,6173400,14.19
2013-06-21,14.90,15.00,14.51,14.94,4643400,14.87
2013-06-20,15.21,15.23,14.67,14.84,4716600,14.77
2013-06-19,15.02,15.49,14.98,15.29,5686000,15.22
2013-06-18,15.13,15.31,14.94,14.97,3550800,14.90
2013-06-17,15.43,15.50,15.03,15.10,3602000,15.03
2013-06-14,15.47,15.59,15.28,15.31,3587700,15.24
2013-06-13,14.85,15.53,14.70,15.49,5110500,15.42
2013-06-12,15.34,15.35,14.79,14.93,8783700,14.86
2013-06-11,14.43,14.76,14.28,14.60,3495500,14.53
2013-06-10,14.96,14.98,14.58,14.75,2797100,14.68
2013-06-07,14.85,14.90,14.64,14.82,2675900,14.75
2013-06-06,14.59,14.91,14.46,14.65,4693800,14.58
2013-06-05,14.95,15.00,14.52,14.61,5379100,14.54
2013-06-04,15.35,15.51,14.88,15.10,4635000,15.03
2013-06-03,15.17,15.56,14.80,15.31,5872000,15.24
2013-05-31,15.63,15.82,15.08,15.14,18990600,15.07
2013-05-30,15.32,16.06,15.22,15.82,10026100,15.75
2013-05-29,14.71,15.39,14.71,15.29,6444000,15.22
2013-05-28,14.80,15.08,14.74,14.92,6793300,14.85
2013-05-24,14.48,14.62,14.28,14.55,3072900,14.48
2013-05-23,14.16,14.67,14.03,14.58,3920400,14.51
2013-05-22,14.85,14.94,14.28,14.50,6177700,14.43
2013-05-21,14.71,14.87,14.52,14.80,5056700,14.73
2013-05-20,14.68,14.85,14.47,14.72,5211800,14.65
2013-05-17,13.96,14.96,13.91,14.74,13174900,14.67
2013-05-16,13.47,13.91,13.45,13.78,9761300,13.72
2013-05-15,12.99,13.48,12.96,13.45,6421600,13.39
2013-05-14,12.66,13.01,12.65,13.00,4612300,12.94
2013-05-13,12.73,12.87,12.51,12.67,3342900,12.61
2013-05-10,12.94,13.00,12.75,12.85,3027800,12.79
2013-05-09,13.05,13.07,12.67,12.89,4710200,12.83
2013-05-08,13.10,13.26,13.02,13.05,5476600,12.99
2013-05-07,12.90,13.10,12.88,13.07,4191700,13.01
2013-05-06,12.47,12.92,12.45,12.85,3652500,12.79
2013-05-03,12.41,12.75,12.23,12.37,6290600,12.31
2013-05-02,12.30,12.39,12.14,12.23,3734500,12.17
2013-05-01,12.45,12.51,12.15,12.20,4238100,12.14
2013-04-30,12.44,12.58,12.35,12.50,3294800,12.44
2013-04-29,12.46,12.60,12.25,12.57,6787500,12.51
2013-04-26,13.35,13.40,12.41,12.51,10907300,12.45
2013-04-25,12.59,13.02,12.58,12.94,6879200,12.88
2013-04-24,12.20,12.53,12.20,12.51,3423000,12.45
2013-04-23,12.10,12.24,11.96,12.21,3306000,12.15
2013-04-22,11.99,12.19,11.92,12.03,3182000,11.98
2013-04-19,12.02,12.17,11.96,12.14,3252900,12.08
2013-04-18,12.08,12.16,11.87,11.98,4099100,11.93
2013-04-17,12.27,12.36,11.90,12.02,4334900,11.97
2013-04-16,12.08,12.44,12.06,12.42,4120400,12.36
2013-04-15,12.47,12.50,11.83,11.95,4930900,11.90
2013-04-12,12.80,12.80,12.35,12.51,3979100,12.45
2013-04-11,12.77,12.90,12.66,12.83,2618900,12.77
2013-04-10,12.56,12.75,12.37,12.70,4276200,12.64
2013-04-09,12.45,12.70,12.28,12.55,4524400,12.49
2013-04-08,12.14,12.46,12.09,12.43,3421400,12.37
2013-04-05,12.05,12.23,11.96,12.16,2720500,12.10
2013-04-04,12.10,12.33,12.06,12.26,2951600,12.20
2013-04-03,12.20,12.38,12.02,12.06,5181300,12.01
2013-04-02,12.57,12.57,12.14,12.22,2546400,12.16
2013-04-01,12.59,12.65,12.34,12.42,4293700,12.36
2013-03-28,12.73,12.79,12.46,12.61,2891800,12.55
2013-03-27,12.72,12.80,12.54,12.77,2935000,12.71
2013-03-26,12.69,12.85,12.52,12.82,3964600,12.76
2013-03-25,12.91,12.94,12.55,12.66,3846400,12.60
2013-03-22,13.01,13.16,12.75,12.80,3279500,12.74
2013-03-21,13.28,13.38,12.91,12.99,3960100,12.93
2013-03-20,13.37,13.47,13.28,13.42,2223300,13.36
2013-03-19,13.48,13.70,13.22,13.27,4458700,13.21
2013-03-18,13.57,13.63,13.35,13.41,3640400,13.35
2013-03-15,13.57,13.74,13.54,13.73,5224600,13.67
2013-03-14,13.46,13.61,13.36,13.55,2998400,13.49
2013-03-13,12.99,13.49,12.99,13.42,4822300,13.36
2013-03-12,12.96,13.10,12.92,12.98,4780100,12.92
2013-03-11,13.20,13.20,12.82,12.98,5544200,12.92
2013-03-08,13.00,13.31,12.90,13.08,4145000,13.02
2013-03-07,12.99,13.00,12.87,12.94,1533400,12.88
2013-03-06,12.86,12.94,12.75,12.90,3231400,12.84
2013-03-05,12.74,12.95,12.72,12.80,3408900,12.74
2013-03-04,12.92,12.94,12.60,12.67,2881600,12.61
2013-03-01,12.95,13.16,12.80,12.96,4222500,12.90
2013-02-28,12.87,13.20,12.87,12.99,3708500,12.93
2013-02-27,12.96,13.05,12.82,12.90,3874500,12.84
2013-02-26,13.02,13.30,12.63,12.90,4867600,12.84
2013-02-25,13.61,13.68,12.96,13.00,4849400,12.94
2013-02-22,13.58,13.63,13.35,13.45,3517600,13.39
2013-02-21,13.82,13.88,13.43,13.53,4683100,13.47
2013-02-20,14.08,14.20,13.82,13.86,3722400,13.80
2013-02-19,14.10,14.26,14.07,14.09,3080800,14.03
2013-02-15,14.25,14.32,14.03,14.10,4641600,14.04
2013-02-14,14.00,14.20,13.93,14.17,4514500,14.11
2013-02-13,13.90,14.18,13.90,14.08,7092500,14.02
2013-02-12,13.55,14.15,13.10,13.86,12293500,13.80
2013-02-11,13.70,13.93,13.53,13.91,7967900,13.85
2013-02-08,13.62,13.78,13.32,13.59,5875900,13.53
2013-02-07,13.68,13.71,13.44,13.53,4510700,13.47
2013-02-06,13.63,13.78,13.47,13.59,5153800,13.53
2013-02-05,13.49,13.68,13.46,13.62,4177900,13.56
2013-02-04,13.69,13.76,13.37,13.43,3713500,13.37
2013-02-01,13.84,13.88,13.72,13.78,3193100,13.72
2013-01-31,13.68,13.85,13.60,13.75,3323600,13.69
2013-01-30,13.92,13.96,13.78,13.82,1691900,13.76
2013-01-29,13.89,13.95,13.73,13.92,2579400,13.86
2013-01-28,13.94,13.99,13.76,13.88,4075500,13.82
2013-01-25,13.66,13.98,13.66,13.87,2436500,13.81
2013-01-24,13.69,13.91,13.66,13.81,2230200,13.75
2013-01-23,13.86,13.91,13.61,13.71,3509200,13.65
2013-01-22,13.75,13.93,13.50,13.87,3488000,13.81
2013-01-18,14.06,14.06,13.64,13.81,3472600,13.75
2013-01-17,13.85,13.98,13.67,13.88,3045400,13.82
2013-01-16,13.92,13.92,13.58,13.85,3911400,13.79
2013-01-15,13.88,14.18,13.82,14.01,3737600,13.95
2013-01-14,13.78,13.95,13.66,13.94,2691900,13.88
2013-01-11,14.08,14.14,13.72,13.78,3732400,13.72
2013-01-10,14.48,14.52,14.08,14.13,4027300,14.07
2013-01-09,14.13,14.65,14.08,14.36,3724000,14.29
2013-01-08,13.99,14.16,13.71,14.06,2658200,14.00
2013-01-07,14.24,14.30,13.98,14.10,2838800,14.04
2013-01-04,14.14,14.39,13.95,14.35,2236300,14.28
2013-01-03,13.95,14.21,13.83,14.07,2589800,14.01
