Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,250.89,251.96,249.18,249.45,505700,249.45
2014-03-27,251.51,252.36,249.29,250.24,427000,250.24
2014-03-26,255.65,255.93,250.71,250.72,429800,250.72
2014-03-25,252.42,255.24,252.42,254.61,426600,254.61
2014-03-24,253.10,253.54,250.75,251.46,372800,251.46
2014-03-21,253.28,254.52,250.69,251.97,887400,251.97
2014-03-20,248.85,251.20,247.09,251.04,358200,251.04
2014-03-19,253.32,253.45,247.89,249.96,417700,249.96
2014-03-18,251.68,253.58,250.72,253.12,361700,253.12
2014-03-17,247.49,251.80,247.49,251.68,441000,251.68
2014-03-14,245.00,248.52,243.99,247.03,635000,247.03
2014-03-13,253.60,253.68,245.54,245.84,675600,245.84
2014-03-12,250.76,252.44,248.59,251.83,591300,251.83
2014-03-11,257.63,257.63,253.25,253.84,337100,253.84
2014-03-10,253.91,256.69,253.91,255.77,310500,255.77
2014-03-07,258.47,259.33,256.53,256.95,407500,256.95
2014-03-06,257.24,259.38,256.20,257.48,422600,257.48
2014-03-05,255.08,257.65,254.38,256.97,320900,256.97
2014-03-04,256.00,256.48,253.42,254.90,416000,254.90
2014-03-03,253.16,253.78,250.80,253.29,489600,253.29
2014-02-28,253.49,255.68,252.93,255.02,667200,255.02
2014-02-27,245.58,252.95,237.26,252.91,267900,252.91
2014-02-26,250.68,252.10,249.39,251.47,635900,251.47
2014-02-25,251.57,252.85,249.84,250.14,624600,250.14
2014-02-24,250.24,252.36,249.58,251.61,712000,251.61
2014-02-21,248.62,250.64,247.87,249.24,546100,249.24
2014-02-20,247.16,250.44,246.83,248.04,593900,248.04
2014-02-19,247.30,249.35,246.03,248.00,625600,248.00
2014-02-18,246.16,248.04,245.04,247.76,607900,247.76
2014-02-14,242.64,245.96,241.00,245.67,712700,245.67
2014-02-13,237.21,239.72,235.33,239.64,645000,239.64
2014-02-12,238.51,239.61,237.45,238.05,508300,238.05
2014-02-11,231.90,239.01,230.11,237.86,715600,237.86
2014-02-10,233.23,236.72,232.52,234.29,643800,234.29
2014-02-07,234.62,236.03,231.63,234.00,842500,234.00
2014-02-06,231.48,234.17,230.33,233.95,449500,233.95
2014-02-05,230.23,233.81,229.97,230.87,612800,229.94
2014-02-04,230.63,231.85,228.77,231.29,634800,230.36
2014-02-03,234.50,234.50,228.19,229.29,702300,228.37
2014-01-31,234.01,236.11,232.26,234.48,538500,233.54
2014-01-30,238.17,239.80,236.92,237.17,402700,236.21
2014-01-29,236.75,240.49,235.89,238.16,495400,237.20
2014-01-28,239.46,239.48,237.33,237.86,641800,236.90
2014-01-27,241.68,243.36,236.90,238.93,824700,237.97
2014-01-24,248.60,252.13,240.38,241.85,1658400,240.88
2014-01-23,260.36,262.76,256.02,256.66,622000,255.63
2014-01-22,265.00,265.84,261.04,262.03,486500,260.97
2014-01-21,263.69,264.99,262.69,264.06,405900,263.00
2014-01-17,266.58,266.96,262.88,264.10,384800,263.04
2014-01-16,263.73,266.30,262.13,265.94,396000,264.87
2014-01-15,263.48,266.18,261.89,263.78,461300,262.72
2014-01-14,262.25,264.44,258.00,264.26,387200,263.20
2014-01-13,262.76,264.19,260.90,261.66,915900,260.61
2014-01-09,254.44,256.26,252.56,254.50,421100,253.47
2014-01-08,252.92,253.97,250.82,253.44,368400,252.42
2014-01-07,252.28,253.77,251.17,252.92,381300,251.90
2014-01-06,253.69,253.72,249.79,250.97,323100,249.96
2014-01-03,253.07,254.24,251.90,252.84,204800,251.82
2014-01-02,254.70,255.48,252.82,253.06,285100,252.04
2013-12-31,255.96,256.38,254.25,255.42,240500,254.39
2013-12-30,255.73,256.29,254.72,255.38,168800,254.35
2013-12-27,255.66,257.02,254.57,255.45,169700,254.42
2013-12-26,255.61,256.15,253.88,255.42,193900,254.39
2013-12-24,253.06,254.76,252.50,254.33,139900,253.31
2013-12-23,253.00,253.07,250.54,252.41,347700,251.39
2013-12-20,251.00,253.07,247.78,248.34,1036100,247.34
2013-12-19,255.14,256.71,252.66,253.39,397400,252.37
2013-12-18,250.93,255.10,248.69,254.82,496500,253.79
2013-12-17,255.31,256.84,249.89,250.06,349500,249.05
2013-12-16,252.15,255.28,251.19,253.92,368600,252.90
2013-12-13,251.88,253.34,251.02,251.55,311300,250.54
2013-12-12,254.00,254.80,246.86,252.03,904900,251.01
2013-12-11,256.50,258.63,253.40,254.05,310300,253.03
2013-12-10,257.16,259.27,256.57,256.71,275700,255.68
2013-12-09,258.91,259.73,256.37,257.18,308500,256.14
2013-12-06,258.74,260.00,256.11,257.78,321800,256.74
2013-12-05,255.16,257.30,254.01,255.17,233500,254.14
2013-12-04,254.89,256.28,251.00,255.05,516800,254.02
2013-12-03,257.85,258.95,254.11,254.89,407500,253.86
2013-12-02,257.91,259.97,256.39,258.32,335400,257.28
2013-11-29,259.07,259.96,256.50,257.92,92300,256.88
2013-11-27,258.00,259.99,257.00,258.47,199900,257.43
2013-11-26,257.12,259.26,255.90,258.13,403100,257.09
2013-11-25,256.89,257.80,255.39,256.86,242500,255.83
