Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,58.38,59.50,58.00,59.46,6086800,59.46
2014-03-27,58.51,59.10,57.36,58.09,10475700,58.09
2014-03-26,59.19,59.69,58.31,58.37,6259000,58.37
2014-03-25,58.34,59.38,58.18,59.14,7398300,59.14
2014-03-24,58.27,58.70,57.48,57.78,6163100,57.78
2014-03-21,57.89,58.96,57.59,58.06,11955100,58.06
2014-03-20,56.57,57.47,56.35,57.36,5458000,57.36
2014-03-19,56.75,57.17,56.35,56.78,6058600,56.78
2014-03-18,56.77,57.09,56.46,56.90,5547500,56.90
2014-03-17,55.46,56.69,55.46,56.62,6121200,56.62
2014-03-14,55.22,55.54,55.02,55.19,7917400,55.19
2014-03-13,55.50,55.79,54.57,55.25,8788200,55.25
2014-03-12,55.25,55.50,54.58,55.39,8437700,55.39
2014-03-11,56.60,57.02,55.43,55.72,10055500,55.72
2014-03-10,55.98,56.50,55.75,56.47,6005400,56.47
2014-03-07,57.12,57.12,55.85,56.20,8816900,56.20
2014-03-06,56.29,57.23,56.22,56.92,5802400,56.92
2014-03-05,56.86,57.35,56.06,56.19,7542300,56.19
2014-03-04,57.02,57.25,56.74,56.90,6616700,56.90
2014-03-03,56.29,57.13,56.05,56.38,8840000,56.38
2014-02-28,55.94,57.42,55.66,57.00,10221500,56.85
2014-02-27,55.12,55.74,54.85,55.69,6897800,55.54
2014-02-26,55.59,55.95,55.11,55.16,6173000,55.01
2014-02-25,56.03,56.06,54.80,55.58,11065400,55.43
2014-02-24,55.85,57.01,55.80,56.37,9481900,56.22
2014-02-21,55.55,55.96,55.25,55.30,8785900,55.15
2014-02-20,54.53,55.54,54.45,55.38,8761100,55.23
2014-02-19,53.92,54.98,53.87,54.53,7914300,54.39
2014-02-18,53.66,54.30,53.50,54.13,8515000,53.99
2014-02-14,53.42,53.92,53.26,53.57,6746700,53.43
2014-02-13,52.70,54.03,52.63,53.46,8131500,53.32
2014-02-12,53.74,54.00,53.04,53.12,11083600,52.98
2014-02-11,52.18,53.96,52.12,53.84,12006000,53.70
2014-02-10,51.94,52.04,51.33,51.87,8101900,51.73
2014-02-07,51.09,52.13,50.98,51.97,13031400,51.83
2014-02-06,49.50,50.90,49.45,50.76,13018800,50.63
2014-02-05,49.37,49.70,48.99,49.27,9686300,49.14
2014-02-04,48.59,49.50,48.33,49.36,10563700,49.23
2014-02-03,49.07,49.18,47.95,48.33,9646000,48.20
2014-01-31,48.67,49.43,48.44,49.01,9205100,48.88
2014-01-30,48.78,49.69,48.46,49.44,9450500,49.31
2014-01-29,47.96,48.56,47.60,48.20,10183200,48.07
2014-01-28,48.66,48.73,47.94,48.33,7845300,48.20
2014-01-27,48.71,48.97,47.97,48.49,9199300,48.36
2014-01-24,49.44,49.44,48.43,48.61,12308400,48.48
2014-01-23,50.61,50.98,49.86,50.11,8907500,49.98
2014-01-22,50.15,50.84,49.73,50.54,9465400,50.41
2014-01-21,51.19,51.50,49.06,49.78,20956400,49.65
2014-01-17,51.28,51.36,50.48,50.66,9615200,50.53
2014-01-09,50.17,50.18,49.19,49.61,7931400,49.48
2014-01-08,50.17,50.18,49.11,49.50,9136100,49.37
2014-01-07,50.68,50.69,49.88,50.20,7746900,50.07
2014-01-06,50.81,50.93,49.88,50.32,8426800,50.19
2014-01-03,50.02,50.42,49.94,50.13,5323500,50.00
2014-01-02,50.47,50.67,49.63,50.01,7414400,49.88
2013-12-31,50.45,50.82,50.19,50.75,5390300,50.62
2013-12-30,51.10,51.19,50.34,50.40,6476500,50.27
2013-12-27,51.22,51.43,51.01,51.08,4384800,50.95
2013-12-26,50.89,51.35,50.87,51.21,4573900,51.08
2013-12-24,50.28,50.89,50.25,50.68,2438800,50.55
2013-12-23,50.97,51.25,50.30,50.30,7881100,50.17
2013-12-20,49.59,50.90,49.50,50.54,16973700,50.41
2013-12-19,49.86,49.90,48.71,49.42,12961500,49.29
2013-12-18,49.07,49.98,48.80,49.91,15076400,49.78
2013-12-17,50.32,50.46,49.09,49.35,11951300,49.22
2013-12-16,49.73,50.35,49.62,50.13,9297900,50.00
2013-12-13,49.26,49.70,49.01,49.39,9402900,49.26
2013-12-12,49.06,49.85,48.85,49.59,13261500,49.46
2013-12-11,49.56,49.96,48.82,48.99,13104800,48.86
2013-12-10,49.56,50.04,49.14,49.43,13570300,49.30
2013-12-09,50.70,50.75,49.73,49.91,9755100,49.78
2013-12-06,51.06,51.10,50.35,50.56,8582700,50.43
2013-12-05,50.49,50.90,50.21,50.48,9211600,50.35
2013-12-04,51.62,51.72,49.96,50.62,17674300,50.49
2013-12-03,51.91,52.33,51.30,52.02,9242500,51.73
2013-12-02,52.83,52.98,51.71,52.01,7663200,51.72
2013-11-29,52.64,53.34,52.04,52.68,4336500,52.39
2013-11-27,52.92,53.58,52.16,52.42,6461400,52.13
2013-11-26,52.61,53.32,52.31,53.18,8794100,52.89
2013-11-25,54.37,54.53,52.60,52.70,11315300,52.41
2013-11-22,54.54,54.54,53.88,54.50,5718000,54.20
2013-11-21,53.63,54.36,53.42,54.20,6542800,53.90
2013-11-20,54.33,54.33,53.30,53.58,5669300,53.28
2013-11-19,54.10,54.60,53.57,53.76,7989400,53.46
2013-11-18,55.99,56.13,54.06,54.33,9193500,54.03
2013-11-15,56.47,56.52,55.80,56.23,8752200,55.92
2013-11-14,55.63,56.46,55.28,56.26,8049600,55.95
2013-11-13,54.19,55.54,53.72,55.54,6868400,55.23
2013-11-12,54.96,55.08,54.20,54.46,7469100,54.16
2013-11-11,55.29,56.15,55.19,55.30,7385400,55.00
2013-11-08,53.83,55.32,53.77,55.32,10038900,55.02
2013-11-07,54.83,55.37,53.28,53.90,14590100,53.60
2013-11-06,53.39,54.50,52.72,54.40,14478200,54.10
2013-11-05,53.71,53.77,52.85,53.13,7257200,52.84
2013-11-04,53.33,54.06,53.00,54.04,7673500,53.74
2013-11-01,53.17,53.35,52.60,53.23,5719200,52.94
2013-10-31,53.19,53.67,52.84,53.03,6521200,52.74
2013-10-30,53.40,53.94,52.76,53.26,8665400,52.97
2013-10-29,52.13,53.29,52.09,53.25,7820400,52.96
2013-10-28,51.76,52.18,51.54,52.03,7116900,51.74
2013-10-25,51.26,51.81,51.23,51.69,6719000,51.41
2013-10-24,50.95,51.19,50.17,51.10,6238400,50.82
2013-10-23,51.48,51.52,50.56,50.74,8768300,50.46
2013-10-22,50.91,52.08,50.90,51.78,10425300,51.49
2013-10-21,51.07,51.84,50.40,50.66,14532700,50.38
2013-10-18,52.39,52.93,52.10,52.47,12041500,52.18
2013-10-17,51.91,52.01,51.49,51.72,6336700,51.44
2013-10-16,51.35,52.12,51.03,51.97,7760100,51.68
2013-10-15,51.24,51.51,50.50,51.16,7442600,50.88
2013-10-14,50.35,51.42,50.14,51.35,5789300,51.07
2013-10-11,49.70,51.04,49.54,50.67,8187700,50.39
2013-10-10,49.01,50.11,48.96,50.00,7196800,49.72
2013-10-09,48.92,49.08,48.08,48.56,7397900,48.29
2013-10-08,49.05,49.64,48.49,48.66,6477500,48.39
2013-10-07,48.74,49.52,48.60,49.02,6676200,48.75
2013-10-04,48.40,49.40,48.07,49.06,5653100,48.79
2013-10-03,49.06,49.29,48.11,48.40,6842200,48.13
2013-10-02,48.43,49.10,48.20,49.09,5823900,48.82
2013-10-01,48.11,48.74,47.99,48.60,6485300,48.33
2013-09-30,47.94,48.49,47.46,48.15,6375300,47.88
2013-09-27,48.24,48.50,47.96,48.39,7780200,48.12
2013-09-26,48.87,49.25,48.51,48.71,5834000,48.44
2013-09-25,49.20,49.27,48.62,48.88,6331800,48.61
2013-09-24,48.40,49.11,48.10,48.75,7511800,48.48
2013-09-23,49.20,49.34,48.35,48.39,8823100,48.12
2013-09-20,49.70,49.88,49.31,49.34,10457400,49.07
2013-09-19,49.98,50.03,49.41,49.54,9056700,49.27
2013-09-18,49.72,50.25,48.98,49.75,9290600,49.48
2013-09-17,49.72,49.99,49.29,49.67,7998600,49.40
2013-09-16,49.98,50.38,49.62,49.82,5507100,49.55
2013-09-13,49.28,49.74,48.98,49.69,6619100,49.42
2013-09-12,49.44,49.72,48.96,49.20,9579300,48.93
2013-09-11,49.40,50.34,49.33,50.19,10282500,49.91
2013-09-10,50.34,50.50,50.00,50.32,6717100,50.04
2013-09-09,49.24,50.48,49.23,50.26,7852400,49.98
2013-09-06,49.84,50.27,49.38,49.54,7976000,49.27
2013-09-05,49.28,50.14,49.24,49.77,9242100,49.50
2013-09-04,48.85,49.41,48.48,49.08,9142000,48.81
2013-09-03,48.35,48.54,47.98,48.30,6959000,48.03
2013-08-30,48.25,48.40,47.91,48.00,9771100,47.74
2013-08-29,49.00,49.05,48.23,48.54,10592400,48.15
2013-08-28,48.07,49.28,48.05,48.90,9910700,48.51
2013-08-27,47.98,48.72,47.68,48.13,13077900,47.74
2013-08-26,48.73,49.37,48.38,48.44,11125800,48.05
2013-08-23,47.31,48.77,47.15,48.71,39570600,48.32
2013-08-22,47.19,47.97,47.01,47.82,22194700,47.43
2013-08-21,47.22,47.50,46.91,46.98,18657500,46.60
2013-08-20,46.60,47.66,46.48,47.35,15038500,46.97
2013-08-19,46.83,47.19,46.55,46.65,12593000,46.27
2013-08-16,46.58,46.98,46.54,46.95,7932300,46.57
2013-08-15,46.50,46.78,46.27,46.68,6940000,46.30
2013-08-14,46.67,46.99,46.53,46.82,6822700,46.44
2013-08-13,46.19,46.99,46.15,46.58,8428900,46.20
2013-08-12,45.73,46.19,45.62,46.02,5256000,45.65
2013-08-09,46.18,46.49,45.72,46.03,5217300,45.66
2013-08-08,45.83,46.50,45.83,46.14,8820900,45.77
2013-08-07,45.57,45.80,45.34,45.53,5349000,45.16
2013-08-06,45.88,46.09,45.54,45.85,6140500,45.48
2013-08-05,46.16,46.25,45.76,46.05,4540300,45.68
2013-08-02,46.28,46.48,46.05,46.30,5334400,45.93
2013-08-01,45.72,46.48,45.67,46.41,9103900,46.04
2013-07-31,45.19,45.62,44.96,45.19,8361000,44.83
2013-07-30,45.59,45.59,44.94,45.23,8186000,44.87
2013-07-29,45.73,45.85,45.33,45.53,11513200,45.16
2013-07-26,46.45,46.50,45.54,45.98,23511800,45.61
2013-07-25,44.64,45.14,43.78,44.34,12311500,43.98
2013-07-24,45.64,45.78,44.62,44.82,8235500,44.46
2013-07-23,45.62,46.24,45.52,45.58,10811500,45.21
2013-07-22,46.09,46.66,44.81,45.08,17306100,44.72
2013-07-19,45.10,45.99,44.93,45.83,15152600,45.46
2013-07-18,44.22,44.93,44.16,44.74,9194700,44.38
2013-07-17,43.64,44.23,43.64,44.14,8307200,43.78
2013-07-16,44.19,44.32,43.43,43.63,5608500,43.28
2013-07-15,44.67,44.69,43.80,44.11,7297400,43.75
2013-07-12,44.07,44.67,43.97,44.64,5130100,44.28
2013-07-11,44.75,44.87,43.67,44.18,7294200,43.82
2013-07-10,44.23,44.78,43.89,44.13,7701900,43.77
2013-07-09,44.31,44.57,44.05,44.31,8330000,43.95
2013-07-08,44.00,44.20,43.65,43.92,7504800,43.57
2013-07-05,43.01,43.83,42.66,43.71,6012600,43.36
2013-07-03,42.77,43.30,42.56,42.65,3763500,42.31
2013-07-02,42.44,43.34,42.41,42.79,9175200,42.44
2013-07-01,42.03,42.62,41.86,42.45,8623600,42.11
2013-06-28,41.70,42.18,41.50,41.72,9596000,41.38
2013-06-27,41.67,42.10,41.61,41.84,6787000,41.50
2013-06-26,41.49,41.80,41.20,41.47,8239400,41.14
2013-06-25,41.45,41.75,40.96,41.15,10533200,40.82
2013-06-24,41.21,41.43,40.12,40.95,11160800,40.62
2013-06-21,42.10,42.25,41.19,41.79,10237300,41.45
2013-06-20,42.46,42.59,41.62,41.80,11031200,41.46
2013-06-19,43.99,44.35,43.05,43.05,9389500,42.70
2013-06-18,43.63,44.47,43.63,44.07,9805800,43.71
2013-06-17,43.36,43.94,43.24,43.62,6744700,43.27
2013-06-14,43.38,43.50,42.68,42.93,7506300,42.58
2013-06-13,41.66,43.20,41.66,43.08,7249600,42.73
2013-06-12,42.37,42.59,41.60,41.61,6973000,41.27
2013-06-11,42.22,42.62,41.83,42.04,6636100,41.70
2013-06-10,43.32,43.34,42.59,42.82,6137000,42.47
2013-06-07,42.57,43.25,42.25,43.16,7278800,42.81
2013-06-06,41.83,42.38,41.38,42.35,7738000,42.01
2013-06-05,41.90,42.12,41.68,41.76,9560500,41.42
2013-06-04,42.29,42.87,41.77,41.99,10579400,41.65
2013-06-03,41.93,42.43,41.55,42.39,8135900,42.05
2013-05-31,42.41,42.68,41.85,41.85,9361200,41.39
2013-05-30,42.68,43.06,42.03,42.63,15691400,42.16
2013-05-29,42.99,43.76,42.96,43.57,6382500,43.09
2013-05-28,43.80,43.95,43.26,43.37,9242700,42.89
2013-05-24,43.36,43.36,42.58,43.02,8454300,42.55
2013-05-23,42.45,43.64,41.91,43.52,11128200,43.04
2013-05-22,44.80,45.06,43.72,44.02,13220800,43.53
2013-05-21,45.58,45.75,43.90,44.83,17697000,44.34
2013-05-20,45.02,45.63,44.90,45.55,8296100,45.05
2013-05-17,44.63,45.25,44.41,45.25,13349100,44.75
2013-05-16,44.11,44.44,43.73,43.85,8220100,43.37
2013-05-15,43.96,44.27,43.15,44.13,9650000,43.64
2013-05-14,43.56,44.57,43.39,44.20,11697100,43.71
2013-05-13,43.13,43.63,43.13,43.56,8863600,43.08
2013-05-10,43.20,43.40,42.76,43.39,8941800,42.91
2013-05-09,43.63,43.75,43.26,43.56,6692000,43.08
2013-05-08,43.40,43.79,43.06,43.70,6786400,43.22
2013-05-07,43.25,43.79,42.88,43.42,8226600,42.94
2013-05-06,42.46,43.31,42.45,43.06,7956000,42.58
2013-05-03,42.79,43.24,42.45,42.55,11371600,42.08
2013-05-02,42.21,42.60,41.84,42.40,12116500,41.93
2013-05-01,42.00,42.33,41.69,42.08,12828500,41.62
2013-04-30,41.60,42.82,41.56,42.77,21264500,42.30
2013-04-29,40.87,41.98,40.46,41.57,11177800,41.11
2013-04-26,40.54,40.85,40.16,40.57,6921300,40.12
2013-04-25,41.04,41.60,40.66,40.75,10034500,40.30
2013-04-24,40.32,41.80,40.27,40.92,16266800,40.47
2013-04-23,39.45,39.98,38.99,39.69,14164700,39.25
2013-04-22,38.96,39.41,38.05,39.29,26107600,38.86
2013-04-19,38.07,38.49,36.77,37.21,20005200,36.80
2013-04-18,37.77,38.37,37.07,37.71,15817700,37.29
