Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,104.23,106.63,104.23,105.44,675900,105.44
2014-03-27,105.21,105.40,103.18,103.77,886400,103.77
2014-03-26,107.31,108.18,104.76,105.27,550100,105.27
2014-03-25,109.05,110.33,106.44,106.72,794500,106.72
2014-03-24,109.98,110.03,106.49,108.13,720500,108.13
2014-03-21,111.98,111.98,109.13,109.35,925400,109.35
2014-03-20,108.43,111.23,107.80,110.90,871600,110.90
2014-03-19,109.50,109.57,107.57,108.60,488400,108.60
2014-03-18,106.99,109.38,106.99,109.26,668100,109.26
2014-03-17,104.94,106.90,104.60,106.83,603400,106.83
2014-03-14,105.49,105.57,104.15,104.53,951200,104.53
2014-03-13,108.07,108.21,105.36,105.93,545400,105.93
2014-03-12,107.21,107.86,105.78,107.71,461300,107.71
2014-03-11,108.78,108.87,106.83,107.43,494700,107.43
2014-03-10,109.01,109.08,106.74,108.52,524400,108.52
2014-03-07,109.36,109.87,108.08,109.09,761700,109.09
2014-03-06,107.26,108.22,106.55,107.78,723800,107.78
2014-03-05,108.68,108.94,106.50,106.98,771300,106.98
2014-03-04,106.10,108.80,105.26,108.68,1079200,108.68
2014-03-03,103.62,104.92,101.61,104.44,988700,104.44
2014-02-28,105.92,106.00,103.70,104.73,703800,104.73
2014-02-27,105.70,106.05,104.61,105.60,777500,105.60
2014-02-26,106.00,106.39,104.45,105.80,1063400,105.80
2014-02-25,107.14,107.99,105.32,105.57,930100,105.57
2014-02-24,104.29,106.46,104.00,105.76,764200,105.76
2014-02-21,104.05,105.97,103.10,104.55,906800,104.55
2014-02-20,102.76,104.03,102.21,103.79,851200,103.79
2014-02-19,103.42,104.00,102.29,102.45,608500,102.45
2014-02-18,105.44,105.65,103.67,103.87,666900,103.87
2014-02-14,104.00,105.80,103.62,104.79,628200,104.79
2014-02-13,103.47,104.80,103.02,103.99,958300,103.99
2014-02-12,104.29,105.56,103.95,104.61,895100,104.61
2014-02-11,102.07,104.92,101.60,104.18,741600,104.18
2014-02-10,102.96,103.60,100.27,101.84,694000,101.84
2014-02-07,103.45,104.52,101.05,102.93,682000,102.93
2014-02-06,100.73,104.46,100.50,103.11,854000,103.11
2014-02-05,100.92,101.66,99.06,100.56,1229100,100.26
2014-02-04,99.48,102.44,99.25,101.56,1167100,101.26
2014-02-03,103.34,103.61,97.76,99.23,1689500,98.93
2014-01-31,100.45,105.58,100.40,103.43,1904400,103.12
2014-01-30,95.87,103.48,95.51,102.34,3834000,102.03
2014-01-29,87.70,88.92,86.64,87.18,850200,86.92
2014-01-28,87.58,89.22,87.38,88.97,606600,88.70
2014-01-27,89.47,89.88,85.58,87.58,1240100,87.32
2014-01-24,90.50,91.22,88.86,89.38,1358400,89.11
2014-01-23,89.83,90.06,88.67,89.59,737700,89.32
2014-01-22,90.36,90.56,89.61,90.46,467100,90.19
2014-01-21,91.41,91.41,89.56,89.99,568800,89.72
2014-01-17,90.40,91.13,89.49,90.48,864600,90.21
2014-01-16,89.35,90.40,89.05,90.34,723100,90.07
2014-01-15,88.26,90.02,88.15,89.59,928400,89.32
2014-01-14,86.15,88.72,85.18,88.36,1017600,88.10
2014-01-13,87.89,88.87,85.66,85.94,1154900,85.68
2014-01-10,85.99,88.47,85.90,88.28,1445700,88.02
2014-01-09,83.41,85.93,83.39,85.87,1116200,85.61
2014-01-08,83.00,83.67,82.51,83.41,1046800,83.16
