Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,9.73,9.90,9.71,9.86,9027100,9.86
2014-03-27,9.91,10.02,9.68,9.71,11010300,9.71
2014-03-26,10.02,10.07,9.86,9.88,12531400,9.88
2014-03-25,9.93,9.98,9.84,9.96,9033100,9.96
2014-03-24,9.94,9.97,9.82,9.90,7057200,9.90
2014-03-21,10.01,10.11,9.86,9.89,14938600,9.89
2014-03-20,9.73,10.08,9.73,10.01,13705300,10.01
2014-03-19,9.71,9.86,9.67,9.80,7724300,9.80
2014-03-18,9.68,9.78,9.65,9.75,5770400,9.75
2014-03-17,9.66,9.71,9.61,9.65,6630000,9.65
2014-03-14,9.55,9.69,9.54,9.57,8564600,9.57
2014-03-13,9.73,9.76,9.56,9.61,8285300,9.56
2014-03-12,9.69,9.69,9.58,9.69,8656600,9.64
2014-03-11,9.82,9.84,9.66,9.71,6946800,9.66
2014-03-10,9.79,9.85,9.72,9.80,7253000,9.75
2014-03-07,9.71,9.91,9.67,9.80,13465600,9.75
2014-03-06,9.68,9.76,9.65,9.70,10814400,9.65
2014-03-05,9.69,9.73,9.60,9.65,9245800,9.60
2014-03-04,9.63,9.70,9.59,9.69,8562100,9.64
2014-03-03,9.50,9.57,9.44,9.52,11803100,9.47
2014-02-28,9.42,9.59,9.42,9.53,10610400,9.48
2014-02-27,9.36,9.48,9.31,9.42,10420500,9.37
2014-02-26,9.34,9.40,9.24,9.35,9565200,9.30
2014-02-25,9.26,9.32,9.20,9.29,8376800,9.24
2014-02-24,9.10,9.33,9.09,9.27,11593200,9.22
2014-02-21,8.97,9.15,8.97,9.11,10825300,9.06
2014-02-20,8.85,8.99,8.77,8.95,12283500,8.90
2014-02-19,9.00,9.05,8.82,8.85,11170500,8.80
2014-02-18,9.12,9.15,9.05,9.06,9712800,9.01
2014-02-14,9.09,9.20,9.07,9.12,4511500,9.07
2014-02-13,9.08,9.12,9.00,9.09,6460600,9.04
2014-02-12,9.14,9.27,9.09,9.12,7096700,9.07
2014-02-11,9.04,9.15,9.01,9.13,5712100,9.08
2014-02-10,9.01,9.08,8.94,9.03,7357100,8.98
2014-02-07,9.09,9.16,8.96,9.03,10808400,8.98
2014-02-06,8.85,9.05,8.83,9.03,11014100,8.98
2014-02-05,8.78,8.92,8.75,8.84,13264600,8.79
2014-02-04,8.74,8.96,8.73,8.86,16996400,8.81
2014-02-03,9.02,9.07,8.66,8.72,31464000,8.67
2014-01-31,9.14,9.20,9.07,9.07,11000500,9.02
2014-01-30,9.27,9.31,9.13,9.26,14176400,9.21
2014-01-29,9.29,9.43,9.18,9.20,16892500,9.15
2014-01-28,9.37,9.44,9.32,9.35,9215600,9.30
2014-01-27,9.43,9.51,9.28,9.34,10298100,9.29
2014-01-24,9.67,9.69,9.42,9.42,9801100,9.37
2014-01-23,9.85,9.85,9.67,9.75,9554600,9.70
2014-01-22,9.86,9.91,9.78,9.89,7914700,9.84
2014-01-21,9.69,9.87,9.66,9.87,10448400,9.82
2014-01-17,9.68,9.72,9.52,9.63,11801900,9.58
2014-01-16,9.64,9.70,9.43,9.63,23518000,9.58
2014-01-15,9.80,9.91,9.73,9.90,13932200,9.85
2014-01-09,9.80,9.87,9.73,9.77,10238300,9.72
2014-01-08,9.75,9.79,9.68,9.75,9013700,9.70
2014-01-07,9.62,9.80,9.62,9.72,11770300,9.67
2014-01-06,9.65,9.80,9.58,9.58,9729600,9.53
2014-01-03,9.59,9.68,9.58,9.60,6096500,9.55
2014-01-02,9.60,9.66,9.53,9.54,7039100,9.49
2013-12-31,9.58,9.68,9.58,9.65,4262600,9.60
2013-12-30,9.61,9.64,9.56,9.58,3452100,9.53
2013-12-27,9.65,9.66,9.60,9.61,3418400,9.56
2013-12-26,9.70,9.73,9.64,9.65,5579100,9.60
2013-12-24,9.59,9.70,9.59,9.66,2230600,9.61
2013-12-23,9.62,9.65,9.55,9.63,5185500,9.58
2013-12-20,9.63,9.63,9.51,9.56,10779200,9.51
2013-12-19,9.50,9.58,9.45,9.55,6164100,9.50
2013-12-18,9.44,9.54,9.26,9.52,10362700,9.47
2013-12-17,9.48,9.48,9.32,9.39,7425200,9.34
2013-12-16,9.43,9.56,9.40,9.51,7881800,9.41
2013-12-13,9.43,9.44,9.29,9.36,6803500,9.26
2013-12-12,9.28,9.46,9.27,9.43,12030000,9.33
2013-12-11,9.48,9.49,9.29,9.30,10157300,9.20
2013-12-10,9.30,9.48,9.25,9.44,18720800,9.34
2013-12-09,9.26,9.33,9.24,9.30,11708200,9.20
2013-12-06,9.12,9.24,9.10,9.24,10959200,9.14
2013-12-05,9.12,9.17,9.00,9.01,8316600,8.92
2013-12-04,8.96,9.14,8.93,9.12,13513600,9.02
2013-12-03,9.10,9.13,8.92,9.01,12810400,8.92
2013-12-02,9.17,9.27,9.10,9.11,7711600,9.01
2013-11-29,9.20,9.24,9.12,9.17,3430800,9.07
2013-11-27,9.14,9.25,9.11,9.24,9696600,9.14
2013-11-26,9.15,9.18,9.11,9.13,4626800,9.03
2013-11-25,9.17,9.24,9.12,9.16,6123400,9.06
2013-11-22,8.98,9.14,8.93,9.14,8867200,9.04
2013-11-21,8.86,9.01,8.84,8.98,6255900,8.89
2013-11-20,8.91,8.93,8.76,8.82,13229200,8.73
2013-11-19,8.87,8.94,8.83,8.87,12108900,8.78
2013-11-18,9.00,9.03,8.89,8.90,6887200,8.81
2013-11-15,9.04,9.04,8.93,8.96,8646400,8.87
2013-11-14,8.97,9.00,8.89,9.00,6086200,8.91
2013-11-13,8.78,8.94,8.69,8.93,10201200,8.84
2013-11-12,8.91,8.94,8.73,8.81,9048700,8.72
2013-11-11,9.02,9.02,8.85,8.90,9148400,8.81
2013-11-08,8.65,9.02,8.64,9.02,14150300,8.93
2013-11-07,8.88,8.93,8.71,8.71,7896700,8.62
2013-11-06,8.78,8.90,8.74,8.85,10515600,8.76
2013-11-05,8.75,8.83,8.70,8.75,8083800,8.66
2013-11-04,8.84,8.88,8.77,8.78,8081600,8.69
2013-11-01,8.88,8.88,8.79,8.85,10457400,8.76
2013-10-31,8.93,8.95,8.80,8.80,9794400,8.71
2013-10-30,9.00,9.02,8.90,8.92,8703800,8.83
2013-10-29,9.06,9.06,8.95,8.99,5009100,8.90
2013-10-28,8.93,9.04,8.91,8.99,8009600,8.90
2013-10-25,8.96,9.05,8.92,8.93,12258300,8.84
2013-10-24,8.87,8.97,8.83,8.95,8361700,8.86
2013-10-23,8.87,8.93,8.82,8.83,6872800,8.74
2013-10-22,8.88,8.95,8.83,8.90,7581700,8.81
2013-10-21,8.92,8.97,8.84,8.88,9196700,8.79
2013-10-18,8.94,9.05,8.77,8.90,25049200,8.81
2013-10-17,8.67,8.90,8.50,8.88,19338900,8.79
2013-10-16,8.48,8.66,8.42,8.60,14650400,8.51
2013-10-15,8.53,8.56,8.40,8.41,7314500,8.32
2013-10-14,8.43,8.55,8.40,8.54,5938300,8.45
2013-10-11,8.38,8.49,8.27,8.48,8204800,8.39
2013-10-10,8.23,8.40,8.22,8.38,12802600,8.29
2013-10-09,8.08,8.15,8.04,8.12,16739400,8.04
2013-10-08,8.28,8.31,8.08,8.09,9876500,8.01
2013-10-07,8.35,8.42,8.26,8.26,7976400,8.17
2013-10-04,8.31,8.47,8.31,8.45,5597000,8.36
2013-10-03,8.30,8.35,8.26,8.31,10374500,8.22
2013-10-02,8.30,8.38,8.26,8.35,8633400,8.26
2013-10-01,8.30,8.39,8.27,8.35,7877800,8.26
2013-09-30,8.13,8.29,8.10,8.26,7881900,8.17
2013-09-27,8.23,8.32,8.20,8.23,6262400,8.14
2013-09-26,8.35,8.40,8.24,8.27,6150100,8.18
2013-09-25,8.26,8.38,8.20,8.36,8644600,8.27
2013-09-24,8.22,8.33,8.19,8.26,8346400,8.17
2013-09-23,8.38,8.38,8.21,8.23,8450100,8.14
