Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,81.87,83.44,81.87,83.22,2119200,83.22
2014-03-27,81.55,82.49,81.29,82.00,1537400,82.00
2014-03-26,82.43,82.80,81.21,81.37,2089900,81.37
2014-03-25,82.09,82.51,81.94,82.04,1522200,82.04
2014-03-24,82.32,82.89,81.38,81.58,1490500,81.58
2014-03-21,81.79,82.56,81.37,81.96,3738100,81.96
2014-03-20,80.41,81.33,79.92,81.18,1519200,81.18
2014-03-19,80.93,81.68,80.08,80.62,1731000,80.62
2014-03-18,80.44,81.61,80.15,81.06,1643600,81.06
2014-03-17,80.52,81.11,80.07,80.41,1556600,80.16
2014-03-14,79.92,80.43,79.53,80.28,2049600,80.03
2014-03-13,80.65,81.06,79.66,79.85,2057400,79.60
2014-03-12,80.24,81.24,79.60,80.81,1954500,80.56
2014-03-11,82.34,82.35,80.86,81.21,1537900,80.96
2014-03-10,81.58,82.33,80.12,82.24,1967500,81.98
2014-03-07,81.92,82.03,81.37,81.87,2298800,81.62
2014-03-06,80.90,81.54,80.74,81.44,1997600,81.19
2014-03-05,80.15,80.78,79.86,80.74,3018200,80.49
2014-03-04,80.08,80.83,79.62,80.35,2668500,80.10
2014-03-03,79.48,80.63,79.30,79.48,1893300,79.23
2014-02-28,79.70,80.44,78.81,80.03,2632000,79.78
2014-02-27,79.30,79.66,79.02,79.50,2803300,79.25
2014-02-26,80.09,80.40,79.13,79.32,4147400,79.07
2014-02-25,81.65,81.65,79.94,80.30,4361200,80.05
2014-02-24,81.64,82.48,81.44,81.45,3576000,81.20
2014-02-21,81.74,81.88,80.77,81.17,2753700,80.92
2014-02-20,80.77,81.95,80.50,81.61,3536900,81.36
2014-02-19,80.15,81.32,80.13,80.71,2883900,80.46
2014-02-18,79.83,80.75,79.72,80.46,3585100,80.21
2014-02-14,78.82,80.00,78.63,79.50,3260400,79.25
2014-02-13,77.59,79.37,77.36,78.67,2337600,78.43
