Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,66.49,67.03,65.94,66.17,1017300,66.17
2014-03-27,66.85,66.87,65.70,66.08,1469700,66.08
2014-03-26,66.65,67.44,66.54,66.86,1279300,66.86
2014-03-25,67.12,67.52,66.03,66.40,1138700,66.40
2014-03-24,67.88,68.13,66.61,66.83,1009800,66.83
2014-03-21,68.63,68.96,67.63,67.66,1747000,67.66
2014-03-20,67.94,68.02,67.22,67.97,542400,67.97
2014-03-19,68.05,68.34,67.37,67.83,799000,67.83
2014-03-18,67.86,68.24,67.40,68.18,1269000,68.18
2014-03-17,67.50,67.95,67.26,67.64,658700,67.64
2014-03-14,67.13,67.58,66.75,67.22,735900,67.22
2014-03-13,68.24,68.48,67.03,67.21,850300,67.21
2014-03-12,67.67,68.20,67.61,67.99,787500,67.99
2014-03-11,67.61,68.26,67.24,68.10,1321400,68.10
2014-03-10,67.60,67.60,66.53,67.41,1254600,67.41
2014-03-07,68.02,68.50,67.93,68.11,1099400,68.11
2014-03-06,67.11,68.12,67.08,67.78,1418700,67.78
2014-03-05,66.45,67.21,66.21,66.97,1322900,66.97
2014-03-04,65.77,66.66,65.73,66.45,1074900,66.45
2014-03-03,65.38,65.66,64.29,65.04,1283000,65.04
2014-02-28,65.26,66.72,65.02,66.06,1613400,66.06
2014-02-27,64.33,65.41,64.33,65.40,1047300,65.40
2014-02-26,64.19,64.50,63.82,64.35,1547500,64.35
2014-02-25,64.42,64.51,63.40,63.99,1496900,63.99
2014-02-24,64.35,65.07,64.28,64.78,1139000,64.78
2014-02-21,64.15,64.78,64.07,64.32,1137100,64.32
2014-02-20,63.19,64.37,62.74,64.31,1544500,64.31
2014-02-19,63.65,64.14,63.05,63.10,954200,63.10
2014-02-18,64.61,64.70,63.35,63.76,1415900,63.76
2014-02-14,64.64,65.00,64.21,64.98,1011800,64.98
2014-02-13,64.81,64.97,64.33,64.76,1115300,64.49
2014-02-12,64.67,65.62,64.62,65.17,1910600,64.89
2014-02-11,64.71,64.93,64.13,64.69,1037900,64.42
2014-02-10,64.99,65.31,64.15,64.59,993400,64.32
2014-02-07,64.72,65.14,64.22,64.98,1238700,64.70
2014-02-06,62.70,64.80,62.70,64.52,2247700,64.25
2014-02-05,61.87,62.49,61.27,62.15,1473200,61.89
2014-02-04,61.44,62.47,61.17,62.33,2030000,62.07
2014-02-03,61.81,62.02,60.55,61.23,2374000,60.97
2014-01-31,62.34,62.65,61.57,61.69,2548400,61.43
2014-01-30,66.31,66.69,62.21,63.19,2822000,62.92
2014-01-29,64.10,65.05,63.74,64.04,2142200,63.77
2014-01-28,64.43,65.23,64.21,64.91,1022100,64.63
2014-01-27,64.27,65.02,63.27,64.22,1637100,63.95
2014-01-24,65.29,65.66,63.88,64.02,1488700,63.75
2014-01-23,66.60,66.60,65.70,65.89,1657800,65.61
2014-01-22,67.43,67.64,66.48,66.87,1809900,66.59
2014-01-21,67.86,68.42,67.32,67.51,1034700,67.22
2014-01-17,68.18,68.44,67.52,67.58,989500,67.29
2014-01-16,68.60,68.74,67.99,68.10,849500,67.81
2014-01-15,68.19,68.73,67.93,68.65,1015300,68.36
2014-01-09,69.85,70.04,68.81,69.19,842900,68.90
2014-01-08,69.02,69.86,68.97,69.85,758700,69.55
2014-01-07,68.78,69.23,68.70,69.02,482100,68.73
2014-01-06,69.28,69.75,68.45,68.63,650600,68.34
2014-01-03,68.63,69.24,68.49,68.91,656400,68.62
2014-01-02,69.19,69.25,68.42,68.56,1022500,68.27
2013-12-31,69.17,69.60,68.93,69.24,451000,68.95
2013-12-30,68.97,69.23,68.68,68.99,530400,68.70
2013-12-27,69.31,69.61,68.77,69.05,461300,68.76
2013-12-26,69.46,69.75,69.12,69.26,463100,68.97
2013-12-24,68.68,69.30,68.52,69.22,360800,68.93
2013-12-23,68.40,68.96,68.15,68.73,921500,68.44
2013-12-20,68.48,68.55,67.24,68.05,2637100,67.76
2013-12-19,67.65,68.56,67.43,68.20,930600,67.91
2013-12-18,66.97,67.76,66.51,67.69,1923900,67.40
2013-12-17,67.51,67.68,66.79,67.14,1085700,66.85
2013-12-16,68.06,68.19,67.47,67.71,1051100,67.42
2013-12-13,68.05,68.42,67.31,67.51,1049600,67.22
2013-12-12,68.05,68.37,67.46,68.23,919500,67.73
2013-12-11,69.23,69.56,68.07,68.21,855100,67.71
2013-12-10,68.63,69.65,68.63,69.36,830000,68.85
2013-12-09,68.46,69.06,68.39,68.95,1255500,68.45
2013-12-06,68.13,68.56,68.02,68.53,1111400,68.03
2013-12-05,66.70,67.84,66.26,67.61,1171800,67.12
2013-12-04,65.94,66.68,65.60,66.48,1000600,65.99
2013-12-03,66.34,67.03,65.75,66.23,1323800,65.75
2013-12-02,66.93,67.26,66.44,66.55,644600,66.06
2013-11-29,67.55,67.63,66.96,67.02,340100,66.53
2013-11-27,67.46,67.53,67.13,67.40,358600,66.91
2013-11-26,67.33,67.68,67.19,67.31,862200,66.82
2013-11-25,67.51,67.75,67.09,67.44,711900,66.95
2013-11-22,67.25,67.42,66.63,67.22,1043000,66.73
2013-11-21,66.98,67.50,66.85,67.29,1241600,66.80
2013-11-20,66.56,67.68,66.52,66.59,1784600,66.10
2013-11-19,66.48,66.78,66.27,66.54,1159100,66.05
2013-11-18,66.74,66.90,66.07,66.50,1397200,66.01
2013-11-15,65.92,66.86,65.82,66.72,1222400,66.23
2013-11-14,65.43,66.09,65.11,65.92,1762700,65.44
2013-11-13,64.49,65.64,64.36,65.38,1829900,64.90
