Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,28.71,30.42,28.65,30.36,5307000,30.36
2014-03-27,28.95,29.02,28.51,28.58,3318900,28.58
2014-03-26,29.26,29.35,29.03,29.03,2439500,29.03
2014-03-25,29.65,29.77,29.12,29.13,1889800,29.13
2014-03-24,30.06,30.21,29.36,29.54,2204600,29.54
2014-03-21,29.93,30.22,29.78,30.02,2938800,30.02
2014-03-20,29.51,29.83,29.37,29.81,1759400,29.81
2014-03-19,29.63,29.78,29.39,29.56,2299400,29.56
2014-03-18,29.87,29.87,29.51,29.58,1846200,29.58
2014-03-17,29.50,30.11,29.46,29.84,1686900,29.84
2014-03-14,29.76,29.99,29.32,29.37,3690900,29.37
2014-03-13,30.09,30.48,29.63,29.85,3843700,29.85
2014-03-12,30.13,30.46,30.11,30.21,2485300,30.01
2014-03-11,30.56,30.84,30.22,30.28,2663800,30.08
2014-03-10,30.38,30.57,30.18,30.54,2761700,30.34
2014-03-07,30.33,31.00,30.03,30.39,8139700,30.19
2014-03-06,31.39,31.42,30.84,30.96,5059400,30.76
2014-03-05,31.64,31.73,30.97,31.13,5270500,30.92
2014-03-04,32.25,32.25,31.30,31.57,4349300,31.36
2014-03-03,31.32,32.11,31.22,31.94,2116300,31.73
2014-02-28,31.73,31.85,31.25,31.64,3284400,31.43
2014-02-27,31.70,31.91,31.36,31.69,1934700,31.48
2014-02-26,32.27,32.42,31.66,31.71,2221900,31.50
2014-02-25,31.50,32.20,31.50,32.19,4664400,31.98
2014-02-24,31.53,31.75,31.35,31.55,2911200,31.34
2014-02-21,31.70,31.83,31.08,31.08,3621700,30.87
2014-02-20,31.58,31.67,31.42,31.53,2227300,31.32
2014-02-19,30.94,31.63,30.89,31.41,3342600,31.20
2014-02-18,31.08,31.19,30.74,30.97,1672300,30.76
2014-02-14,30.69,31.28,30.50,31.07,1955100,30.86
2014-02-13,30.30,30.91,30.27,30.73,2099600,30.53
2014-02-12,30.74,30.75,30.07,30.49,3588100,30.29
2014-02-11,29.79,30.91,29.77,30.75,3972200,30.55
2014-02-10,29.64,29.74,29.40,29.72,1781100,29.52
2014-02-07,29.62,30.19,29.48,29.66,2855600,29.46
2014-02-06,29.39,29.75,29.25,29.36,2130300,29.17
2014-02-05,29.34,29.47,29.10,29.25,2362100,29.06
2014-02-04,29.48,30.08,29.08,29.62,3818900,29.42
2014-02-03,30.35,30.41,29.10,29.32,4276900,29.13
2014-01-31,29.72,30.53,29.54,30.40,4464100,30.20
2014-01-30,29.31,30.22,29.02,30.12,3219400,29.92
2014-01-29,29.09,29.43,28.96,29.13,2813900,28.94
2014-01-28,29.27,29.44,29.01,29.31,2703100,29.12
