Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,19.79,20.12,19.74,19.94,4082300,19.94
2014-03-27,19.59,19.88,19.46,19.73,4917200,19.73
2014-03-26,20.10,20.14,19.69,19.73,6081000,19.59
2014-03-25,20.08,20.18,19.92,20.05,8559600,19.91
2014-03-24,20.25,20.30,19.81,19.95,5621200,19.81
2014-03-21,20.18,20.37,19.96,20.28,6695300,20.14
2014-03-20,19.96,20.07,19.86,20.02,6853100,19.88
2014-03-19,20.43,20.51,20.01,20.04,7976300,19.90
2014-03-18,20.41,20.53,20.31,20.47,4198200,20.32
2014-03-17,20.47,20.64,20.34,20.43,4171300,20.29
2014-03-14,20.18,20.42,20.15,20.39,7574400,20.25
2014-03-13,20.37,20.50,20.16,20.17,6938200,20.03
2014-03-12,20.06,20.35,20.06,20.26,5183500,20.12
2014-03-11,20.02,20.23,20.02,20.14,4727300,20.00
2014-03-10,20.09,20.13,19.93,20.02,4721600,19.88
2014-03-07,20.13,20.17,19.98,20.13,4492900,19.99
2014-03-06,20.00,20.15,19.96,20.12,4542400,19.98
2014-03-05,20.05,20.10,19.78,19.97,4473700,19.83
2014-03-04,19.91,20.07,19.84,20.07,5516800,19.93
2014-03-03,19.54,19.68,19.28,19.65,6180900,19.51
2014-02-28,19.57,19.80,19.54,19.67,6827700,19.53
2014-02-27,19.67,19.81,19.42,19.58,5846800,19.44
2014-02-26,19.64,19.87,19.59,19.67,5152100,19.53
2014-02-25,19.59,19.84,19.57,19.62,5801000,19.48
2014-02-24,19.56,19.85,19.55,19.62,6459400,19.48
2014-02-21,19.45,19.69,19.32,19.54,5919800,19.40
2014-02-20,19.34,19.51,19.31,19.45,6250600,19.31
2014-02-19,18.90,19.64,18.69,19.25,11267600,19.11
2014-02-18,18.98,19.01,18.79,18.86,7994900,18.73
2014-02-14,18.83,19.08,18.74,18.99,7710000,18.86
2014-02-13,18.59,18.90,18.52,18.86,6894800,18.73
2014-02-12,18.70,18.74,18.53,18.74,5991300,18.61
2014-02-11,18.35,18.77,18.30,18.73,8821200,18.60
2014-02-10,18.47,18.52,18.24,18.35,10489400,18.22
2014-02-07,18.39,18.56,18.13,18.42,10081200,18.29
2014-02-06,18.05,18.38,18.03,18.33,6475400,18.20
2014-02-05,18.20,18.21,17.95,18.05,7235100,17.92
