Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,103.21,103.57,102.77,103.24,655000,103.24
2014-03-27,102.85,103.53,102.51,102.77,1011900,102.77
2014-03-26,103.65,103.96,102.77,102.78,1345000,102.78
2014-03-25,104.00,104.37,103.19,103.24,1217000,103.24
2014-03-24,104.84,105.22,103.40,103.51,974800,103.51
2014-03-21,105.20,105.62,104.33,104.84,1308100,104.84
2014-03-20,104.22,104.82,103.64,104.43,715500,104.43
2014-03-19,106.11,106.18,103.72,104.23,1152500,104.23
2014-03-18,105.49,106.32,105.16,106.21,666600,106.21
2014-03-17,106.62,106.65,105.13,105.32,775200,105.32
2014-03-14,105.44,106.83,105.31,106.20,1004700,106.20
2014-03-13,106.18,106.45,105.31,105.58,797200,105.58
2014-03-12,105.07,106.08,104.91,105.94,710100,105.94
2014-03-11,105.76,106.10,105.23,105.45,850400,105.45
2014-03-10,105.75,106.33,105.19,105.40,920800,105.40
2014-03-07,106.53,106.81,105.14,105.64,1210800,105.64
2014-03-06,107.03,107.07,106.02,106.03,630700,106.03
2014-03-05,107.11,107.41,106.53,106.65,743900,106.65
2014-03-04,106.19,107.54,106.19,107.14,1002000,107.14
2014-03-03,105.31,106.05,104.82,105.58,780800,105.58
2014-02-28,105.81,106.59,105.20,105.82,1131400,105.82
2014-02-27,105.19,105.97,104.63,105.77,1291300,105.77
2014-02-26,106.60,107.21,105.56,105.64,2285000,105.64
2014-02-25,107.70,108.17,106.54,106.77,2007600,106.77
2014-02-24,107.42,108.69,107.17,108.07,1412400,108.07
2014-02-21,107.10,108.06,106.21,107.70,1257300,107.70
2014-02-20,106.23,108.47,106.17,107.71,1491000,107.22
2014-02-19,105.75,107.15,105.20,106.35,1565700,105.87
2014-02-18,104.84,106.00,104.61,105.96,1091800,105.48
2014-02-14,104.00,105.46,103.83,105.28,1016000,104.81
2014-02-13,102.58,104.10,102.51,104.01,756700,103.54
2014-02-12,103.71,104.68,102.63,102.93,1157500,102.47
2014-02-11,101.82,103.85,101.58,103.75,1179300,103.28
2014-02-10,100.40,102.10,100.03,101.97,1110300,101.51
2014-02-07,100.93,101.30,100.30,100.38,1237600,99.93
2014-02-06,100.79,101.43,99.87,100.60,972700,100.15
2014-02-05,99.42,101.34,98.94,100.71,1937600,100.26
2014-02-04,98.25,100.22,98.14,100.00,2087500,99.55
2014-02-03,98.97,99.35,97.66,97.95,2078900,97.51
2014-01-31,98.13,99.82,97.89,99.40,1154700,98.95
2014-01-30,97.71,99.47,96.77,99.25,1051100,98.80
2014-01-29,97.99,98.09,96.50,96.72,1680500,96.28
2014-01-28,97.27,99.25,97.24,98.78,1082300,98.34
2014-01-27,98.17,98.40,97.03,97.46,1137700,97.02
2014-01-24,98.72,99.28,98.06,98.12,1012000,97.68
2014-01-23,99.19,99.67,98.77,99.33,791500,98.88
2014-01-22,98.75,99.98,98.75,99.83,633300,99.38
2014-01-21,99.15,99.40,97.81,98.75,558700,98.31
2014-01-17,99.60,99.60,98.39,98.58,731000,98.14
2014-01-16,98.20,99.55,97.83,99.50,814200,99.05
2014-01-15,98.87,98.87,97.90,98.20,938700,97.76
2014-01-14,97.85,98.71,97.75,98.67,859800,98.23
2014-01-13,97.62,98.72,97.36,97.85,876500,97.41
2014-01-09,97.79,98.03,97.21,97.64,829500,97.20
2014-01-08,97.83,98.90,97.06,97.74,1493700,97.30
2014-01-07,95.80,97.49,95.80,97.00,1212100,96.56
