Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,112.56,113.95,112.39,113.08,617800,113.08
2014-03-27,113.10,113.50,111.60,112.06,719000,112.06
2014-03-26,114.82,115.08,112.39,112.93,813900,112.66
2014-03-25,113.75,115.79,113.39,114.20,923000,113.93
2014-03-24,117.20,117.63,113.76,113.79,1714600,113.52
2014-03-21,119.68,119.81,116.97,116.99,2034800,116.71
2014-03-20,116.95,119.93,116.81,118.78,1702900,118.50
2014-03-19,113.53,117.51,113.37,116.96,2083500,116.68
2014-03-18,111.42,113.70,111.42,113.45,1005800,113.18
2014-03-17,109.95,112.00,109.89,111.54,861100,111.27
2014-03-14,109.72,110.58,109.21,109.49,3355800,109.23
2014-03-13,111.17,111.26,109.46,109.62,1782300,109.36
2014-03-12,110.11,111.27,109.81,110.99,1363700,110.72
2014-03-11,111.19,111.19,110.20,110.36,1170000,110.10
2014-03-10,110.71,110.97,110.11,110.88,989400,110.61
2014-03-07,110.77,111.23,109.84,110.92,1446700,110.65
2014-03-06,112.39,113.29,111.18,111.47,1463400,111.20
2014-03-05,111.76,112.93,110.96,111.96,1143100,111.69
2014-03-04,113.07,113.52,111.78,112.35,1761400,112.08
2014-03-03,114.20,115.00,111.62,112.22,1942600,111.95
2014-02-28,110.79,113.09,110.46,112.46,1718100,112.19
2014-02-27,110.26,111.28,109.78,110.62,1255100,110.36
2014-02-26,108.14,112.72,108.14,110.31,2554700,110.05
2014-02-25,113.37,114.11,109.92,110.49,3411100,110.23
2014-02-24,102.86,114.76,102.71,113.69,6568800,113.42
2014-02-21,102.72,104.11,102.37,102.82,3455300,102.57
2014-02-20,100.91,102.92,100.91,102.24,1846600,102.00
2014-02-19,101.93,102.94,101.76,101.98,1607600,101.74
2014-02-18,100.73,103.96,100.35,102.31,2349000,102.07
2014-02-14,96.86,101.61,96.86,100.23,2759000,99.99
2014-02-13,95.52,97.23,95.28,97.02,1510500,96.79
2014-02-12,97.30,98.23,95.39,95.59,1417200,95.36
2014-02-11,96.54,97.54,94.88,97.27,1382500,97.04
2014-02-10,95.78,96.47,94.71,96.47,1662500,96.24
2014-02-07,96.01,96.57,94.56,95.97,2251600,95.74
2014-02-06,95.57,96.81,94.70,96.66,2161400,96.43
2014-02-05,91.00,96.88,91.00,95.71,4642900,95.48
2014-02-04,96.47,97.58,95.31,97.47,2046400,97.24
2014-02-03,97.19,97.33,95.88,96.36,2038800,96.13
2014-01-31,97.03,97.68,96.80,97.30,1410100,97.07
2014-01-30,96.92,98.92,96.81,98.17,1083600,97.94
2014-01-29,95.18,98.59,94.20,96.52,2280400,96.29
2014-01-28,96.00,96.74,95.70,96.02,1192600,95.79
2014-01-27,96.12,96.77,94.85,96.04,1585200,95.81
2014-01-24,95.30,96.32,94.91,96.00,1729400,95.77
2014-01-23,95.91,97.84,95.80,96.19,1744300,95.96
2014-01-22,96.14,96.49,95.56,96.14,1346100,95.91
2014-01-21,96.69,96.94,95.27,95.66,1407600,95.43
