Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,93.29,94.50,93.27,94.14,349500,94.14
2014-03-27,92.69,93.51,92.22,93.20,438500,93.20
2014-03-26,93.58,93.96,92.59,92.59,398700,92.59
2014-03-25,92.98,93.46,92.58,93.36,493900,93.36
2014-03-24,94.31,94.75,92.39,92.81,296900,92.42
2014-03-21,94.06,94.19,93.41,93.77,769900,93.38
2014-03-20,92.55,93.28,92.28,93.25,517500,92.86
2014-03-19,93.60,93.81,92.31,92.72,255700,92.33
2014-03-18,93.73,93.93,93.20,93.57,252100,93.18
2014-03-17,93.31,94.15,93.03,93.54,350700,93.15
2014-03-14,92.78,93.56,92.70,92.84,484800,92.45
2014-03-13,94.37,94.82,92.63,92.74,469600,92.35
2014-03-12,93.93,94.34,93.73,94.06,396400,93.66
2014-03-11,95.64,96.43,94.18,94.28,396300,93.88
2014-03-10,95.37,95.72,94.66,95.28,299600,94.88
2014-03-07,95.58,95.63,94.89,95.30,368700,94.90
2014-03-06,95.58,95.82,94.95,95.23,405800,94.83
2014-03-05,95.79,96.01,94.94,95.28,496600,94.88
2014-03-04,95.00,96.05,94.11,95.98,571000,95.58
2014-03-03,93.70,97.91,93.21,94.00,602800,93.61
2014-02-28,93.39,94.31,93.10,93.79,505900,93.40
2014-02-27,93.17,93.50,92.87,93.18,372200,92.79
2014-02-26,91.94,93.56,91.94,93.31,584600,92.92
2014-02-25,91.39,92.42,91.24,91.71,422700,91.32
2014-02-24,91.53,92.15,91.37,91.44,276800,91.06
2014-02-21,92.25,92.63,91.35,91.39,386300,91.01
2014-02-20,91.65,92.09,90.95,91.97,405100,91.58
2014-02-19,92.33,93.29,91.45,91.51,384500,91.13
2014-02-18,92.03,92.60,91.61,92.54,449000,92.15
2014-02-14,91.09,92.04,90.65,91.74,386500,91.35
2014-02-13,88.65,90.67,87.57,90.56,630100,90.18
2014-02-12,88.58,88.91,87.62,88.11,582700,87.74
2014-02-11,88.03,88.81,87.71,88.57,294400,88.20
2014-02-10,86.81,87.79,86.53,87.77,301500,87.40
2014-02-07,86.39,87.04,86.23,86.91,259000,86.54
2014-02-06,84.73,86.07,84.59,85.93,317000,85.57
2014-02-05,83.50,85.00,82.91,84.65,375100,84.29
2014-02-04,84.33,84.53,83.59,83.84,448800,83.49
2014-02-03,86.43,87.14,83.98,84.04,402300,83.69
2014-01-31,86.14,87.11,85.80,86.68,443700,86.32
2014-01-30,86.29,87.80,86.20,87.30,442200,86.93
2014-01-29,86.54,86.77,85.52,85.84,551300,85.48
2014-01-28,85.68,87.46,85.68,87.20,512500,86.83
2014-01-27,84.88,85.42,84.51,85.06,720100,84.70
2014-01-24,85.90,86.14,85.00,85.00,516500,84.64
2014-01-23,86.56,87.22,85.89,86.35,306800,85.99
2014-01-22,87.46,87.77,87.05,87.31,397900,86.94
2014-01-21,87.46,88.01,86.74,87.42,367000,87.05
2014-01-17,87.09,87.37,86.34,87.02,408400,86.65
2014-01-16,86.19,87.19,85.50,86.87,344000,86.50
2014-01-15,85.84,86.33,85.77,86.28,297800,85.92
2014-01-14,85.01,86.00,84.56,85.86,269000,85.50
2014-01-13,85.55,85.88,84.61,84.79,294000,84.43
2014-01-09,85.28,85.32,84.57,85.07,432100,84.71
2014-01-08,85.42,85.68,84.67,84.87,489500,84.51
2014-01-07,85.51,85.99,85.13,85.45,423900,85.09
2014-01-06,86.21,86.50,85.33,85.37,449100,85.01
2014-01-03,85.79,86.17,85.54,85.92,390200,85.56
2014-01-02,85.98,86.50,85.47,85.65,346600,85.29
2013-12-31,85.90,86.28,85.67,85.98,292900,85.62
2013-12-30,86.02,86.43,85.90,85.99,368000,85.63
2013-12-27,86.40,86.42,85.83,85.94,180300,85.58
2013-12-26,86.17,86.40,85.70,86.12,235900,85.76
2013-12-24,85.62,86.36,85.13,86.07,94300,85.71
2013-12-23,86.31,86.59,85.68,85.75,270400,85.00
2013-12-20,85.34,85.95,84.85,85.64,1996100,84.89
2013-12-19,85.19,85.59,84.78,85.10,706000,84.36
2013-12-18,84.06,85.56,83.05,85.54,603000,84.79
2013-12-17,84.14,84.64,83.51,84.05,475000,83.32
2013-12-16,84.74,85.00,83.69,84.19,616200,83.45
2013-12-13,85.03,85.59,84.56,84.70,335300,83.96
2013-12-12,84.95,85.41,84.32,84.94,420800,84.20
2013-12-11,86.01,86.49,84.92,85.07,451200,84.33
2013-12-10,86.22,86.43,85.46,85.96,275900,85.21
2013-12-09,86.46,86.87,85.99,86.29,255600,85.54
2013-12-06,85.75,86.33,85.36,86.31,320900,85.56
2013-12-05,84.70,85.74,84.45,84.75,484600,84.01
2013-12-04,86.12,86.49,84.58,85.25,380300,84.51
2013-12-03,87.44,87.77,85.45,86.60,574900,85.84
2013-12-02,88.54,90.09,87.77,87.87,286800,87.10
2013-11-29,88.82,88.98,88.26,88.35,202500,87.58
2013-11-27,88.24,88.70,88.00,88.42,219800,87.65
2013-11-26,88.98,88.98,88.06,88.25,327500,87.48
2013-11-25,88.80,88.98,87.73,88.05,261700,87.28
2013-11-22,88.56,88.81,87.86,88.42,286100,87.65
2013-11-21,88.59,88.90,88.06,88.33,257800,87.56
2013-11-20,88.63,89.05,88.05,88.21,287600,87.44
2013-11-19,88.58,89.07,88.22,88.60,263800,87.83
2013-11-18,88.91,89.14,88.26,88.56,371400,87.79
2013-11-15,89.91,90.30,88.58,88.58,1315800,87.81
2013-11-14,89.14,90.03,88.81,89.89,548800,89.11
2013-11-13,87.31,88.84,87.30,88.82,349300,88.04
2013-11-12,87.08,87.68,86.94,87.51,321300,86.75
2013-11-11,86.75,87.41,86.61,87.24,248500,86.48
2013-11-08,85.25,86.98,84.97,86.94,417300,86.18
2013-11-07,86.44,87.05,85.02,85.13,365100,84.39
2013-11-06,84.69,86.72,84.30,86.70,542400,85.94
2013-11-05,82.89,85.05,82.07,84.22,583600,83.48
2013-11-04,82.93,83.64,82.79,83.52,356400,82.79
2013-11-01,83.10,83.18,82.18,82.87,363500,82.15
2013-10-31,82.85,83.32,82.21,82.65,416500,81.93
2013-10-30,83.45,84.08,82.87,83.03,221800,82.31
2013-10-29,82.80,83.63,82.75,83.50,314100,82.77
2013-10-28,82.00,82.83,81.71,82.72,286100,82.00
2013-10-25,82.74,82.74,81.57,81.82,332300,81.11
2013-10-24,82.63,83.21,82.16,82.51,167600,81.79
2013-10-23,82.28,82.65,82.12,82.29,173500,81.57
2013-10-22,82.50,82.90,82.42,82.53,358800,81.81
2013-10-21,82.22,82.70,82.05,82.21,172000,81.49
2013-10-18,83.21,83.31,82.17,82.34,281700,81.62
2013-10-17,80.93,82.97,80.85,82.82,289200,82.10
2013-10-16,80.88,81.62,80.60,81.11,236200,80.40
2013-10-15,81.28,81.90,80.04,80.22,288700,79.52
2013-10-14,80.75,81.54,80.46,81.32,172200,80.61
2013-10-11,81.15,81.67,80.77,81.08,275300,80.37
2013-10-10,81.22,81.57,80.47,81.15,227300,80.44
2013-10-09,80.32,80.77,79.59,80.16,182600,79.46
2013-10-08,81.24,81.43,79.89,79.97,265500,79.27
2013-10-07,82.32,82.72,81.37,81.41,279500,80.70
2013-10-04,82.09,83.33,81.76,82.97,254400,82.25
2013-10-03,81.76,82.07,80.89,81.77,395400,81.06
2013-10-02,82.18,82.41,81.55,82.12,245500,81.40
2013-10-01,82.32,83.16,81.97,82.62,276500,81.90
2013-09-30,81.18,82.37,81.13,82.30,248700,81.58
2013-09-27,81.74,82.13,81.55,81.60,257300,80.89
2013-09-26,82.57,83.06,81.50,81.95,293900,81.23
2013-09-25,82.66,83.05,81.68,82.08,255800,81.36
2013-09-24,82.37,83.58,81.90,82.64,258400,81.92
2013-09-23,83.22,83.31,82.51,82.51,154500,81.40
2013-09-20,83.69,84.11,83.10,83.13,292100,82.01
2013-09-19,84.29,84.87,83.58,83.91,213300,82.78
2013-09-18,82.79,84.21,82.30,84.19,290300,83.06
2013-09-17,82.91,82.93,82.37,82.65,185900,81.54
2013-09-16,83.37,83.39,82.54,82.91,202100,81.80
2013-09-13,80.68,82.24,80.68,81.99,286400,80.89
2013-09-12,80.87,81.80,80.63,80.87,397800,79.79
2013-09-11,80.27,80.80,79.80,80.77,285500,79.69
2013-09-10,80.10,80.92,80.04,80.28,251600,79.20
2013-09-09,79.21,80.26,79.00,79.74,215500,78.67
2013-09-06,79.99,80.42,78.75,78.81,259800,77.75
2013-09-05,80.26,80.89,79.49,79.80,340000,78.73
2013-09-04,79.32,80.45,79.29,80.34,176500,79.26
2013-09-03,80.02,81.02,78.93,79.39,250400,78.32
2013-08-30,79.66,79.95,78.78,79.01,299900,77.95
2013-08-29,79.61,79.98,79.30,79.47,258500,78.40
2013-08-28,80.00,80.08,79.52,79.62,198900,78.55
2013-08-27,80.91,81.30,79.87,79.90,136400,78.83
2013-08-26,81.62,82.30,81.45,81.56,142600,80.47
2013-08-23,81.82,82.31,81.00,81.52,239300,80.43
2013-08-22,81.25,81.95,81.14,81.74,163600,80.64
2013-08-21,81.96,82.28,81.04,81.15,179100,80.06
2013-08-20,81.39,82.43,81.33,82.10,235900,81.00
2013-08-19,81.96,82.72,81.28,81.39,157400,80.30
2013-08-16,82.00,82.53,81.65,82.20,304900,81.10
2013-08-15,82.21,82.36,81.39,82.26,277900,81.16
