Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,77.77,78.25,77.42,77.77,960200,77.77
2014-03-27,77.41,77.96,76.91,77.58,1893100,77.58
2014-03-26,79.09,79.09,77.70,77.72,1630300,77.72
2014-03-25,79.38,79.71,77.95,78.67,1366300,78.67
2014-03-24,79.36,79.81,78.01,78.81,1623700,78.81
2014-03-21,81.54,81.54,79.39,79.44,2257100,79.44
2014-03-20,79.94,80.70,79.81,80.69,841200,80.69
2014-03-19,80.28,80.75,79.64,80.21,1168700,80.21
2014-03-18,80.49,80.85,80.19,80.66,1157300,80.66
2014-03-17,80.24,81.18,80.01,80.55,1184900,80.55
2014-03-14,80.15,80.39,79.59,79.91,1308800,79.91
2014-03-13,81.16,81.44,79.94,80.15,1558500,80.15
2014-03-12,81.09,81.19,80.49,80.93,2117900,80.93
2014-03-11,82.06,82.40,80.83,81.27,1682700,81.27
2014-03-10,81.76,82.33,81.31,81.82,2189000,81.82
2014-03-07,81.29,82.38,80.57,82.20,2778000,82.20
2014-03-06,80.45,81.12,80.44,80.73,1297800,80.73
2014-03-05,80.89,80.89,80.12,80.63,1884900,80.63
2014-03-04,78.53,81.24,78.51,80.91,3059900,80.91
2014-03-03,78.59,78.74,77.23,77.87,1622300,77.87
2014-02-28,77.39,78.30,77.27,78.15,2318100,78.15
2014-02-27,77.67,78.16,77.09,78.10,1289500,78.10
2014-02-26,81.21,81.21,77.23,77.70,1233100,77.70
2014-02-25,77.55,77.66,76.65,77.33,1527300,77.33
2014-02-24,76.67,78.18,76.41,77.41,2680200,77.41
2014-02-21,75.47,78.74,74.20,77.24,5414300,77.24
2014-02-20,73.67,74.19,73.04,73.85,1894000,73.85
2014-02-19,73.19,73.90,72.86,73.42,2359700,73.42
2014-02-18,71.90,73.26,71.68,73.05,2489500,73.05
2014-02-14,70.55,71.87,70.32,71.69,2490600,71.69
2014-02-13,69.49,70.76,69.12,70.72,3164900,70.72
2014-02-12,71.50,72.72,69.02,69.72,5066600,69.72
2014-02-11,71.40,73.00,71.40,72.72,1853900,72.72
2014-02-10,71.54,71.57,70.99,71.45,1774800,71.45
2014-02-07,71.29,71.73,71.01,71.45,2112100,71.45
2014-02-06,70.73,71.36,70.73,71.03,1590600,71.03
2014-02-05,70.54,71.01,70.36,70.75,1462700,70.75
2014-02-04,70.96,71.17,70.70,70.91,1732300,70.91
2014-02-03,73.49,73.79,70.71,70.81,2489300,70.81
2014-01-31,73.26,73.55,72.66,73.25,2103800,73.25
2014-01-30,73.47,74.56,73.20,74.19,1140800,74.19
