Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,56.05,57.05,55.87,56.54,3066900,56.54
2014-03-27,56.09,56.16,54.41,55.70,5731100,55.70
2014-03-26,58.23,58.35,56.48,56.52,3298000,56.52
2014-03-25,58.02,58.89,57.61,57.99,2373500,57.99
2014-03-24,59.02,59.18,57.62,57.89,1887200,57.89
2014-03-21,59.16,59.84,58.77,58.86,4471600,58.86
2014-03-20,57.94,58.83,57.77,58.67,2056200,58.67
2014-03-19,58.53,58.79,57.66,58.13,1801000,58.13
2014-03-18,58.36,58.87,58.36,58.52,1723200,58.52
2014-03-17,57.36,58.51,57.13,58.32,2918700,58.32
2014-03-14,57.49,58.20,56.81,56.90,3906900,56.90
2014-03-13,59.08,59.18,57.38,57.56,3078400,57.56
2014-03-12,59.26,59.29,58.62,58.95,2182400,58.95
2014-03-11,61.01,61.15,59.67,59.83,1725900,59.58
2014-03-10,61.73,61.73,60.56,60.96,1377200,60.71
2014-03-07,61.79,62.53,61.72,61.94,2286300,61.68
2014-03-06,61.05,61.47,60.99,61.32,2070700,61.06
2014-03-05,61.23,61.57,60.82,60.97,1341300,60.72
2014-03-04,60.91,61.44,60.74,61.23,1961600,60.97
2014-03-03,60.40,60.59,59.68,60.13,1846500,59.88
2014-02-28,60.71,61.58,60.53,61.14,2856100,60.88
2014-02-27,60.30,60.55,59.95,60.53,1887500,60.28
2014-02-26,59.75,60.79,59.74,60.30,2545700,60.05
2014-02-25,59.98,60.15,59.50,59.65,1453200,59.40
2014-02-24,59.44,60.83,59.44,59.97,2038700,59.72
2014-02-21,59.82,59.96,59.33,59.41,1736300,59.16
2014-02-20,58.79,59.92,58.79,59.72,1848900,59.47
2014-02-19,59.25,60.18,58.68,58.73,2444700,58.48
2014-02-18,58.63,59.54,58.23,59.38,3215100,59.13
2014-02-14,58.16,58.84,58.09,58.43,2338100,58.19
2014-02-13,57.83,58.50,57.50,58.12,2856000,57.88
2014-02-12,57.24,58.31,57.20,58.20,6225900,57.96
2014-02-11,58.08,60.64,57.11,57.26,7651600,57.02
2014-02-10,59.70,59.87,58.88,59.08,2604400,58.83
2014-02-07,58.43,59.88,58.40,59.76,2541400,59.51
2014-02-06,57.74,58.42,57.72,58.06,2443400,57.82
2014-02-05,59.13,59.13,57.30,57.69,3913900,57.45
2014-02-04,56.79,57.73,56.12,57.28,2556700,57.04
2014-02-03,58.58,59.08,56.74,56.85,3408400,56.61
2014-01-31,58.03,59.19,57.83,58.79,2496800,58.54
2014-01-30,59.01,59.24,58.52,59.03,1637800,58.78
2014-01-29,58.58,59.26,58.29,58.44,2036700,58.20
2014-01-28,58.79,59.53,58.79,59.08,1600600,58.83
2014-01-27,58.19,59.22,57.66,58.76,3025300,58.51
2014-01-24,60.16,60.18,58.09,58.11,3049300,57.87
2014-01-23,61.34,61.53,60.17,60.67,2273000,60.42
2014-01-22,62.39,62.48,61.81,61.81,2804900,61.55
2014-01-21,62.69,62.90,61.76,62.07,1810600,61.81
2014-01-17,62.91,63.17,62.13,62.32,1947600,62.06
2014-01-16,62.82,63.38,62.74,62.88,1982900,62.62
2014-01-15,62.50,63.03,62.25,62.84,1967800,62.58
2014-01-14,61.98,62.44,61.82,62.25,1712000,61.99
2014-01-13,62.29,63.42,61.63,61.73,2271400,61.47
2014-01-09,61.89,62.60,61.67,62.05,2148300,61.79
2014-01-08,61.57,62.08,61.34,61.85,2430200,61.59
2014-01-07,61.13,61.95,61.13,61.69,1553100,61.43
2014-01-06,61.62,61.93,60.99,61.13,1656700,60.87
2014-01-03,61.17,61.64,61.04,61.32,1503000,61.06
2014-01-02,61.25,61.70,61.12,61.24,1916200,60.98
2013-12-31,61.69,61.85,61.26,61.60,1446100,61.34
2013-12-30,61.33,61.97,61.19,61.77,1434500,61.51
2013-12-27,61.21,61.43,60.97,61.17,1190400,60.91
2013-12-26,61.10,61.40,60.65,61.16,919000,60.90
2013-12-24,60.78,61.26,60.71,60.86,744100,60.61
2013-12-23,60.48,61.15,60.21,60.96,1921500,60.71
2013-12-20,59.27,60.39,59.05,60.12,2873300,59.87
2013-12-19,58.54,59.30,58.51,59.15,1713700,58.90
2013-12-18,57.76,59.05,57.42,58.96,2540500,58.71
2013-12-17,57.96,58.11,57.28,57.44,1861600,57.20
2013-12-16,57.11,58.08,57.03,57.79,1810200,57.55
2013-12-13,57.20,57.43,56.74,56.82,2094700,56.58
2013-12-12,56.19,57.15,56.14,56.92,2708700,56.68
2013-12-11,56.66,56.78,55.95,56.01,2755500,55.78
2013-12-10,56.54,57.08,56.44,56.67,2048500,56.43
2013-12-09,55.81,56.99,55.73,56.81,2473100,56.57
2013-12-06,56.65,57.09,56.29,56.69,3124300,56.45
2013-12-05,55.76,56.07,55.57,55.76,3450000,55.53
2013-12-04,55.64,56.13,55.35,55.90,3497100,55.67
2013-12-03,55.34,56.31,54.83,56.03,4255800,55.80
2013-12-02,56.90,57.32,55.49,55.56,4592600,55.33
2013-11-29,71.05,71.75,70.92,71.42,1600400,56.81
2013-11-27,70.33,71.22,70.08,71.10,3449300,56.55
2013-11-26,70.11,70.51,69.74,70.33,3870900,55.94
2013-11-25,69.25,70.43,68.97,69.99,4887100,55.67
2013-11-22,68.08,68.89,67.64,68.84,3492200,54.75
2013-11-21,67.74,68.10,67.49,67.97,4741600,54.06
2013-11-20,67.64,67.98,67.13,67.73,3451000,53.87
2013-11-19,67.51,67.97,67.01,67.62,5330900,53.78
2013-11-18,68.64,69.07,67.28,67.58,3460300,53.75
2013-11-15,68.41,68.62,67.70,68.53,3091700,54.51
2013-11-14,67.78,68.11,67.28,68.00,2129200,54.09
2013-11-13,67.52,68.39,66.87,67.54,4753700,53.72
2013-11-12,67.30,67.87,66.75,67.77,3425500,53.90
2013-11-11,67.78,67.95,67.36,67.47,2010100,53.66
2013-11-08,66.60,67.71,66.56,67.70,1548700,53.85
2013-11-07,67.63,68.08,66.49,66.59,1586300,52.96
2013-11-06,67.77,68.27,67.50,67.72,1217200,53.86
2013-11-05,67.56,67.82,66.62,67.52,1345100,53.70
2013-11-04,67.99,68.04,67.40,67.70,920600,53.85
2013-11-01,67.63,68.22,66.87,67.74,1541700,53.88
2013-10-31,66.89,68.26,66.71,67.53,1856000,53.71
2013-10-30,68.13,68.30,66.70,67.09,1398900,53.36
2013-10-29,67.48,68.12,67.09,68.03,1291700,53.94
2013-10-28,67.73,67.83,67.22,67.31,1639600,53.37
2013-10-25,67.71,67.87,66.82,67.85,1994100,53.80
2013-10-24,67.62,67.82,66.68,67.65,2200000,53.64
2013-10-23,68.21,68.49,67.34,67.48,2062900,53.51
2013-10-22,68.00,68.94,67.57,68.29,3077900,54.15
2013-10-21,67.00,67.82,66.56,67.78,2907800,53.74
2013-10-18,66.72,68.33,65.31,66.85,7491100,53.01
2013-10-17,63.10,63.62,62.91,63.52,7288900,50.37
2013-10-16,64.50,64.83,62.98,63.35,4608000,50.23
2013-10-15,65.33,65.47,64.39,64.62,1613100,51.24
2013-10-14,65.27,65.88,64.65,65.68,1577100,52.08
2013-10-11,64.52,65.85,64.37,65.74,1571400,52.13
2013-10-10,63.54,64.69,63.40,64.63,2208700,51.25
2013-10-09,62.97,63.11,61.78,62.76,2506300,49.76
2013-10-08,64.23,64.58,62.67,62.82,2833000,49.81
2013-10-07,65.46,65.48,64.25,64.26,1705900,50.95
2013-10-04,64.91,66.30,64.74,66.09,1826800,52.40
2013-10-03,65.12,65.36,64.10,64.95,1864900,51.50
2013-10-02,64.86,65.19,64.47,65.18,1755100,51.68
2013-10-01,65.22,65.55,64.77,65.17,1216100,51.68
2013-09-30,64.77,65.18,64.48,64.94,2586800,51.49
2013-09-27,65.20,65.97,65.18,65.42,1175600,51.87
2013-09-26,65.96,66.03,65.35,65.62,1344000,52.03
2013-09-25,65.74,66.25,65.14,65.90,1957500,52.25
2013-09-24,64.69,66.62,64.69,65.81,2821000,52.18
2013-09-23,65.47,65.59,64.39,64.79,1401900,51.37
2013-09-20,65.29,66.03,65.24,65.50,4905200,51.94
2013-09-19,65.48,65.87,65.34,65.41,1915300,51.87
2013-09-18,64.69,65.56,64.06,65.12,1871400,51.64
2013-09-17,64.45,64.82,64.19,64.73,1201700,51.33
2013-09-16,64.71,64.80,64.08,64.53,1963000,51.17
2013-09-13,63.37,63.71,63.29,63.56,1027000,50.40
2013-09-12,63.85,64.36,63.21,63.22,1944900,50.13
2013-09-11,64.90,64.90,63.50,63.87,2489900,50.64
2013-09-10,62.96,64.86,62.95,64.81,3135500,51.22
2013-09-09,62.00,62.61,61.76,62.36,1889100,49.29
2013-09-06,61.79,62.49,60.96,61.77,1993700,48.82
