Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,41.49,42.17,41.44,41.83,444800,41.83
2014-03-27,41.82,41.99,41.18,41.44,505700,41.44
2014-03-26,42.91,43.48,41.87,41.89,984600,41.89
2014-03-25,43.11,43.32,42.49,42.77,458900,42.77
2014-03-24,43.80,44.23,42.63,42.90,569800,42.90
2014-03-21,43.75,44.31,43.55,43.71,1757800,43.71
2014-03-20,43.26,43.75,43.03,43.38,525700,43.38
2014-03-19,43.76,43.85,43.03,43.38,879500,43.38
2014-03-18,43.17,43.23,42.80,43.13,683700,43.13
2014-03-17,41.52,42.98,41.41,42.95,965900,42.95
2014-03-14,41.43,41.74,41.30,41.37,422300,41.37
2014-03-13,42.25,42.35,41.26,41.50,616200,41.50
2014-03-12,42.12,42.31,41.90,42.01,703400,42.01
2014-03-11,43.52,43.59,42.41,42.51,562900,42.40
2014-03-10,43.80,43.85,43.23,43.37,450700,43.26
2014-03-07,43.68,44.17,43.68,43.91,344600,43.80
2014-03-06,43.37,43.80,43.35,43.62,641300,43.51
2014-03-05,43.58,43.70,43.24,43.36,425900,43.25
2014-03-04,43.40,43.96,43.20,43.52,822400,43.41
2014-03-03,43.40,43.40,42.74,42.81,917000,42.70
2014-02-28,43.91,44.21,43.68,43.90,872100,43.79
2014-02-27,43.71,44.21,43.67,43.95,618900,43.84
2014-02-26,43.51,44.44,43.38,43.75,1056600,43.64
2014-02-25,43.32,43.75,43.31,43.47,984800,43.36
2014-02-24,43.41,44.12,43.37,43.39,666900,43.28
2014-02-21,43.63,43.67,43.20,43.37,863500,43.26
2014-02-20,42.55,43.52,42.50,43.24,832500,43.13
2014-02-19,42.53,42.96,42.37,42.48,625300,42.37
2014-02-18,43.08,43.35,42.16,42.70,1089100,42.59
2014-02-14,42.98,43.65,42.05,42.64,1711000,42.53
2014-02-13,40.48,41.41,40.39,41.34,508500,41.23
2014-02-12,40.48,41.19,40.36,40.96,547100,40.85
2014-02-11,39.78,40.53,39.74,40.42,445100,40.32
2014-02-10,40.18,40.30,39.47,39.73,534300,39.63
2014-02-07,39.84,40.42,39.72,40.39,370000,40.29
2014-02-06,39.30,39.78,39.18,39.61,405100,39.51
2014-02-05,39.20,39.36,38.69,39.18,745900,39.08
2014-02-04,38.40,39.60,37.87,39.36,1381000,39.26
2014-02-03,40.74,40.91,38.23,38.27,1565000,38.17
2014-01-31,40.94,41.47,40.70,40.95,691000,40.84
2014-01-30,41.34,41.49,41.00,41.40,665800,41.29
2014-01-29,40.53,41.30,40.40,40.95,725100,40.84
2014-01-28,40.24,40.93,40.13,40.86,708800,40.75
2014-01-27,41.04,41.34,39.60,40.24,1086900,40.14
2014-01-24,42.50,42.50,41.06,41.10,675000,40.99
2014-01-23,43.50,43.50,42.39,42.77,500300,42.66
2014-01-22,43.61,43.79,43.21,43.56,529100,43.45
2014-01-21,44.01,44.02,43.34,43.65,474900,43.54
2014-01-17,43.72,43.90,43.45,43.72,558000,43.61
2014-01-16,44.38,44.50,43.87,43.90,601600,43.79
2014-01-15,44.00,44.38,43.78,44.35,845000,44.24
2014-01-14,44.02,44.87,43.86,43.95,1204100,43.84
2014-01-13,44.34,44.50,43.56,43.71,876500,43.60
2014-01-10,43.81,44.50,43.76,44.49,890500,44.37
2014-01-09,43.51,43.95,43.41,43.90,509700,43.79
2014-01-08,43.22,43.62,43.00,43.49,394400,43.38
2014-01-07,43.26,43.57,42.98,43.29,508800,43.18
2014-01-06,43.66,43.67,42.77,42.94,525800,42.83
2014-01-03,43.22,43.66,43.20,43.45,550200,43.34
2014-01-02,43.21,43.48,42.97,43.19,569400,43.08
2013-12-31,43.60,43.66,43.30,43.42,385300,43.31
2013-12-30,42.92,43.58,42.81,43.50,481700,43.39
2013-12-27,43.29,43.38,42.90,42.91,459700,42.80
2013-12-26,43.30,43.55,43.15,43.15,559300,43.04
2013-12-24,43.11,43.34,42.95,43.21,172100,43.10
2013-12-23,43.05,43.17,42.79,43.04,433900,42.93
2013-12-20,42.90,43.45,42.74,42.75,1509300,42.64
2013-12-19,42.61,42.88,42.37,42.85,395600,42.74
2013-12-18,42.50,42.79,41.53,42.77,522500,42.66
2013-12-17,42.90,42.90,42.31,42.33,594200,42.22
2013-12-16,41.81,42.85,41.75,42.80,1024600,42.69
2013-12-13,41.20,41.56,40.99,41.53,877800,41.42
2013-12-12,40.77,41.23,40.69,41.12,487200,41.01
2013-12-11,41.26,41.41,40.51,40.77,639300,40.66
2013-12-10,41.19,41.88,41.12,41.29,640000,41.18
2013-12-09,40.50,41.41,40.21,41.32,1494700,41.21
2013-12-06,40.48,40.84,40.16,40.19,798700,40.09
2013-12-05,40.27,40.42,39.73,39.99,1471800,39.89
