Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,17.65,17.92,17.65,17.76,1760100,17.76
2014-03-27,17.40,17.81,17.34,17.63,3464700,17.63
2014-03-26,17.85,17.99,17.42,17.44,2032400,17.44
2014-03-25,17.85,18.09,17.63,17.76,2163200,17.76
2014-03-24,17.72,17.96,17.63,17.78,2740500,17.78
2014-03-21,17.90,18.10,17.65,17.72,4923000,17.72
2014-03-20,18.58,18.98,17.62,17.74,8419400,17.74
2014-03-19,18.48,18.50,18.11,18.26,4454300,18.26
2014-03-18,18.15,18.45,18.13,18.40,3060100,18.40
2014-03-17,17.81,18.10,17.80,18.00,2229600,18.00
2014-03-14,17.70,18.02,17.67,17.73,2695700,17.73
2014-03-13,18.12,18.22,17.71,17.78,2251300,17.78
2014-03-12,17.98,18.16,17.84,18.09,1838600,18.09
2014-03-11,18.32,18.50,18.04,18.10,1772000,18.10
2014-03-10,18.34,18.45,18.11,18.32,1651400,18.32
2014-03-07,18.46,18.51,18.28,18.39,1537200,18.39
2014-03-06,18.60,18.60,18.31,18.38,2214600,18.38
2014-03-05,18.86,19.05,18.49,18.54,2932400,18.54
2014-03-04,18.61,18.83,18.48,18.81,2309100,18.81
2014-03-03,18.19,18.40,17.80,18.31,3988200,18.31
2014-02-28,19.13,19.41,18.39,18.51,5454100,18.51
2014-02-27,19.22,19.32,18.93,19.15,2328600,19.15
2014-02-26,18.97,19.48,18.95,19.33,1972500,19.33
2014-02-25,18.70,19.15,18.66,18.93,2645200,18.93
2014-02-24,18.52,18.84,18.50,18.69,1550200,18.69
2014-02-21,18.73,18.74,18.48,18.48,1470400,18.48
2014-02-20,18.58,18.79,18.38,18.69,1651600,18.69
2014-02-19,18.47,18.74,18.39,18.59,2125000,18.59
2014-02-18,18.51,18.69,18.24,18.47,3481100,18.47
2014-02-14,18.45,18.56,18.35,18.49,1747700,18.49
2014-02-13,18.47,18.56,18.30,18.49,2498300,18.49
2014-02-12,18.59,18.77,18.40,18.65,5389700,18.65
2014-02-11,18.29,18.76,18.12,18.68,3177200,18.60
2014-02-10,17.97,18.31,17.97,18.26,1919200,18.18
2014-02-07,17.95,18.45,17.90,18.01,2717000,17.93
2014-02-06,17.37,17.89,17.37,17.78,1652600,17.70
2014-02-05,17.45,17.55,17.24,17.37,2311900,17.30
2014-02-04,17.57,17.66,17.29,17.53,2701900,17.45
2014-02-03,17.93,18.10,17.36,17.50,4547400,17.43
2014-01-31,17.97,18.14,17.88,17.97,3078800,17.89
2014-01-30,17.95,18.45,17.95,18.26,2646300,18.18
2014-01-29,17.93,18.26,17.73,17.79,3027100,17.71
2014-01-28,17.90,18.17,17.55,18.05,4510700,17.97
2014-01-27,17.93,18.33,17.73,18.07,4331000,17.99
2014-01-24,18.44,18.47,17.84,17.96,5626400,17.88
2014-01-23,18.32,18.83,18.30,18.56,5248700,18.48
