Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,14.97,14.98,14.96,14.98,490800,14.98
2014-03-27,14.98,14.98,14.96,14.97,892300,14.97
2014-03-26,14.98,14.98,14.97,14.97,1081700,14.97
2014-03-25,14.97,14.98,14.97,14.98,736100,14.98
2014-03-24,14.97,14.98,14.95,14.97,1320500,14.97
2014-03-21,14.96,14.98,14.95,14.97,806200,14.97
2014-03-20,14.97,14.97,14.95,14.96,243200,14.96
2014-03-19,14.96,14.97,14.96,14.96,496800,14.96
2014-03-18,14.97,14.98,14.95,14.95,656900,14.95
2014-03-17,14.97,14.97,14.96,14.96,572300,14.96
2014-03-14,14.95,14.97,14.94,14.97,1386800,14.97
2014-03-13,14.98,14.98,14.95,14.95,927500,14.95
2014-03-12,14.96,14.98,14.96,14.98,605000,14.98
2014-03-11,14.97,14.98,14.96,14.96,437600,14.96
2014-03-10,14.95,14.98,14.94,14.98,316700,14.98
2014-03-07,14.95,14.98,14.94,14.95,915200,14.95
2014-03-06,14.95,14.96,14.94,14.95,843800,14.95
2014-03-05,14.94,14.96,14.94,14.95,1137800,14.95
2014-03-04,14.93,14.95,14.92,14.94,1677000,14.94
2014-03-03,14.93,14.94,14.91,14.92,1522700,14.92
2014-02-28,14.95,14.95,14.93,14.94,450400,14.94
2014-02-27,14.92,14.95,14.91,14.95,497300,14.95
2014-02-26,14.94,14.96,14.91,14.91,694300,14.91
2014-02-25,14.93,14.95,14.93,14.94,464900,14.94
2014-02-24,14.96,14.97,14.92,14.93,1125600,14.93
2014-02-21,14.97,14.97,14.93,14.96,1369700,14.96
2014-02-20,14.95,14.97,14.92,14.97,853100,14.97
2014-02-19,14.92,14.96,14.91,14.96,1008800,14.96
2014-02-18,14.92,14.93,14.90,14.93,474400,14.93
2014-02-14,14.89,14.92,14.89,14.92,651600,14.92
2014-02-13,14.89,14.93,14.88,14.93,575300,14.93
2014-02-12,14.91,14.94,14.88,14.91,2042600,14.91
2014-02-11,14.87,14.92,14.87,14.92,2513600,14.92
2014-02-10,14.82,14.89,14.82,14.87,1880300,14.87
2014-02-07,14.80,14.84,14.78,14.81,1218000,14.81
2014-02-06,14.81,14.85,14.73,14.79,5556400,14.79
2014-02-05,14.75,14.82,14.73,14.80,1397600,14.80
2014-02-04,14.78,14.80,14.74,14.75,1001800,14.75
2014-02-03,14.76,14.79,14.72,14.73,1989300,14.73
2014-01-31,14.75,14.80,14.75,14.75,1258200,14.75
2014-01-30,14.84,14.84,14.77,14.78,1717000,14.78
2014-01-29,14.82,14.85,14.77,14.78,2652800,14.78
2014-01-28,14.82,14.84,14.81,14.83,1798100,14.83
2014-01-27,14.84,14.87,14.80,14.82,2941800,14.82
2014-01-24,14.83,14.87,14.81,14.86,3575700,14.86
2014-01-23,14.84,14.85,14.82,14.84,1885100,14.84
2014-01-22,14.84,14.86,14.84,14.86,1059000,14.86
2014-01-21,14.86,14.87,14.83,14.86,1337000,14.86
2014-01-17,14.81,14.86,14.81,14.86,1507300,14.86
2014-01-16,14.84,14.85,14.80,14.83,1932200,14.83
2014-01-15,14.84,14.85,14.80,14.83,2476600,14.83
2014-01-14,14.85,14.87,14.81,14.83,3131500,14.83
2014-01-13,14.85,14.86,14.83,14.83,2395000,14.83
2014-01-09,14.90,14.90,14.83,14.85,1509700,14.85
2014-01-08,14.92,14.93,14.89,14.89,1891500,14.89
2014-01-07,14.93,14.94,14.91,14.93,4177500,14.93
2014-01-06,14.94,14.95,14.90,14.91,1864200,14.91
2014-01-03,14.93,14.94,14.91,14.93,1344700,14.93
2014-01-02,14.95,14.96,14.91,14.94,1585000,14.94
2013-12-31,14.95,14.96,14.93,14.96,1143100,14.96
2013-12-30,14.90,14.96,14.90,14.96,4092600,14.96
2013-12-27,14.90,14.94,14.86,14.92,1896700,14.92
2013-12-26,14.87,14.92,14.85,14.86,2439000,14.86
2013-12-24,14.86,14.94,14.84,14.84,1746200,14.84
2013-12-23,14.88,14.90,14.82,14.88,5099300,14.88
2013-12-20,14.82,14.87,14.79,14.87,47901400,14.87
2013-12-19,14.36,14.54,13.74,14.13,1774100,14.13
2013-12-18,14.64,14.69,14.40,14.44,2326300,14.44
2013-12-17,14.60,14.67,14.47,14.58,838100,14.58
2013-12-16,14.50,14.60,14.43,14.59,1297900,14.59
2013-12-13,14.44,14.66,14.33,14.65,2251000,14.65
2013-12-12,13.73,14.80,13.51,14.37,3632700,14.37
2013-12-11,14.03,14.03,13.67,13.73,882000,13.73
2013-12-10,13.81,14.30,13.75,14.02,1705100,14.02
2013-12-09,14.06,14.06,13.82,13.85,720600,13.85
2013-12-06,14.00,14.19,13.95,14.05,670000,14.05
2013-12-05,13.99,14.12,13.80,13.93,570000,13.93
2013-12-04,14.08,14.15,13.83,14.04,549100,14.04
2013-12-03,13.96,14.18,13.87,14.16,885000,14.16
2013-12-02,14.00,14.22,13.88,14.04,1008000,14.04
2013-11-29,14.20,14.20,13.96,14.04,367800,14.04
2013-11-27,14.14,14.20,13.95,14.10,753600,14.10
2013-11-26,14.15,14.19,14.00,14.12,917800,14.12
2013-11-25,14.07,14.36,14.01,14.02,1276900,14.02
2013-11-22,13.46,13.95,13.45,13.89,1776800,13.89
2013-11-21,12.83,13.14,12.82,13.01,1226000,13.01
2013-11-20,13.01,13.14,12.79,12.83,1310300,12.83
2013-11-19,13.41,13.51,12.94,12.99,1095900,12.99
2013-11-18,13.66,13.75,13.38,13.46,873600,13.46
2013-11-15,13.75,13.89,13.40,13.57,1166300,13.57
2013-11-14,13.69,13.79,13.46,13.78,708900,13.78
2013-11-13,13.42,13.75,13.41,13.71,1643400,13.71
2013-11-12,13.65,13.79,13.44,13.50,1257900,13.45
2013-11-11,13.44,13.74,13.44,13.65,891800,13.60
2013-11-08,14.45,14.50,13.49,13.50,2305700,13.45
2013-11-07,15.53,15.67,15.14,15.20,640500,15.14
2013-11-06,15.75,15.75,15.33,15.48,532800,15.42
2013-11-05,15.58,15.70,15.35,15.67,377600,15.61
2013-11-04,15.54,15.66,15.42,15.62,515700,15.56
2013-11-01,15.53,15.60,15.27,15.57,1184000,15.51
2013-10-31,15.76,15.88,15.15,15.54,2415800,15.48
2013-10-30,16.04,16.24,15.00,15.35,1944200,15.29
2013-10-29,15.19,15.41,15.11,15.32,716000,15.26
2013-10-28,15.32,15.43,15.14,15.19,451900,15.13
2013-10-25,15.47,15.47,15.27,15.31,438300,15.25
2013-10-24,15.37,15.50,15.26,15.39,540100,15.33
2013-10-23,15.34,15.42,15.23,15.39,511300,15.33
2013-10-22,15.32,15.48,15.06,15.44,867300,15.38
2013-10-21,15.49,15.74,15.20,15.32,892900,15.26
2013-10-18,14.82,15.06,14.62,15.00,1035200,14.94
2013-10-17,14.46,14.72,14.42,14.66,541800,14.61
2013-10-16,14.75,14.75,14.40,14.54,672300,14.49
2013-10-15,14.56,14.93,14.54,14.74,798000,14.69
2013-10-14,14.48,14.64,14.33,14.64,575900,14.59
2013-10-11,14.35,14.61,14.27,14.60,631300,14.55
2013-10-10,14.60,14.65,14.35,14.42,519100,14.37
2013-10-09,14.36,14.48,14.03,14.44,973400,14.39
2013-10-08,14.51,14.55,14.13,14.24,1020000,14.19
2013-10-07,14.71,14.71,14.42,14.53,797700,14.48
2013-10-04,14.61,14.97,14.58,14.86,606800,14.80
2013-10-03,14.80,14.87,14.49,14.61,989900,14.56
2013-10-02,15.01,15.10,14.77,14.79,848700,14.74
2013-10-01,15.00,15.17,14.88,15.09,809000,15.03
2013-09-30,14.95,15.20,14.91,15.01,824500,14.95
2013-09-27,15.41,15.55,15.03,15.14,1478200,15.08
2013-09-26,16.29,16.41,14.86,15.64,3401100,15.58
2013-09-25,16.68,16.73,16.07,16.24,2171500,16.18
2013-09-24,16.16,16.69,16.06,16.63,2740900,16.57
2013-09-23,16.14,16.14,15.54,15.68,1848100,15.62
2013-09-20,16.02,16.43,15.92,16.20,1830100,16.14
2013-09-19,15.99,16.13,15.59,15.92,1045900,15.86
2013-09-18,15.85,16.18,15.70,15.90,966900,15.84
