Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,62.01,62.39,61.50,61.83,1203900,61.83
2014-03-27,61.96,62.45,61.59,61.78,1505100,61.78
2014-03-26,62.57,62.97,61.85,61.96,1749700,61.96
2014-03-25,62.32,62.85,62.12,62.48,1733700,62.48
2014-03-24,62.52,62.82,61.70,61.80,1321700,61.80
2014-03-21,62.85,63.15,62.45,62.50,2000200,62.50
2014-03-20,61.99,62.49,61.86,62.36,897500,62.36
2014-03-19,62.31,62.73,61.80,62.18,1096000,62.18
2014-03-18,61.98,62.55,61.98,62.41,1092300,62.41
2014-03-17,61.65,62.44,61.64,62.09,1289800,62.09
2014-03-14,61.44,62.22,61.25,61.33,1526200,61.33
2014-03-13,62.30,62.79,61.47,61.51,1447700,61.51
2014-03-12,62.29,62.36,61.78,62.20,1093000,62.20
2014-03-11,62.68,63.09,62.17,62.28,1570100,62.28
2014-03-10,62.40,62.82,62.24,62.63,1670300,62.63
2014-03-07,61.92,62.56,61.78,62.41,1361500,62.41
2014-03-06,61.27,61.87,60.97,61.58,1166800,61.58
2014-03-05,61.61,61.95,61.15,61.58,1511100,61.25
2014-03-04,61.73,62.16,61.51,61.65,1445700,61.32
2014-03-03,60.78,61.44,60.60,61.21,1494800,60.88
2014-02-28,61.30,61.67,61.05,61.48,1878600,61.15
2014-02-27,60.83,61.45,60.69,61.37,1786800,61.04
2014-02-26,59.47,61.25,59.33,60.92,2240700,60.59
2014-02-25,58.67,59.49,58.61,59.23,2406700,58.91
2014-02-24,59.49,59.84,58.60,58.61,2854000,58.30
2014-02-21,58.44,59.97,58.26,59.24,4675700,58.92
2014-02-20,58.88,59.68,58.87,59.44,2680300,59.12
2014-02-19,58.47,59.41,57.75,58.88,1532200,58.56
2014-02-18,58.85,59.41,58.64,58.92,1751300,58.60
2014-02-14,58.36,58.96,58.20,58.47,873400,58.16
2014-02-13,57.86,58.68,57.30,58.56,1280200,58.25
2014-02-12,59.03,59.33,58.09,58.26,1610200,57.95
2014-02-11,58.66,59.16,58.11,58.92,1623900,58.60
2014-02-10,58.57,58.65,57.95,58.55,1953400,58.24
2014-02-07,58.83,59.36,58.37,58.79,1348900,58.47
2014-02-06,57.36,59.03,57.31,58.70,1918800,58.39
2014-02-05,55.30,57.36,54.90,57.10,3223800,56.79
2014-02-04,55.97,56.32,55.31,55.38,2180900,55.08
2014-02-03,57.33,57.34,55.48,55.71,1885100,55.41
2014-01-31,56.79,57.72,56.57,57.45,1646200,57.14
2014-01-30,57.12,57.88,57.00,57.33,1237200,57.02
2014-01-29,57.93,58.34,56.62,56.70,2124100,56.40
2014-01-28,57.87,58.75,57.85,58.23,1739800,57.92
2014-01-27,58.19,58.65,57.73,57.82,1413400,57.51
2014-01-24,58.66,58.90,58.16,58.16,1204900,57.85
2014-01-23,59.00,59.10,58.40,59.06,1086800,58.74
2014-01-22,60.00,60.03,59.22,59.40,1098500,59.08
2014-01-21,60.21,60.34,59.26,59.66,1301800,59.34
2014-01-17,59.92,60.55,59.65,59.93,1932800,59.61
2014-01-16,60.64,60.72,59.88,60.11,1285300,59.79
2014-01-15,59.68,60.90,59.68,60.87,1488400,60.54
2014-01-14,59.48,60.27,59.48,59.75,1575400,59.43
2014-01-09,60.71,61.61,60.39,61.49,2069800,61.16
2014-01-08,60.75,60.75,59.68,60.49,1922900,60.17
2014-01-07,61.48,61.92,60.29,60.76,1911200,60.43
2014-01-06,62.25,62.31,61.25,61.41,1693200,61.08
2014-01-03,61.95,62.56,61.73,62.17,807000,61.84
2014-01-02,61.67,62.20,61.34,61.95,1177800,61.62
2013-12-31,61.89,62.14,61.67,61.80,692300,61.47
2013-12-30,61.43,62.09,61.43,61.85,650700,61.52
2013-12-27,61.05,61.75,61.05,61.42,527400,61.09
2013-12-26,61.72,62.00,61.58,61.61,609600,61.28
2013-12-24,61.48,61.81,61.07,61.60,576600,61.27
2013-12-23,61.34,61.87,61.24,61.54,1124800,61.21
2013-12-20,60.41,61.61,60.36,61.19,2002600,60.86
