Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,62.00,62.25,61.85,62.13,925000,62.13
2014-03-27,61.91,62.03,61.67,61.76,885600,61.76
2014-03-26,62.09,62.09,61.60,61.69,856000,61.69
2014-03-25,61.71,61.99,61.09,61.63,1063400,61.63
2014-03-24,61.68,61.93,61.38,61.40,1109500,61.40
2014-03-21,62.33,62.43,61.56,61.58,1747100,61.58
2014-03-20,61.64,62.00,61.52,61.88,1268800,61.88
2014-03-19,61.85,62.32,61.58,61.73,3380900,61.73
2014-03-18,61.07,62.01,60.90,61.85,2682400,61.85
2014-03-17,61.26,61.48,60.82,60.85,1799100,60.85
2014-03-14,61.59,61.78,60.86,60.90,2356500,60.90
2014-03-13,62.19,62.25,61.73,61.98,1563200,61.98
2014-03-12,61.50,62.11,61.37,62.07,1365800,62.07
2014-03-11,61.65,61.94,61.53,61.70,1437300,61.70
2014-03-10,61.60,61.78,61.30,61.68,1331100,61.68
2014-03-07,61.47,61.60,61.21,61.60,1629500,61.60
2014-03-06,61.29,61.49,61.07,61.43,2137500,61.43
2014-03-05,61.28,61.45,60.92,61.28,2132300,61.28
2014-03-04,60.54,61.33,60.51,61.26,2508100,61.26
2014-03-03,60.34,60.76,60.10,60.67,2009200,60.21
2014-02-28,60.26,60.98,60.16,60.69,1872600,60.23
2014-02-27,60.13,60.40,59.79,60.16,2152600,59.70
2014-02-26,60.87,61.11,60.31,60.33,2113900,59.87
2014-02-25,60.77,61.26,60.66,60.82,2653500,60.36
2014-02-24,60.49,60.93,60.14,60.71,2025900,60.25
2014-02-21,60.14,60.43,59.93,59.95,1293500,59.50
2014-02-20,59.62,60.33,59.44,60.24,1787800,59.78
2014-02-19,60.16,60.27,59.64,59.73,2415700,59.28
2014-02-18,60.19,60.28,59.72,60.12,1359900,59.66
2014-02-14,59.71,60.26,59.55,60.19,1629100,59.73
2014-02-13,59.23,59.51,59.10,59.48,2656900,59.03
2014-02-12,59.77,60.11,59.19,59.41,2793200,58.96
2014-02-11,58.85,59.92,58.85,59.87,3487900,59.42
2014-02-10,58.36,59.35,58.34,59.33,3306600,58.88
2014-02-07,58.00,58.57,57.75,58.36,3129700,57.92
2014-02-06,57.00,57.82,55.69,57.74,6284700,57.30
2014-02-05,57.20,57.75,57.00,57.37,3137000,56.94
2014-02-04,57.11,57.43,56.88,57.26,2468900,56.83
2014-02-03,58.01,58.15,56.81,56.90,2548100,56.47
2014-01-31,57.65,58.39,57.51,57.98,2376800,57.54
2014-01-30,58.69,58.85,57.94,58.13,2840800,57.69
2014-01-29,59.88,59.88,58.12,58.37,3133200,57.93
2014-01-28,59.99,60.39,59.72,60.03,1909700,59.57
2014-01-27,59.83,60.25,59.75,59.86,1399800,59.41
2014-01-24,60.36,60.58,59.83,59.83,1939500,59.38
2014-01-23,60.78,60.83,60.25,60.50,1026100,60.04
2014-01-22,60.76,61.11,60.27,61.01,1519300,60.55
2014-01-21,60.96,61.11,60.56,60.76,1143400,60.30
2014-01-17,61.27,61.27,60.38,60.47,2113500,60.01
2014-01-16,60.85,61.30,60.77,61.29,1522100,60.83
2014-01-15,61.02,61.36,60.58,61.10,1447000,60.64
2014-01-14,60.55,61.22,60.51,60.89,1845600,60.43
2014-01-09,60.22,60.47,59.84,60.28,1525800,59.82
2014-01-08,60.77,60.77,60.03,60.18,2058700,59.72
2014-01-07,60.62,60.98,60.38,60.80,1762000,60.34
2014-01-06,60.79,60.79,59.88,60.25,1989200,59.79
2014-01-03,60.99,61.08,60.54,60.58,1413700,60.12
2014-01-02,60.98,61.24,60.55,60.81,1830500,60.35
2013-12-31,61.28,61.58,60.92,61.07,1526300,60.61
2013-12-30,60.97,61.39,60.96,61.26,1593100,60.80
2013-12-27,60.72,61.18,60.69,60.98,1026400,60.52
2013-12-26,60.43,60.83,60.28,60.72,944300,60.26
2013-12-24,60.43,60.52,60.20,60.25,771500,59.79
2013-12-23,60.18,60.47,59.87,60.34,1766500,59.88
2013-12-20,60.59,61.13,60.43,60.52,1848800,60.06
2013-12-19,60.44,60.69,60.04,60.60,1412700,60.14
2013-12-18,59.92,60.57,59.58,60.53,2530300,60.07
2013-12-17,60.50,60.53,59.90,60.34,1328300,59.88
2013-12-16,60.83,60.95,60.26,60.43,1426100,59.97
2013-12-13,60.85,60.87,60.26,60.50,1308000,60.04
2013-12-12,61.12,61.20,60.59,60.64,1620400,60.18
2013-12-11,61.25,61.52,60.97,61.04,2012100,60.58
2013-12-10,61.76,61.88,60.97,61.09,1398500,60.63
2013-12-09,61.71,62.31,61.71,61.94,1722800,61.47
2013-12-06,60.99,61.71,60.98,61.64,1530400,61.17
2013-12-05,60.81,60.89,60.50,60.58,1161600,60.12
2013-12-04,60.91,61.16,60.63,60.90,1596000,60.44
2013-12-03,60.42,61.26,60.42,61.13,2826700,60.67
2013-12-02,60.64,60.88,60.23,60.59,1912000,60.13
2013-11-29,60.93,61.00,60.59,60.64,1071000,60.18
2013-11-27,61.34,61.52,60.86,60.88,1632700,60.42
2013-11-26,62.01,62.17,61.38,61.73,2366700,60.81
2013-11-25,62.71,62.75,62.01,62.13,1173400,61.20
2013-11-22,61.83,62.51,61.55,62.47,5072500,61.53
2013-11-21,61.45,61.99,61.28,61.74,4853800,60.82
2013-11-20,61.64,61.95,61.03,61.14,1792300,60.22
2013-11-19,62.14,62.25,61.67,61.71,1850500,60.79
2013-11-18,62.86,62.86,62.00,62.37,1233200,61.44
2013-11-15,63.00,63.10,62.33,62.61,1665500,61.67
2013-11-14,62.73,63.32,62.54,63.30,1659700,62.35
2013-11-13,61.64,62.48,61.46,62.47,1558900,61.53
2013-11-12,61.93,62.05,61.58,62.05,1175400,61.12
2013-11-11,62.35,62.56,61.70,61.94,900300,61.01
2013-11-08,61.92,62.19,61.27,62.19,1460600,61.26
2013-11-07,63.35,63.50,62.04,62.08,1495400,61.15
2013-11-06,63.16,63.58,62.95,63.35,1683700,62.40
2013-11-05,62.17,63.28,61.82,63.09,2350000,62.15
2013-11-04,63.51,64.92,62.47,62.72,6389400,61.78
2013-11-01,63.16,63.29,62.15,62.29,3515300,61.36
2013-10-31,63.74,63.84,63.18,63.25,1911700,62.30
2013-10-30,64.16,64.28,63.66,63.79,1959700,62.83
2013-10-29,63.61,64.40,63.51,64.28,2444600,63.32
