Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,16.72,17.11,16.63,17.02,4991900,17.02
2014-03-27,16.54,16.88,16.40,16.63,4292800,16.63
2014-03-26,16.86,17.04,16.51,16.57,6312100,16.57
2014-03-25,17.16,17.17,16.69,16.76,5597900,16.76
2014-03-24,17.81,17.84,16.92,16.98,11837700,16.98
2014-03-21,17.96,18.15,17.77,17.79,14662700,17.79
2014-03-20,18.61,18.69,18.04,18.21,7673800,18.21
2014-03-19,19.05,19.44,18.47,18.72,14476100,18.72
2014-03-18,17.40,17.71,17.13,17.68,6098000,17.68
2014-03-17,17.55,17.66,17.11,17.27,4904200,17.27
2014-03-14,17.25,17.63,17.09,17.51,4183900,17.51
2014-03-13,17.70,17.77,17.11,17.34,5822900,17.34
2014-03-12,17.48,17.67,17.14,17.65,4545800,17.65
2014-03-11,17.85,18.02,17.37,17.66,8117000,17.66
2014-03-10,18.15,18.34,17.72,17.85,7156800,17.85
2014-03-07,19.08,19.09,18.51,18.62,4473700,18.62
2014-03-06,19.55,19.59,19.00,19.01,4784500,19.01
2014-03-05,20.05,20.05,19.51,19.54,3057500,19.54
2014-03-04,20.21,20.29,19.88,20.10,3400800,20.10
2014-03-03,20.01,20.25,19.62,19.86,4377700,19.86
2014-02-28,20.67,20.72,20.25,20.40,3919200,20.40
2014-02-27,20.15,20.78,20.04,20.67,4794700,20.67
2014-02-26,19.57,20.40,19.27,20.18,6420000,20.18
2014-02-25,18.63,19.59,18.60,19.56,4998400,19.56
2014-02-24,18.98,19.09,18.65,18.66,3848200,18.66
2014-02-21,18.84,19.18,18.79,19.00,3236300,19.00
2014-02-20,18.66,18.86,18.50,18.80,1938600,18.80
2014-02-19,18.87,19.00,18.58,18.61,3151200,18.61
2014-02-18,19.27,19.27,18.68,18.95,2492900,18.95
2014-02-14,18.70,19.11,18.50,19.03,2786100,19.03
2014-02-13,18.33,18.73,18.15,18.73,2386100,18.73
2014-02-12,18.69,18.80,18.39,18.45,2505800,18.45
2014-02-11,18.46,18.70,18.40,18.63,3620200,18.63
2014-02-10,18.91,19.11,18.63,18.88,2387500,18.88
2014-02-07,18.91,19.18,18.75,18.92,3413500,18.92
2014-02-06,18.29,19.03,18.29,18.75,3151000,18.75
2014-02-05,18.61,18.74,18.15,18.29,3026800,18.29
2014-02-04,18.80,19.13,18.61,18.69,3306700,18.69
2014-02-03,19.34,19.34,18.45,18.80,5223500,18.77
2014-01-31,18.87,19.70,18.70,19.34,4893500,19.31
2014-01-30,19.14,19.45,18.75,19.11,7217400,19.08
2014-01-29,18.11,18.70,17.91,18.67,5820300,18.65
2014-01-28,17.75,18.50,17.75,18.37,6507000,18.35
2014-01-27,17.75,18.23,17.00,17.55,7988100,17.53
2014-01-24,18.39,18.41,17.83,18.04,5673500,18.02
2014-01-23,18.00,18.44,17.77,18.43,4572800,18.41
2014-01-22,17.72,18.27,17.61,18.14,3520300,18.12
2014-01-21,17.95,17.99,17.46,17.72,2377600,17.70
2014-01-17,17.99,18.02,17.74,17.88,2358000,17.86
2014-01-16,17.87,18.07,17.62,18.03,2678200,18.01
2014-01-09,17.92,18.04,17.62,17.88,2470600,17.86
2014-01-08,17.66,17.99,17.45,17.85,2628900,17.83
2014-01-07,18.11,18.17,17.66,17.69,2950900,17.67
2014-01-06,18.41,18.41,17.76,18.07,3514300,18.05
2014-01-03,18.17,18.44,18.16,18.28,2428700,18.26
2014-01-02,18.25,18.26,17.87,18.14,2560400,18.12
2013-12-31,18.12,18.38,18.08,18.28,2288700,18.26
2013-12-30,18.03,18.18,17.69,18.13,2403300,18.11
2013-12-27,18.08,18.28,18.01,18.11,2543700,18.09
2013-12-26,18.23,18.49,17.96,18.06,3119200,18.04
2013-12-24,18.24,18.65,17.87,18.16,3506300,18.14
2013-12-23,17.32,18.24,17.21,18.19,9690600,18.17
2013-12-20,16.46,17.02,16.45,16.91,6036600,16.89
2013-12-19,17.00,17.50,16.38,16.47,9104000,16.45
2013-12-18,17.39,18.01,16.97,17.55,8209100,17.53
2013-12-17,17.00,17.13,16.70,17.02,3764000,17.00
2013-12-16,17.33,17.44,17.07,17.18,2452900,17.16
2013-12-13,17.28,17.48,17.17,17.23,1611200,17.21
2013-12-12,17.13,17.35,17.06,17.25,1846600,17.23
2013-12-11,17.54,17.59,16.99,17.12,2536500,17.10
2013-12-10,17.74,18.25,17.52,17.56,3218500,17.54
2013-12-09,17.53,17.99,17.47,17.49,3397400,17.47
2013-12-06,17.37,17.80,17.32,17.51,2879000,17.49
2013-12-05,17.12,17.31,17.04,17.10,2759300,17.08
2013-12-04,16.92,17.40,16.82,17.26,3873600,17.24
2013-12-03,17.08,17.36,17.00,17.08,2868100,17.06
2013-12-02,17.54,17.57,17.11,17.16,2805900,17.14
2013-11-29,17.87,17.87,17.45,17.53,1530900,17.51
2013-11-27,17.80,18.05,17.75,17.87,2153000,17.85
2013-11-26,17.14,17.93,17.09,17.81,4577900,17.79
2013-11-25,17.33,17.37,16.73,17.01,3466600,16.99
2013-11-22,17.55,17.55,17.19,17.35,3656700,17.33
