Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,14.04,14.26,13.94,14.14,8079500,14.14
2014-03-27,14.29,14.41,13.93,13.98,13122500,13.98
2014-03-26,14.46,14.50,14.20,14.21,18218400,14.21
2014-03-25,14.31,14.43,14.20,14.40,10055400,14.40
2014-03-24,14.46,14.58,14.17,14.26,11701700,14.26
2014-03-21,14.57,14.70,14.34,14.36,18388700,14.36
2014-03-20,14.13,14.58,14.13,14.43,21757800,14.43
2014-03-19,14.00,14.30,13.96,14.20,18783600,14.20
2014-03-18,13.96,14.04,13.89,13.97,9411600,13.97
2014-03-17,13.85,13.98,13.81,13.95,9095500,13.95
2014-03-14,13.71,13.92,13.69,13.79,12983100,13.79
2014-03-13,13.81,13.92,13.70,13.74,12366700,13.74
2014-03-12,13.72,13.79,13.63,13.77,8601500,13.77
2014-03-11,13.98,14.01,13.74,13.78,13018600,13.78
2014-03-10,13.88,14.01,13.81,13.98,14354800,13.98
2014-03-07,13.78,14.04,13.76,13.90,17784900,13.90
2014-03-06,13.41,13.66,13.34,13.64,14969700,13.64
2014-03-05,13.40,13.42,13.31,13.36,8694600,13.36
2014-03-04,13.19,13.43,13.17,13.41,8153000,13.41
2014-03-03,13.06,13.11,12.93,13.04,10157700,13.04
2014-02-28,12.97,13.22,12.95,13.17,10416500,13.17
2014-02-27,12.99,13.07,12.94,13.01,7004300,12.96
2014-02-26,12.95,13.05,12.90,13.01,8020900,12.96
2014-02-25,12.98,12.98,12.85,12.90,9095300,12.85
2014-02-24,12.87,13.10,12.84,12.97,8096100,12.92
2014-02-21,12.77,12.93,12.77,12.85,7328400,12.80
2014-02-20,12.64,12.79,12.51,12.76,9387900,12.71
2014-02-19,12.84,12.88,12.60,12.64,11036700,12.59
2014-02-18,12.95,12.99,12.79,12.92,9199900,12.87
2014-02-14,12.89,13.04,12.86,12.92,8688300,12.87
2014-02-13,12.78,12.90,12.66,12.88,8505300,12.83
2014-02-12,12.80,13.18,12.80,12.91,9327600,12.86
2014-02-11,12.69,12.84,12.56,12.81,11112100,12.76
2014-02-10,12.76,12.81,12.56,12.67,8234000,12.62
2014-02-07,12.72,12.87,12.62,12.74,9321200,12.69
2014-02-06,12.41,12.66,12.41,12.65,7244400,12.60
2014-02-05,12.40,12.47,12.28,12.38,13708300,12.33
2014-02-04,12.39,12.57,12.25,12.48,9689600,12.43
2014-02-03,12.75,12.78,12.28,12.31,12920300,12.26
2014-01-31,12.75,12.90,12.71,12.76,11633200,12.71
2014-01-30,12.97,13.00,12.73,12.97,11891500,12.92
2014-01-29,12.85,13.02,12.79,12.87,13728100,12.82
2014-01-28,12.85,13.03,12.81,12.96,13179200,12.91
2014-01-27,12.98,13.10,12.76,12.86,18336900,12.81
2014-01-24,13.61,13.61,12.90,12.93,29808300,12.88
2014-01-23,13.85,14.00,13.39,13.68,25810600,13.62
2014-01-22,14.06,14.14,13.91,14.14,13922600,14.08
2014-01-21,13.68,14.01,13.66,14.01,16871000,13.95
2014-01-17,13.56,13.73,13.52,13.54,7584700,13.48
2014-01-16,13.68,13.69,13.47,13.53,7824800,13.47
2014-01-15,13.63,13.75,13.61,13.68,7548500,13.62
2014-01-09,13.64,13.84,13.64,13.76,16899600,13.70
2014-01-08,13.49,13.68,13.41,13.63,12565700,13.57
2014-01-07,13.54,13.67,13.45,13.54,11581100,13.48
2014-01-06,13.40,13.62,13.40,13.44,12965900,13.38
2014-01-03,13.32,13.44,13.26,13.32,5570800,13.26
2014-01-02,13.43,13.44,13.26,13.29,6353900,13.23
2013-12-31,13.39,13.49,13.38,13.42,3652500,13.36
2013-12-30,13.41,13.46,13.36,13.38,2991500,13.32
2013-12-27,13.47,13.49,13.38,13.40,2506300,13.34
2013-12-26,13.50,13.53,13.41,13.44,3039300,13.38
2013-12-24,13.48,13.55,13.44,13.45,1957500,13.39
2013-12-23,13.39,13.48,13.33,13.46,5040800,13.40
2013-12-20,13.36,13.42,13.24,13.32,13165600,13.26
2013-12-19,13.24,13.34,13.16,13.27,6718200,13.21
2013-12-18,13.10,13.28,12.86,13.27,12504500,13.21
2013-12-17,13.23,13.24,13.02,13.08,10929600,13.02
2013-12-16,13.08,13.31,13.08,13.27,8312500,13.21
2013-12-13,13.05,13.13,12.97,13.04,7091400,12.98
2013-12-12,12.91,13.16,12.90,13.08,12911000,13.02
2013-12-11,13.07,13.07,12.86,12.92,11461800,12.87
2013-12-10,12.85,13.05,12.78,13.00,11700600,12.95
2013-12-09,12.97,12.99,12.79,12.88,9458900,12.83
2013-12-06,12.89,12.98,12.82,12.95,7483800,12.90
2013-12-05,12.78,12.84,12.65,12.74,9917300,12.69
2013-12-04,12.64,12.88,12.57,12.84,13335000,12.79
2013-12-03,12.74,12.79,12.49,12.58,11969100,12.53
2013-12-02,12.82,12.99,12.76,12.76,13154600,12.71
2013-11-29,12.81,12.89,12.73,12.75,5186700,12.70
2013-11-27,12.93,12.97,12.83,12.85,8167700,12.74
2013-11-26,12.94,12.97,12.82,12.88,9086400,12.77
2013-11-25,12.98,13.10,12.90,12.90,12891400,12.79
2013-11-22,12.96,13.01,12.83,12.98,8200300,12.87
2013-11-21,12.78,13.02,12.72,12.94,13325700,12.83
2013-11-20,12.78,12.82,12.67,12.73,11582400,12.62
2013-11-19,12.82,12.88,12.66,12.78,11454100,12.67
2013-11-18,12.90,12.97,12.76,12.82,10672500,12.71
2013-11-15,12.97,13.00,12.84,12.85,13326300,12.74
2013-11-14,13.05,13.05,12.92,12.95,8046500,12.84
2013-11-13,12.84,13.00,12.71,13.00,7876700,12.89
2013-11-12,12.94,13.02,12.78,12.84,6170700,12.73
2013-11-11,13.04,13.10,12.92,12.96,7800100,12.85
2013-11-08,12.49,13.02,12.45,13.02,11085400,12.91
2013-11-07,12.70,12.79,12.45,12.46,9429200,12.35
2013-11-06,12.66,12.69,12.50,12.66,7547200,12.55
2013-11-05,12.43,12.67,12.37,12.56,9539000,12.45
2013-11-04,12.56,12.61,12.42,12.50,7881500,12.39
2013-11-01,12.55,12.65,12.48,12.54,8735600,12.43
2013-10-31,12.51,12.67,12.47,12.54,10740800,12.43
2013-10-30,12.66,12.72,12.51,12.53,10594000,12.42
2013-10-29,12.75,12.78,12.59,12.66,8936200,12.55
2013-10-28,12.66,12.80,12.63,12.74,8856600,12.63
2013-10-25,12.68,12.73,12.60,12.69,9771900,12.58
2013-10-24,12.64,12.68,12.55,12.63,10623600,12.52
2013-10-23,12.59,12.67,12.55,12.62,12569700,12.51
2013-10-22,12.57,12.69,12.53,12.64,17891700,12.53
2013-10-21,12.57,12.61,12.49,12.56,9270600,12.45
2013-10-18,12.66,12.68,12.38,12.60,11807900,12.49
2013-10-17,12.28,12.55,12.11,12.55,15742800,12.44
2013-10-16,12.04,12.38,11.93,12.14,18312000,12.04
2013-10-15,11.91,11.96,11.80,11.86,8655500,11.76
2013-10-14,11.81,11.95,11.77,11.93,7848700,11.83
2013-10-11,11.71,11.90,11.63,11.88,8228000,11.78
2013-10-10,11.49,11.76,11.49,11.75,11410100,11.65
2013-10-09,11.30,11.45,11.24,11.36,12837800,11.26
2013-10-08,11.44,11.55,11.25,11.30,15804300,11.20
2013-10-07,11.54,11.56,11.42,11.45,9129500,11.35
2013-10-04,11.46,11.70,11.44,11.64,8576800,11.54
2013-10-03,11.39,11.51,11.30,11.45,12828300,11.35
2013-10-02,11.42,11.54,11.38,11.42,11051300,11.32
2013-10-01,11.39,11.56,11.32,11.53,9437500,11.43
2013-09-30,11.15,11.41,11.05,11.40,10269200,11.30
2013-09-27,11.27,11.45,11.20,11.36,8777300,11.26
2013-09-26,11.45,11.48,11.26,11.34,9182800,11.24
2013-09-25,11.44,11.57,11.29,11.45,8266400,11.35
2013-09-24,11.33,11.50,11.22,11.42,13479300,11.32
2013-09-23,11.50,11.55,11.28,11.37,14450400,11.27
2013-09-20,11.57,11.64,11.40,11.57,23121500,11.47
2013-09-19,12.11,12.11,11.53,11.60,21310500,11.50
2013-09-18,12.13,12.24,12.04,12.07,8736500,11.97
2013-09-17,12.07,12.15,12.02,12.12,5503000,12.02
2013-09-16,12.11,12.13,12.00,12.05,6656900,11.95
2013-09-13,11.97,12.02,11.88,11.97,4549900,11.87
2013-09-12,12.06,12.09,11.93,11.97,6762400,11.87
2013-09-11,12.11,12.20,11.97,12.06,7270500,11.96
2013-09-10,12.08,12.15,12.03,12.14,9438800,12.04
2013-09-09,11.95,12.00,11.78,11.99,9090300,11.89
2013-09-06,11.97,11.99,11.73,11.90,14096700,11.80
2013-09-05,11.70,11.94,11.69,11.84,10870700,11.74
2013-09-04,11.66,11.80,11.58,11.68,14743300,11.58
2013-09-03,11.79,11.97,11.62,11.68,9695300,11.58
2013-08-30,11.79,11.80,11.54,11.67,12161600,11.57
2013-08-29,11.71,11.87,11.68,11.79,9339600,11.69
2013-08-28,11.57,11.83,11.51,11.69,10637000,11.59
2013-08-27,11.96,11.96,11.61,11.65,11644400,11.55
2013-08-26,12.18,12.26,12.08,12.11,7981900,12.01
2013-08-23,12.37,12.40,12.14,12.20,6664800,12.10
2013-08-22,12.14,12.37,12.10,12.35,8280700,12.19
2013-08-21,12.12,12.22,12.00,12.09,9717800,11.93
2013-08-20,12.01,12.23,11.89,12.16,12509900,12.00
2013-08-19,12.14,12.14,11.99,11.99,7898400,11.84
2013-08-16,12.09,12.32,12.05,12.16,7813800,12.00
2013-08-15,12.18,12.18,11.99,12.08,9610800,11.92
2013-08-14,12.27,12.36,12.21,12.29,8684700,12.13
2013-08-13,12.21,12.37,12.10,12.28,9871900,12.12
2013-08-12,12.16,12.25,12.09,12.18,7037000,12.02
2013-08-09,12.28,12.37,12.19,12.23,7821700,12.07
2013-08-08,12.28,12.37,12.14,12.29,11611300,12.13
2013-08-07,12.33,12.34,12.12,12.18,11202000,12.02
2013-08-06,12.50,12.56,12.31,12.38,10914200,12.22
2013-08-05,12.50,12.60,12.44,12.52,5512600,12.36
2013-08-02,12.58,12.62,12.44,12.55,8399200,12.39
2013-08-01,12.39,12.63,12.38,12.59,10958600,12.43
2013-07-31,12.23,12.42,12.22,12.28,9988600,12.12
2013-07-30,12.20,12.29,12.11,12.20,8846900,12.04
2013-07-29,12.38,12.40,12.12,12.17,8190000,12.01
2013-07-26,12.24,12.41,12.24,12.40,9504900,12.24
2013-07-25,12.34,12.50,12.26,12.36,13390000,12.20
2013-07-24,12.35,12.44,12.26,12.37,10783300,12.21
2013-07-23,12.41,12.42,12.22,12.29,12564200,12.13
2013-07-22,12.09,12.38,12.03,12.37,13419300,12.21
2013-07-19,11.86,12.08,11.84,12.04,13276000,11.88
2013-07-18,11.51,12.00,11.44,11.83,17963200,11.68
2013-07-17,11.58,11.72,11.55,11.66,10480000,11.51
2013-07-16,11.78,11.79,11.42,11.55,9893600,11.40
2013-07-15,11.84,11.91,11.76,11.76,6755000,11.61
2013-07-12,11.61,11.80,11.58,11.79,8326000,11.64
2013-07-11,11.96,11.96,11.51,11.57,14680700,11.42
2013-07-10,11.87,11.91,11.68,11.79,10235700,11.64
2013-07-09,11.99,12.01,11.81,11.88,13754900,11.73
2013-07-08,12.06,12.13,11.89,11.91,11242700,11.76
2013-07-05,11.53,12.00,11.53,12.00,14123700,11.85
2013-07-03,11.33,11.46,11.29,11.43,5205100,11.28
2013-07-02,11.24,11.49,11.21,11.40,12127100,11.25
2013-07-01,11.07,11.40,11.06,11.24,12289900,11.09
2013-06-28,11.04,11.09,10.91,11.04,10049300,10.90
2013-06-27,10.98,11.09,10.91,11.08,9505900,10.94
2013-06-26,10.97,10.97,10.78,10.88,13099200,10.74
2013-06-25,10.54,10.75,10.48,10.72,11264500,10.58
2013-06-24,10.40,10.56,10.32,10.44,13526100,10.31
2013-06-21,10.49,10.62,10.35,10.54,17504700,10.40
2013-06-20,10.32,10.65,10.24,10.37,26917100,10.24
2013-06-19,10.48,10.52,10.38,10.41,10232800,10.28
2013-06-18,10.39,10.59,10.36,10.50,10058500,10.36
2013-06-17,10.47,10.50,10.35,10.42,8790600,10.29
2013-06-14,10.65,10.66,10.31,10.41,11455800,10.28
2013-06-13,10.48,10.69,10.41,10.68,9976400,10.54
2013-06-12,10.81,10.84,10.48,10.48,11838600,10.34
