Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,21.85,21.96,21.77,21.84,2109500,21.84
2014-03-27,21.63,21.88,21.51,21.76,2553700,21.76
2014-03-26,21.92,21.99,21.61,21.67,1681300,21.67
2014-03-25,21.85,22.00,21.70,21.87,2264900,21.87
2014-03-24,21.93,21.98,21.57,21.73,1958900,21.73
2014-03-21,21.79,21.94,21.56,21.85,3455100,21.85
2014-03-20,21.39,21.62,21.30,21.60,2154500,21.60
2014-03-19,22.07,22.13,21.47,21.50,3005600,21.50
2014-03-18,21.88,21.97,21.77,21.96,3426300,21.96
2014-03-17,21.97,22.08,21.79,21.87,3271100,21.87
2014-03-14,21.91,22.17,21.86,21.88,4194000,21.88
2014-03-13,22.02,22.07,21.89,21.96,3780100,21.96
2014-03-12,21.84,22.07,21.84,22.00,4267600,22.00
2014-03-11,21.82,22.06,21.79,21.91,2424600,21.91
2014-03-10,22.05,22.09,21.69,21.89,3518500,21.89
2014-03-07,22.02,22.36,21.88,22.05,2873100,22.05
2014-03-06,22.61,22.65,22.28,22.38,2771900,22.38
2014-03-05,22.62,22.70,22.32,22.63,3273300,22.63
2014-03-04,22.26,22.63,22.26,22.62,3930900,22.62
2014-03-03,22.17,22.26,22.00,22.25,3028800,22.25
2014-02-28,22.02,22.30,21.93,22.26,5110000,22.26
2014-02-27,21.91,22.09,21.83,22.00,2968700,22.00
2014-02-26,21.92,22.08,21.86,21.99,2119800,21.99
2014-02-25,21.78,22.05,21.73,21.92,2008900,21.92
2014-02-24,21.81,21.98,21.71,21.73,2749300,21.73
2014-02-21,21.67,21.92,21.59,21.79,1719700,21.79
2014-02-20,21.81,21.94,21.62,21.70,1937300,21.70
2014-02-19,21.74,22.13,21.65,21.80,2420000,21.80
2014-02-18,21.72,21.74,21.52,21.74,1774200,21.74
2014-02-14,21.46,21.72,21.46,21.68,1597900,21.68
2014-02-13,21.23,21.57,21.13,21.49,2878100,21.49
2014-02-12,21.34,21.35,21.15,21.30,2687600,21.30
2014-02-11,21.11,21.47,21.11,21.28,4502200,21.28
2014-02-10,20.94,21.18,20.85,21.13,3885300,21.13
2014-02-07,20.88,21.04,20.76,20.93,3339500,20.93
2014-02-06,20.55,20.82,20.46,20.76,5107600,20.76
2014-02-05,20.40,20.56,20.30,20.52,4112400,20.52
2014-02-04,20.50,20.56,20.31,20.46,5385300,20.46
2014-02-03,20.86,20.89,20.40,20.46,7254900,20.46
2014-01-31,20.57,20.98,20.47,20.91,3165200,20.91
2014-01-30,20.71,20.92,20.69,20.84,2694100,20.84
2014-01-29,20.78,20.78,20.38,20.56,2362000,20.56
2014-01-28,20.44,20.79,20.44,20.70,2235900,20.70
2014-01-27,20.68,20.84,20.42,20.46,2471000,20.46
2014-01-24,20.77,20.88,20.59,20.69,3275600,20.69
2014-01-23,20.94,21.06,20.78,20.88,3628800,20.88
2014-01-22,20.96,21.08,20.88,21.08,2243200,21.08
2014-01-21,20.87,20.99,20.76,20.96,3392600,20.96
2014-01-17,20.79,20.96,20.69,20.76,3466500,20.76
2014-01-16,20.69,20.92,20.56,20.89,2797900,20.89
2014-01-15,20.61,20.81,20.55,20.76,3535100,20.76
2014-01-14,20.25,20.78,20.22,20.59,5841900,20.59
2014-01-09,20.24,20.27,19.96,20.27,3079700,20.27
2014-01-08,20.03,20.25,19.96,20.15,3128600,20.15
2014-01-07,20.00,20.13,19.89,20.01,6138600,20.01
2014-01-06,19.98,20.05,19.75,19.95,4520700,19.95
2014-01-03,19.73,20.04,19.73,19.94,3175800,19.94
2014-01-02,19.77,19.86,19.61,19.77,2627300,19.77
2013-12-31,19.94,20.01,19.71,19.75,2668500,19.75
2013-12-30,19.92,20.06,19.92,19.93,1605500,19.93
2013-12-27,20.24,20.28,20.03,20.13,1411700,20.13
2013-12-26,20.66,20.74,20.11,20.26,1642000,20.26
2013-12-24,20.16,20.26,20.04,20.11,958700,20.11
2013-12-23,20.33,20.37,20.06,20.12,2452700,20.12
2013-12-20,20.17,20.32,20.05,20.21,4768700,20.21
2013-12-19,20.44,20.44,20.09,20.22,2925200,20.22
2013-12-18,20.17,20.50,19.73,20.47,4232300,20.47
2013-12-17,19.92,20.27,19.83,20.10,4762100,20.10
2013-12-16,19.97,20.12,19.81,19.91,3230100,19.91
2013-12-13,20.29,20.53,20.02,20.02,3202100,20.02
2013-12-12,20.19,20.40,20.06,20.20,3658300,20.20
2013-12-11,20.83,20.92,20.18,20.19,4346400,20.19
2013-12-10,21.09,21.21,20.85,20.86,2456900,20.86
2013-12-09,20.98,21.15,20.85,21.11,2127000,21.11
2013-12-06,20.88,21.03,20.77,20.98,3185700,20.98
2013-12-05,20.61,20.83,20.47,20.73,2348500,20.73
2013-12-04,20.49,20.80,20.40,20.70,2557900,20.70
2013-12-03,20.53,20.79,20.50,20.66,2773700,20.66
2013-12-02,20.58,20.75,20.27,20.66,5420600,20.66
2013-11-29,20.90,20.92,20.61,20.62,1386500,20.62
2013-11-27,21.00,21.06,20.86,20.88,2221700,20.88
2013-11-26,20.90,21.02,20.79,20.87,4387600,20.87
2013-11-25,20.98,21.00,20.79,20.84,2261500,20.84
2013-11-22,20.99,20.99,20.76,20.91,3186000,20.91
2013-11-21,20.90,21.02,20.82,20.96,3176200,20.96
2013-11-20,21.10,21.36,20.79,20.88,2363700,20.88
2013-11-19,21.12,21.21,20.91,21.11,2482500,21.11
2013-11-18,21.24,21.37,21.11,21.17,2654800,21.17
2013-11-15,21.04,21.18,20.97,21.18,5489300,21.18
2013-11-14,21.01,21.29,21.01,21.12,2652500,21.12
2013-11-13,20.80,20.93,20.71,20.92,2495100,20.92
2013-11-12,21.14,21.14,20.71,20.85,2807000,20.85
2013-11-11,20.97,21.14,20.93,21.04,2061900,21.04
2013-11-08,20.99,21.05,20.63,21.00,3428500,21.00
2013-11-07,21.46,21.46,21.05,21.12,3025500,21.12
2013-11-06,21.41,21.74,21.33,21.38,3474700,21.38
2013-11-05,21.52,21.59,21.29,21.36,5522900,21.36
2013-11-04,21.67,21.83,21.59,21.66,5195200,21.66
2013-11-01,21.53,21.70,21.32,21.56,4011700,21.56
2013-10-31,21.60,21.77,21.37,21.48,5679800,21.48
2013-10-30,21.50,21.75,21.26,21.65,8955400,21.65
2013-10-29,21.55,21.55,21.25,21.47,7680100,21.47
2013-10-28,21.59,21.63,21.34,21.60,4445200,21.60
2013-10-25,21.33,21.68,21.23,21.61,6388900,21.61
2013-10-24,21.06,21.27,21.03,21.22,4720100,21.22
2013-10-23,20.97,21.08,20.88,21.03,4003600,21.03
2013-10-22,20.81,21.10,20.75,21.03,2573700,21.03
2013-10-21,20.88,20.90,20.65,20.74,3177200,20.74
2013-10-18,21.03,21.06,20.75,20.86,3993400,20.86
2013-10-17,20.74,21.03,20.59,20.93,2838500,20.93
2013-10-16,20.40,20.79,20.36,20.78,2310200,20.78
2013-10-15,20.53,20.59,20.22,20.29,3372300,20.29
2013-10-14,20.24,20.54,20.23,20.52,4619400,20.52
2013-10-11,20.16,20.41,19.98,20.39,4310300,20.39
2013-10-10,19.76,20.19,19.65,20.19,3955600,20.19
2013-10-09,19.35,19.68,19.27,19.58,5441600,19.58
2013-10-08,19.60,19.67,19.22,19.25,4762800,19.25
2013-10-07,19.42,19.68,19.34,19.60,3695000,19.60
2013-10-04,19.71,19.78,19.52,19.58,2902900,19.58
2013-10-03,20.14,20.19,19.62,19.69,3434200,19.69
2013-10-02,20.50,20.79,20.07,20.18,3329100,20.18
2013-10-01,19.96,20.38,19.90,20.17,4220500,20.17
2013-09-30,20.26,20.42,20.12,20.18,4749200,19.97
2013-09-27,20.36,20.46,20.22,20.37,2190600,20.16
2013-09-26,20.21,20.45,20.19,20.42,2593000,20.21
2013-09-25,20.31,20.45,20.10,20.19,3840100,19.98
2013-09-24,20.51,20.56,20.22,20.26,3819300,20.05
2013-09-23,20.58,20.73,20.43,20.49,2977600,20.28
2013-09-20,21.16,21.16,20.62,20.63,4740700,20.42
2013-09-19,21.00,21.37,20.99,21.11,4444600,20.89
2013-09-18,20.69,20.95,20.32,20.94,8734600,20.72
2013-09-17,20.75,20.89,20.64,20.64,1840700,20.43
2013-09-16,20.73,20.83,20.60,20.71,2466400,20.49
2013-09-13,20.21,20.43,20.18,20.25,2526200,20.04
2013-09-12,20.49,20.68,20.22,20.23,3665500,20.02
2013-09-11,20.39,20.47,20.11,20.47,3626300,20.26
2013-09-10,20.45,20.57,20.19,20.33,2983400,20.12
2013-09-09,20.21,20.41,20.06,20.38,3672600,20.17
2013-09-06,20.02,20.21,19.98,20.10,3537100,19.89
2013-09-05,20.25,20.32,19.79,19.83,2925800,19.62
2013-09-04,19.86,20.36,19.80,20.29,2678600,20.08
2013-09-03,20.23,20.30,19.68,19.89,4865700,19.68
2013-08-30,20.26,20.32,19.99,20.03,3128500,19.82
2013-08-29,20.14,20.22,20.03,20.21,2229800,20.00
2013-08-28,20.30,20.33,20.09,20.16,2155400,19.95
2013-08-27,20.26,20.50,20.13,20.25,3151800,20.04
2013-08-26,20.59,20.62,20.41,20.48,3107200,20.27
2013-08-23,20.54,20.62,20.41,20.57,3747700,20.36
2013-08-22,20.46,20.56,20.25,20.51,2261700,20.30
2013-08-21,20.49,20.66,20.10,20.37,4216900,20.16
2013-08-20,20.16,20.75,19.89,20.57,4100700,20.36
2013-08-19,20.52,20.58,20.08,20.10,3721600,19.89
2013-08-16,21.24,21.33,20.50,20.50,5441800,20.29
2013-08-15,21.57,21.60,21.16,21.29,2360400,21.07
2013-08-14,21.64,21.81,21.62,21.73,1558200,21.50
2013-08-13,21.86,21.94,21.60,21.68,2337200,21.45
2013-08-12,22.07,22.12,21.86,21.88,2229800,21.65
2013-08-09,22.16,22.30,22.01,22.13,3420300,21.90
2013-08-08,22.04,22.12,21.74,22.08,2851500,21.85
2013-08-07,21.96,22.02,21.72,21.96,1933000,21.73
2013-08-06,22.18,22.32,21.89,21.98,3152900,21.75
2013-08-05,22.44,22.52,22.17,22.19,2119100,21.96
2013-08-02,22.74,22.95,22.47,22.50,2556600,22.27
2013-08-01,22.66,22.89,22.54,22.84,5245600,22.60
2013-07-31,22.60,22.91,22.16,22.55,6172500,22.32
2013-07-30,22.71,22.80,22.35,22.40,4560700,22.17
2013-07-29,22.63,22.78,22.54,22.62,1601400,22.38
2013-07-26,22.60,22.73,22.41,22.71,1130700,22.47
2013-07-25,22.49,22.70,22.48,22.69,1658100,22.45
2013-07-24,23.20,23.24,22.42,22.55,2185700,22.32
2013-07-23,23.11,23.23,23.00,23.15,1275400,22.91
2013-07-22,22.92,23.15,22.85,23.12,1849800,22.88
2013-07-19,22.98,23.07,22.90,22.97,2675100,22.73
2013-07-18,22.58,22.97,22.56,22.96,2131700,22.72
2013-07-17,22.63,22.68,22.44,22.56,1942600,22.33
2013-07-16,22.52,22.60,22.40,22.51,2393400,22.28
2013-07-15,22.35,22.60,22.29,22.50,1195400,22.27
2013-07-12,22.39,22.56,22.22,22.34,2175500,22.11
2013-07-11,22.26,22.54,22.26,22.47,2549700,22.24
2013-07-10,22.03,22.03,21.73,21.96,2557800,21.73
2013-07-09,21.79,22.10,21.76,22.03,2153500,21.80
2013-07-08,21.49,21.78,21.44,21.68,4086700,21.45
2013-07-05,21.57,21.57,21.03,21.38,2348300,21.16
2013-07-03,21.53,21.53,21.25,21.44,1858900,21.22
2013-07-02,21.08,21.57,21.06,21.57,4740600,21.35
2013-07-01,21.30,21.43,21.03,21.06,2849000,20.84
2013-06-28,21.60,21.69,21.29,21.43,3841000,21.00
2013-06-27,21.21,21.63,21.17,21.63,3631300,21.20
2013-06-26,21.12,21.30,21.00,21.05,4478400,20.63
2013-06-25,20.99,21.21,20.69,20.91,6507700,20.49
2013-06-24,20.58,21.21,20.25,20.76,4867300,20.34
2013-06-21,20.83,21.02,20.49,20.84,5281000,20.42
2013-06-20,21.41,21.41,20.47,20.59,5960500,20.18
2013-06-19,22.31,22.36,21.52,21.58,4437500,21.15
2013-06-18,22.10,22.32,21.91,22.27,5222300,21.82
2013-06-17,21.98,22.12,21.95,22.06,3827600,21.62
2013-06-14,22.02,22.14,21.94,22.01,4157900,21.57
2013-06-13,21.69,22.11,21.64,22.08,4926000,21.64
2013-06-12,21.94,21.96,21.61,21.69,4194900,21.25
2013-06-11,22.04,22.18,21.81,21.84,4576700,21.40
2013-06-10,22.18,22.35,22.00,22.19,7319800,21.74
2013-06-07,22.09,22.15,21.65,22.13,2660800,21.69
2013-06-06,21.27,22.00,21.21,21.99,4736300,21.55
2013-06-05,21.81,21.96,21.31,21.35,6179200,20.92
2013-06-04,22.13,22.17,21.82,21.83,3191100,21.39
2013-06-03,22.15,22.27,21.92,22.13,6749300,21.69
2013-05-31,22.10,22.37,22.02,22.15,6458100,21.70
2013-05-30,22.55,22.71,22.16,22.19,2780000,21.74
2013-05-29,22.66,22.70,22.18,22.55,3379200,22.10
2013-05-28,23.36,23.44,22.64,22.82,4127100,22.36
2013-05-24,23.23,23.32,23.00,23.15,2831400,22.68
2013-05-23,23.44,23.45,22.98,23.38,4051900,22.91
2013-05-22,24.17,24.48,23.52,23.67,3163700,23.19
2013-05-21,24.21,24.37,24.15,24.19,2243700,23.70
2013-05-20,24.21,24.27,24.02,24.12,3769200,23.64
2013-05-17,24.20,24.32,24.15,24.22,8496500,23.73
2013-05-16,24.65,24.67,24.06,24.15,7269400,23.66
2013-05-15,24.75,24.80,24.49,24.67,7265800,24.17
2013-05-14,24.90,24.97,24.74,24.77,3343800,24.27
2013-05-13,24.92,25.05,24.85,24.86,2884100,24.36
2013-05-10,24.88,25.08,24.75,24.97,2811500,24.47
2013-05-09,25.09,25.09,24.78,24.81,2447800,24.31
2013-05-08,24.88,25.06,24.77,25.00,1938800,24.50
2013-05-07,24.69,24.95,24.66,24.87,2414200,24.37
2013-05-06,24.32,24.69,24.22,24.69,2869100,24.19
2013-05-03,24.27,24.60,24.20,24.56,3494000,24.07
2013-05-02,23.67,24.34,23.43,24.16,2982700,23.67
2013-05-01,23.74,23.88,23.55,23.67,3163800,23.19
2013-04-30,23.46,23.78,23.35,23.78,2686700,23.30
2013-04-29,23.16,23.51,23.06,23.48,2169000,23.01
2013-04-26,23.16,23.23,23.04,23.10,1287900,22.64
2013-04-25,23.14,23.26,22.80,23.14,2281300,22.67
2013-04-24,23.00,23.12,22.89,22.99,1691800,22.53
2013-04-23,22.95,23.00,22.73,22.97,2396400,22.51
2013-04-22,22.96,23.00,22.73,22.80,1934400,22.34
2013-04-19,22.64,22.93,22.54,22.89,1992100,22.43
2013-04-18,22.58,22.68,22.38,22.55,2630900,22.10
2013-04-17,22.95,22.97,22.45,22.51,4393200,22.06
2013-04-16,22.87,23.12,22.75,23.03,3469900,22.57
2013-04-15,23.09,23.27,22.73,22.75,3417300,22.29
2013-04-12,23.30,23.41,23.19,23.24,2722800,22.77
2013-04-11,23.24,23.58,23.24,23.36,2747400,22.89
2013-04-10,23.23,23.26,23.13,23.23,3704100,22.76
2013-04-09,23.03,23.41,22.83,23.19,5022800,22.72
2013-04-08,22.59,23.02,22.56,23.00,1963400,22.54
2013-04-05,22.48,22.63,22.37,22.60,2873200,22.15
2013-04-04,22.50,22.76,22.45,22.75,2638200,22.29
2013-04-03,22.65,22.68,22.33,22.43,2427300,21.98
2013-04-02,22.48,22.55,22.37,22.54,2450500,22.09
2013-04-01,22.20,22.35,22.04,22.35,2203600,21.90
2013-03-28,22.29,22.42,22.17,22.40,3726700,21.74
2013-03-27,22.04,22.22,21.97,22.21,3302700,21.56
2013-03-26,22.32,22.33,22.10,22.17,2782600,21.52
2013-03-25,22.46,22.49,22.15,22.18,2833800,21.53
2013-03-22,22.16,22.43,22.00,22.31,2274800,21.66
2013-03-21,22.08,22.26,22.07,22.10,2524600,21.45
2013-03-20,22.07,22.21,21.95,22.21,2223400,21.56
2013-03-19,21.94,22.05,21.81,21.96,2487600,21.32
2013-03-18,21.95,22.03,21.84,21.93,2441200,21.29
2013-03-15,21.97,22.08,21.86,22.07,2277800,21.42
2013-03-14,21.93,22.16,21.92,22.06,1656400,21.41
2013-03-13,22.00,22.06,21.82,21.90,2657800,21.26
2013-03-12,21.97,21.99,21.84,21.95,2801100,21.31
2013-03-11,22.01,22.11,21.87,21.96,2738200,21.32
2013-03-08,22.20,22.24,21.98,22.07,1721900,21.42
2013-03-07,22.21,22.30,22.02,22.10,2225100,21.45
2013-03-06,22.22,22.27,21.98,22.24,2054300,21.59
2013-03-05,22.08,22.27,21.93,22.21,1908400,21.56
