Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,68.66,69.82,68.43,68.75,810600,68.75
2014-03-27,69.03,69.03,68.22,68.50,1399300,68.50
2014-03-26,70.26,70.78,68.97,68.99,1366700,68.99
2014-03-25,69.81,70.00,69.36,69.81,1354400,69.81
2014-03-24,70.34,70.55,69.26,69.58,1890200,69.58
2014-03-21,70.74,70.77,69.76,70.02,2401300,70.02
2014-03-20,68.08,69.96,67.96,69.94,1791300,69.94
2014-03-19,68.67,69.13,68.08,68.60,1277200,68.60
2014-03-18,67.57,68.65,67.53,68.55,1210000,68.55
2014-03-17,67.13,67.83,67.01,67.78,1636800,67.78
2014-03-14,66.46,67.22,66.46,66.88,1429400,66.88
2014-03-13,67.63,67.81,66.41,66.75,2131000,66.75
2014-03-12,65.84,67.67,65.79,67.63,1767900,67.63
2014-03-11,66.53,67.50,65.95,66.37,1207300,66.37
2014-03-10,66.94,67.13,65.91,66.14,1168500,66.14
2014-03-07,66.42,67.16,66.12,66.85,1314200,66.85
2014-03-06,65.44,66.24,65.29,66.13,830900,66.13
2014-03-05,65.29,65.56,64.88,65.46,602300,65.46
2014-03-04,65.06,65.62,64.72,65.22,1096900,65.22
2014-03-03,64.46,64.83,63.90,64.32,758100,64.32
2014-02-28,65.12,65.58,64.57,65.15,1158600,65.15
2014-02-27,65.07,65.36,64.50,64.97,872000,64.97
2014-02-26,65.55,66.12,65.05,65.24,870800,65.24
2014-02-25,65.35,65.46,64.64,65.27,1079100,65.27
2014-02-24,65.50,66.03,65.04,65.35,985400,65.35
2014-02-21,64.94,65.64,64.51,64.97,1639700,64.97
2014-02-20,64.60,64.97,64.36,64.65,1154600,64.65
2014-02-19,64.40,64.69,64.07,64.40,1432800,64.40
2014-02-18,65.22,65.49,64.43,64.49,1350300,64.49
2014-02-14,64.10,65.44,64.10,65.28,1411000,65.28
2014-02-13,62.73,64.45,62.64,64.44,1287500,64.44
2014-02-12,63.49,64.19,63.47,63.79,1123700,63.34
2014-02-11,62.26,63.79,62.26,63.61,1070100,63.16
2014-02-10,62.01,62.38,61.88,62.33,924100,61.89
2014-02-07,62.01,62.36,61.51,62.24,893100,61.80
2014-02-06,60.91,62.64,60.90,61.83,1743000,61.39
2014-02-05,60.16,61.36,59.85,60.93,1556600,60.50
2014-02-04,60.00,60.36,59.44,60.29,1669500,59.86
2014-02-03,60.23,60.92,59.51,59.73,2006500,59.31
2014-01-31,60.69,61.66,60.62,61.47,1638400,61.04
2014-01-30,62.14,62.37,61.25,61.68,1498100,61.24
2014-01-29,61.44,61.92,61.13,61.52,1389300,61.09
2014-01-28,61.69,62.30,61.20,61.61,1811800,61.18
2014-01-27,62.22,62.37,61.18,61.70,1392700,61.26
2014-01-24,63.47,63.47,61.55,62.07,2499900,61.63
2014-01-23,63.40,63.83,62.76,63.53,1872500,63.08
2014-01-22,62.56,63.79,62.53,63.66,1639900,63.21
2014-01-21,63.22,63.27,62.33,62.44,1101300,62.00
2014-01-17,62.83,63.00,62.34,62.74,1446100,62.30
2014-01-16,63.40,63.72,62.75,63.06,1065900,62.62
2014-01-15,63.75,64.22,63.60,63.88,1604900,63.43
2014-01-14,62.44,64.30,62.42,63.86,1802500,63.41
2014-01-13,63.97,64.00,62.17,62.31,1307800,61.87
2014-01-10,62.78,63.78,62.24,63.62,996900,63.17
2014-01-09,62.50,63.50,62.25,62.49,1917000,62.05
2014-01-08,62.57,62.76,61.98,62.30,1444600,61.86
2014-01-07,62.44,62.78,62.08,62.33,1899900,61.89
2014-01-06,63.42,63.42,62.23,62.36,1067600,61.92
2014-01-03,63.36,63.91,63.09,63.47,766000,63.02
2014-01-02,64.00,64.11,63.13,63.38,982700,62.93
2013-12-31,64.49,64.65,64.15,64.46,599200,64.01
2013-12-30,63.95,64.30,63.64,64.20,540400,63.75
2013-12-27,64.28,64.39,63.74,64.06,584100,63.61
2013-12-26,64.13,64.28,63.84,64.12,441500,63.67
2013-12-24,63.68,64.16,63.68,64.04,316000,63.59
2013-12-23,63.42,63.97,63.22,63.85,613900,63.40
2013-12-20,62.70,63.46,62.49,63.12,1695900,62.67
2013-12-19,62.65,62.75,61.95,62.70,670800,62.26
2013-12-18,62.10,62.72,61.17,62.70,1196700,62.26
2013-12-17,61.00,62.10,60.68,61.94,1063300,61.50
2013-12-16,61.80,62.00,60.85,60.95,1375300,60.52
2013-12-13,61.26,61.49,60.84,61.18,905400,60.75
2013-12-12,61.73,62.13,60.55,60.92,1589300,60.49
2013-12-11,62.55,62.78,61.95,61.97,794800,61.53
2013-12-10,62.71,62.87,61.98,62.37,904200,61.93
2013-12-09,62.62,62.97,62.41,62.78,1081000,62.34
2013-12-06,62.57,63.05,62.28,62.65,1033300,62.21
2013-12-05,61.99,62.30,61.52,61.81,1675300,61.37
2013-12-04,63.36,63.74,60.50,61.93,3780800,61.49
2013-12-03,63.35,64.48,63.23,63.66,965100,63.21
2013-12-02,63.60,64.30,63.52,63.65,856100,63.20
2013-11-29,63.90,64.51,63.86,63.87,385900,63.42
2013-11-27,64.10,64.60,63.75,64.03,1110200,63.58
2013-11-26,63.68,64.68,63.48,64.45,894800,64.00
2013-11-25,63.52,63.66,63.18,63.46,864200,63.01
2013-11-22,63.72,63.98,63.33,63.49,1209400,63.04
2013-11-21,62.29,63.66,61.98,63.41,984700,62.96
2013-11-20,62.44,62.61,61.57,61.87,838100,61.43
2013-11-19,62.38,62.87,61.83,62.02,1198400,61.58
2013-11-18,63.64,63.71,62.74,62.88,943100,62.44
2013-11-15,62.72,63.59,61.82,63.53,1912500,63.08
2013-11-14,63.45,63.50,62.56,62.63,1056200,62.19
2013-11-13,62.83,63.93,62.58,63.93,1031000,63.03
2013-11-12,62.14,63.40,62.14,63.32,989400,62.43
2013-11-11,63.80,63.91,62.36,62.78,1950300,61.90
2013-11-08,63.99,64.80,63.53,64.80,816900,63.89
2013-11-07,64.44,64.85,63.68,63.86,1228900,62.96
2013-11-06,64.60,64.77,64.03,64.65,925800,63.74
2013-11-05,63.57,64.62,63.57,63.97,1558300,63.07
2013-11-04,64.87,64.89,64.05,64.47,1463500,63.56
2013-11-01,65.89,65.90,64.29,64.89,1380800,63.98
2013-10-31,65.92,66.54,65.60,65.60,1329400,64.68
2013-10-30,66.06,66.22,65.28,65.82,1603400,64.90
2013-10-29,64.56,67.05,64.56,66.19,3053900,65.26
2013-10-28,63.60,64.97,63.60,64.75,1718300,63.84
2013-10-25,62.30,63.90,61.75,63.88,2634000,62.98
2013-10-24,64.15,64.29,63.58,63.73,1926700,62.83
2013-10-23,64.03,64.34,63.05,63.05,1523100,62.16
2013-10-22,64.84,65.25,64.45,64.82,1463000,63.91
2013-10-21,64.64,64.83,64.13,64.43,1159400,63.53
2013-10-18,63.92,64.88,63.53,64.46,1761300,63.55
2013-10-17,62.48,63.89,62.13,63.89,1134700,62.99
2013-10-16,62.09,62.97,61.76,62.83,1082700,61.95
2013-10-15,62.40,62.70,61.92,61.95,1131800,61.08
2013-10-14,61.81,62.98,61.71,62.87,974700,61.99
2013-10-11,60.85,61.95,60.78,61.68,772100,60.81
2013-10-10,60.04,61.28,59.86,61.20,1073200,60.34
2013-10-09,60.03,60.04,58.83,59.46,1414500,58.62
2013-10-08,60.89,61.07,59.68,59.70,1043500,58.86
2013-10-07,60.26,61.13,59.95,60.76,749800,59.91
2013-10-04,60.46,60.99,59.96,60.80,1471900,59.95
2013-10-03,60.81,61.03,59.79,60.42,1263900,59.57
2013-10-02,60.78,60.97,60.13,60.95,1026200,60.09
2013-10-01,60.99,61.28,60.53,60.99,1251500,60.13
2013-09-30,60.41,61.04,60.34,60.85,1087000,60.00
2013-09-27,60.75,61.02,60.45,60.91,1037900,60.05
2013-09-26,61.96,61.96,60.80,60.96,1368100,60.10
2013-09-25,61.45,61.95,61.16,61.48,1747000,60.62
2013-09-24,61.43,61.50,60.84,61.14,2234000,60.28
2013-09-23,61.31,61.67,60.87,61.27,936100,60.41
2013-09-20,61.83,62.07,61.17,61.25,1635200,60.39
