Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,43.66,44.11,43.43,43.95,4214500,43.95
2014-03-27,43.28,43.70,43.02,43.63,3576300,43.63
2014-03-26,43.76,43.99,43.27,43.27,2980900,43.27
2014-03-25,43.76,43.99,43.32,43.51,2565400,43.51
2014-03-24,44.17,44.34,43.51,43.61,2741700,43.61
2014-03-21,44.10,44.56,43.73,43.97,5552100,43.97
2014-03-20,43.64,44.12,43.61,43.99,1958500,43.99
2014-03-19,44.05,44.26,43.41,43.69,2863400,43.69
2014-03-18,44.08,44.19,43.96,44.00,2650900,44.00
2014-03-17,44.04,44.16,43.62,44.02,2962200,44.02
2014-03-14,43.46,44.07,43.46,43.91,3284100,43.91
2014-03-13,43.89,44.45,43.44,43.49,6379300,43.49
2014-03-12,43.41,43.88,43.25,43.87,4264100,43.87
2014-03-11,43.90,44.10,43.19,43.34,6249200,43.34
2014-03-10,43.70,43.81,43.60,43.75,5643100,43.75
2014-03-07,43.49,44.37,43.38,43.78,8774200,43.78
2014-03-06,44.82,45.25,43.10,43.37,12964900,43.37
2014-03-05,42.44,43.73,42.28,43.68,10353500,43.68
2014-03-04,42.25,42.98,42.07,42.39,7176900,42.39
2014-03-03,41.68,42.32,41.20,41.99,7293500,41.99
2014-02-28,40.19,41.96,40.14,41.94,8020600,41.94
2014-02-27,40.03,40.35,39.96,40.14,1977600,40.14
2014-02-26,39.81,40.30,39.65,40.03,4471200,40.03
2014-02-25,39.72,39.96,39.47,39.65,3488800,39.65
2014-02-24,39.62,40.11,39.60,39.78,4043200,39.78
2014-02-21,39.23,39.64,38.94,39.60,4816900,39.60
2014-02-20,38.77,39.57,38.73,39.28,5917500,39.28
2014-02-19,37.55,38.89,37.41,38.77,5622600,38.77
2014-02-18,37.63,37.64,37.24,37.60,2858100,37.60
2014-02-14,37.05,37.59,37.01,37.38,2640800,37.38
2014-02-13,36.56,37.17,36.37,37.09,2404800,37.09
2014-02-12,36.96,37.17,36.80,36.93,2618900,36.93
2014-02-11,36.09,37.09,35.98,37.09,5215400,36.92
2014-02-10,36.23,36.41,36.11,36.19,2835400,36.03
2014-02-07,36.83,36.87,36.16,36.28,4020200,36.12
2014-02-06,35.56,36.81,35.53,36.76,5228400,36.60
2014-02-05,35.27,35.61,35.13,35.45,3475300,35.29
2014-02-04,35.33,35.60,35.23,35.47,3526300,35.31
2014-02-03,36.10,36.12,35.24,35.38,5352200,35.22
2014-01-31,36.05,36.25,35.80,36.10,5823500,35.94
2014-01-30,36.73,36.78,36.37,36.42,3397100,36.26
2014-01-29,36.48,36.77,36.07,36.53,7695000,36.37
2014-01-28,35.74,36.86,35.71,36.65,6216500,36.49
2014-01-27,36.01,36.18,35.72,35.78,4885900,35.62
2014-01-24,36.22,36.43,36.05,36.08,4446400,35.92
2014-01-23,36.30,36.51,36.02,36.40,4964500,36.24
2014-01-22,36.63,36.77,36.41,36.43,3114300,36.27
2014-01-21,37.06,37.07,36.42,36.59,4824300,36.43
2014-01-17,37.46,37.50,36.56,36.79,6874800,36.63
2014-01-16,38.06,39.26,37.16,37.35,7638700,37.18
2014-01-15,39.10,39.63,38.90,39.26,3690700,39.09
2014-01-09,39.06,39.47,38.97,39.36,3756800,39.18
2014-01-08,38.93,39.29,38.81,38.95,3091400,38.78
2014-01-07,38.87,39.22,38.67,39.00,2770300,38.83
2014-01-06,39.24,39.35,38.73,38.76,4022100,38.59
2014-01-03,39.40,39.40,39.05,39.10,2835700,38.93
2014-01-02,39.26,39.54,39.21,39.28,3194600,39.11
2013-12-31,39.73,39.74,39.27,39.53,2496000,39.35
2013-12-30,39.60,39.83,39.54,39.65,1958900,39.47
2013-12-27,39.82,39.85,39.50,39.54,2014900,39.36
2013-12-26,39.88,40.11,39.70,39.85,1109900,39.67
2013-12-24,39.82,39.97,39.67,39.89,868400,39.71
2013-12-23,39.95,40.32,39.76,39.89,2419000,39.71
2013-12-20,39.56,39.78,39.49,39.70,5710000,39.52
2013-12-19,39.94,40.45,39.30,39.67,3357300,39.49
2013-12-18,39.93,40.09,38.86,40.08,4879200,39.90
2013-12-17,40.07,40.10,39.62,39.83,3071100,39.65
2013-12-16,40.00,40.23,39.54,40.06,3776300,39.88
2013-12-13,39.96,40.12,39.48,39.92,3877300,39.74
2013-12-12,40.25,40.27,39.75,39.99,4209900,39.81
2013-12-11,40.39,40.68,40.25,40.36,3238100,40.18
2013-12-10,40.30,40.44,40.02,40.35,2835500,40.17
2013-12-09,40.63,40.72,40.20,40.42,3685300,40.24
2013-12-06,40.49,40.84,40.06,40.44,5720400,40.26
2013-12-05,41.55,41.66,39.56,40.06,11319300,39.88
2013-12-04,41.92,42.25,41.52,41.52,4813700,41.34
2013-12-03,41.77,42.11,41.52,42.10,3520200,41.91
2013-12-02,41.73,42.07,41.53,41.79,3077300,41.60
2013-11-29,41.90,42.00,41.64,41.75,1319000,41.56
2013-11-27,42.10,42.12,41.87,41.88,2723700,41.69
2013-11-26,42.42,42.54,41.76,41.95,3812400,41.76
2013-11-25,42.52,42.72,42.46,42.56,2880600,42.37
2013-11-22,42.00,42.42,41.74,42.39,2736600,42.20
2013-11-21,41.69,42.06,41.52,42.00,3311200,41.81
2013-11-20,41.90,41.97,41.48,41.65,3281500,41.46
2013-11-19,41.37,42.04,41.36,41.85,4352700,41.66
2013-11-18,42.60,42.70,41.25,41.37,5021400,41.19
2013-11-15,42.66,42.71,42.36,42.60,2844500,42.41
2013-11-14,42.20,42.73,42.19,42.68,2644400,42.49
2013-11-13,41.64,42.13,41.55,42.13,2502300,41.94
2013-11-12,41.35,41.99,41.21,41.91,3338900,41.56
2013-11-11,41.96,42.13,41.36,41.53,4262000,41.18
2013-11-08,41.76,41.98,41.41,41.96,4660000,41.61
2013-11-07,42.81,42.85,41.55,41.65,4630700,41.30
2013-11-06,42.94,43.03,42.60,42.76,2626000,42.40
2013-11-05,42.38,42.77,42.18,42.65,2536100,42.29
2013-11-04,42.88,43.00,42.45,42.51,2489600,42.15
2013-11-01,42.84,43.10,42.58,42.70,2415900,42.34
2013-10-31,42.92,43.27,42.66,42.84,4180800,42.48
2013-10-30,43.30,43.36,42.66,42.89,2368300,42.53
2013-10-29,43.22,43.41,43.11,43.30,2869200,42.94
2013-10-28,43.56,43.85,43.11,43.16,4385300,42.80
2013-10-25,42.92,43.44,42.91,43.42,2536900,43.06
2013-10-24,42.88,43.06,42.78,43.01,2178800,42.65
2013-10-23,42.64,43.20,42.62,42.92,2742800,42.56
2013-10-22,42.33,42.81,42.30,42.71,3115300,42.35
2013-10-21,42.43,42.50,42.08,42.25,1552400,41.90
2013-10-18,42.43,42.52,42.28,42.38,2314600,42.03
2013-10-17,41.78,42.22,41.49,42.21,2881100,41.86
2013-10-16,41.02,41.94,41.02,41.87,2826900,41.52
2013-10-15,41.46,41.63,40.99,41.01,4245400,40.67
2013-10-14,41.49,41.65,41.21,41.62,2718500,41.27
2013-10-11,40.79,41.72,40.72,41.71,3236300,41.36
2013-10-10,40.42,40.75,40.40,40.69,3150700,40.35
2013-10-09,39.78,40.40,39.76,40.15,3520200,39.81
2013-10-08,39.90,40.26,39.72,39.75,3023900,39.42
2013-10-07,40.19,40.34,39.88,39.90,2456700,39.57
2013-10-04,40.03,40.68,39.76,40.56,2095200,40.22
2013-10-03,40.57,40.57,40.04,40.09,2394500,39.75
2013-10-02,40.43,40.59,40.13,40.58,2977700,40.24
2013-10-01,40.35,40.70,40.35,40.65,2624300,40.31
2013-09-30,40.37,40.64,40.24,40.34,2993200,40.00
2013-09-27,40.80,40.95,40.44,40.69,2582400,40.35
2013-09-26,40.94,41.42,40.78,40.96,2766000,40.62
2013-09-25,40.98,41.09,40.61,40.67,3572700,40.33
2013-09-24,40.52,41.00,40.31,40.85,4334400,40.51
2013-09-23,40.55,40.80,40.41,40.48,3444200,40.14
2013-09-20,40.96,41.14,40.72,40.76,4331500,40.42
2013-09-19,40.60,41.03,40.50,40.99,4364800,40.65
2013-09-18,40.31,40.60,39.95,40.56,5412400,40.22
2013-09-17,39.79,40.74,39.79,40.55,8767400,40.21
2013-09-16,39.37,39.95,39.37,39.68,4743800,39.35
2013-09-13,38.84,39.22,38.82,39.03,4980500,38.70
2013-09-12,38.03,39.00,37.81,38.62,6872200,38.30
2013-09-11,37.59,37.82,37.27,37.67,6384100,37.35
2013-09-10,38.00,38.20,37.30,37.54,5587000,37.23
2013-09-09,37.47,37.77,37.44,37.69,2469700,37.37
2013-09-06,37.46,37.73,37.12,37.40,3812200,37.09
2013-09-05,37.30,37.35,37.00,37.35,2922100,37.04
2013-09-04,36.90,37.70,36.84,37.34,5145000,37.03
2013-09-03,36.97,37.11,36.71,36.82,2590100,36.51
2013-08-30,36.88,36.88,36.46,36.60,2469900,36.29
2013-08-29,36.33,36.91,36.19,36.78,2428000,36.47
2013-08-28,36.32,36.50,35.91,36.40,4395200,36.10
2013-08-27,36.58,36.68,36.36,36.40,3505100,36.10
2013-08-26,37.61,37.62,36.85,36.86,3195000,36.55
2013-08-23,37.21,37.57,37.10,37.53,3228400,37.22
2013-08-22,37.56,37.63,37.16,37.22,4018000,36.91
2013-08-21,37.69,37.75,37.39,37.47,3358500,37.16
2013-08-20,37.88,38.10,37.77,37.78,2586700,37.46
2013-08-19,38.16,38.23,37.54,37.94,3157200,37.62
2013-08-16,38.07,38.40,37.97,38.25,3831300,37.93
2013-08-15,38.60,38.60,37.87,38.01,4145300,37.69
2013-08-14,39.01,39.12,38.76,38.82,2204200,38.50
2013-08-13,38.88,39.20,38.68,39.14,2577100,38.81
2013-08-12,38.74,38.98,38.53,38.96,2594300,38.49
2013-08-09,39.46,39.47,38.66,38.88,3514300,38.41
2013-08-08,39.24,39.71,39.05,39.60,2743100,39.12
2013-08-07,39.24,39.34,38.97,38.99,3133000,38.51
2013-08-06,39.12,39.30,38.67,39.29,3331700,38.81
2013-08-05,39.18,39.47,39.04,39.16,2747600,38.68
2013-08-02,39.60,39.60,38.71,39.18,4889000,38.70
2013-08-01,39.50,39.76,39.41,39.65,2185800,39.17
2013-07-31,39.54,39.77,39.20,39.27,5305000,38.79
2013-07-30,39.90,39.98,39.57,39.60,3765700,39.12
2013-07-29,39.54,39.87,39.41,39.85,2486600,39.36
2013-07-26,39.50,39.66,39.25,39.65,3617400,39.17
2013-07-25,38.97,39.68,38.90,39.68,4447100,39.20
2013-07-24,39.06,39.14,38.81,39.13,4262100,38.65
2013-07-23,39.08,39.32,38.76,38.93,3432400,38.46
2013-07-22,38.94,39.05,38.80,39.05,3309700,38.57
2013-07-19,38.73,38.85,38.52,38.81,4150300,38.34
2013-07-18,38.49,39.00,38.39,38.49,4705100,38.02
2013-07-17,38.21,38.52,38.04,38.44,3318800,37.97
2013-07-16,37.78,38.15,37.60,38.13,4692800,37.67
2013-07-15,37.28,38.00,37.25,37.76,3854500,37.30
2013-07-12,37.07,37.75,37.07,37.63,4476400,37.17
2013-07-11,37.89,38.20,37.49,37.79,4329800,37.33
2013-07-10,37.29,37.63,37.29,37.34,3797500,36.88
2013-07-09,36.55,37.32,36.55,37.15,7279700,36.70
2013-07-08,36.12,36.20,35.90,36.19,2683800,35.75
2013-07-05,35.88,36.08,35.64,36.07,2722400,35.63
2013-07-03,35.78,35.90,35.60,35.60,1975900,35.17
2013-07-02,34.69,36.29,34.69,35.92,7758200,35.48
2013-07-01,34.69,34.90,34.59,34.67,2682200,34.25
2013-06-28,34.60,34.88,34.50,34.54,3944200,34.12
2013-06-27,34.52,34.94,34.48,34.71,3226800,34.29
2013-06-26,34.76,34.91,34.35,34.48,3925000,34.06
2013-06-25,34.18,34.68,34.12,34.51,4541900,34.09
2013-06-24,33.52,34.24,33.24,33.99,4803300,33.58
2013-06-21,33.31,33.97,33.22,33.77,5588800,33.36
2013-06-20,34.81,34.81,32.83,32.98,8450200,32.58
2013-06-19,35.45,35.64,35.10,35.13,3448200,34.70
2013-06-18,35.29,35.56,35.10,35.52,4668200,35.09
2013-06-17,35.00,35.45,34.92,35.18,3316100,34.75
2013-06-14,35.01,35.25,34.67,34.79,2457300,34.37
2013-06-13,34.78,35.09,34.47,35.06,3947800,34.63
2013-06-12,34.67,34.80,34.22,34.30,3184900,33.88
2013-06-11,34.55,35.20,34.47,34.58,2846000,34.16
2013-06-10,34.63,34.94,34.50,34.73,3487700,34.31
2013-06-07,33.40,34.60,33.39,34.56,6570300,34.14
2013-06-06,32.99,33.18,32.77,33.12,4498100,32.72
2013-06-05,33.85,33.98,32.84,33.03,5133200,32.63
2013-06-04,33.85,34.37,33.84,33.95,6344500,33.54
2013-06-03,33.70,33.88,33.10,33.84,4170000,33.43
2013-05-31,34.30,34.37,33.67,33.67,3554500,33.26
2013-05-30,34.39,34.65,34.28,34.39,2098600,33.97
2013-05-29,34.46,34.62,34.20,34.42,2862000,34.00
2013-05-28,34.42,34.85,34.37,34.54,2199700,34.12
2013-05-24,34.04,34.26,33.87,34.23,2103800,33.81
2013-05-23,34.13,34.41,33.77,34.19,4967100,33.77
2013-05-22,34.82,35.22,33.90,34.12,6336500,33.70
2013-05-21,34.70,35.03,34.54,34.83,3858800,34.41
2013-05-20,35.40,35.41,34.68,34.72,3076500,34.30
2013-05-17,35.04,35.42,34.95,35.42,2834500,34.99
2013-05-16,35.12,35.44,34.96,35.07,3395400,34.64
2013-05-15,34.83,35.29,34.65,35.22,3500300,34.79
2013-05-14,34.03,34.82,34.03,34.80,3758400,34.38
2013-05-13,34.25,34.32,33.86,33.95,4371900,33.54
2013-05-10,34.45,34.58,34.28,34.49,2591300,33.92
2013-05-09,34.69,34.79,34.40,34.45,2249500,33.88
2013-05-08,35.04,35.12,34.69,34.73,3623700,34.16
2013-05-07,34.62,34.99,34.53,34.99,3473100,34.41
2013-05-06,34.64,34.70,34.48,34.50,3229000,33.93
2013-05-03,34.83,35.23,34.63,34.71,4014000,34.14
2013-05-02,34.20,34.74,34.11,34.62,2164800,34.05
2013-05-01,34.38,34.59,34.14,34.20,2669200,33.64
2013-04-30,34.42,34.47,34.10,34.38,2643400,33.81
2013-04-29,34.30,34.49,34.01,34.45,2238100,33.88
2013-04-26,34.29,34.40,33.93,34.28,3307700,33.71
2013-04-25,34.58,34.65,33.30,34.33,7657600,33.76
2013-04-24,34.65,35.24,34.52,34.59,4411300,34.02
2013-04-23,34.31,34.68,34.17,34.67,3759600,34.10
2013-04-22,33.70,34.36,33.69,34.21,3028300,33.65
2013-04-19,33.85,33.90,33.52,33.71,3503100,33.15
2013-04-18,33.50,33.76,33.36,33.76,5129400,33.20
2013-04-17,33.15,33.53,32.85,33.43,5150400,32.88
2013-04-16,32.86,33.33,32.73,33.30,3396800,32.75
2013-04-15,33.11,33.29,32.71,32.72,4105700,32.18
2013-04-12,33.06,33.40,32.96,33.11,3366200,32.56
2013-04-11,32.75,33.50,32.70,33.17,4791200,32.62
2013-04-10,32.11,32.72,32.11,32.65,3846800,32.11
2013-04-09,31.91,32.29,31.90,32.06,3673400,31.53
2013-04-08,32.00,32.09,31.52,31.88,4885300,31.35
2013-04-05,31.89,32.29,31.86,32.04,4232000,31.51
2013-04-04,32.02,32.53,32.02,32.31,3581900,31.78
2013-04-03,32.80,32.80,31.90,32.04,5039000,31.51
2013-04-02,32.70,33.06,32.57,32.79,5102900,32.25
2013-04-01,33.08,33.10,32.43,32.54,5079800,32.00
2013-03-28,33.13,33.28,33.06,33.14,4095400,32.59
2013-03-27,32.70,33.25,32.64,33.10,4046500,32.55
2013-03-26,32.85,33.14,32.74,32.79,4510700,32.25
2013-03-25,32.42,32.70,32.39,32.64,3723700,32.10
2013-03-22,32.00,32.56,31.95,32.40,3738800,31.87
2013-03-21,31.74,32.05,31.71,32.00,3834700,31.47
2013-03-20,31.92,32.10,31.82,31.87,3055600,31.34
2013-03-19,31.78,31.89,31.57,31.74,2966500,31.22
2013-03-18,31.32,31.79,31.24,31.66,3548000,31.14
2013-03-15,31.41,31.80,31.35,31.62,5343500,31.10
2013-03-14,31.31,31.56,31.30,31.50,3737800,30.98
2013-03-13,30.87,31.41,30.87,31.31,3576400,30.79
2013-03-12,30.87,31.04,30.77,30.81,4164400,30.30
2013-03-11,30.91,31.01,30.72,30.95,4819300,30.44
2013-03-08,30.25,31.20,30.21,31.17,7465500,30.66
2013-03-07,30.03,30.62,29.83,30.25,7674200,29.75
2013-03-06,29.59,29.76,29.31,29.36,4333000,28.88
2013-03-05,29.51,29.67,29.39,29.59,3064600,29.10
2013-03-04,29.44,29.59,29.26,29.47,4648300,28.98
2013-03-01,29.18,29.53,29.03,29.53,4295100,29.04
2013-02-28,29.10,29.52,29.07,29.21,6738300,28.73
2013-02-27,28.68,29.16,28.58,29.10,4182700,28.62
2013-02-26,28.43,28.75,28.36,28.72,4769600,28.25
2013-02-25,28.89,28.93,28.35,28.35,3376700,27.88
2013-02-22,28.78,28.88,28.61,28.79,4858700,28.32
2013-02-21,27.80,29.00,27.80,28.76,9014600,28.29
2013-02-20,28.16,28.18,27.64,27.67,4270900,27.21
2013-02-19,28.01,28.25,28.00,28.21,3835700,27.75
2013-02-15,28.17,28.21,27.80,27.89,6107500,27.43
2013-02-14,28.31,28.41,28.18,28.24,4248000,27.77
2013-02-13,28.50,28.60,28.37,28.46,2518100,27.99
2013-02-12,28.39,28.64,28.15,28.54,3539600,27.92
2013-02-11,28.43,28.80,28.37,28.39,4473500,27.78
2013-02-08,28.06,28.27,27.98,28.20,3361300,27.59
2013-02-07,27.81,28.08,27.75,28.02,3065500,27.41
2013-02-06,27.80,27.96,27.70,27.86,2423400,27.26
2013-02-05,27.79,27.98,27.70,27.89,2159000,27.29
2013-02-04,27.81,27.81,27.53,27.67,3155600,27.07
2013-02-01,27.85,27.98,27.59,27.89,5292100,27.29
2013-01-31,27.67,27.76,27.62,27.70,3662500,27.10
2013-01-30,27.68,27.77,27.46,27.76,2857500,27.16
2013-01-29,27.69,27.80,27.61,27.71,3529500,27.11
2013-01-28,27.77,27.95,27.60,27.80,3259500,27.20
2013-01-25,27.76,27.96,27.67,27.84,3046700,27.24
2013-01-24,27.66,28.00,27.62,27.76,3930700,27.16
2013-01-23,27.36,27.91,27.32,27.66,4926800,27.06
2013-01-22,27.02,27.43,26.98,27.43,3117200,26.84
2013-01-18,26.77,27.10,26.66,27.08,4443400,26.49
2013-01-17,26.29,26.78,26.22,26.69,3870700,26.11
2013-01-16,26.03,26.31,25.99,26.29,2768800,25.72
2013-01-15,25.74,26.15,25.71,26.11,3197900,25.54
2013-01-14,25.66,25.90,25.59,25.86,3439400,25.30
2013-01-11,25.71,25.74,25.30,25.70,3302200,25.14
2013-01-10,25.69,25.92,25.47,25.55,2830000,25.00
2013-01-09,25.33,25.59,25.20,25.55,2768700,25.00
2013-01-08,25.80,25.84,25.22,25.28,5744300,24.73
2013-01-07,26.38,26.45,25.76,25.82,3802300,25.26
2013-01-04,26.43,26.51,26.23,26.46,3552500,25.89
2013-01-03,26.34,26.55,26.25,26.39,2920900,25.82
2013-01-02,26.34,26.41,26.12,26.37,3696400,25.80
2012-12-31,25.63,26.04,25.57,26.02,3757600,25.46
2012-12-28,25.82,25.89,25.65,25.68,2616600,25.12
2012-12-27,26.10,26.20,25.75,25.96,2765700,25.40
2012-12-26,26.35,26.44,25.97,26.10,2754600,25.53
2012-12-24,26.40,26.49,26.25,26.34,1151500,25.77
2012-12-21,26.40,26.51,26.20,26.30,6625800,25.73
2012-12-20,26.51,26.65,26.42,26.63,3605300,26.05
2012-12-19,26.69,26.74,26.45,26.50,3104800,25.93
2012-12-18,26.29,26.75,26.29,26.75,3647300,26.17
2012-12-17,26.36,26.58,26.32,26.57,3040000,25.99
2012-12-14,26.52,26.70,26.16,26.29,4697600,25.72
2012-12-13,26.61,26.88,26.33,26.35,4087400,25.78
2012-12-12,26.70,26.72,26.45,26.59,8835700,26.01
2012-12-11,26.68,26.89,26.57,26.60,6375900,26.02
2012-12-10,26.75,26.84,26.64,26.65,3616700,26.07
2012-12-07,26.92,27.00,26.67,26.81,3649500,26.23
2012-12-06,26.80,27.11,26.72,26.90,6061800,26.32
2012-12-05,26.79,26.83,26.56,26.71,4934500,26.13
2012-12-04,26.72,26.88,26.55,26.87,7094500,26.29
2012-12-03,26.33,26.89,26.29,26.78,7667000,26.20
2012-11-30,26.02,26.29,25.85,26.24,8770500,25.67
2012-11-29,26.06,26.40,25.76,26.25,13459100,25.68
2012-11-28,24.66,25.06,24.52,25.06,6721400,24.52
2012-11-27,24.61,24.98,24.50,24.86,4843500,24.32
2012-11-26,24.86,24.90,24.53,24.61,3781300,24.08
2012-11-23,24.58,24.99,24.56,24.98,1283900,24.44
2012-11-21,24.62,24.67,24.51,24.65,2162000,24.12
2012-11-20,24.56,24.65,24.41,24.54,3159600,24.01
2012-11-19,24.70,24.72,24.50,24.63,3122500,24.10
2012-11-16,24.37,24.57,24.19,24.52,4995800,23.99
2012-11-15,24.45,24.59,24.29,24.38,3407000,23.85
2012-11-14,24.76,24.84,24.42,24.47,4775000,23.94
2012-11-13,24.57,24.99,24.57,24.77,5819900,24.23
2012-11-12,24.67,24.97,24.62,24.91,5518500,24.22
2012-11-09,24.46,24.88,24.45,24.70,4361900,24.02
2012-11-08,24.64,24.75,24.52,24.54,4282400,23.86
2012-11-07,25.00,25.00,24.55,24.64,4422200,23.96
