Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,56.57,57.20,56.31,57.00,2867800,57.00
2014-03-27,55.28,57.25,55.28,56.50,3897300,56.50
2014-03-26,55.22,55.98,55.06,55.35,2591700,55.35
2014-03-25,55.81,55.89,54.84,55.13,2805600,55.13
2014-03-24,55.85,56.19,55.59,55.64,3012900,55.64
2014-03-21,55.20,56.21,55.08,55.79,4037600,55.79
2014-03-20,54.59,55.22,54.42,54.91,1955300,54.91
2014-03-19,55.76,56.09,54.39,54.71,2618300,54.71
2014-03-18,55.82,55.98,55.43,55.73,1448000,55.73
2014-03-17,55.04,56.00,55.04,55.85,1726500,55.85
2014-03-14,54.46,55.37,54.46,54.92,1967100,54.92
2014-03-13,55.33,55.80,54.10,54.49,2480300,54.49
2014-03-12,55.17,55.37,54.92,55.17,1655500,55.17
2014-03-11,55.06,55.87,54.91,55.42,2316200,55.42
2014-03-10,54.75,55.29,54.75,55.04,2209200,55.04
2014-03-07,55.04,55.96,54.78,55.45,3240600,55.06
2014-03-06,55.25,55.33,54.63,54.73,2506800,54.35
2014-03-05,55.88,56.18,54.48,55.01,3974700,54.62
2014-03-04,56.61,56.69,55.71,55.89,1995100,55.50
2014-03-03,55.60,56.31,55.52,56.11,2399300,55.72
2014-02-28,55.85,56.72,55.64,56.19,2979100,55.79
2014-02-27,54.89,57.33,53.35,55.74,6703800,55.35
2014-02-26,53.42,54.94,53.33,54.44,4639600,54.06
2014-02-25,51.96,53.55,51.94,53.21,2271600,52.84
2014-02-24,51.91,52.40,51.88,51.95,2486600,51.58
2014-02-21,51.77,52.09,51.65,51.89,1898700,51.53
2014-02-20,51.38,51.95,51.21,51.87,1915500,51.51
2014-02-19,51.60,51.60,50.71,51.16,2545000,50.80
2014-02-18,51.58,52.02,50.84,51.66,2260600,51.30
2014-02-14,51.10,51.86,50.81,51.27,2104100,50.91
2014-02-13,51.10,51.32,50.52,51.13,2306700,50.77
2014-02-12,51.65,52.00,50.93,51.25,1588600,50.89
2014-02-11,50.98,51.80,50.77,51.58,2902900,51.22
2014-02-10,51.04,51.34,50.63,51.07,2430000,50.71
2014-02-07,51.78,52.36,51.01,51.19,3280300,50.83
2014-02-06,51.97,53.10,50.48,51.55,7688100,51.19
2014-02-05,48.91,50.14,48.68,49.83,2607700,49.48
2014-02-04,49.53,49.75,48.94,49.09,2749100,48.74
2014-02-03,50.63,51.09,49.30,49.45,2932500,49.10
2014-01-31,50.03,50.92,49.82,50.63,2914400,50.27
2014-01-30,50.18,51.25,50.15,50.85,1953300,50.49
2014-01-29,50.83,51.13,49.93,49.97,2894300,49.62
2014-01-28,50.19,51.27,50.11,51.08,3667900,50.72
2014-01-27,50.28,50.52,49.80,50.11,2848400,49.76
2014-01-24,50.70,50.81,49.98,50.22,2836700,49.87
2014-01-23,51.19,51.48,51.01,51.10,2112500,50.74
2014-01-22,52.56,52.63,50.71,51.37,4886000,51.01
2014-01-21,53.05,53.17,52.26,52.59,2253700,52.22
2014-01-17,53.27,53.27,52.50,52.93,3069200,52.56
2014-01-16,53.48,53.57,52.55,52.83,6046700,52.46
2014-01-15,54.31,54.50,53.46,53.66,3320000,53.28
2014-01-09,55.22,55.73,54.89,55.56,2298100,55.17
2014-01-08,56.02,56.02,54.68,55.18,3505200,54.79
2014-01-07,56.03,56.24,55.31,56.10,3154200,55.71
2014-01-06,56.91,56.99,55.95,56.04,2412800,55.65
2014-01-03,56.91,57.14,56.64,56.86,1760100,56.46
2014-01-02,56.76,57.53,56.74,56.99,3130000,56.59
2013-12-31,56.45,56.89,56.24,56.75,1482500,56.35
2013-12-30,55.82,56.55,55.82,56.44,1196000,56.04
2013-12-27,55.86,56.08,55.65,55.94,1178800,55.55
2013-12-26,56.12,56.19,55.65,55.69,1048200,55.30
2013-12-24,55.50,56.13,55.50,55.82,900500,55.43
2013-12-23,54.37,55.85,54.37,55.55,1731800,55.16
2013-12-20,54.71,55.37,54.64,54.95,3049300,54.56
2013-12-19,54.76,54.90,54.26,54.62,1549500,54.24
2013-12-18,54.51,55.18,54.18,54.76,2460700,54.37
2013-12-17,54.24,54.99,54.00,54.60,2265600,54.22
2013-12-16,54.26,54.44,53.99,54.34,2651400,53.96
2013-12-13,54.97,55.19,54.00,54.08,2166600,53.70
2013-12-12,55.40,55.45,54.94,54.97,1650200,54.58
2013-12-11,55.00,55.75,54.79,55.40,2684800,55.01
2013-12-10,54.80,55.09,54.26,54.97,2136500,54.58
2013-12-09,54.28,55.09,54.04,54.99,2163200,54.60
2013-12-06,55.16,55.69,54.53,54.70,2879000,53.97
2013-12-05,55.42,55.80,54.72,55.04,4491600,54.30
2013-12-04,55.18,55.24,53.62,54.38,4225300,53.65
2013-12-03,55.12,55.56,55.00,55.25,2155100,54.51
2013-12-02,55.11,55.70,54.70,55.20,2986200,54.46
2013-11-29,56.17,56.21,55.23,55.28,1435300,54.54
2013-11-27,55.82,56.62,55.65,55.92,2277200,55.17
2013-11-26,55.85,56.28,55.59,55.89,2205400,55.14
2013-11-25,55.40,56.16,55.40,55.85,2428900,55.10
2013-11-22,54.77,55.29,54.68,55.15,1539800,54.41
2013-11-21,54.44,55.14,54.20,54.80,2916000,54.07
2013-11-20,53.92,55.09,53.63,54.71,2728300,53.98
2013-11-19,53.69,54.37,53.68,53.84,2913300,53.12
2013-11-18,54.08,54.40,53.49,53.69,3977400,52.97
2013-11-15,53.29,54.46,53.21,53.95,4930600,53.23
2013-11-14,53.61,54.55,53.03,53.55,14671600,52.83
2013-11-13,58.26,59.00,57.27,58.26,6387600,57.48
2013-11-12,57.62,57.83,57.29,57.60,1884500,56.83
2013-11-11,57.16,57.82,56.98,57.67,2243200,56.90
2013-11-08,56.38,57.68,56.36,57.03,2854400,56.27
2013-11-07,57.75,58.07,56.43,56.54,3467100,55.78
2013-11-06,57.77,58.24,57.54,58.06,2002200,57.28
2013-11-05,58.45,58.47,57.47,57.73,2310700,56.96
2013-11-04,57.64,58.93,57.64,58.47,3979000,57.69
2013-11-01,56.92,57.14,56.40,56.85,2544800,56.09
2013-10-31,57.02,57.04,56.23,56.80,1739200,56.04
2013-10-30,57.04,57.49,56.30,56.96,2643500,56.20
2013-10-29,55.98,57.42,55.95,57.04,5453500,56.28
2013-10-28,54.80,55.87,54.62,55.76,5324400,55.01
2013-10-25,54.88,54.89,54.36,54.74,2461400,54.01
2013-10-24,54.91,55.00,54.65,54.92,1995300,54.18
2013-10-23,53.96,55.08,53.73,54.86,3203100,54.13
2013-10-22,54.08,54.44,53.87,54.05,2432900,53.33
2013-10-21,53.85,54.16,53.49,53.64,1863100,52.92
2013-10-18,53.99,54.09,53.18,53.93,2262600,53.21
2013-10-17,53.23,54.10,53.14,53.96,2403100,53.24
2013-10-16,51.67,53.32,51.43,53.24,2649300,52.53
2013-10-15,51.35,51.64,51.04,51.44,1851600,50.75
2013-10-14,51.14,51.91,51.07,51.49,2193400,50.80
2013-10-11,51.82,51.82,50.81,51.45,2045200,50.76
2013-10-10,51.72,51.85,51.10,51.84,1535900,51.15
2013-10-09,50.83,51.71,50.60,51.31,2268500,50.62
2013-10-08,51.86,51.97,50.74,50.77,2820000,50.09
2013-10-07,52.23,52.35,51.87,51.92,1512300,51.22
2013-10-04,52.26,52.80,52.17,52.51,1699600,51.81
2013-10-03,52.48,52.74,52.01,52.34,2269900,51.64
2013-10-02,51.98,52.55,51.01,52.54,2985200,51.84
2013-10-01,51.62,52.32,51.52,52.32,1976600,51.62
2013-09-30,51.57,51.89,51.45,51.75,1922800,51.06
2013-09-27,51.93,52.20,51.08,52.03,2286000,51.33
2013-09-26,51.61,52.31,51.54,52.13,2525200,51.43
2013-09-25,51.65,51.84,50.50,51.56,5001000,50.87
2013-09-24,52.09,52.89,52.02,52.06,3188800,51.36
2013-09-23,52.58,52.65,51.80,52.05,1768300,51.35
2013-09-20,53.01,53.10,52.17,52.60,2898400,51.90
2013-09-19,52.69,52.99,52.39,52.83,1375500,52.12
2013-09-18,51.90,52.55,51.31,52.37,2685800,51.67
2013-09-17,51.57,51.95,51.57,51.88,1672900,51.19
2013-09-16,51.77,51.79,51.31,51.50,2366000,50.81
2013-09-13,51.68,51.72,50.98,51.24,1773100,50.55
2013-09-12,51.70,51.95,51.35,51.46,1620200,50.77
2013-09-11,52.39,52.61,51.46,51.71,2692800,51.02
2013-09-10,52.50,52.73,51.97,52.34,1661400,51.64
2013-09-09,52.32,52.67,52.13,52.45,1512500,51.75
2013-09-06,52.76,52.98,52.12,52.39,1618300,51.34
2013-09-05,51.55,53.32,51.50,52.76,2616100,51.71
2013-09-04,51.26,51.61,51.06,51.45,1848300,50.42
2013-09-03,51.70,51.96,51.15,51.40,1969800,50.37
2013-08-30,50.91,51.45,50.88,51.31,2147500,50.28
2013-08-29,50.19,51.30,50.09,50.88,2440000,49.86
2013-08-28,49.78,50.80,49.73,50.24,1611400,49.24
2013-08-27,49.94,50.36,49.57,49.84,1679300,48.84
2013-08-26,51.06,51.37,50.34,50.38,2461400,49.37
2013-08-23,51.75,51.82,50.89,51.00,2096000,49.98
2013-08-22,51.51,51.94,51.27,51.56,1454200,50.53
2013-08-21,52.21,52.48,51.49,51.78,1400400,50.75
2013-08-20,51.56,52.66,51.54,52.22,2482000,51.18
2013-08-19,52.21,52.53,51.16,51.56,2778000,50.53
2013-08-16,53.27,53.47,52.16,52.27,3126700,51.23
2013-08-15,52.00,54.52,52.00,53.51,9018100,52.44
2013-08-14,50.58,50.94,50.05,50.84,3585700,49.82
2013-08-13,51.29,51.45,50.43,50.83,2174900,49.81
2013-08-12,50.33,51.36,50.16,51.22,2045100,50.20
2013-08-09,50.92,50.92,50.41,50.69,2108400,49.68
2013-08-08,51.14,51.51,50.55,51.02,2226900,50.00
