Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,31.80,32.30,31.80,32.23,645100,32.23
2014-03-27,31.72,31.83,31.53,31.67,478900,31.67
2014-03-26,32.05,32.22,31.69,31.76,640700,31.76
2014-03-25,31.87,32.09,31.63,31.84,618200,31.84
2014-03-24,32.04,32.16,31.57,31.84,1059800,31.84
2014-03-21,32.26,32.52,31.89,31.95,1704200,31.95
2014-03-20,31.91,32.13,31.64,32.12,818200,32.12
2014-03-19,32.44,32.55,31.65,31.86,732600,31.86
2014-03-18,31.76,32.32,31.75,32.22,726300,32.22
2014-03-17,31.56,31.86,31.49,31.75,645100,31.75
2014-03-14,31.11,31.55,31.11,31.47,700600,31.47
2014-03-13,32.19,32.24,31.01,31.20,1428700,31.20
2014-03-12,31.59,32.19,31.57,32.12,1483400,32.12
2014-03-11,32.14,32.27,31.81,32.07,908300,31.77
2014-03-10,32.03,32.16,31.85,32.08,689400,31.78
2014-03-07,32.43,32.47,32.05,32.09,724600,31.79
2014-03-06,31.98,32.24,31.85,32.15,712000,31.85
2014-03-05,32.06,32.06,31.76,31.95,875100,31.65
2014-03-04,32.01,32.28,31.92,32.03,933100,31.73
2014-03-03,31.67,31.89,31.41,31.71,672600,31.41
2014-02-28,32.06,32.25,31.78,32.05,773800,31.75
2014-02-27,31.90,32.04,31.74,32.03,578400,31.73
2014-02-26,31.36,32.02,31.17,31.91,1037800,31.61
2014-02-25,31.40,31.46,31.18,31.24,781400,30.95
2014-02-24,31.50,31.85,31.36,31.36,925900,31.07
2014-02-21,31.48,31.52,31.33,31.39,629700,31.10
2014-02-20,31.20,31.42,31.10,31.38,691300,31.09
2014-02-19,30.89,31.35,30.80,31.23,1124700,30.94
2014-02-18,31.15,31.28,30.81,30.99,668800,30.70
2014-02-14,30.79,31.11,30.65,31.09,599100,30.80
2014-02-13,30.31,30.88,30.19,30.81,793800,30.52
2014-02-12,30.52,30.76,30.38,30.54,938000,30.25
2014-02-11,30.29,30.80,30.24,30.51,960800,30.22
2014-02-10,30.26,30.56,30.06,30.32,1310500,30.04
2014-02-07,29.93,30.39,29.92,30.36,768000,30.08
2014-02-06,29.40,30.02,29.40,29.93,796600,29.65
2014-02-05,29.30,29.56,29.19,29.35,993000,29.08
2014-02-04,29.17,29.55,28.90,29.44,1175600,29.16
2014-02-03,30.02,30.06,28.96,29.06,1489500,28.79
2014-01-31,29.43,30.27,29.38,30.02,1220200,29.74
2014-01-30,29.76,29.96,29.62,29.87,1138600,29.59
2014-01-29,29.47,29.75,29.31,29.55,1619700,29.27
2014-01-28,29.56,29.87,29.44,29.71,1841200,29.43
2014-01-27,29.78,29.87,29.35,29.49,1997600,29.21
2014-01-24,30.56,30.56,29.64,29.78,2619800,29.50
2014-01-23,30.16,30.71,30.16,30.69,1584300,30.40
2014-01-22,30.45,30.52,30.05,30.30,874400,30.02
2014-01-21,30.15,30.46,29.93,30.42,1361300,30.14
2014-01-17,30.12,30.12,29.60,29.75,1084800,29.47
2014-01-16,30.17,30.21,29.81,30.10,659900,29.82
2014-01-15,30.11,30.30,29.91,30.23,745900,29.95
2014-01-09,30.37,30.58,30.12,30.27,670500,29.99
2014-01-08,30.46,30.64,30.13,30.37,1275200,30.09
2014-01-07,30.36,30.60,30.35,30.44,714700,30.16
2014-01-06,30.65,30.70,30.17,30.31,1113200,30.03
2014-01-03,30.76,30.94,30.66,30.71,535500,30.42
2014-01-02,30.87,30.92,30.54,30.66,713200,30.37
2013-12-31,31.15,31.20,30.87,30.94,642400,30.65
2013-12-30,31.04,31.22,30.98,31.08,563100,30.79
2013-12-27,31.00,31.33,30.95,31.06,725000,30.77
2013-12-26,31.02,31.22,30.99,31.00,761000,30.71
2013-12-24,30.93,31.18,30.85,30.97,266300,30.68
2013-12-23,30.74,31.10,30.55,30.99,1668900,30.70
2013-12-20,30.34,30.74,30.28,30.55,2510700,30.26
2013-12-19,30.28,30.42,30.13,30.26,1065400,29.98
2013-12-18,29.47,30.49,29.37,30.36,2380300,30.08
2013-12-17,29.49,29.56,29.27,29.37,1584100,29.10
2013-12-16,29.21,29.55,29.20,29.48,602100,29.20
2013-12-13,29.11,29.24,29.05,29.15,569900,28.88
2013-12-12,28.87,29.20,28.80,29.10,1146800,28.83
2013-12-11,29.30,29.43,28.79,28.94,1107500,28.67
2013-12-10,29.86,30.03,29.60,29.64,588000,29.07
2013-12-09,29.73,30.04,29.66,29.86,848100,29.28
2013-12-06,29.40,29.76,29.37,29.66,609800,29.09
2013-12-05,29.23,29.41,29.11,29.21,993200,28.64
2013-12-04,29.44,29.75,29.21,29.35,1341100,28.78
2013-12-03,29.51,29.65,29.29,29.62,1264500,29.05
2013-12-02,30.16,30.19,29.59,29.64,1049600,29.07
2013-11-29,30.13,30.29,30.06,30.21,411900,29.62
2013-11-27,30.47,30.55,30.01,30.08,836500,29.50
2013-11-26,30.09,30.54,30.09,30.40,947000,29.81
2013-11-25,30.18,30.32,29.97,30.05,1046700,29.47
