Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,39.15,39.88,39.01,39.58,2488200,39.58
2014-03-27,38.63,39.47,38.35,38.99,3585400,38.99
2014-03-26,39.34,39.52,38.66,38.67,3422000,38.67
2014-03-25,39.45,39.76,39.02,39.12,3652300,39.12
2014-03-24,39.60,39.75,38.61,39.18,5343700,39.18
2014-03-21,40.34,40.51,39.07,39.57,8585200,39.57
2014-03-20,42.45,42.50,39.86,40.32,11670600,40.32
2014-03-19,42.46,42.72,41.15,41.34,9383900,41.34
2014-03-18,40.15,41.03,40.08,40.60,3633700,40.60
2014-03-17,40.20,40.67,39.71,40.06,4188600,40.06
2014-03-14,40.29,40.75,39.78,40.02,4395500,40.02
2014-03-13,41.53,41.70,39.97,40.35,4950000,40.35
2014-03-12,40.75,41.49,40.40,41.46,4558500,41.46
2014-03-11,41.28,41.93,40.76,41.14,4738800,41.14
2014-03-10,41.96,42.05,40.95,41.04,7121300,41.04
2014-03-07,43.06,43.23,41.79,42.06,5108600,42.06
2014-03-06,43.21,43.35,42.60,42.90,3155200,42.90
2014-03-05,43.59,43.65,43.06,43.15,4082000,43.15
2014-03-04,44.01,44.30,43.33,43.72,5247100,43.72
2014-03-03,43.38,44.10,43.33,43.84,4106100,43.84
2014-02-28,44.37,44.38,43.41,43.88,4690100,43.88
2014-02-27,43.57,44.40,43.22,44.33,4281100,44.33
2014-02-26,42.30,44.36,41.91,43.78,7661000,43.78
2014-02-25,41.76,42.75,41.47,42.26,3431700,42.26
2014-02-24,41.76,42.66,41.63,41.82,4627100,41.82
2014-02-21,41.38,42.43,41.25,41.85,3799000,41.85
2014-02-20,41.01,41.37,40.58,41.29,2721200,41.29
2014-02-19,41.02,41.76,40.67,40.94,2838300,40.94
2014-02-18,41.47,41.98,40.54,41.14,2837800,41.14
2014-02-14,40.81,41.50,40.57,41.48,3085300,41.48
2014-02-13,39.90,41.11,39.55,41.00,4427900,41.00
2014-02-12,40.73,40.95,39.94,40.13,4893400,40.13
2014-02-11,40.68,40.92,40.16,40.59,4718400,40.59
2014-02-10,41.90,41.93,40.22,40.89,5156900,40.89
2014-02-07,41.86,42.25,41.24,41.77,5456400,41.77
2014-02-06,40.94,41.88,40.67,41.71,6876900,41.71
2014-02-05,39.51,39.94,39.12,39.58,6525300,39.58
2014-02-04,39.35,39.96,38.74,39.85,4778700,39.85
2014-02-03,40.00,40.14,38.90,39.22,6865100,39.22
2014-01-31,38.37,40.84,38.25,40.16,6701500,40.16
2014-01-30,39.62,39.81,38.55,38.85,4602300,38.85
2014-01-29,37.83,39.06,37.70,39.00,5584500,39.00
2014-01-28,37.44,39.16,37.24,38.52,8084500,38.52
2014-01-27,37.33,37.95,36.41,36.91,6809700,36.87
