Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,98.36,99.15,97.87,98.04,805800,98.04
2014-03-27,98.81,98.81,96.45,97.87,1800700,97.87
2014-03-26,97.74,102.00,97.50,98.64,4225100,98.64
2014-03-25,94.97,95.42,93.46,94.71,1690200,94.71
2014-03-24,97.00,97.01,94.73,94.85,1306500,94.85
2014-03-21,97.78,97.84,96.43,97.03,1565700,97.03
2014-03-20,97.94,98.68,96.63,96.91,992100,96.91
2014-03-19,98.01,98.56,97.54,98.25,1045500,98.25
2014-03-18,95.93,98.13,95.93,98.00,765800,98.00
2014-03-17,95.78,96.55,95.63,95.94,832400,95.94
2014-03-14,95.59,95.88,95.15,95.63,944600,95.63
2014-03-13,96.15,97.10,95.81,95.87,1383900,95.87
2014-03-12,95.01,96.57,95.00,95.97,1486300,95.97
2014-03-11,93.94,95.32,93.53,95.27,1237100,95.27
2014-03-10,94.66,94.90,92.90,93.61,1196500,93.61
2014-03-07,94.49,95.48,94.18,95.32,1030800,95.32
2014-03-06,93.86,94.49,93.63,94.05,520400,94.05
2014-03-05,93.10,93.61,92.80,93.56,525600,93.56
2014-03-04,93.80,94.12,92.97,93.06,606500,93.06
2014-03-03,93.08,93.98,92.50,92.68,534700,92.68
2014-02-28,93.43,94.70,93.07,93.54,957800,93.54
2014-02-27,92.32,93.32,92.10,93.09,769700,93.09
2014-02-26,93.07,93.78,92.66,93.05,537200,93.05
2014-02-25,93.65,93.66,92.25,93.13,730700,93.13
2014-02-24,93.76,94.65,93.50,93.76,817600,93.76
2014-02-21,92.73,93.76,92.43,93.56,1598300,93.56
2014-02-20,92.20,93.21,91.75,92.69,761400,92.69
2014-02-19,92.20,92.60,91.90,92.09,931600,92.09
2014-02-18,91.81,92.80,91.79,92.35,884100,92.35
2014-02-14,91.73,93.15,91.65,91.94,863600,91.94
2014-02-13,90.33,91.92,89.94,91.81,857000,91.81
2014-02-12,91.95,92.36,90.89,90.98,998000,90.98
2014-02-11,91.15,91.87,91.15,91.62,1614900,91.62
2014-02-10,90.56,91.40,90.08,91.35,1951200,91.35
2014-02-07,88.00,91.39,87.52,89.15,2286800,89.15
2014-02-06,88.73,90.48,88.22,90.32,1230200,90.32
2014-02-05,88.26,89.26,87.68,88.73,1097600,88.73
2014-02-04,88.04,89.50,87.25,88.96,1447500,88.96
2014-02-03,90.00,90.29,87.81,87.86,1731000,87.86
2014-01-31,90.20,90.20,88.91,89.83,1665400,89.83
2014-01-30,90.01,91.22,88.59,89.06,1136000,89.06
2014-01-29,89.86,90.56,89.10,89.24,817200,89.24
2014-01-28,89.81,91.10,89.54,90.30,861900,90.30
2014-01-27,90.13,90.62,89.67,89.90,691600,89.90
2014-01-24,91.19,91.35,89.98,90.10,771700,90.10
2014-01-23,91.58,91.79,90.49,91.35,599000,91.35
2014-01-22,91.69,91.99,91.26,91.86,710700,91.86
2014-01-21,91.80,92.06,90.86,91.27,776400,91.27
2014-01-17,91.58,92.34,91.33,91.80,935400,91.80
2014-01-16,91.08,91.70,91.08,91.50,726800,91.50
2014-01-15,91.35,91.57,90.99,91.08,891800,91.08
2014-01-14,90.92,91.15,89.93,90.97,1568900,90.97
