Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,116.73,118.02,116.67,117.41,353900,117.41
2014-03-27,117.42,117.43,116.16,116.51,777200,116.51
2014-03-26,117.07,118.61,117.07,117.27,1540000,117.27
2014-03-25,116.25,116.90,115.45,116.18,811600,116.18
2014-03-24,116.01,116.38,114.77,115.82,433200,115.82
2014-03-21,117.09,117.09,115.69,116.01,1367200,116.01
2014-03-20,115.89,117.11,115.89,116.06,501800,116.06
2014-03-19,117.97,117.99,115.47,116.43,531500,116.43
2014-03-18,118.00,118.80,117.44,117.70,507400,117.70
2014-03-17,115.70,117.41,115.61,117.06,469700,117.06
2014-03-14,114.21,115.99,113.78,115.30,776100,115.30
2014-03-13,115.91,116.23,113.95,114.34,702800,114.34
2014-03-12,114.81,115.54,114.26,115.46,847900,115.46
2014-03-11,116.52,116.52,114.83,115.07,622800,115.07
2014-03-10,116.50,116.68,115.46,116.19,1035400,116.19
2014-03-07,117.78,118.23,116.82,117.25,1084100,117.25
2014-03-06,117.36,117.67,116.88,117.12,1241700,117.12
2014-03-05,117.49,118.47,116.78,117.16,1442800,117.16
2014-03-04,116.54,118.16,116.54,117.49,948400,117.49
2014-03-03,114.89,116.46,114.59,116.01,748500,116.01
2014-02-28,113.42,115.90,113.42,115.40,777200,115.40
2014-02-27,112.41,113.87,112.41,113.82,653600,113.82
2014-02-26,114.00,114.41,113.21,113.98,715200,113.38
2014-02-25,115.53,116.00,113.63,113.84,1450800,113.24
2014-02-24,115.24,117.47,115.20,116.30,1016300,115.69
2014-02-21,115.70,116.49,114.88,115.58,760200,114.97
2014-02-20,113.84,115.90,113.34,115.65,581300,115.04
2014-02-19,114.00,115.19,113.40,113.67,1279100,113.07
2014-02-18,113.77,114.95,113.23,114.82,862900,114.22
2014-02-14,113.19,113.63,112.34,113.50,581100,112.90
2014-02-13,112.73,113.60,112.36,113.08,901900,112.48
2014-02-12,112.45,113.83,112.45,113.12,680700,112.52
2014-02-11,112.75,113.24,112.37,112.54,1475300,111.95
2014-02-10,112.83,113.04,111.67,112.40,697100,111.81
2014-02-07,111.83,113.95,110.74,113.02,1279700,112.43
2014-02-06,108.96,109.99,108.91,109.61,484700,109.03
2014-02-05,107.70,109.47,106.90,108.96,825500,108.39
2014-02-04,108.67,108.99,106.67,108.33,1085300,107.76
2014-02-03,110.25,111.89,108.33,108.62,1879600,108.05
2014-01-31,104.60,111.59,104.33,111.07,1910700,110.49
2014-01-30,104.51,105.43,103.42,105.41,1234100,104.86
2014-01-29,103.49,104.18,102.94,103.72,628800,103.17
2014-01-28,103.79,104.64,103.74,104.47,570800,103.92
2014-01-27,104.41,104.41,102.84,103.71,648200,103.16
2014-01-24,106.79,106.90,104.16,104.17,773500,103.62
2014-01-23,108.49,108.57,107.21,107.71,611700,107.14
2014-01-22,108.69,108.94,107.79,108.62,569200,108.05
2014-01-21,107.58,108.83,107.57,108.34,533700,107.77
2014-01-17,107.04,107.61,106.91,107.57,418200,107.00
2014-01-16,106.67,107.28,106.50,107.00,304800,106.44
2014-01-15,106.40,107.70,106.34,107.28,438600,106.72
2014-01-14,105.91,106.38,105.46,106.14,403300,105.58
2014-01-13,106.56,106.94,105.48,105.66,460300,105.10
2014-01-09,106.91,107.40,106.05,106.29,660900,105.73
2014-01-08,104.64,105.71,104.04,105.46,615300,104.90
2014-01-07,104.22,105.56,103.99,104.74,717200,104.19
2014-01-06,105.66,106.11,105.01,105.58,564400,105.02
2014-01-03,105.13,105.85,105.03,105.38,369000,104.83
2014-01-02,106.07,106.28,104.94,105.08,720100,104.53
2013-12-31,106.87,107.13,106.66,106.86,323400,106.30
2013-12-30,107.39,107.53,106.38,106.78,371300,106.22
2013-12-27,108.60,108.69,107.07,107.12,254000,106.56
2013-12-26,106.84,107.62,106.73,107.13,453200,106.57
2013-12-24,105.82,106.95,105.82,106.73,175100,106.17
2013-12-23,105.65,106.24,105.61,106.03,353200,105.47
2013-12-20,105.09,106.13,104.80,105.49,1014600,104.93
2013-12-19,104.55,104.90,103.80,104.57,633600,104.02
2013-12-18,102.42,104.90,102.17,104.78,830900,104.23
2013-12-17,103.27,103.46,102.05,102.39,469600,101.85
2013-12-16,102.19,103.40,102.02,103.02,909200,102.48
2013-12-13,101.61,102.35,101.15,102.23,436600,101.69
2013-12-12,100.61,101.50,100.61,101.30,511500,100.77
2013-12-11,102.47,102.75,100.67,100.88,568200,100.35
2013-12-10,101.72,102.46,101.25,102.38,722500,101.84
2013-12-09,101.98,102.23,101.72,101.95,655800,101.41
2013-12-06,101.47,101.96,101.39,101.80,582200,101.26
2013-12-05,101.58,101.67,100.58,100.81,582500,100.28
2013-12-04,102.40,102.65,100.63,101.58,764400,101.05
2013-12-03,102.90,103.53,102.27,102.68,487300,102.14
2013-12-02,103.46,103.77,102.98,103.19,695500,102.65
2013-11-29,103.50,103.85,103.22,103.46,276900,102.92
2013-11-27,103.27,103.87,102.77,103.48,441400,102.94
2013-11-26,102.50,103.45,102.26,103.01,576100,102.47
2013-11-25,102.45,102.45,101.86,102.37,603300,101.83
2013-11-22,101.87,102.45,101.86,102.34,741300,101.80
2013-11-21,101.78,102.25,101.18,101.86,545200,101.32
2013-11-20,101.78,102.55,101.09,101.36,568900,100.83
2013-11-19,102.63,102.92,101.55,101.78,668200,101.24
2013-11-18,102.31,103.41,102.31,102.86,465900,102.32
2013-11-15,101.94,102.04,101.11,101.95,391600,101.41
2013-11-14,101.53,102.22,100.79,101.96,348400,101.42
2013-11-13,101.02,101.93,100.58,101.87,349100,100.79
2013-11-12,101.41,101.75,101.00,101.24,401500,100.16
2013-11-11,101.50,101.64,101.15,101.35,394800,100.27
2013-11-08,100.86,101.63,100.78,101.50,607100,100.42
2013-11-07,102.28,102.73,100.79,100.86,600800,99.79
2013-11-06,101.13,102.32,101.13,102.28,620800,101.19
2013-11-05,100.73,101.32,100.26,101.05,676200,99.98
2013-11-04,101.00,101.24,100.46,100.84,533400,99.77
2013-11-01,100.59,101.45,100.10,100.76,720400,99.69
2013-10-31,99.33,100.89,98.89,100.45,956500,99.38
2013-10-30,98.31,100.50,98.10,99.45,1392400,98.39
2013-10-29,97.26,98.05,95.59,97.98,1067200,96.94
2013-10-28,97.18,97.58,96.74,97.10,720600,96.07
2013-10-25,96.25,97.67,95.63,97.53,681400,96.49
2013-10-24,96.05,96.42,95.37,96.29,362000,95.27
2013-10-23,95.13,96.00,94.56,95.98,574600,94.96
2013-10-22,94.74,95.57,94.45,95.00,546100,93.99
2013-10-21,94.90,94.97,94.15,94.40,321000,93.40
2013-10-18,95.50,95.50,94.41,94.77,404900,93.76
2013-10-17,93.97,94.55,93.72,94.38,586300,93.38
2013-10-16,94.22,94.44,93.72,94.06,469100,93.06
2013-10-15,94.67,95.50,93.70,93.71,498900,92.71
2013-10-14,93.65,95.16,93.14,94.98,383800,93.97
2013-10-11,93.35,93.97,93.35,93.94,550300,92.94
2013-10-10,92.56,93.56,92.56,93.56,790400,92.57
2013-10-09,92.13,92.45,91.48,91.94,346000,90.96
2013-10-08,92.83,93.44,91.96,91.99,331400,91.01
2013-10-07,92.88,93.29,92.26,92.65,336800,91.66
2013-10-04,92.69,93.04,92.23,92.88,239300,91.89
2013-10-03,93.64,93.93,91.75,92.67,652400,91.68
2013-10-02,94.74,94.86,93.24,93.93,406800,92.93
2013-10-01,94.50,95.39,94.40,95.33,377100,94.32
2013-09-30,94.81,94.89,94.21,94.50,416400,93.50
2013-09-27,95.25,95.74,95.01,95.43,244800,94.42
2013-09-26,95.90,96.29,95.51,95.91,432400,94.89
2013-09-25,95.45,96.71,95.26,95.93,766900,94.91
2013-09-24,94.65,95.89,94.51,95.52,427800,94.50
2013-09-23,94.76,95.15,94.06,94.51,436700,93.50
2013-09-20,96.26,96.28,94.88,95.22,710400,94.21
2013-09-19,96.10,96.59,96.00,96.07,306600,95.05
2013-09-18,96.07,96.32,94.71,96.09,427000,95.07
2013-09-17,95.75,96.06,95.41,95.99,302100,94.97
2013-09-16,95.27,95.98,94.63,95.76,430200,94.74
2013-09-13,93.91,94.34,93.29,94.25,205800,93.25
2013-09-12,94.17,94.75,93.78,93.96,430800,92.96
2013-09-11,92.92,94.18,92.69,94.17,478900,93.17
2013-09-10,92.44,93.24,92.12,92.88,372100,91.89
2013-09-09,91.30,92.14,91.27,92.12,397900,91.14
2013-09-06,91.60,91.63,90.16,91.19,519500,90.22
2013-09-05,91.16,91.67,90.80,91.47,337400,90.50
2013-09-04,90.62,91.50,90.52,91.25,381900,90.28
2013-09-03,91.00,91.88,90.23,90.56,477100,89.60
2013-08-30,91.26,91.26,90.07,90.33,311200,89.37
2013-08-29,90.89,91.50,90.69,90.98,287500,90.01
2013-08-28,90.71,91.41,90.39,91.09,371300,90.12
2013-08-27,91.70,92.35,90.55,90.72,557300,89.76
2013-08-26,92.59,93.17,92.20,92.27,251000,91.29
2013-08-23,92.45,92.74,92.09,92.65,386000,91.66
