Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,47.24,48.83,47.24,48.35,1832400,48.35
2014-03-27,47.72,48.04,46.99,47.13,1280300,47.13
2014-03-26,46.89,48.52,46.73,47.90,2874100,47.90
2014-03-25,46.95,47.14,46.22,46.45,898800,46.45
2014-03-24,47.34,47.55,46.41,46.61,1083800,46.61
2014-03-21,47.89,48.31,47.25,47.40,1220800,47.40
2014-03-20,46.04,47.79,45.93,47.53,1334800,47.53
2014-03-19,46.61,46.77,45.93,46.31,1111800,46.31
2014-03-18,46.04,46.73,45.94,46.60,873800,46.60
2014-03-17,45.67,46.33,45.61,45.97,892100,45.97
2014-03-14,45.35,45.85,45.13,45.25,916300,45.25
2014-03-13,46.37,46.63,45.25,45.42,836300,45.42
2014-03-12,45.80,46.25,45.54,46.16,1355900,46.16
2014-03-11,46.74,46.80,45.86,46.10,835600,46.10
2014-03-10,46.60,46.75,45.98,46.52,1110600,46.39
2014-03-07,46.96,47.11,46.43,46.79,1243000,46.66
2014-03-06,46.77,47.11,46.44,46.52,1406100,46.39
2014-03-05,46.50,46.74,46.13,46.54,1086700,46.41
2014-03-04,46.10,46.87,46.10,46.65,1110000,46.52
2014-03-03,45.25,45.57,44.83,45.31,942800,45.18
2014-02-28,44.89,46.24,44.82,45.96,1642400,45.83
2014-02-27,44.19,45.22,44.11,45.20,1079200,45.07
2014-02-26,44.82,45.05,44.07,44.28,1065200,44.16
2014-02-25,44.89,45.11,44.29,44.54,727100,44.42
2014-02-24,44.12,45.38,44.12,44.92,952300,44.79
2014-02-21,44.19,44.48,43.88,44.03,858400,43.91
2014-02-20,43.93,44.32,43.53,44.19,951100,44.07
2014-02-19,44.16,44.90,43.86,43.90,1052900,43.78
2014-02-18,43.96,44.57,43.96,44.40,722900,44.28
2014-02-14,44.61,44.78,44.05,44.08,759000,43.96
2014-02-13,43.62,44.80,43.50,44.66,1629300,44.54
2014-02-12,42.66,44.10,42.66,44.06,2409600,43.94
2014-02-11,42.34,42.73,42.16,42.43,1942500,42.31
2014-02-10,42.00,42.57,41.87,42.26,1361800,42.14
2014-02-07,41.43,41.97,41.36,41.85,1359900,41.73
2014-02-06,40.26,41.25,40.25,41.16,1123200,41.04
2014-02-05,40.35,40.49,39.60,39.99,1697000,39.88
2014-02-04,40.17,40.75,39.89,40.67,1987300,40.56
2014-02-03,42.19,42.32,40.09,40.09,1827700,39.98
2014-01-31,42.27,42.72,41.25,42.35,1693200,42.23
2014-01-30,43.11,43.53,42.81,43.30,1655100,43.18
2014-01-29,42.26,42.90,42.24,42.57,1549000,42.45
