Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,159.53,161.37,159.24,160.54,1191300,160.54
2014-03-27,159.29,159.95,158.02,158.88,1857000,158.88
2014-03-26,160.84,162.09,159.62,159.64,1299200,159.64
2014-03-25,158.75,161.13,158.58,160.57,2099700,160.57
2014-03-24,158.53,159.37,157.01,158.19,1997300,158.19
2014-03-21,161.00,161.37,157.40,157.40,4247800,157.40
2014-03-20,161.12,162.47,159.37,159.93,3228500,159.93
2014-03-19,164.37,164.58,160.01,160.90,2068200,160.90
2014-03-18,164.85,165.09,163.85,163.98,1652400,163.98
2014-03-17,163.44,164.65,163.08,164.07,1466300,164.07
2014-03-14,162.54,164.60,162.15,162.42,1386100,162.42
2014-03-13,164.53,165.11,162.32,162.83,1404600,162.83
2014-03-12,163.47,164.00,162.00,163.86,1503100,163.86
2014-03-11,165.37,165.70,163.72,163.80,1738200,163.80
2014-03-10,165.69,166.70,165.11,165.48,1377100,165.48
2014-03-07,167.50,167.87,165.97,166.57,1403500,166.57
2014-03-06,166.85,167.48,166.40,166.84,1378300,166.84
2014-03-05,166.23,167.43,165.50,166.82,1889200,166.82
2014-03-04,164.29,166.17,164.29,165.64,1748200,165.64
2014-03-03,160.82,164.21,160.52,163.55,1709000,163.55
2014-02-28,161.15,163.31,161.15,162.30,2232700,162.30
2014-02-27,160.40,161.67,159.51,161.44,3075100,161.44
2014-02-26,163.30,164.41,160.81,160.83,2691000,159.50
2014-02-25,166.58,167.43,163.10,163.61,2278400,162.26
2014-02-24,165.62,168.41,164.80,166.14,2534300,164.77
2014-02-21,165.00,165.44,163.37,164.33,2377600,162.97
2014-02-20,163.00,165.89,162.92,164.27,2112600,162.91
2014-02-19,162.60,164.71,162.01,162.65,1762400,161.30
2014-02-18,161.53,163.95,161.53,162.70,1985200,161.35
2014-02-14,159.80,163.24,159.31,162.89,2556400,161.54
2014-02-13,157.66,160.76,156.54,159.80,2461600,158.48
2014-02-12,158.71,159.45,157.97,158.92,1851100,157.61
2014-02-11,154.57,158.32,154.18,157.56,2242200,156.26
2014-02-10,154.75,155.41,153.51,153.98,2375000,152.71
2014-02-07,151.90,155.70,151.06,155.13,2072700,153.85
2014-02-06,149.73,152.64,149.50,151.74,2073800,150.49
2014-02-05,147.74,151.97,147.43,150.39,2728100,149.15
2014-02-04,147.79,148.97,144.69,148.18,2205000,146.95
2014-02-03,150.54,152.00,147.42,147.74,2307200,146.52
2014-01-31,147.07,151.99,145.94,150.91,2618200,149.66
2014-01-30,148.59,150.29,147.67,148.66,1931600,147.43
2014-01-29,147.14,148.24,146.50,147.35,2501000,146.13
2014-01-28,147.01,148.82,146.80,148.28,2676000,147.05
2014-01-27,148.12,149.09,145.12,147.02,2851400,145.80
2014-01-24,151.33,151.33,146.68,147.76,3496200,146.54
2014-01-23,157.11,158.43,150.30,150.49,3944100,149.25
2014-01-22,155.00,157.05,154.26,156.65,2646600,155.35
2014-01-21,154.00,156.54,153.79,154.10,2274600,152.83
2014-01-17,153.73,153.99,153.01,153.82,2016300,152.55
2014-01-16,153.00,153.52,152.62,153.49,1378700,152.22
2014-01-15,151.42,154.34,151.10,153.50,2294200,152.23
2014-01-14,151.13,151.93,149.19,151.42,2575800,150.17
2014-01-09,149.00,150.43,148.54,148.73,1646600,147.50
2014-01-08,148.39,149.10,147.71,148.50,1222700,147.27
2014-01-07,149.00,149.30,147.50,148.61,1684100,147.38
2014-01-06,147.30,148.09,146.10,146.28,1134800,145.07
2014-01-03,146.50,147.33,146.48,147.06,843400,145.84
