Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,49.90,50.55,49.58,49.91,1379800,49.91
2014-03-27,50.93,51.19,49.57,49.75,2519000,49.75
2014-03-26,52.19,52.40,51.01,51.02,1910900,51.02
2014-03-25,52.36,52.54,51.43,51.77,1889200,51.77
2014-03-24,52.12,52.53,51.63,51.99,1150900,51.99
2014-03-21,52.61,53.08,51.89,52.00,2563700,52.00
2014-03-20,51.23,52.56,51.23,52.15,1781300,52.15
2014-03-19,50.69,51.58,50.60,51.30,1816700,51.30
2014-03-18,50.44,50.83,50.39,50.50,2386900,50.50
2014-03-17,50.96,51.15,50.31,50.41,1939000,50.41
2014-03-14,50.67,50.96,50.19,50.41,1729500,50.41
2014-03-13,52.02,52.17,50.81,50.89,1694500,50.89
2014-03-12,51.73,51.93,51.16,51.79,1363500,51.79
2014-03-11,52.31,52.53,51.87,51.99,1523300,51.99
2014-03-10,52.75,53.14,51.87,52.20,2505500,52.20
2014-03-07,52.55,53.26,52.44,52.92,3224200,52.92
2014-03-06,51.37,52.13,51.27,51.93,1961700,51.93
2014-03-05,51.11,51.46,50.96,51.14,1489700,51.14
2014-03-04,50.59,51.22,50.53,51.09,1694700,51.09
2014-03-03,49.16,50.10,48.94,49.79,2138400,49.79
2014-02-28,49.66,50.86,49.66,50.13,2529700,50.13
2014-02-27,49.70,50.07,49.21,49.65,2927800,49.65
2014-02-26,50.15,50.24,49.26,49.70,2528000,49.70
2014-02-25,50.63,50.68,49.86,50.13,1715700,50.13
2014-02-24,50.00,51.16,49.88,50.77,1931900,50.77
2014-02-21,49.95,50.34,49.64,49.95,1234300,49.95
2014-02-20,49.58,49.90,49.03,49.81,1284100,49.81
2014-02-19,49.94,50.96,49.53,49.60,2304000,49.60
2014-02-18,49.30,50.04,49.18,50.01,2085300,50.01
2014-02-14,49.38,49.73,49.14,49.18,1861900,49.18
2014-02-13,48.82,49.58,48.41,49.57,1896500,49.57
2014-02-12,49.32,49.98,48.99,49.41,1898700,49.41
2014-02-11,48.60,49.44,48.35,49.19,2540100,49.19
2014-02-10,49.16,49.23,47.93,48.55,2025000,48.55
2014-02-07,48.29,49.36,48.27,49.28,2802200,49.28
2014-02-06,47.43,48.13,46.70,48.09,3074700,48.09
2014-02-05,46.80,47.26,45.90,47.11,2724500,47.11
2014-02-04,46.19,47.00,46.05,46.86,3051300,46.86
2014-02-03,47.85,48.07,45.71,45.78,3114700,45.78
2014-01-31,46.83,48.55,46.80,48.03,3414400,48.03
2014-01-30,47.47,48.11,47.29,48.00,2083900,48.00
2014-01-29,47.11,47.55,46.51,46.87,2893600,46.87
2014-01-28,47.41,48.15,47.41,47.82,1894100,47.82
2014-01-27,47.87,48.24,46.72,47.20,2898900,47.20
2014-01-24,49.45,49.52,47.87,47.87,2778900,47.87
2014-01-23,51.00,51.08,49.61,49.94,1980800,49.94
2014-01-22,51.53,51.80,51.10,51.57,1123800,51.57
2014-01-21,51.87,52.04,51.17,51.35,1429300,51.35
2014-01-17,51.85,52.24,51.52,51.59,1161200,51.59
2014-01-16,52.24,52.29,51.51,51.74,1922200,51.74
2014-01-15,51.80,52.55,51.76,52.50,2155300,52.50
2014-01-14,51.21,51.77,50.91,51.68,1523000,51.68
2014-01-09,51.98,52.40,51.89,52.36,1566100,52.36
2014-01-08,51.59,52.25,51.32,51.96,2240200,51.96
2014-01-07,51.28,52.00,51.28,51.52,1694500,51.36
