Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,26.90,27.43,26.89,27.28,1281200,27.28
2014-03-27,26.75,26.85,26.53,26.73,1229100,26.73
2014-03-26,27.25,27.49,26.80,26.82,1463200,26.82
2014-03-25,27.11,27.26,26.96,27.19,1068300,27.19
2014-03-24,27.15,27.23,26.80,27.00,1154200,27.00
2014-03-21,27.49,27.49,26.87,27.15,2350800,27.15
2014-03-20,26.45,26.66,26.31,26.60,1128700,26.60
2014-03-19,26.74,26.78,26.40,26.55,1355200,26.55
2014-03-18,26.46,26.70,26.35,26.68,1382400,26.68
2014-03-17,26.47,26.69,26.31,26.39,936800,26.39
2014-03-14,26.24,26.43,26.18,26.33,1159100,26.33
2014-03-13,26.67,26.71,26.12,26.22,1695300,26.22
2014-03-12,26.75,26.87,26.64,26.71,1224100,26.65
2014-03-11,27.60,27.61,26.83,26.93,2448500,26.87
2014-03-10,27.83,27.84,27.50,27.58,1262100,27.51
2014-03-07,28.16,28.16,27.73,27.85,1214200,27.78
2014-03-06,28.03,28.39,27.97,28.03,1713800,27.96
2014-03-05,28.21,28.24,27.84,28.00,1086700,27.93
2014-03-04,27.97,28.29,27.85,28.22,2353500,28.15
2014-03-03,27.66,27.77,27.26,27.56,2642600,27.49
2014-02-28,28.15,28.21,27.80,27.94,2085300,27.87
2014-02-27,27.87,28.16,27.80,28.15,1538900,28.08
2014-02-26,28.00,28.05,27.84,27.99,1567400,27.92
2014-02-25,27.96,28.03,27.72,27.99,2423400,27.92
2014-02-24,27.96,28.28,27.93,27.97,1407900,27.90
2014-02-21,27.80,28.17,27.80,27.95,1262400,27.88
2014-02-20,27.69,27.86,27.50,27.80,1221700,27.73
2014-02-19,28.20,28.29,27.59,27.62,2339800,27.55
2014-02-18,28.20,28.38,27.99,28.21,1307800,28.14
2014-02-14,28.22,28.34,27.99,28.13,1173500,28.06
2014-02-13,27.92,28.41,27.78,28.29,961200,28.22
2014-02-12,28.22,28.31,28.04,28.18,1397000,28.11
2014-02-11,28.07,28.40,28.06,28.27,1912300,28.20
2014-02-10,27.72,28.15,27.51,28.14,1479200,28.07
2014-02-07,27.13,27.74,27.13,27.71,1415200,27.64
2014-02-06,26.66,27.03,26.62,27.00,1834400,26.94
2014-02-05,26.59,27.00,26.50,26.62,1331400,26.56
2014-02-04,26.43,26.72,26.22,26.67,1726000,26.61
2014-02-03,27.02,27.08,26.04,26.33,3791900,26.27
2014-01-31,27.00,27.44,26.94,27.33,1757800,27.27
2014-01-30,27.50,27.56,27.35,27.52,1071600,27.46
2014-01-29,27.55,27.67,27.26,27.34,1360400,27.28
2014-01-28,27.12,27.62,27.08,27.56,1548300,27.49
2014-01-27,27.39,27.51,26.82,27.03,2143200,26.97
2014-01-24,27.94,27.94,27.41,27.41,2389900,27.35
2014-01-23,28.48,28.57,27.94,28.11,2036500,28.04
2014-01-22,28.55,28.72,28.51,28.65,1895700,28.58
2014-01-21,28.10,28.58,27.86,28.46,7195100,28.39
2014-01-17,27.90,28.38,27.53,27.94,2324500,27.87
2014-01-16,27.83,28.40,27.71,27.85,1637700,27.78
2014-01-09,27.96,28.07,27.58,27.91,853000,27.84
2014-01-08,27.88,28.19,27.68,27.80,1490200,27.73
2014-01-07,28.09,28.24,27.84,27.92,804500,27.85
2014-01-06,28.42,28.48,27.92,27.99,901000,27.92
2014-01-03,28.47,28.64,28.26,28.37,870200,28.30
