Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,23.14,23.66,23.05,23.16,5705800,23.16
2014-03-27,23.39,23.39,22.78,23.16,6001400,23.16
2014-03-26,23.82,23.87,23.40,23.44,5129500,23.44
2014-03-25,23.50,23.82,23.48,23.70,3968500,23.70
2014-03-24,23.38,23.57,23.05,23.37,5548500,23.37
2014-03-21,24.09,24.11,23.18,23.18,12407300,23.18
2014-03-20,23.69,23.89,23.59,23.88,5590800,23.88
2014-03-19,23.91,24.04,23.59,23.77,5973000,23.77
2014-03-18,24.01,24.17,23.88,23.90,6802500,23.90
2014-03-17,24.09,24.11,23.75,23.98,6500300,23.98
2014-03-14,23.59,24.14,23.44,23.92,8198100,23.92
2014-03-13,23.95,23.98,23.49,23.60,8093700,23.60
2014-03-12,23.92,24.15,23.72,23.90,8013700,23.90
2014-03-11,23.60,24.03,23.42,23.78,7451100,23.78
2014-03-10,23.14,23.67,23.10,23.60,7949000,23.60
2014-03-07,23.26,23.27,22.87,23.10,7066900,23.10
2014-03-06,23.12,23.35,23.03,23.12,7330100,23.12
2014-03-05,22.92,23.23,22.83,23.03,7477600,23.03
2014-03-04,22.70,23.00,22.58,22.83,10436600,22.83
2014-03-03,22.15,22.39,21.82,22.30,7918600,22.26
2014-02-28,22.33,22.56,22.16,22.44,6993500,22.40
2014-02-27,22.37,22.62,22.30,22.46,5728200,22.42
2014-02-26,22.48,22.63,22.25,22.42,7267200,22.38
2014-02-25,22.18,22.55,22.15,22.30,8942200,22.26
2014-02-24,21.76,22.28,21.73,22.16,9630200,22.12
2014-02-21,21.70,21.92,21.61,21.76,8896900,21.72
2014-02-20,21.04,21.76,20.97,21.70,8849600,21.66
2014-02-19,21.01,21.17,20.88,20.95,7691400,20.91
2014-02-18,21.42,21.57,20.97,21.03,7443400,20.99
2014-02-14,21.16,21.43,21.09,21.30,5357900,21.26
2014-02-13,21.08,21.32,21.00,21.20,7051700,21.16
2014-02-12,21.34,21.38,20.96,21.21,7781400,21.17
2014-02-11,21.13,21.40,20.96,21.32,8624800,21.28
2014-02-10,21.42,21.53,20.94,21.02,8428600,20.98
2014-02-07,20.99,21.53,20.92,21.43,10395300,21.39
2014-02-06,20.60,21.10,20.56,20.96,7159300,20.92
2014-02-05,20.60,20.67,20.23,20.61,9161000,20.57
2014-02-04,20.63,20.76,20.29,20.65,7685500,20.61
2014-02-03,20.98,21.02,20.34,20.43,11373800,20.39
2014-01-31,20.97,21.26,20.88,20.95,9510000,20.91
2014-01-30,20.80,21.33,20.79,21.22,11463100,21.18
2014-01-29,21.08,21.57,20.51,20.61,12385000,20.57
2014-01-28,20.93,21.44,20.84,21.31,9879500,21.27
2014-01-27,20.84,20.99,20.22,20.61,8326500,20.57
2014-01-24,21.30,21.42,20.72,20.84,11234300,20.80
2014-01-23,21.97,22.10,20.82,21.24,15070700,21.20
2014-01-22,21.67,21.80,21.42,21.77,8148800,21.73
2014-01-21,21.67,21.84,21.25,21.30,8165800,21.26
2014-01-17,21.57,21.74,21.17,21.22,6087400,21.18
2014-01-09,20.41,20.87,20.34,20.76,12104500,20.72
2014-01-08,19.54,20.21,19.41,20.18,11519400,20.14
2014-01-07,19.24,19.67,19.24,19.53,7228000,19.49
2014-01-06,19.48,19.63,19.07,19.15,8125400,19.12
2014-01-03,18.95,19.51,18.95,19.42,8708100,19.39
2014-01-02,18.85,19.09,18.78,18.88,4556500,18.85
2013-12-31,18.84,18.94,18.76,18.84,2872100,18.81
2013-12-30,18.80,18.92,18.74,18.83,2971800,18.80
2013-12-27,18.98,19.00,18.60,18.74,2870000,18.71
2013-12-26,18.94,18.97,18.80,18.93,2432500,18.90
2013-12-24,18.87,18.95,18.80,18.93,1475000,18.90
2013-12-23,18.95,18.98,18.72,18.89,4705700,18.86
2013-12-20,18.66,18.94,18.57,18.86,10329000,18.83
2013-12-19,18.72,18.78,18.36,18.62,4726700,18.59
2013-12-18,18.44,18.67,18.20,18.66,5979800,18.63
2013-12-17,18.73,18.73,18.32,18.32,5692200,18.29
2013-12-16,18.74,18.81,18.42,18.73,5305500,18.70
2013-12-13,18.88,18.93,18.41,18.63,6428300,18.60
2013-12-12,18.31,18.84,18.21,18.79,11460200,18.76
2013-12-11,18.57,18.63,17.95,17.97,9943700,17.94
2013-12-10,18.49,18.82,18.46,18.58,5794000,18.55
2013-12-09,18.31,18.59,18.30,18.50,5717300,18.43
2013-12-06,18.18,18.38,18.04,18.31,4757000,18.24
2013-12-05,17.91,18.24,17.90,18.00,7679100,17.93
2013-12-04,18.20,18.22,17.73,17.90,9411800,17.83
2013-12-03,18.54,18.54,18.13,18.28,6827000,18.21
2013-12-02,18.62,18.83,18.57,18.61,5499200,18.54
2013-11-29,18.96,18.96,18.56,18.59,3738700,18.52
2013-11-27,18.66,18.98,18.62,18.95,4774000,18.88
2013-11-26,18.60,18.82,18.41,18.54,5572400,18.47
2013-11-25,18.60,18.80,18.53,18.55,4646900,18.48
2013-11-22,18.47,18.57,18.36,18.56,7003400,18.49
2013-11-21,18.12,18.52,18.11,18.45,6867300,18.38
2013-11-20,18.20,18.35,17.96,18.01,6380300,17.94
2013-11-19,18.15,18.42,18.13,18.17,7662000,18.10
2013-11-18,18.22,18.41,18.04,18.14,6219300,18.07
2013-11-15,18.24,18.34,17.99,18.16,7071100,18.09
2013-11-14,18.19,18.39,18.09,18.18,6049200,18.11
2013-11-13,17.99,18.09,17.92,18.00,7679600,17.93
2013-11-12,17.74,18.54,17.74,18.03,15799100,17.96
2013-11-11,17.75,17.91,17.73,17.81,5452400,17.74
2013-11-08,17.64,17.77,17.57,17.69,9531300,17.62
2013-11-07,17.86,17.98,17.52,17.57,10387600,17.50
2013-11-06,17.99,18.09,17.69,17.80,8843900,17.73
2013-11-05,17.93,18.07,17.66,17.87,11687000,17.80
2013-11-04,17.53,18.13,17.53,17.87,9384600,17.80
2013-11-01,17.26,17.49,17.20,17.47,5795100,17.40
2013-10-31,17.14,17.31,17.08,17.22,6543300,17.15
2013-10-30,17.21,17.28,16.92,17.13,7925100,17.06
2013-10-29,17.17,17.34,17.05,17.16,7978700,17.09
2013-10-28,17.20,17.23,17.01,17.10,8115100,17.03
2013-10-25,17.05,17.34,16.82,17.17,8877600,17.10
2013-10-24,16.67,17.05,16.60,17.02,8345700,16.95
2013-10-23,16.35,16.58,16.23,16.41,9035200,16.35
2013-10-22,16.17,16.57,16.17,16.36,7398400,16.30
2013-10-21,16.05,16.15,15.96,16.09,5277700,16.03
2013-10-18,16.09,16.18,16.03,16.07,4973600,16.01
2013-10-17,15.68,16.11,15.65,16.01,7999900,15.95
2013-10-16,15.25,15.61,15.25,15.60,5815100,15.54
2013-10-15,15.30,15.39,15.20,15.20,4798400,15.14
2013-10-14,15.14,15.33,15.11,15.31,3782600,15.25
2013-10-11,15.10,15.32,15.05,15.23,5108000,15.17
2013-10-10,15.08,15.14,14.99,15.12,6158100,15.06
2013-10-09,14.84,15.07,14.81,14.95,8158200,14.89
2013-10-08,14.89,15.01,14.82,14.82,7222900,14.76
2013-10-07,14.79,15.01,14.73,14.87,6634200,14.81
2013-10-04,14.68,14.93,14.64,14.89,5142000,14.83
2013-10-03,14.60,14.76,14.49,14.72,6003400,14.66
2013-10-02,14.73,14.78,14.48,14.67,5412300,14.61
2013-10-01,14.58,14.83,14.56,14.73,5150400,14.67
2013-09-30,14.46,14.64,14.11,14.56,6002400,14.50
2013-09-27,14.56,14.76,14.44,14.64,3939100,14.58
2013-09-26,14.58,14.75,14.55,14.70,3658800,14.64
2013-09-25,14.72,14.73,14.49,14.59,6886200,14.53
2013-09-24,14.46,14.82,14.43,14.70,7836900,14.64
2013-09-23,14.43,14.51,14.31,14.43,5032000,14.37
2013-09-20,14.63,14.66,14.36,14.41,7608400,14.35
2013-09-19,14.26,14.58,14.22,14.54,11829000,14.48
2013-09-18,14.18,14.33,14.02,14.25,6672700,14.19
2013-09-17,14.24,14.30,14.09,14.22,5645600,14.16
2013-09-16,14.06,14.30,14.02,14.10,8271500,14.04
2013-09-13,13.76,13.96,13.76,13.90,4137600,13.85
2013-09-12,13.86,13.89,13.69,13.75,5253000,13.70
2013-09-11,13.87,13.96,13.71,13.85,7197700,13.80
2013-09-10,13.36,13.90,13.36,13.90,8805300,13.85
2013-09-09,13.04,13.32,12.98,13.27,6257400,13.22
2013-09-06,13.12,13.26,12.94,13.10,5106400,13.05
2013-09-05,13.03,13.14,12.97,13.09,4195800,13.04
2013-09-04,12.87,13.02,12.82,13.01,4912100,12.96
2013-09-03,12.97,13.04,12.73,12.82,5358500,12.77
2013-08-30,12.83,12.93,12.75,12.81,3847400,12.76
2013-08-29,12.76,12.88,12.64,12.79,6185200,12.74
2013-08-28,12.78,12.84,12.67,12.77,5090400,12.72
2013-08-27,13.10,13.13,12.74,12.80,6414400,12.75
2013-08-26,13.28,13.36,13.20,13.27,3994400,13.22
2013-08-23,13.24,13.29,13.14,13.27,3875300,13.22
2013-08-22,13.07,13.26,13.06,13.19,3623900,13.14
2013-08-21,13.13,13.18,13.03,13.05,5066800,13.00
2013-08-20,13.09,13.26,13.04,13.15,4663700,13.10
2013-08-19,13.27,13.27,12.99,13.11,7135700,13.06
2013-08-16,13.35,13.53,13.32,13.34,5107200,13.29
2013-08-15,13.38,13.44,13.25,13.32,4885900,13.27
2013-08-14,13.46,13.59,13.25,13.50,8960800,13.45
2013-08-13,13.77,13.82,13.22,13.47,13162900,13.42
2013-08-12,13.68,13.83,13.64,13.72,3124400,13.67
2013-08-09,13.82,13.91,13.69,13.74,5255900,13.69
2013-08-08,13.86,13.91,13.78,13.86,5446900,13.81
2013-08-07,13.80,13.93,13.70,13.77,6364800,13.72
2013-08-06,14.05,14.09,13.79,13.84,3602600,13.79
2013-08-05,14.13,14.24,14.09,14.09,2922500,13.99
2013-08-02,14.14,14.22,14.06,14.19,5092500,14.09
2013-08-01,13.91,14.22,13.91,14.20,5184000,14.10
2013-07-31,13.86,13.95,13.78,13.83,4211800,13.74
2013-07-30,13.77,13.98,13.66,13.82,6746300,13.73
2013-07-29,13.77,13.80,13.65,13.70,4421200,13.61
2013-07-26,13.65,13.80,13.47,13.79,5539600,13.70
2013-07-25,13.62,13.81,13.24,13.81,10947500,13.72
2013-07-24,13.95,14.02,13.75,13.76,6128900,13.67
2013-07-23,13.87,13.92,13.73,13.89,4862900,13.80
2013-07-22,13.78,13.88,13.74,13.87,3260400,13.78
2013-07-19,13.82,13.90,13.72,13.81,4415800,13.72
2013-07-18,13.64,13.90,13.54,13.78,8553200,13.69
2013-07-17,13.43,13.80,13.16,13.65,8068600,13.56
2013-07-16,13.52,13.61,13.38,13.40,4148800,13.31
2013-07-15,13.46,13.57,13.38,13.48,3277100,13.39
2013-07-12,13.29,13.48,13.24,13.46,5236100,13.37
2013-07-11,13.25,13.33,13.09,13.29,5941200,13.20
2013-07-10,13.09,13.25,12.96,13.14,5318500,13.05
2013-07-09,12.97,13.15,12.93,13.10,5027100,13.01
2013-07-08,12.86,12.91,12.76,12.91,5467200,12.82
2013-07-05,12.77,12.86,12.71,12.79,3729700,12.70
2013-07-03,12.67,12.88,12.58,12.71,3393500,12.62
2013-07-02,13.09,13.12,12.67,12.71,6153300,12.62
2013-07-01,12.96,13.25,12.94,13.11,4687300,13.02
2013-06-28,12.99,13.05,12.83,12.89,7505200,12.80
2013-06-27,13.02,13.23,12.79,13.04,8318700,12.95
2013-06-26,13.18,13.26,12.92,12.97,9528900,12.88
2013-06-25,13.37,13.44,13.29,13.35,6309600,13.26
2013-06-24,13.35,13.35,13.12,13.31,10729700,13.22
2013-06-21,13.63,13.71,13.35,13.48,8274700,13.39
2013-06-20,13.56,13.70,13.51,13.53,7671800,13.44
2013-06-19,13.86,13.87,13.69,13.69,6045300,13.60
2013-06-18,13.80,13.90,13.70,13.86,4758900,13.77
2013-06-17,13.93,13.94,13.66,13.78,7905200,13.69
2013-06-14,13.92,14.01,13.83,13.87,5130500,13.78
2013-06-13,13.85,14.06,13.81,13.98,5776400,13.89
2013-06-12,14.07,14.10,13.77,13.87,5151900,13.78
2013-06-11,13.82,14.05,13.73,13.95,6520200,13.86
2013-06-10,13.94,14.06,13.89,13.98,5084600,13.89
2013-06-07,13.65,13.94,13.63,13.88,8502300,13.79
2013-06-06,13.57,13.69,13.19,13.50,12848500,13.41
2013-06-05,13.88,13.92,13.58,13.63,8708700,13.54
2013-06-04,13.99,14.20,13.80,13.92,8438700,13.83
2013-06-03,14.18,14.28,13.84,14.00,7664700,13.91
2013-05-31,14.22,14.36,14.17,14.17,8734000,14.03
2013-05-30,14.18,14.37,14.18,14.27,7007900,14.13
2013-05-29,14.19,14.28,14.06,14.13,7174200,13.99
2013-05-28,14.40,14.44,14.15,14.27,7824000,14.13
2013-05-24,14.26,14.35,14.06,14.28,7197400,14.14
2013-05-23,13.90,14.40,13.87,14.37,9834600,14.23
2013-05-22,14.30,14.39,13.96,14.03,7688400,13.90
2013-05-21,14.23,14.56,14.23,14.31,12836400,14.17
2013-05-20,14.38,14.55,14.13,14.25,7905400,14.11
2013-05-17,14.35,14.45,14.30,14.38,11499500,14.24
2013-05-16,14.37,14.49,14.03,14.14,9277100,14.00
2013-05-15,13.98,14.47,13.98,14.34,16864200,14.20
2013-05-14,13.98,14.11,13.96,13.98,9985200,13.85
2013-05-13,14.15,14.17,13.94,13.95,6762700,13.82
2013-05-10,14.11,14.27,14.10,14.16,4964400,14.02
2013-05-09,14.37,14.42,14.06,14.09,5131600,13.95
2013-05-08,14.27,14.49,14.23,14.33,4831200,14.19
2013-05-07,14.27,14.35,14.21,14.23,6205800,14.09
2013-05-06,14.08,14.32,14.03,14.25,4462000,14.11
2013-05-03,13.89,14.11,13.83,14.07,7259300,13.94
2013-05-02,13.49,13.83,13.48,13.76,5205900,13.63
2013-05-01,13.71,13.82,13.40,13.48,5852700,13.35
2013-04-30,13.55,13.77,13.48,13.70,6785000,13.57
2013-04-29,13.45,13.60,13.40,13.54,4950800,13.41
2013-04-26,13.49,13.53,13.30,13.39,5680000,13.26
2013-04-25,13.52,13.61,13.33,13.42,8023900,13.29
2013-04-24,13.38,13.45,13.19,13.42,7174200,13.29
2013-04-23,13.19,13.45,13.14,13.34,7650500,13.21
2013-04-22,13.46,13.48,13.11,13.17,7340600,13.04
2013-04-19,13.02,13.40,12.96,13.34,4923800,13.21
2013-04-18,13.16,13.16,12.93,12.98,3763500,12.86
2013-04-17,13.12,13.20,12.90,13.15,6757600,13.02
2013-04-16,12.86,13.18,12.81,13.18,8204300,13.05
2013-04-15,13.11,13.20,12.61,12.67,9423400,12.55
2013-04-12,13.06,13.22,13.03,13.15,4890300,13.02
2013-04-11,13.06,13.25,13.00,13.09,6883500,12.96
2013-04-10,12.90,13.14,12.90,13.04,6554700,12.92
2013-04-09,12.93,13.04,12.79,12.90,6670100,12.78
2013-04-08,12.83,12.95,12.64,12.93,7278800,12.81
2013-04-05,12.60,12.83,12.45,12.81,6812600,12.69
2013-04-04,12.54,12.85,12.54,12.80,7572300,12.68
2013-04-03,12.69,12.87,12.48,12.54,11925200,12.42
2013-04-02,13.19,13.22,12.62,12.68,13026100,12.56
2013-04-01,13.47,13.51,13.18,13.23,6334400,13.10
2013-03-28,13.25,13.58,13.21,13.48,11806600,13.35
2013-03-27,12.86,13.25,12.84,13.19,8495100,13.06
2013-03-26,12.87,13.06,12.82,12.95,9168100,12.83
2013-03-25,12.95,12.99,12.75,12.86,7223700,12.74
2013-03-22,12.79,12.93,12.61,12.87,7653400,12.75
2013-03-21,12.72,12.90,12.72,12.76,5902900,12.64
2013-03-20,12.68,12.84,12.62,12.79,5591400,12.67
2013-03-19,12.60,12.69,12.49,12.64,4167300,12.52
2013-03-18,12.29,12.60,12.14,12.56,4583800,12.44
2013-03-15,12.52,12.55,12.36,12.38,8393300,12.26
2013-03-14,12.46,12.55,12.37,12.55,5133400,12.43
2013-03-13,12.35,12.53,12.35,12.45,5646200,12.33
2013-03-12,12.34,12.46,12.29,12.34,7609900,12.22
2013-03-11,12.19,12.33,12.07,12.33,8168500,12.21
2013-03-08,12.25,12.30,12.14,12.26,6870200,12.14
2013-03-07,11.97,12.12,11.94,12.09,6672700,11.97
2013-03-06,12.17,12.21,11.98,12.05,5551800,11.93
2013-03-05,12.13,12.15,11.98,12.11,8266100,11.99
2013-03-04,11.76,12.09,11.75,12.04,8431800,11.91
2013-03-01,11.66,11.95,11.66,11.82,5655900,11.70
2013-02-28,11.82,11.90,11.64,11.70,7954800,11.58
2013-02-27,11.38,11.82,11.38,11.82,6339200,11.70
2013-02-26,11.35,11.41,11.23,11.40,5901800,11.28
2013-02-25,11.63,11.72,11.31,11.32,6134500,11.20
2013-02-22,11.47,11.63,11.45,11.60,4704100,11.48
2013-02-21,11.42,11.48,11.31,11.45,6437000,11.33
2013-02-20,11.66,11.69,11.41,11.43,4587300,11.31
2013-02-19,11.64,11.70,11.56,11.70,4927900,11.58
2013-02-15,11.53,11.76,11.50,11.60,6955400,11.48
2013-02-14,11.60,11.60,11.38,11.47,8080800,11.35
2013-02-13,11.57,11.66,11.54,11.61,3951400,11.49
2013-02-12,11.65,11.66,11.51,11.55,3759900,11.43
2013-02-11,11.67,11.76,11.63,11.65,4477600,11.53
2013-02-08,11.60,11.73,11.53,11.64,6534900,11.52
2013-02-07,11.47,11.65,11.41,11.61,7944500,11.49
2013-02-06,11.21,11.50,11.21,11.47,9347100,11.35
2013-02-05,11.28,11.36,11.22,11.27,8317000,11.15
2013-02-04,11.22,11.38,11.15,11.18,10977800,11.06
2013-02-01,11.29,11.45,11.22,11.23,9820100,11.11
2013-01-31,11.22,11.38,11.21,11.21,9692200,11.09
2013-01-30,11.36,11.40,11.23,11.24,10916800,11.12
2013-01-29,11.35,11.42,11.20,11.33,7657300,11.21
2013-01-28,11.54,11.54,11.37,11.43,6107600,11.31
2013-01-25,11.46,11.55,11.42,11.44,7626500,11.32
2013-01-24,11.47,11.62,11.38,11.45,11076100,11.33
2013-01-23,11.57,11.59,11.31,11.36,13770800,11.24
2013-01-22,11.28,11.60,11.19,11.48,9391800,11.36
2013-01-18,11.38,11.45,11.15,11.26,7322200,11.14
2013-01-17,11.34,11.43,11.17,11.40,8220600,11.28
2013-01-16,11.05,11.35,11.05,11.28,13207600,11.16
2013-01-15,10.98,11.13,10.94,11.08,11341200,10.96
2013-01-14,11.05,11.13,11.01,11.02,8025000,10.91
2013-01-11,11.09,11.16,11.00,11.05,7152800,10.94
2013-01-10,11.09,11.09,10.94,11.07,8751700,10.95
2013-01-09,11.04,11.16,10.94,11.00,8476400,10.89
2013-01-08,11.23,11.27,11.00,11.03,10480100,10.92
2013-01-07,10.90,11.02,10.80,10.91,6882100,10.80
2013-01-04,10.75,10.92,10.73,10.88,6884900,10.77
2013-01-03,10.46,10.77,10.44,10.72,8985900,10.61
2013-01-02,10.45,10.50,10.36,10.47,6017300,10.36
2012-12-31,10.13,10.25,10.10,10.24,5516300,10.13
2012-12-28,10.19,10.26,10.16,10.16,3419500,10.05
2012-12-27,10.32,10.37,10.13,10.26,4590600,10.15
2012-12-26,10.42,10.50,10.30,10.31,3504000,10.20
2012-12-24,10.47,10.53,10.37,10.43,1901700,10.32
2012-12-21,10.44,10.55,10.35,10.46,9204100,10.35
2012-12-20,10.58,10.58,10.43,10.54,7193000,10.43
2012-12-19,10.43,10.61,10.39,10.56,6348800,10.45
2012-12-18,10.36,10.51,10.34,10.50,6126500,10.39
2012-12-17,10.25,10.43,10.24,10.36,11031800,10.25
2012-12-14,10.18,10.41,10.13,10.19,9643300,10.08
2012-12-13,10.03,10.23,10.00,10.14,5494600,10.03
2012-12-12,10.13,10.17,9.96,10.02,8867600,9.92
2012-12-11,9.88,10.20,9.85,10.12,9535400,10.01
2012-12-10,9.75,9.92,9.70,9.84,4429900,9.74
2012-12-07,9.87,9.89,9.73,9.81,4993900,9.71
2012-12-06,9.79,9.88,9.77,9.88,6328500,9.78
2012-12-05,9.60,9.82,9.59,9.79,13716800,9.69
2012-12-04,9.47,9.68,9.47,9.63,8287300,9.53
2012-12-03,9.58,9.58,9.42,9.44,4550700,9.33
2012-11-30,9.50,9.58,9.46,9.53,6930100,9.42
2012-11-29,9.46,9.55,9.43,9.50,7567600,9.39
2012-11-28,9.29,9.48,9.24,9.43,7062000,9.32
2012-11-27,9.37,9.44,9.29,9.29,6636400,9.18
2012-11-26,9.30,9.40,9.16,9.40,6263000,9.29
2012-11-23,9.24,9.37,9.21,9.37,2651200,9.26
2012-11-21,9.11,9.28,9.06,9.23,5718500,9.12
2012-11-20,9.12,9.15,8.99,9.11,7274600,9.01
2012-11-19,9.00,9.11,8.92,9.10,5355400,9.00
2012-11-16,8.82,8.94,8.70,8.93,8671800,8.83
2012-11-15,8.74,8.95,8.74,8.84,6886300,8.74
2012-11-14,9.03,9.10,8.75,8.76,8789100,8.66
2012-11-13,9.01,9.21,9.00,9.03,4394100,8.93
2012-11-12,9.08,9.13,8.97,9.07,5183200,8.97
2012-11-09,9.14,9.32,9.03,9.06,9317900,8.96
2012-11-08,9.01,9.22,8.99,9.18,5744200,9.07
2012-11-07,9.06,9.13,8.93,9.01,4980800,8.91
2012-11-06,9.04,9.16,8.98,9.15,7381000,9.05
2012-11-05,9.03,9.09,8.99,9.04,4066700,8.94
2012-11-02,9.07,9.10,8.95,9.03,6426000,8.93
2012-11-01,8.82,9.07,8.82,9.05,6272600,8.95
2012-10-31,8.75,8.92,8.74,8.82,3979000,8.72
2012-10-26,8.84,8.90,8.69,8.74,4881500,8.64
2012-10-25,8.80,8.92,8.74,8.83,5779000,8.73
2012-10-24,8.81,8.88,8.71,8.75,5078000,8.65
2012-10-23,8.78,8.83,8.68,8.79,10538000,8.69
2012-10-22,8.90,8.95,8.70,8.83,7207400,8.73
2012-10-19,9.03,9.10,8.86,8.88,5228100,8.78
2012-10-18,8.98,9.10,8.95,8.98,12259700,8.88
2012-10-17,8.89,9.03,8.85,8.95,4527100,8.85
2012-10-16,8.91,9.00,8.86,8.88,5643100,8.78
2012-10-15,8.87,8.92,8.81,8.89,4097600,8.79
2012-10-12,8.68,8.88,8.68,8.84,5991100,8.74
2012-10-11,8.80,8.83,8.71,8.71,4266100,8.61
2012-10-10,8.78,8.87,8.70,8.77,5146800,8.67
2012-10-09,8.85,8.89,8.74,8.75,4408600,8.65
2012-10-08,8.99,9.03,8.86,8.86,5250100,8.76
2012-10-05,9.06,9.17,8.84,8.97,9287700,8.87
2012-10-04,9.16,9.16,9.05,9.10,6377900,9.00
2012-10-03,9.00,9.14,8.93,9.14,11925600,9.04
2012-10-02,8.85,8.98,8.85,8.98,8975200,8.88
2012-10-01,8.78,8.94,8.75,8.86,6385400,8.76
2012-09-28,8.87,8.87,8.75,8.77,6275500,8.67
2012-09-27,8.93,8.96,8.80,8.88,5300500,8.78
2012-09-26,8.82,8.98,8.82,8.92,4661200,8.82
2012-09-25,8.87,8.95,8.82,8.84,5386500,8.74
2012-09-24,8.82,8.99,8.79,8.89,5014800,8.79
2012-09-21,9.02,9.04,8.80,8.84,7461100,8.74
2012-09-20,9.00,9.05,8.87,8.94,3927200,8.84
2012-09-19,8.99,9.14,8.96,9.06,7464900,8.96
2012-09-18,9.05,9.06,8.86,8.92,5694200,8.82
2012-09-17,9.01,9.11,8.90,9.05,8382400,8.95
2012-09-14,9.11,9.13,9.02,9.07,5267200,8.97
