Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,45.26,45.93,44.83,45.14,817100,45.14
2014-03-27,44.84,45.48,44.26,45.09,852700,45.09
2014-03-26,45.58,45.96,44.70,44.74,872900,44.74
2014-03-25,45.49,46.80,45.33,45.41,1698200,45.41
2014-03-24,44.68,45.19,44.00,45.19,889400,45.19
2014-03-21,44.99,45.25,44.44,44.56,1032900,44.56
2014-03-20,43.77,44.90,43.74,44.89,688100,44.89
2014-03-19,44.34,44.64,43.88,43.90,777200,43.90
2014-03-18,43.02,44.57,42.94,44.39,1204600,44.39
2014-03-17,42.31,43.17,42.31,42.97,983600,42.97
2014-03-14,40.90,42.45,40.90,41.90,677100,41.90
2014-03-13,41.57,41.80,40.97,41.04,701900,41.04
2014-03-12,40.93,41.66,40.55,41.43,911900,41.43
2014-03-11,41.34,41.73,41.09,41.21,670400,41.21
2014-03-10,41.60,42.00,41.13,41.30,760700,41.30
2014-03-07,41.94,42.08,41.40,41.80,879100,41.80
2014-03-06,41.93,41.95,41.33,41.65,1019200,41.65
2014-03-05,41.94,42.42,41.67,41.82,891600,41.82
2014-03-04,42.03,42.52,41.75,41.91,1044400,41.91
2014-03-03,41.65,42.28,41.44,41.67,1040200,41.67
2014-02-28,42.52,42.89,41.97,42.14,836800,42.14
2014-02-27,42.28,42.85,42.06,42.54,661000,42.54
2014-02-26,42.66,43.12,42.10,42.23,911700,41.93
2014-02-25,42.04,42.95,41.60,42.73,1425700,42.43
2014-02-24,41.13,42.50,40.86,42.23,1451800,41.93
2014-02-21,42.49,42.64,42.07,42.32,821600,42.02
2014-02-20,41.54,42.46,41.12,42.41,906400,42.11
2014-02-19,42.06,42.34,41.57,41.59,622600,41.29
2014-02-18,41.12,42.29,41.04,42.23,1425500,41.93
2014-02-14,41.00,41.42,40.74,41.12,457600,40.83
2014-02-13,40.33,41.27,40.20,41.06,696500,40.77
2014-02-12,40.25,40.92,40.11,40.45,636400,40.16
2014-02-11,39.39,40.44,39.32,40.29,1275500,40.00
2014-02-10,39.46,39.55,39.10,39.41,638400,39.13
