Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,58.35,59.00,58.35,58.92,1835900,58.92
2014-03-27,58.14,59.01,57.90,58.40,2772300,58.40
2014-03-26,58.26,58.82,58.08,58.09,2959000,58.09
2014-03-25,58.55,58.63,57.82,58.01,3407500,58.01
2014-03-24,59.05,59.25,57.85,58.41,4304400,58.41
2014-03-21,59.09,59.56,58.72,58.97,8054500,58.97
2014-03-20,58.44,58.83,58.19,58.70,1890500,58.70
2014-03-19,58.87,59.17,58.19,58.55,3565800,58.55
2014-03-18,58.84,59.38,58.82,58.88,2914600,58.88
2014-03-17,58.92,59.19,58.50,58.90,2724700,58.90
2014-03-14,58.20,59.00,57.88,58.58,3542000,58.58
2014-03-13,58.98,59.58,58.06,58.21,3843400,58.21
2014-03-12,58.58,58.78,57.73,58.76,3697000,58.76
2014-03-11,59.14,59.95,58.85,58.94,5717400,58.69
2014-03-10,57.70,58.33,57.55,58.12,4128600,57.87
2014-03-07,57.52,58.48,57.27,58.05,3915000,57.80
2014-03-06,57.58,57.70,57.08,57.30,4017700,57.06
2014-03-05,57.55,57.84,57.11,57.32,3566500,57.08
2014-03-04,58.20,58.41,57.60,57.65,3464500,57.41
2014-03-03,57.19,57.63,56.70,57.62,3857900,57.38
2014-02-28,57.70,58.13,57.50,57.86,3235000,57.61
2014-02-27,57.51,58.17,57.32,57.86,4064600,57.61
2014-02-26,55.88,58.66,55.72,57.96,8973500,57.71
2014-02-25,53.63,56.55,53.33,56.25,10908200,56.01
2014-02-24,53.87,54.10,53.03,53.06,5573500,52.83
2014-02-21,53.56,53.99,53.51,53.71,3102700,53.48
2014-02-20,53.27,53.80,53.21,53.46,3208100,53.23
2014-02-19,53.19,53.67,53.06,53.34,2886700,53.11
2014-02-18,53.67,53.75,52.90,53.15,2775400,52.92
2014-02-14,53.08,53.64,52.82,53.40,2160000,53.17
2014-02-13,52.56,53.44,52.54,53.14,2262500,52.91
2014-02-12,53.62,53.85,52.62,52.82,2523400,52.60
2014-02-11,53.00,53.68,52.71,53.57,2301100,53.34
2014-02-10,52.91,53.13,52.34,52.91,2268900,52.69
2014-02-07,52.87,53.71,52.59,53.09,2925500,52.86
2014-02-06,51.43,52.85,51.43,52.54,3908500,52.32
2014-02-05,50.69,51.65,50.05,51.35,5773500,51.13
2014-02-04,51.19,51.74,50.75,50.97,4429000,50.75
2014-02-03,53.12,53.19,50.71,50.91,7244300,50.69
2014-01-31,53.22,53.79,53.12,53.20,3597800,52.97
2014-01-30,54.00,54.34,53.62,53.91,2582700,53.68
2014-01-29,54.12,54.65,53.31,53.39,4437200,53.16
2014-01-28,54.52,55.14,54.41,54.47,2937900,54.24
2014-01-27,54.35,54.79,53.78,54.18,4051400,53.95
2014-01-24,54.70,54.91,54.08,54.42,3422500,54.19
2014-01-23,55.08,55.22,54.73,55.05,3864200,54.82
2014-01-22,55.56,55.83,55.12,55.38,2999500,55.15
2014-01-21,56.21,56.47,55.22,55.56,3807200,55.32
2014-01-17,56.07,56.41,55.73,56.23,4103300,55.99
2014-01-16,55.68,56.10,55.27,56.03,3546000,55.79
2014-01-15,55.70,55.92,55.42,55.80,2514100,55.56
2014-01-09,55.15,56.25,54.79,55.80,14734800,55.56
2014-01-08,51.79,52.00,51.36,51.84,6097900,51.62
2014-01-07,53.54,53.54,51.68,52.18,6328700,51.96
2014-01-06,53.77,53.86,53.04,53.15,2887900,52.92
2014-01-03,53.36,54.00,53.32,53.54,2492200,53.31
2014-01-02,53.17,53.91,52.95,53.39,2969600,53.16
2013-12-31,53.63,53.73,53.04,53.40,2546700,53.17
2013-12-30,52.78,53.86,52.78,53.67,3054400,53.44
2013-12-27,53.01,53.14,52.65,52.70,1421900,52.48
2013-12-26,52.84,53.22,52.75,52.83,2280300,52.61
2013-12-24,52.64,53.00,52.31,52.71,1789000,52.49
2013-12-23,52.43,53.24,52.41,52.85,2823200,52.63
2013-12-20,52.39,52.72,52.14,52.27,5740800,52.05
2013-12-19,52.06,52.49,51.85,52.23,2954400,52.01
2013-12-18,51.67,52.18,51.00,52.14,3471100,51.92
2013-12-17,51.81,51.87,51.29,51.67,3392700,51.45
2013-12-16,51.56,51.97,51.46,51.61,2743900,51.39
2013-12-13,51.86,52.42,51.30,51.41,4020800,51.19
2013-12-12,52.15,52.24,51.52,51.65,3293800,51.43
2013-12-11,51.79,53.03,51.70,52.08,5502600,51.86
2013-12-10,52.14,52.23,51.46,51.78,3150300,51.31
2013-12-09,51.90,52.58,51.86,52.19,3852700,51.72
2013-12-06,51.92,52.20,51.14,51.83,4606300,51.36
2013-12-05,52.13,52.15,51.26,51.54,4089500,51.07
2013-12-04,52.60,52.78,51.37,52.04,5641000,51.57
2013-12-03,52.29,52.88,52.21,52.81,4483400,52.33
2013-12-02,52.99,53.46,52.21,52.44,6345500,51.97
2013-11-29,54.07,54.07,53.08,53.26,3532100,52.78
2013-11-27,53.07,53.64,52.91,53.54,5095400,53.06
2013-11-26,52.30,53.14,52.30,52.94,6408900,52.46
2013-11-25,51.54,52.43,51.40,52.28,5529000,51.81
2013-11-22,50.96,51.37,50.63,51.26,4121600,50.80
2013-11-21,50.89,51.06,50.54,50.81,4171600,50.35
2013-11-20,50.84,51.00,50.47,50.96,5262600,50.50
2013-11-19,50.44,50.69,50.14,50.41,4136400,49.95
2013-11-18,51.00,51.24,50.25,50.47,4476700,50.01
2013-11-15,50.41,51.09,50.27,51.09,7081200,50.63
2013-11-14,50.69,51.14,50.06,50.68,7274200,50.22
2013-11-13,49.65,50.95,49.19,50.68,21966700,50.22
2013-11-12,47.04,47.09,46.30,46.33,7969200,45.91
2013-11-11,46.18,47.31,46.12,47.07,6284000,46.64
2013-11-08,45.90,46.31,45.59,46.18,5590700,45.76
2013-11-07,46.43,46.73,45.85,45.96,4771700,45.54
2013-11-06,46.18,46.93,46.00,46.40,3815500,45.98
2013-11-05,46.62,46.92,45.85,46.14,4399600,45.72
2013-11-04,46.26,46.86,46.26,46.49,3297000,46.07
2013-11-01,46.18,46.30,45.56,45.96,3165100,45.54
2013-10-31,46.50,46.59,45.88,46.11,3717300,45.69
2013-10-30,46.20,46.73,45.93,46.40,3696100,45.98
2013-10-29,45.65,46.26,45.65,46.13,5080100,45.71
2013-10-28,44.40,45.65,44.17,45.44,5151100,45.03
2013-10-25,45.24,45.24,44.68,44.89,3580300,44.48
2013-10-24,44.57,45.20,44.13,45.10,3894100,44.69
2013-10-23,44.55,44.78,44.08,44.54,2830900,44.14
2013-10-22,44.22,44.71,44.02,44.60,4372400,44.20
2013-10-21,44.47,44.55,43.89,44.24,2858600,43.84
2013-10-18,44.51,44.65,43.70,44.39,5299300,43.99
2013-10-17,43.62,44.56,43.51,44.46,5699800,44.06
2013-10-16,42.66,43.87,42.60,43.79,8338000,43.39
2013-10-15,42.68,43.07,42.27,42.48,5411900,42.10
2013-10-14,42.45,42.72,42.23,42.58,4611900,42.19
2013-10-11,43.02,43.04,42.22,42.64,5182700,42.25
2013-10-10,43.02,43.33,42.86,43.21,3443200,42.82
2013-10-09,42.57,42.75,42.18,42.36,5073600,41.98
2013-10-08,43.12,43.20,42.39,42.45,5168600,42.07
2013-10-07,43.62,43.64,42.99,42.99,4641600,42.60
2013-10-04,44.28,44.28,43.73,44.07,4433000,43.67
2013-10-03,43.96,44.48,43.58,44.21,5835300,43.81
2013-10-02,43.18,43.98,43.02,43.97,5559900,43.57
2013-10-01,43.23,43.80,43.20,43.44,4646000,43.05
2013-09-30,43.08,43.37,42.92,43.27,3835300,42.88
2013-09-27,43.29,43.80,43.22,43.52,5431800,43.13
2013-09-26,42.89,43.35,42.68,43.32,5070800,42.93
2013-09-25,43.61,43.74,42.70,42.80,6915400,42.41
2013-09-24,44.49,44.62,43.40,43.58,7738500,43.19
2013-09-23,44.62,44.77,44.17,44.69,4426200,44.29
2013-09-20,45.39,45.57,44.58,44.62,5397800,44.22
2013-09-19,45.66,45.98,45.34,45.45,3435700,45.04
2013-09-18,45.17,45.78,44.50,45.58,4266000,45.17
2013-09-17,44.99,45.31,44.98,45.05,3020100,44.64
2013-09-16,45.07,45.24,44.83,44.97,3406700,44.56
2013-09-13,43.82,44.71,43.50,44.70,5980500,44.30
2013-09-12,44.09,44.37,43.48,43.53,6442700,43.14
