Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,54.76,55.66,54.76,55.44,3410500,55.44
2014-03-27,55.58,55.58,54.57,54.76,4149200,54.76
2014-03-26,55.70,56.15,55.38,55.58,5368000,55.58
2014-03-25,55.24,55.53,55.14,55.48,2996700,55.48
2014-03-24,55.41,55.81,54.77,55.15,3414800,55.15
2014-03-21,54.80,55.25,54.50,55.25,5579100,55.25
2014-03-20,53.97,54.45,53.69,54.00,1509600,54.00
2014-03-19,54.33,54.63,53.84,54.23,1339800,54.23
2014-03-18,54.06,54.52,54.01,54.42,1753400,54.42
2014-03-17,54.33,54.62,53.83,54.08,1942100,54.08
2014-03-14,53.57,54.28,53.54,53.88,2100500,53.88
2014-03-13,54.23,54.29,53.40,53.71,1908800,53.71
2014-03-12,53.67,54.07,53.40,54.03,1145000,54.03
2014-03-11,54.31,54.76,53.86,54.04,1456700,54.04
2014-03-10,54.52,54.91,53.88,54.19,1638100,54.19
2014-03-07,54.65,55.03,54.54,54.79,2638300,54.79
2014-03-06,53.90,54.80,53.90,54.60,2334700,54.60
2014-03-05,53.73,53.94,53.31,53.89,2315100,53.89
2014-03-04,53.71,54.01,53.49,53.83,2841100,53.83
2014-03-03,53.85,53.92,52.99,53.29,3223800,53.29
2014-02-28,53.90,54.41,53.61,54.23,2271500,54.23
2014-02-27,53.22,53.88,53.22,53.86,2088800,53.86
2014-02-26,53.89,54.24,53.23,53.44,2618300,53.44
2014-02-25,53.31,53.92,53.31,53.86,1945400,53.69
2014-02-24,52.52,53.97,52.52,53.47,3118300,53.30
2014-02-21,51.91,52.72,51.58,52.51,3231300,52.34
2014-02-20,50.57,51.84,50.52,51.79,3579300,51.63
2014-02-19,50.59,51.98,50.58,51.54,3159200,51.38
2014-02-18,51.52,51.74,51.07,51.38,2559800,51.22
2014-02-14,49.91,51.58,49.91,51.52,3112500,51.36
2014-02-13,49.36,50.20,49.02,50.11,2135900,49.95
2014-02-12,49.88,50.17,49.55,49.65,1911700,49.49
2014-02-11,49.35,50.00,49.28,49.69,1948900,49.53
2014-02-10,49.07,49.61,49.07,49.36,1144200,49.20
2014-02-07,49.02,49.35,48.73,49.24,1695000,49.08
2014-02-06,47.60,48.96,47.60,48.76,2017600,48.61
2014-02-05,47.94,48.00,47.21,47.89,2099800,47.74
2014-02-04,47.50,48.17,47.35,47.98,2472400,47.83
2014-02-03,49.45,49.52,47.35,47.47,3840900,47.32
2014-01-31,48.51,49.69,48.51,49.30,2054300,49.14
2014-01-30,49.18,49.49,49.02,49.31,1424900,49.15
2014-01-29,49.47,49.65,48.79,48.86,2277900,48.71
2014-01-28,49.12,49.97,49.00,49.70,1837400,49.54
2014-01-27,49.75,50.68,48.92,49.05,3031400,48.90
2014-01-24,50.37,50.49,49.75,49.76,3320300,49.60
2014-01-23,50.61,51.16,50.32,50.58,2394000,50.42
2014-01-22,51.01,51.53,50.80,51.17,3421800,51.01
2014-01-21,51.44,51.50,50.76,50.79,3179000,50.63
2014-01-17,50.32,50.86,50.22,50.62,3094600,50.46
2014-01-16,49.89,50.60,49.53,50.57,4603200,50.41
2014-01-15,49.36,49.89,48.85,49.82,1942900,49.66
2014-01-14,48.78,49.43,48.57,49.34,1806500,49.18
2014-01-13,49.63,49.63,48.59,48.75,2818300,48.60
