Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,14.03,14.14,13.76,13.83,1566900,13.83
2014-03-27,13.97,14.15,13.77,13.86,1758700,13.86
2014-03-26,14.51,14.52,13.89,13.90,2085100,13.90
2014-03-25,14.56,14.72,14.37,14.39,1246900,14.39
2014-03-24,14.33,14.63,14.33,14.45,2038400,14.45
2014-03-21,14.59,14.71,14.48,14.55,2482200,14.55
2014-03-20,14.40,14.59,14.31,14.55,2390000,14.55
2014-03-19,14.76,14.79,14.30,14.39,2968800,14.39
2014-03-18,14.23,15.13,14.12,14.64,7559300,14.64
2014-03-17,14.16,14.58,14.08,14.18,2775700,14.18
2014-03-14,14.28,14.40,14.03,14.11,3892400,14.11
2014-03-13,14.70,14.79,14.26,14.32,2655700,14.32
2014-03-12,14.32,14.77,14.30,14.65,2750500,14.65
2014-03-11,14.60,14.72,14.33,14.38,3384200,14.38
2014-03-10,14.81,14.86,14.42,14.60,3256900,14.60
2014-03-07,15.17,15.18,14.71,14.84,2774800,14.84
2014-03-06,15.14,15.26,14.81,14.99,4097700,14.99
2014-03-05,14.80,15.13,14.61,15.08,5982100,15.08
2014-03-04,13.80,14.87,13.75,14.84,12136500,14.84
2014-03-03,13.43,13.50,13.04,13.32,3368600,13.32
2014-02-28,13.46,13.73,13.44,13.55,4145300,13.55
2014-02-27,13.17,13.51,12.97,13.41,3527500,13.41
2014-02-26,12.97,13.31,12.80,13.17,3039700,13.17
2014-02-25,12.84,13.15,12.70,12.94,2748500,12.94
2014-02-24,12.55,12.98,12.48,12.82,2082400,12.82
2014-02-21,12.45,12.62,12.41,12.55,1393700,12.55
2014-02-20,12.49,12.56,12.31,12.44,1508600,12.44
2014-02-19,12.55,12.87,12.38,12.47,2824800,12.47
2014-02-18,12.76,12.89,12.59,12.69,1884000,12.69
2014-02-14,12.67,12.84,12.31,12.67,2407700,12.67
2014-02-13,11.95,12.68,11.79,12.67,4968200,12.67
2014-02-12,12.29,12.47,11.99,12.02,1692500,12.02
2014-02-11,12.20,12.29,11.76,12.23,4749200,12.23
2014-02-10,11.61,12.20,11.61,12.08,4372300,12.08
2014-02-07,11.66,11.72,11.35,11.70,2886700,11.70
2014-02-06,11.50,11.89,11.43,11.62,3030000,11.62
2014-02-05,11.04,11.56,11.04,11.47,3232200,11.47
2014-02-04,11.31,11.46,10.86,11.06,3002100,11.06
2014-02-03,10.97,11.56,10.96,11.25,4208300,11.25
2014-01-31,10.85,11.31,10.85,10.94,2008000,10.94
2014-01-30,11.07,11.20,10.98,11.02,1613200,11.02
2014-01-29,10.98,11.25,10.85,10.97,1617300,10.97
2014-01-28,11.12,11.21,11.03,11.10,1774400,11.10
2014-01-27,10.97,11.19,10.68,11.07,2389900,11.07
2014-01-24,11.57,11.57,10.94,10.96,3086200,10.96
2014-01-23,11.84,11.89,11.47,11.53,2146500,11.53
2014-01-22,11.45,11.88,11.45,11.84,2702200,11.84
2014-01-21,11.58,11.63,11.28,11.38,2069400,11.38
2014-01-17,11.91,11.92,11.42,11.52,1962600,11.52
2014-01-16,11.73,11.97,11.62,11.90,3176300,11.90
2014-01-15,12.00,12.29,11.55,11.73,6967300,11.73
2014-01-14,11.85,12.14,11.78,12.01,2101300,12.01
2014-01-13,11.86,12.17,11.71,11.78,3504100,11.78
2014-01-09,11.53,11.69,11.47,11.64,2813700,11.64
2014-01-08,11.35,11.48,11.28,11.47,1734000,11.47
2014-01-07,11.37,11.48,11.24,11.34,1957100,11.34
2014-01-06,11.67,11.68,11.34,11.35,1862600,11.35
2014-01-03,11.63,11.67,11.50,11.60,1036600,11.60
2014-01-02,11.90,11.90,11.48,11.58,1469600,11.58
2013-12-31,11.76,11.96,11.68,11.94,1544900,11.94
2013-12-30,11.62,11.91,11.60,11.77,1823800,11.77
2013-12-27,11.68,11.75,11.42,11.65,1273500,11.65
2013-12-26,11.94,11.98,11.63,11.64,1842100,11.64
2013-12-24,11.61,11.77,11.51,11.76,632200,11.76
2013-12-23,11.61,11.68,11.48,11.61,1845900,11.61
2013-12-20,11.00,11.48,11.00,11.47,3200200,11.47
2013-12-19,11.17,11.32,11.02,11.02,1772500,11.02
2013-12-18,11.03,11.27,10.61,11.25,3679100,11.25
2013-12-17,11.11,11.27,11.00,11.03,2029800,11.03
2013-12-16,11.16,11.37,10.99,11.11,2762400,11.11
2013-12-13,11.19,11.26,10.87,11.11,2951600,11.11
2013-12-12,11.42,11.51,11.08,11.09,4206600,11.09
2013-12-11,11.94,11.99,11.35,11.42,4458600,11.42
2013-12-10,12.35,12.42,11.88,11.96,1792500,11.96
2013-12-09,12.25,12.53,12.24,12.40,1221200,12.40
2013-12-06,12.38,12.67,12.21,12.25,1753800,12.25
2013-12-05,12.86,12.89,12.27,12.35,2849500,12.35
2013-12-04,12.52,12.93,12.50,12.86,2429700,12.86
2013-12-03,12.74,13.06,12.53,12.60,2303700,12.60
2013-12-02,12.89,12.97,12.77,12.79,2405900,12.79
2013-11-29,12.68,13.01,12.59,12.89,1194100,12.89
2013-11-27,12.75,12.80,12.64,12.67,1185300,12.67
2013-11-26,12.75,12.85,12.67,12.80,1391400,12.80
2013-11-25,12.90,13.04,12.71,12.76,1745400,12.76
2013-11-22,12.80,12.95,12.66,12.89,1508500,12.89
2013-11-21,12.52,12.98,12.52,12.74,3048800,12.74
2013-11-20,12.61,12.68,12.39,12.49,2226900,12.49
2013-11-19,12.69,12.76,12.43,12.53,2750900,12.53
2013-11-18,12.92,13.20,12.72,12.75,3957600,12.75
2013-11-15,12.67,12.95,12.51,12.92,4008100,12.92
2013-11-14,12.34,12.94,12.30,12.67,6327600,12.67
2013-11-13,11.80,12.38,11.25,12.31,6549100,12.31
2013-11-12,11.81,12.00,11.58,11.66,4583300,11.66
2013-11-11,11.35,11.72,11.31,11.68,1830800,11.68
2013-11-08,11.15,11.39,11.08,11.36,1932700,11.36
